Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Age,Design,Heating,Total number of floors,Front garden,Renovation,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
712443,"CZK 25,000",50.05831,14.28122,"Milotická, Prague - Zličín",3 bedroom with open-plan kitchen,Excellent,109 m²,"CZK 5,900","CZK 40,000",Personal,Brick building,Unfurnished,3,No,No,Yes,Yes,No,Yes,No,01. 04. 2022,,,,,,,C,423,857,929,859,909,984,331,"1,205",107,,,,,,,
673009,"CZK 13,500",49.99559,14.47109,"Švihovská, Prague - Písnice",1 bedroom with open-plan kitchen,Excellent,47 m²,"CZK 3,500","CZK 20,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,Yes,No,Yes,01. 04. 2022,1 to 10 years years,Standard materials and solutions,District heating,Top floor,,,A,272,"1,265",731,"1,059","1,054",661,,,,,,,,,,
650428,"CZK 22,000",50.124588,14.439661,Prague - Troja,2 bedroom with open-plan kitchen,Excellent,73 m²,"CZK 2,800","CZK 22,000",Personal,Prefab concrete building,Furnished,1,Yes,No,Yes,Yes,No,Yes,No,01. 04. 2022,,,,,,,G,467,"1,210",206,"1,052",489,439,594,380,323,365,,,,,,
712434,"CZK 11,990",50.103795,14.51251888888,"Podkovářská, Prague - Vysočany",Studio,Excellent,32 m²,"CZK 2,939","CZK 14,929",Personal,Brick building,Furnished,8,Yes,No,No,No,No,Yes,No,,,,,,,,G,150,248,"1,314",965,459,696,"1,119",842,221,,,"CZK 14,929

                                
                                
                
i",,,,
326394,"CZK 24,000",50.0781506,14.4073683,"Zborovská, Prague - Smíchov",2 bedroom with open-plan kitchen,,130 m²,"CZK 6,000","CZK 48,000",Personal,Brick building,Partially furnished,4,No,No,No,No,No,No,No,,,,Gas boiler,,,,,220,382,201,295,102,380,263,906,726,411,,,,,,
712430,"CZK 20,000",50.131,14.44827,"Pohnertova, Prague - Kobylisy",2 bedroom with open-plan kitchen,Excellent,83 m²,"CZK 4,500","CZK 30,000",Personal,Prefab concrete building,Partially furnished,3,No,No,Yes,Yes,No,Yes,No,01. 04. 2022,,,,,,,C,475,"1,437",411,"1,011",563,677,784,516,"1,137",140,,,,,,
584586,"CZK 28,000",50.105532,14.392401,"Nikoly Tesly, Prague - Dejvice",2 bedroom,Excellent,92 m²,"CZK 2,000","CZK 30,000",Personal,Brick building,Furnished,4,Yes,No,No,No,No,Yes,No,01. 07. 2022,1 to 10 years years,Standard materials and solutions,Central heating,Middle floor,,Overall,G,239,994,265,389,186,190,442,489,776,345,,,,,,
666783,"CZK 26,000",50.035755,14.524528,Prague - Háje,4 bedroom,Excellent,100 m²,"CZK 4,500","CZK 26,000",Personal,Prefab concrete building,Partially furnished,1,Yes,No,Yes,No,Yes,Yes,No,01. 05. 2022,,Premium materials and solutions,District heating,Middle floor,,Overall,B,265,946,677,707,245,503,639,566,290,234,,,,,,
709327,"CZK 16,125",50.1138866,14.4798456,"U Pekařky, Prague - Libeň",Studio,,30 m²,"CZK 5,375",,,,Furnished,2,No,No,No,No,No,No,No,02. 05. 2022,,,,,,,,185,178,"1,337",331,979,"1,134","1,351",938,317,,,,,,,
611491,"CZK 25,000",50.07715,14.43733,"Anny Letenské, Prague - Vinohrady",2 bedroom,Excellent,70 m²,"CZK 2,000","CZK 25,000",Personal,Brick building,Furnished,1,No,No,No,No,No,Yes,No,01. 06. 2022,,Standard materials and solutions,Gas boiler,Middle floor,,Overall,C,77,350,186,47,70,87,225,314,365,696,,,,,,
712423,"CZK 20,000",49.98832,14.41191,"Za Sídlištěm, Prague - Komořany",3 bedroom,Excellent,81 m²,"CZK 5,700","CZK 40,000",Personal,Prefab concrete building,Unfurnished,9,Yes,No,Yes,Yes,No,Yes,No,01. 04. 2022,,,District heating,,,,D,416,428,430,598,,,,,,,,,,,,
712420,"CZK 10,500",50.0736565,14.4926777,"Saratovská, Prague - Strašnice",1 bedroom,Good,43 m²,CZK 600,"CZK 21,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 04. 2022,,,,,,,G,165,314,218,196,278,208,85,524,521,313,,,,,,
712399,"CZK 10,000",50.0257,14.43628,"Nad Lesním divadlem, Prague - Braník",Studio,Excellent,28 m²,"CZK 2,013","CZK 10,000",Personal,Prefab concrete building,Partially furnished,2,No,No,Yes,No,No,Yes,No,10. 04. 2022,,,,,,,G,228,270,228,241,317,296,690,373,901,378,,,,,,
608187,"CZK 14,500",50.084563,14.346752,"Brunclíkova, Prague - Břevnov",2 bedroom,Excellent,56 m²,"CZK 3,000","CZK 29,000",Personal,Other,Partially furnished,2,No,No,No,No,No,No,No,14. 05. 2020,,,District heating,Middle floor,,Bathroom unit,A,124,684,35,537,226,555,248,273,392,185,,,,,,
694362,"CZK 8,000",50.06872,14.49112,"Pitkovická, Prague - Strašnice",Small studio,Excellent,21 m²,"CZK 1,800","CZK 10,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,04. 04. 2022,,,,,,,G,82,"1,127",250,723,49,445,362,655,407,200,,,,,,
712395,"CZK 20,000",50.09703,14.35692,"Mozambická, Prague - Vokovice",2 bedroom,Excellent,53 m²,"CZK 3,500","CZK 20,000",Personal,Prefab concrete building,Furnished,6,Yes,No,No,No,No,No,No,01. 06. 2022,,,,,,,B,253,409,266,310,300,264,389,448,991,61,,,,,,
712211,"CZK 22,000",50.07286,14.43954,"Záhřebská, Prague - Vinohrady",2 bedroom,Excellent,58 m²,CZK 450,"CZK 22,000",Personal,Brick building,Partially furnished,6,Yes,Yes,No,No,No,No,No,01. 05. 2022,,,Gas boiler,,,,G,201,358,94,578,109,482,159,401,728,541,,,,,,
607713,"CZK 19,900",50.071796,14.429385,"Fügnerovo náměstí, Prague - Nové Město",1 bedroom with open-plan kitchen,New build,50 m²,"CZK 1,900","CZK 25,000",Personal,Brick building,Furnished,5,No,No,No,No,No,Yes,No,01. 05. 2022,1 to 10 years years,Premium materials and solutions,Electric boiler,Attic,,,G,195,562,237,360,239,190,296,492,736,504,Yes,,,,,
241625,"CZK 15,900",50.1138957,14.4798538,"U Pekařky, Prague - Libeň",1 bedroom with open-plan kitchen,,48 m²,"CZK 1,900","CZK 25,000",Personal,Brick building,Partially furnished,4,Yes,Yes,Yes,No,Yes,Yes,Yes,03. 04. 2022,1 to 10 years years,Premium materials and solutions,Gas boiler,Middle floor,10 m²,Overall,,186,177,"1,337",331,980,"1,134","1,350",939,316,,Yes,,,,,
712388,"CZK 12,000",50.09595,14.35583,"Nad Tratí, Prague - Vokovice",Studio,Good,35 m²,"CZK 3,029","CZK 16,000",Personal,Brick building,Partially furnished,4,No,No,No,No,No,No,No,01. 05. 2022,,,,,,,D,245,462,336,360,376,325,195,442,983,129,,,,,,
543933,"CZK 22,900",50.1050022,14.3961888,"Nikolaje Alexejeviče Někrasova, Prague - Bubeneč",2 bedroom,,78 m²,"CZK 3,900","CZK 45,000",Personal,Brick building,Partially furnished,4,Yes,Yes,Yes,Yes,Yes,Yes,No,15. 05. 2022,1 to 10 years years,Premium materials and solutions,Gas boiler,Attic,10 m²,Overall,,153,790,174,218,84,194,264,262,468,103,Yes,,,,,
708594,"CZK 14,500",50.07206,14.38986,"Plzeňská, Prague - Smíchov",3 bedroom,Excellent,55 m²,"CZK 1,000","CZK 19,000",Personal,Brick building,Partially furnished,1,No,No,No,No,Yes,No,No,01. 03. 2022,,,,,,,F,194,"1,231",107,823,149,953,414,909,"1,140",247,,,,,,
712384,"CZK 14,000",50.09139,14.43909,"Sokolovská, Prague - Karlín",1 bedroom with open-plan kitchen,Good,56 m²,CZK 800,"CZK 14,000",Personal,Brick building,Partially furnished,5,No,No,No,No,No,Yes,No,01. 05. 2022,,,,,,,G,80,482,94,42,5,147,632,658,237,425,,,,,,
708903,"CZK 59,100",50.0908563,14.4202783,"Dušní, Prague - Josefov",3 bedroom,,105 m²,"CZK 19,700",,,,Furnished,4,No,No,No,No,No,Yes,No,18. 04. 2022,,,,,,,,120,466,224,270,88,288,156,399,230,467,,,,,,
328663,"CZK 14,000",50.071252,14.464839,"Na Míčánkách, Prague - Vršovice",1 bedroom,,42 m²,"CZK 1,500","CZK 14,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,01. 05. 2022,,,Electric boiler,,,Interior,,2,708,126,624,266,585,373,276,760,245,,,,,,
712381,"CZK 16,000",50.08203,14.44585,"Ježkova, Prague - Žižkov",2 bedroom,Excellent,50 m²,"CZK 3,000","CZK 20,000",Cooperative,Brick building,Partially furnished,3,No,No,No,No,No,No,No,04. 05. 2022,,,,,,,G,530,536,63,562,13,241,276,262,587,353,,,,,,
711784,"CZK 14,000",50.0841662,14.4515896,"Seifertova, Prague - Žižkov",1 bedroom,Excellent,39 m²,"CZK 2,500","CZK 16,500",Personal,Brick building,Partially furnished,4,No,No,No,No,No,No,No,28. 03. 2022,,,,,,,G,83,107,13,101,33,122,299,347,363,463,,,,,,
525515,"CZK 15,000",50.0807078,14.6139518,"Českobrodská, Prague - Běchovice",1 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 4,000","CZK 19,000",Personal,Brick building,Partially furnished,1,Yes,No,No,No,No,No,No,01. 04. 2022,,,District heating,Middle floor,,,C,212,369,356,268,246,491,499,123,,,,,,,,
607372,"CZK 19,000",50.074462,14.414953,"Gorazdova, Prague - Nové Město",Studio,Excellent,25 m²,"CZK 2,500","CZK 34,000",Personal,Brick building,Furnished,1,No,No,No,No,No,Yes,No,01. 04. 2022,1 to 10 years years,Premium materials and solutions,Central heating,Middle floor,,Overall,E,149,414,72,318,57,331,326,674,890,457,,,,,,
710414,"CZK 13,800",50.1347177,14.4353901,"Na Hranicích, Prague - Čimice",2 bedroom,Excellent,67 m²,"CZK 3,900","CZK 18,000",Cooperative,Prefab concrete building,Furnished,2,No,No,Yes,Yes,Yes,Yes,No,21. 03. 2022,,,District heating,Middle floor,,,G,235,677,12,658,"1,060",582,600,576,60,,,,,,,
712367,"CZK 10,000",50.12578,14.44526,"Čimická, Prague - Kobylisy",Studio,New build,20 m²,"CZK 2,600","CZK 10,000",Cooperative,Brick building,Furnished,4,No,No,No,No,No,No,No,31. 03. 2022,,,,,,,G,178,"1,331",236,525,178,211,533,369,755,241,,,,,,
460870,"CZK 10,000",50.0829911,14.3700507,"Hošťálkova, Prague - Břevnov",Small studio,Excellent,24 m²,CZK 700,"CZK 10,000",Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,No,No,01. 04. 2022,,,,,,Interior,,271,574,226,266,227,405,372,526,472,466,,,,,,
711775,"CZK 10,500",50.10535,14.54103,"Liblická, Prague - Hloubětín",1 bedroom,Excellent,34 m²,"CZK 1,200","CZK 22,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,01. 05. 2022,,,,,,,G,151,208,219,226,407,281,529,394,388,144,,,,,,
194783,"CZK 14,500",50.0556475,14.4435143,Prague - Nusle,Studio,,45 m²,"CZK 4,500","CZK 20,000",Personal,Brick building,Furnished,1,No,No,Yes,No,Yes,Yes,Yes,01. 05. 2022,1 to 10 years years,Premium materials and solutions,,,,,,148,"1,030",35,605,200,744,148,123,841,113,Yes,,,,,
707325,"CZK 44,973",50.1025661,14.4522431,"Na Maninách, Prague - Holešovice",1 bedroom with open-plan kitchen,,69 m²,"CZK 14,991",,,,Furnished,6,Yes,Yes,No,No,No,Yes,No,03. 04. 2022,,,,,,,,105,350,144,146,109,151,432,394,290,329,,,,,,
509104,"CZK 27,000",50.10466,14.45848,"Sanderova, Prague - Holešovice",1 bedroom with open-plan kitchen,,62 m²,"CZK 5,000","CZK 54,000",Personal,Other,Furnished,7,No,Yes,Yes,No,Yes,Yes,No,04. 04. 2022,,,,,,,B,271,"1,037",400,600,210,476,905,983,460,144,Yes,,,,,
242371,"CZK 16,000",50.0764113,14.4569736,"Slezská, Prague - Vinohrady",1 bedroom with open-plan kitchen,,54 m²,"CZK 1,500","CZK 20,000",Personal,Brick building,Furnished,2,No,No,Yes,No,No,Yes,No,,,,,,,,C,166,470,133,154,179,372,252,456,839,375,,,,,,
707986,"CZK 11,000",50.06897,14.35061,"Zahradníčkova, Prague - Košíře",Studio,New build,50 m²,"CZK 3,000","CZK 15,000",Personal,Brick building,Partially furnished,2,No,Yes,No,No,No,Yes,No,23. 02. 2022,,,,,,,C,283,451,281,877,796,"1,287",328,957,,,,,,,,
712360,"CZK 25,000",50.09143,14.44914,"Kollárova, Prague - Karlín",3 bedroom with open-plan kitchen,Excellent,102 m²,"CZK 4,600","CZK 25,000",Cooperative,Brick building,Partially furnished,2,No,No,No,No,No,No,No,31. 03. 2022,,,,,,,C,254,192,42,368,77,392,151,"1,251",468,152,,,,,,
712358,"CZK 16,000",50.10382,14.47972,"Sokolovská, Prague - Libeň",2 bedroom,Excellent,74 m²,CZK 600,"CZK 16,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,Yes,Yes,04. 04. 2022,,,,,,,G,85,233,81,292,131,390,428,431,93,325,,,,,,
520398,"CZK 24,000",50.0127421,14.3877674,Prague - Velká Chuchle,2 bedroom with open-plan kitchen,,96 m²,"CZK 3,000","CZK 48,000",Personal,Brick building,Furnished,,Yes,No,No,No,Yes,No,No,Ihned,,,,,,,C,197,372,300,504,598,,,,,,,,,,,
613033,"CZK 25,500",50.129146,14.494609,"Makedonská, Prague - Střížkov",1 bedroom with open-plan kitchen,New build,60 m²,"CZK 3,500","CZK 29,000",Personal,Prefab concrete building,Furnished,3,Yes,No,No,No,No,Yes,Yes,01. 05. 2022,10 to 30 years years,Premium materials and solutions,Central heating,Middle floor,,Overall,G,254,937,122,862,499,374,436,313,"1,081",232,,,,,,
603343,"CZK 46,000",50.085203,14.428022,"Nekázanka, Prague - Nové Město",Other,Excellent,114 m²,"CZK 5,000","CZK 51,000",Personal,Brick building,Furnished,5,No,No,No,No,No,Yes,No,01. 05. 2022,30 to 50 years years,Premium materials and solutions,Central heating,Top floor,,Overall,G,232,136,116,213,140,227,297,701,403,667,,,,,,
632222,"CZK 24,500",50.034063,14.535661,"Nešporova, Prague - Háje",2 bedroom with open-plan kitchen,Excellent,78 m²,"CZK 3,000","CZK 27,500",Personal,Prefab concrete building,Furnished,5,No,No,No,Yes,Yes,Yes,No,01. 05. 2022,,,,,,,G,207,483,357,525,324,700,396,266,356,199,,,,,,
642288,"CZK 21,000",50.087518,14.402865,"Malostranské náměstí, Prague - Malá Strana",1 bedroom,Excellent,31 m²,"CZK 3,000","CZK 24,000",Personal,Brick building,Furnished,1,No,No,No,No,Yes,No,No,01. 05. 2022,over 50 years years,Standard materials and solutions,Gas boiler,Middle floor,,Interior,G,99,223,61,126,22,188,156,493,579,503,,,,,,
708290,"CZK 20,000",50.07264,14.3888,"Holečkova, Prague - Smíchov",3 bedroom,Excellent,84 m²,"CZK 5,000","CZK 20,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,01. 05. 2022,,,,,,,B,205,"1,222",188,961,230,"1,108",467,760,"1,277",223,,,,,,
265622,"CZK 16,500",50.0717617,14.5477862,"Andersenova, Prague - Štěrboholy",1 bedroom with open-plan kitchen,New build,57 m²,"CZK 4,350","CZK 21,000",Personal,Brick building,Partially furnished,2,Yes,Yes,No,Yes,Yes,Yes,No,15. 04. 2022,1 to 10 years years,Premium materials and solutions,Central heating,Middle floor,,Overall,C,326,605,739,518,567,569,737,577,,,Yes,,,,,
118686,"CZK 30,000",50.0695036,14.3174676,"Na Fialce II, Prague - Řepy",2 bedroom with open-plan kitchen,Excellent,110 m²,"CZK 7,000","CZK 70,000",Personal,Brick building,Furnished,2,Yes,No,No,No,No,No,Yes,01. 06. 2022,10 to 30 years years,Premium materials and solutions,Gas boiler,Middle floor,,,D,358,"1,261",962,"1,327",648,"1,114",770,535,577,211,,,,,,
622445,"CZK 14,500",50.10837,14.517287,"Svatošových, Prague - Vysočany",1 bedroom with open-plan kitchen,New build,51 m²,"CZK 5,200","CZK 20,000",Personal,Brick building,Furnished,2,Yes,No,Yes,No,No,Yes,Yes,01. 04. 2022,1 to 10 years years,,,,,,B,443,"1,499",553,"1,394",563,"1,041","1,246","1,212",285,119,,,,,,
707297,"CZK 39,600",50.0876118,14.4080467,"Míšeňská, Prague - Malá Strana",1 bedroom with open-plan kitchen,,46 m²,"CZK 13,200",,,,Furnished,2,No,No,No,No,No,No,No,23. 04. 2022,,,,,,,,249,259,109,237,65,537,295,274,806,231,,,,,,
628389,"CZK 14,000",50.057523,14.43402,"Na Pankráci, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,000","CZK 28,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,Yes,No,01. 10. 2020,,,,,,,C,51,"1,274",123,153,101,246,825,380,113,352,,,,,,
216916,"CZK 12,500",50.0868140356,14.4540507614,"Roháčova, Prague - Žižkov",Studio,,35 m²,"CZK 3,500","CZK 20,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,,1 to 10 years years,Standard materials and solutions,District heating,Middle floor,,Overall,,131,181,97,504,112,246,348,296,348,437,,,,,,
711712,"CZK 55,000",50.07202,14.44518,"Francouzská, Prague - Vinohrady",1 bedroom with open-plan kitchen,Excellent,101 m²,CZK 133,"CZK 110,000",Personal,Brick building,Furnished,4,Yes,No,No,No,No,No,No,01. 04. 2022,1 to 10 years years,Premium materials and solutions,District heating,Top floor,,Overall,B,,,,,,,,,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,F401,
709382,"CZK 50,250",50.0710929,14.4032595,"Stroupežnického, Prague - Smíchov",3 bedroom with open-plan kitchen,,90 m²,"CZK 16,750",,,,Furnished,2,No,No,No,No,No,Yes,No,05. 05. 2022,,,,,,,,140,528,224,126,38,67,511,"1,001","1,181",559,,,,,,
708824,"CZK 63,000",50.0895437,14.4260543,"Rybná, Prague - Staré Město",3 bedroom,,86 m²,"CZK 21,000",,,,Furnished,3,No,No,No,No,No,No,No,13. 04. 2022,,,,,,,,138,70,36,61,45,257,146,128,234,214,,,,,,
708821,"CZK 60,244",50.0906989,14.4202425,"Dušní, Prague - Josefov",3 bedroom,,97 m²,"CZK 20,081",,,,Furnished,3,Yes,No,No,No,No,No,No,20. 04. 2022,,,,,,,,103,449,207,253,71,270,138,381,247,455,,,,,,
708822,"CZK 38,625",50.0895308,14.4237131,"Masná, Prague - Staré Město",1 bedroom,,38 m²,"CZK 12,875",,,,Furnished,4,No,No,No,No,No,Yes,No,01. 05. 2022,,,,,,,,69,269,125,89,15,106,70,52,156,144,,,,,,
711821,"CZK 70,875",50.0822886,14.4155231,"Karoliny Světlé, Prague - Staré Město",2 bedroom with open-plan kitchen,,90 m²,"CZK 23,625",,,,Furnished,3,No,No,No,No,No,Yes,No,26. 05. 2022,,,,,,,,462,817,70,468,89,510,489,683,411,400,,,,,,
711820,"CZK 31,875",50.0902753,14.4260311,"Rybná, Prague - Staré Město",Studio,,40 m²,"CZK 10,625",,,,Furnished,1,No,No,No,No,No,No,No,26. 05. 2022,,,,,,,,124,153,54,67,17,194,209,158,151,202,,,,,,
54274,"CZK 12,000",50.0716571,14.4612222,"Bulharská, Prague - Vršovice",Studio,Good,31 m²,"CZK 2,800","CZK 10,000",Personal,Brick building,Furnished,,No,No,Yes,No,No,Yes,No,07. 04. 2022,,Premium materials and solutions,Other,Ground floor,,Overall,,173,780,128,557,50,555,369,287,773,220,,,,,,
479226,"CZK 14,500",50.0589981,14.4027555,"Pajerova, Prague - Smíchov",1 bedroom,Excellent,50 m²,"CZK 3,000","CZK 17,500",Personal,Brick building,Unfurnished,2,No,No,No,No,No,No,No,,,,,,,,B,72,888,435,"1,247",424,445,923,"1,062",985,258,,,,,,
708777,"CZK 110,250",50.0909662,14.4174193,"Břehová, Prague - Josefov",5 bedroom,,222 m²,"CZK 36,750",,,,Furnished,6,Yes,Yes,No,No,No,Yes,No,29. 05. 2022,,,,,,,,60,336,266,417,6,503,391,634,138,634,,,,,,
664260,"CZK 12,500",50.05738,14.43507,"náměstí Hrdinů, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 4,000","CZK 16,500",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,Yes,No,01. 04. 2022,,,,,,,C,104,"1,244",214,144,0,238,782,402,12,344,,,,,,
712307,"CZK 23,500",50.0894,14.46624,"Roháčova, Prague - Žižkov",2 bedroom,Excellent,50 m²,"CZK 2,500","CZK 40,000",Personal,Brick building,Furnished,5,No,No,No,No,Yes,No,No,01. 05. 2022,1 to 10 years years,Standard materials and solutions,Other,Top floor,,Interior,G,132,762,59,169,69,209,512,535,481,229,,,,,,
