Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Heating,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Design,Total number of floors,Renovation,Age,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky
496946,"CZK 15,000",50.0218224,14.4407186,"Písnická, Prague - Kamýk",2 bedroom,Excellent,66 m²,"CZK 4,500",Personal,Prefab concrete building,Unfurnished,4,No,No,Yes,Yes,No,Yes,No,,District heating,,128,674,164,648,722,549,409,412,800,282,"CZK 19,500",Standard materials and solutions,Middle floor,Interior,,,,,,,
680515,"CZK 19,900",50.11066,14.4517,"Varhulíkové, Prague - Holešovice",1 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 3,800",Personal,Brick building,Furnished,5,Yes,Yes,No,No,Yes,Yes,Yes,01. 03. 2022,,C,106,957,476,769,459,555,413,"1,232",686,354,"CZK 30,000",,,,,,,,,,
443096,"CZK 8,500",50.1376521,14.5137418,"Křivoklátská, Prague - Letňany",Small studio,,22 m²,CZK 860,Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,01. 03. 2022,Other,,256,222,500,643,147,140,302,862,564,177,"CZK 8,500",Standard materials and solutions,,Interior,,,,,,,
704415,"CZK 20,000",50.09168,14.42675,"Hradební, Prague - Staré Město",1 bedroom with open-plan kitchen,Excellent,57 m²,"CZK 3,500",Personal,Brick building,Furnished,4,No,No,Yes,No,No,Yes,No,31. 01. 2022,,E,118,167,114,138,105,124,223,421,168,290,"CZK 20,000",,,,,,,,,,
704412,"CZK 11,000",50.10796,14.55498,"Za černým mostem, Prague - Hloubětín",Studio,New build,27 m²,"CZK 1,429",Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,Yes,No,01. 02. 2022,,C,249,615,346,258,569,492,"1,051","1,252",652,,"CZK 11,000",,,,,,,,,,
524206,"CZK 10,500",50.0656487,14.4320295,Prague - Nusle,1 bedroom,,30 m²,"CZK 2,200",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,únor 2019,,,178,588,84,722,60,230,355,409,184,280,"CZK 20,000",,,,,,,,,,
697330,"CZK 19,500",50.06562,14.42854,"Oldřichova, Prague - Nusle",2 bedroom,Excellent,77 m²,"CZK 3,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 02. 2022,,G,198,825,104,502,171,250,534,646,366,263,"CZK 20,000",,,,,,,,,,
703783,"CZK 19,000",50.0298,14.48466,"Hrabákova, Prague - Chodov",2 bedroom with open-plan kitchen,Excellent,72 m²,"CZK 4,500",Cooperative,Prefab concrete building,Partially furnished,5,No,No,Yes,Yes,No,Yes,No,20. 02. 2022,,B,285,465,21,628,245,358,293,666,446,125,"CZK 30,000",,,,,,,,,,
704409,"CZK 12,000",50.07602,14.49487,"Dětská, Prague - Strašnice",2 bedroom,Excellent,53 m²,"CZK 5,301",Personal,Brick building,Partially furnished,5,No,No,No,No,No,No,No,01. 02. 2022,,G,104,250,120,508,278,505,488,209,806,100,"CZK 17,000",,,,,,,,,,
704408,"CZK 23,000",50.1069682,14.474635,"náměstí Dr. Václava Holého, Prague - Libeň",3 bedroom with open-plan kitchen,Excellent,77 m²,"CZK 3,500",Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,Yes,No,10. 03. 2022,Gas boiler,D,256,639,116,296,127,313,235,462,386,195,"CZK 30,000",Standard materials and solutions,Middle floor,Overall,1 to 10 years years,,,,,,
83270,"CZK 12,500",49.9744629,14.3928282,"E. Přemyslovny, Prague - Zbraslav",2 bedroom,,62 m²,"CZK 2,500",Cooperative,Brick building,Partially furnished,2,No,No,No,No,No,Yes,No,01. 02. 2022,,,53,5,50,118,384,68,"1,321",27,842,,"CZK 12,500",,,,,,,,,,
661390,"CZK 13,000",50.06731,14.43447,"Sarajevská, Prague - Vinohrady",1 bedroom,Excellent,48 m²,"CZK 1,300",Personal,Brick building,Unfurnished,2,No,No,Yes,No,No,No,No,01. 03. 2022,Other,G,219,720,216,736,229,844,723,666,536,623,"CZK 13,000",Standard materials and solutions,Middle floor,Overall,,,,,,,
528438,"CZK 24,000",50.0799163,14.4476377,"Slavíkova, Prague - Žižkov",1 bedroom with open-plan kitchen,New build,49 m²,"CZK 2,000",Personal,Brick building,Partially furnished,6,No,Yes,No,No,No,Yes,No,září,Central heating,,472,536,115,535,55,394,404,513,675,431,"CZK 24,000",,Attic,,1 to 10 years years,,,,,,
704406,"CZK 18,000",50.07743,14.30115,"Karlovarská, Prague - Ruzyně",1 bedroom with open-plan kitchen,Excellent,56 m²,"CZK 4,000",Personal,Brick building,Partially furnished,2,No,No,Yes,No,Yes,Yes,Yes,01. 04. 2022,,C,107,841,801,951,"1,252",,,,,,"CZK 25,000",,,,,,,,,,
704402,"CZK 14,900",50.0967609,14.359944,"K Lánu, Prague - Vokovice",2 bedroom,Good,57 m²,"CZK 4,500",Personal,Brick building,Furnished,2,Yes,No,No,No,No,No,No,31. 01. 2022,,G,166,132,76,155,93,100,335,377,"1,265",219,"CZK 20,000",,,,,,,,,,
703767,"CZK 14,000",50.03565,14.33923,"Janského, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,750",Personal,Prefab concrete building,Furnished,3,No,No,Yes,No,No,Yes,No,01. 02. 2022,District heating,G,265,291,238,"1,144",374,251,69,167,383,170,"CZK 28,000",,,Overall,,,,,,,
704392,"CZK 17,000",50.08181,14.45783,"Sudoměřská, Prague - Žižkov",3 bedroom,Excellent,70 m²,"CZK 3,550",Personal,Brick building,Partially furnished,6,No,No,No,No,No,Yes,No,15. 02. 2022,,G,137,469,115,130,99,678,246,71,400,354,"CZK 17,000",,,,,,,,,,
