Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Heating,Condition,Ownership,Age,Balcony,Parking,New-build,Terrace,Reconstruction,EPC,Designe,Cellar,Garage,Domácí mazlíčci vítáni,Enclosed balcony,Administrative fee
"CZK 25,000","CZK 3,200",727402,2 bedroom,10/1/2022,70 m²,Partly,4,,294.31,695.6,57.95,472.25,12.23,470.59,243.7,242.01,491.49,211.15,"Ruská, Prague - Vršovice",50.07222495,14.45512555,"CZK 56,500",Brick,,Very good,Personal,,1.0,,,,Complete,E,,,,,,
"CZK 21,019","CZK 7,006",729938,Studio,10/1/2022,32 m²,Fully furnished,1,,447.58,805.32,396.64,450.11,197.32,945.56,256.47,627.41,458.07,336.59,"Nad Kolčavkou A, Prague - Libeň",50.1080609,14.4828384,,,,,,,,,,,,,,,,,,
"CZK 19,485",CZK 949,731337,2+kk,8/15/2022,40 m²,,1,,133.2,734.92,342.02,599.67,131.95,302.7,365.01,319.07,608.33,405.73,"Nad Kajetánkou, Prague - Břevnov",50.0861501,14.3723843,"CZK 20,500",Other,,Good,Personal,,,,,,,,,,,,,"CZK 2,923"
"CZK 16,876","CZK 3,178",731334,2+kk,8/15/2022,49 m²,,1,,130.79,1185.1,562.88,1144.95,835.53,1111.94,1115.21,1146.75,1036.86,377.8,"Granitova, Prague - Hloubětín",50.1082751,14.5273385,"CZK 20,100",Other,,Good,Personal,,,,,,,,,,,,,"CZK 2,531"
"CZK 14,700","CZK 2,000",612664,Studio,9/1/2022,28 m²,Fully furnished,1,,105.68,492.14,119.72,467.93,54.21,579.11,563.62,317.76,193.32,249.72,"K Louži, Prague - Vršovice",50.066145,14.459904,"CZK 20,000",Brick,,New-build,Personal,,,,,,Interior,,,1.0,,,,
"CZK 14,000","CZK 3,600",505470,2+kk,10/1/2022,43 m²,Partly,7,1.0,97.07,518.62,175.18,614.86,171.34,492.91,345.02,334.45,1585.25,88.37,"Famfulíkova, Prague - Kobylisy",50.1318409,14.4711883,"CZK 14,000",Prefab concrete,Distance,Very good,Personal,,,,,,Bathroom unit,D,,,,,,
"CZK 41,250","CZK 13,750",719999,2+kk,10/16/2022,55 m²,Fully furnished,1,1.0,76.78,951.56,41.94,296.91,109.07,229.41,371.34,325.8,517.82,388.28,"Rečkova, Prague - Žižkov",50.0904334,14.4705869,,,,,,,,,,,,,,,,,,
"CZK 33,000","CZK 11,000",719175,2 bedroom,8/30/2022,50 m²,Fully furnished,-1,1.0,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,
"CZK 19,800","CZK 2,000",606361,2 bedroom,9/1/2022,67 m²,Partly,1,,131.48,515.69,253.55,394.7,118.91,600.85,270.67,1270.4,155.34,163.32,"Jana Zajíce, Prague - Bubeneč",50.100818,14.417075,"CZK 24,000",Brick,Electric boiler,Very good,Personal,,,,,,Complete,B,Standard,,,,,
"CZK 25,808","CZK 8,602",725069,2 bedroom,9/23/2022,54 m²,Fully furnished,5,,221.57,827.75,176.34,604.4,98.94,602.74,417.35,332.18,571.22,245.6,"Bulharská, Prague - Vršovice",50.0720218,14.4618189,,,,,,,,,,,,,,,,,,
"CZK 25,920","CZK 8,640",730786,2+kk,10/16/2022,50 m²,Fully furnished,2,1.0,256.88,230.57,115.16,212.72,190.01,251.36,415.49,530.5,578.5,441.78,"Čajkovského, Prague - Žižkov",50.0830128,14.4521943,,,,,,,,,,,,,,,,,,
"CZK 12,500","CZK 3,000",494175,Studio,10/1/2022,37 m²,Partly,2,,47.67,1568.73,316.33,6476.7,1240.54,1317.99,1068.01,1008.14,1397.71,1080.16,"Rosická, Prague - Vinoř",50.1531832,14.5860847,"CZK 25,000",Brick,Gas boiler,,Personal,Up to 10 years,1.0,,,,,C,,,,,,
"CZK 40,000",CZK 0,24335,3+kk,10/1/2022,95 m²,Fully furnished,4,1.0,177.64,664.92,172.37,77.54,38.15,125.87,36.04,110.57,370.0,231.91,"Ječná , Prague - Nové Město",50.0755456,14.426963,"CZK 40,000",Brick,Gas boiler,Very good,Personal,Over 50 years,,,,,Complete,C,Luxurious,,,,,
"CZK 19,500","CZK 4,500",731322,2 bedroom,9/1/2022,56 m²,Fully furnished,4,1.0,188.1,194.17,38.22,206.86,69.14,61.65,394.66,543.39,153.34,384.84,Prague - Holešovice,50.10488,14.44655,"CZK 39,000",Brick,,Very good,,,1.0,,,,,G,,1.0,,,,
"CZK 37,125","CZK 12,375",731320,3+kk,9/15/2022,78 m²,Fully furnished,5,1.0,122.69,292.83,150.02,222.27,31.53,246.25,406.08,512.95,283.22,254.06,"Křižíkova a, Prague - Karlín",50.0928722,14.4500782,,,,,,,1.0,,,1.0,,,,,1.0,,,
"CZK 37,500","CZK 12,500",717602,2+kk,9/1/2022,56 m²,Fully furnished,5,1.0,242.69,541.12,99.79,271.87,177.08,314.62,456.71,820.48,635.04,594.38,"Mečislavova, Prague - Nusle",50.0633339,14.4440155,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,500",461130,3+kk,9/12/2022,62 m²,Fully furnished,1,1.0,245.07,1603.95,923.29,2129.19,697.88,1650.4,1292.07,1787.3,1232.57,710.16,"Farkašova, Prague - Kyje",50.1158365,14.5628399,"CZK 40,000",Brick,,,Personal,Up to 10 years,,1.0,,1.0,,C,,,,,,
"CZK 27,000","CZK 6,000",462223,3+kk,9/1/2022,106 m²,Fully furnished,8,1.0,212.08,812.91,162.18,1052.96,441.38,396.18,445.25,146.72,1065.71,247.83,"Otradovická, Prague - Kamýk",50.0198176,14.4448089,"CZK 33,000",Brick,Central,New-build,Personal,Up to 10 years,,,1.0,1.0,,B,Luxurious,,1.0,,,
"CZK 14,000","CZK 4,300",731314,Studio,9/8/2022,31 m²,Unfurnished,,,91.54,820.46,1038.67,2473.66,459.96,709.18,1822.92,652.03,467.42,170.28,Prague - Ďáblice,50.14495,14.47491,"CZK 42,000",Brick,,New-build,Personal,,,,1.0,1.0,,G,,1.0,,,,
"CZK 14,900","CZK 2,750",731312,Studio,9/1/2022,30 m²,Fully furnished,1,1.0,176.41,649.83,330.27,562.13,263.45,522.46,374.06,579.0,711.15,324.72,Prague - Michle,50.05069,14.45507,"CZK 20,000",Brick,,New-build,,,,,,,Complete,G,,,,,,
"CZK 25,000","CZK 4,900",197587,2 bedroom,9/1/2022,61 m²,Unfurnished,3,1.0,280.18,564.46,136.33,351.39,55.11,370.66,313.06,353.83,691.04,109.51,"Baranova, Prague - Žižkov",50.0797815,14.4578475,"CZK 25,000",Brick,,,Personal,,,,,,,,,,,,,
"CZK 15,750","CZK 5,250",730902,1 bedroom,9/25/2022,30 m²,Fully furnished,3,,217.38,2062.48,1281.33,4705.18,629.6,1074.91,597.5,3134.16,2915.46,646.77,"Švihovská, Prague - Písnice",49.9954018,14.4704771,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 3,300",731302,2+kk,8/29/2022,54 m²,Fully furnished,3,,31.51,318.45,10.06,91.13,129.35,27.18,280.16,239.27,458.26,223.91,Prague - Holešovice,50.10271,14.45017,"CZK 18,000",Brick,,New-build,,,,1.0,,,,G,,,,,,
"CZK 14,500","CZK 2,500",612251,Studio,9/1/2022,25 m²,,1,,211.15,237.15,355.34,868.62,194.77,283.9,145.14,177.97,611.03,466.53,"Omská, Prague - Vršovice",50.072914,14.478114,"CZK 25,000",Brick,,New-build,Personal,,,,,,,B,,,,,,
"CZK 10,000","CZK 3,000",723187,Studio,8/26/2022,25 m²,Fully furnished,1,,152.18,1085.06,483.57,843.93,492.29,725.87,258.31,691.13,1372.04,206.56,Prague - Modřany,50.00821,14.4063,"CZK 13,000",Brick,,Very good,Personal,,,,,,Complete,G,Standard,,,,,
"CZK 34,493","CZK 11,497",726162,2+kk,9/16/2022,62 m²,Fully furnished,7,1.0,99.26,361.63,490.78,556.87,427.65,345.52,452.0,519.02,404.9,293.38,"Olšanská h, Prague - Žižkov",50.0830187,14.4654473,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 9,000",728060,1 bedroom,9/24/2022,50 m²,Fully furnished,2,,187.82,338.29,111.0,241.4,39.4,347.76,25.85,486.49,569.58,575.91,"Karmelitská, Prague - Malá Strana",50.08657,14.4033198,,,,,,,,,,,,,,,,,,
"CZK 31,875","CZK 10,625",725887,2 bedroom,9/13/2022,65 m²,Fully furnished,2,,181.41,298.0,1.34,322.55,4.35,512.55,359.47,791.01,446.67,323.95,"Karlova, Prague - Staré Město",50.0859967,14.4175762,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 5,000",539856,2+kk,9/15/2021,55 m²,Fully furnished,1,1.0,223.43,981.59,819.74,1191.68,381.56,450.67,479.9,1171.22,401.22,333.31,"Radouňova, Prague - Řeporyje",50.0379471,14.3129703,"CZK 25,000",Brick,Electric boiler,,Personal,,,,1.0,,Complete,,,1.0,1.0,,1.0,
"CZK 34,500","CZK 11,500",724514,2 bedroom,9/3/2022,76 m²,Fully furnished,5,1.0,173.24,237.07,170.98,194.52,84.53,150.25,482.36,158.74,537.92,88.5,"Slezská, Prague - Vinohrady",50.076837,14.4602531,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 4,500",731225,2+kk,8/25/2022,63 m²,Fully furnished,2,1.0,153.7,333.61,320.29,4087.24,225.91,3065.42,236.07,387.04,474.19,187.51,Prague - Běchovice,50.08199,14.6153,"CZK 34,000",Brick,,New-build,,,1.0,,1.0,,,B,,,,,,
"CZK 14,700",CZK 0,319784,2+kk,9/1/2022,52 m²,Fully furnished,3,1.0,183.18,395.09,68.94,148.73,17.96,292.33,263.93,505.32,342.96,196.0,"Valerije Pavloviče Čkalova, Prague - Bubeneč",50.0993313,14.3998311,"CZK 20,000",Brick,Electric boiler,,Personal,,,,,,,,,,,,,
"CZK 15,990","CZK 1,844",731293,2+kk,8/28/2022,50 m²,Fully furnished,4,1.0,328.11,541.24,230.81,511.57,319.84,502.15,255.36,302.28,241.45,168.56,"Láskova, Prague - Chodov",50.02436944444,14.49418916666,"CZK 17,834",Prefab concrete,,Very good,Personal,,1.0,,,,,C,,1.0,,,,"CZK 17,834"
"CZK 14,900","CZK 2,500",731232,Studio,8/31/2022,36 m²,Fully furnished,2,,364.05,757.9,653.66,777.57,800.85,858.14,498.49,941.65,1026.09,639.18,Prague - Košíře,50.06445,14.37514,"CZK 20,000",Brick,,Very good,,,,,,1.0,,G,,1.0,,,,
"CZK 37,500","CZK 3,000",710123,5+kk,9/1/2022,130 m²,Unfurnished,3,1.0,363.36,234.94,118.19,197.82,177.62,456.08,270.14,407.61,938.65,192.26,"Velehradská, Prague - Vinohrady",50.07888,14.45376,CZK 0,Brick,,Very good,,,,,,,,F,,,,,,
"CZK 25,500","CZK 8,500",727015,1 bedroom,9/21/2022,35 m²,Fully furnished,3,1.0,97.26,259.91,105.72,291.36,79.07,194.41,340.41,525.24,106.28,298.87,"Koněvova, Prague - Žižkov",50.088447,14.458108,,,,,,,,,,,,,,,1.0,,,
"CZK 36,450","CZK 12,150",726075,3+kk,10/10/2022,82 m²,Fully furnished,6,1.0,101.2,551.63,76.94,167.66,45.43,94.55,322.6,504.78,539.56,607.69,"Rumunská, Prague - Vinohrady",50.0739629,14.4309041,,,,,,,,,,,,,,,,,,
"CZK 20,625","CZK 6,875",728424,2 bedroom,10/2/2022,45 m²,Fully furnished,10,1.0,256.77,316.9,138.95,255.27,129.78,146.97,532.26,445.84,886.9,24.33,"Jablonecká, Prague - Střížkov",50.1245336,14.4947443,,,,,,,,,,,,,,,,,,
"CZK 41,438","CZK 13,812",728262,Studio,9/11/2022,26 m²,Fully furnished,2,,229.1,530.05,122.61,223.26,36.43,222.12,280.75,471.08,466.92,408.11,"Příčná, Prague - Nové Město",50.077834,14.422878,,,,,,,,,,,,,,,,,,
"CZK 63,750","CZK 21,250",729471,3+1,10/10/2022,120 m²,Fully furnished,3,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,,
"CZK 32,918","CZK 10,972",731292,Studio,10/20/2022,35 m²,Fully furnished,2,,247.87,258.88,108.69,237.41,65.07,538.8,263.81,273.73,806.33,230.99,"Míšeňská, Prague - Malá Strana",50.0876118,14.4080467,,,,,,,,,,,,,,,,,,
"CZK 22,500","CZK 7,500",728694,2 bedroom,10/4/2022,53 m²,Fully furnished,9,1.0,125.93,351.52,458.39,239.89,349.44,469.18,335.68,124.41,1424.09,330.78,"Arabská, Prague - Vokovice",50.0992269,14.3632307,,,,,,,,,,,,,,,,,,
"CZK 38,040","CZK 12,680",724143,2 bedroom,8/30/2022,70 m²,Fully furnished,5,,92.39,704.33,6.31,418.26,11.89,396.59,447.42,561.87,517.82,191.93,"Karoliny Světlé, Prague - Staré Město",50.0841726,14.4139535,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",720700,2+kk,9/12/2022,60 m²,Fully furnished,2,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,
"CZK 48,000","CZK 16,000",717684,3+1,9/18/2022,72 m²,Fully furnished,5,1.0,273.55,299.9,80.57,586.7,68.95,312.33,103.27,252.88,792.89,567.68,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,,,,,,,,,,,,,,,,,
"CZK 33,000","CZK 11,000",728257,3+kk,10/1/2022,80 m²,Fully furnished,2,,156.94,402.05,153.34,284.97,151.52,248.16,393.35,447.14,193.37,153.39,"Anežská, Prague - Staré Město",50.0920126,14.4239059,,,,,,,,,,,,,,,,,,
"CZK 51,656","CZK 17,219",728895,2 bedroom,10/6/2022,60 m²,Fully furnished,4,1.0,110.1,392.87,177.02,129.22,79.72,168.29,299.92,497.22,273.67,349.66,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,,,,,,,,,,,,,,
"CZK 63,413","CZK 21,137",730189,3+kk,10/16/2022,62 m²,Fully furnished,3,1.0,2.22,191.43,20.53,48.07,1.19,48.35,128.16,305.9,208.92,259.31,"Dlouhá, Prague - Staré Město",50.0907943,14.427063,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",730188,1 bedroom,10/16/2022,45 m²,Fully furnished,3,1.0,153.03,376.72,146.99,646.6,45.07,502.75,147.12,62.23,673.09,485.89,"Jana Masaryka, Prague - Vinohrady",50.0723321,14.4399493,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 9,000",729347,Studio,10/10/2022,42 m²,Fully furnished,6,1.0,281.75,307.61,213.79,334.55,123.9,263.48,107.78,215.2,467.08,403.1,"Krásova, Prague - Žižkov",50.0830503,14.4473656,,,,,,,1.0,,,1.0,,,,,,,,
"CZK 24,608","CZK 8,202",730328,2+kk,10/17/2022,67 m²,Fully furnished,2,1.0,190.62,1447.15,484.7,1260.45,182.11,737.34,559.67,596.72,660.13,404.95,"V Zahradách, Prague - Libeň",50.1148427,14.4750191,,,,,,,1.0,,,1.0,,,,,1.0,,,
"CZK 56,250","CZK 18,750",730578,2+kk,10/19/2022,47 m²,Fully furnished,3,1.0,145.3,409.63,254.35,292.12,59.28,309.45,136.5,419.43,177.03,511.6,"Elišky Krásnohorské, Prague - Josefov",50.0906304,14.4198248,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 2,500",731209,3+1,9/1/2022,119 m²,Unfurnished,1,1.0,272.1,1369.08,701.74,979.35,495.04,998.56,210.47,580.68,831.59,106.18,Prague - Bubeneč,50.10441,14.40947,"CZK 75,000",Brick,,Good,,,,,,,,G,,,,,,
"CZK 26,000","CZK 7,900",548506,2+kk,8/21/2022,54 m²,Fully furnished,4,1.0,196.54,708.6,185.89,175.43,33.46,257.8,76.89,276.1,130.26,252.34,"Vyšehradská, Prague - Nové Město",50.0694781,14.418098,"CZK 50,000",Brick,,,Personal,Up to 10 years,,,,,Complete,B,Luxurious,1.0,,,,
"CZK 26,250","CZK 8,750",731290,2+kk,10/25/2022,46 m²,Fully furnished,3,,91.53,437.84,79.6,137.33,1.11,181.86,414.36,266.21,251.67,662.32,"Lidická, Prague - Smíchov",50.0723918,14.4059555,,,,,,,,,,,,,,,,,,
"CZK 36,338","CZK 12,112",728972,5+kk,9/20/2022,180 m²,Fully furnished,1,,710.63,2420.81,2011.34,2281.37,826.06,2150.45,2487.2,2253.5,2584.79,783.97,"Ibišková, Prague - Křeslice",50.0183023,14.5625656,,,,,,,1.0,,,1.0,,,,,1.0,,,
"CZK 56,475","CZK 18,825",723104,3+kk,8/30/2022,67 m²,Fully furnished,2,1.0,110.1,273.82,156.66,129.22,76.56,142.67,300.13,496.4,282.11,367.31,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,,,1.0,,,1.0,,,,,,,,
"CZK 13,000","CZK 2,100",652345,1 bedroom,9/1/2022,40 m²,Partly,,,14.76,532.06,110.16,126.78,31.89,417.58,621.51,459.08,764.16,368.41,"Palackého Náměstí, Prague - Nové Město",50.073482,14.414506,"CZK 13,000",Brick,,Good,Personal,,,,,,,G,,,,,,
"CZK 55,000","CZK 12,000",600532,4+1,8/26/2022,165 m²,Partly,6,1.0,281.19,218.92,349.21,355.1,68.81,419.51,195.94,539.69,525.15,308.24,"Janáčkovo Nábřeží, Prague - Smíchov",50.0756819,14.4085242,"CZK 60,000",Brick,Central,Very good,Personal,Up to 10 years,,,,1.0,Interior,G,Luxurious,,,,,
"CZK 41,625","CZK 13,875",720848,4+kk,10/2/2022,112 m²,Fully furnished,4,1.0,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,,,,,,,1.0,,,1.0,,,,,,,,
"CZK 33,750","CZK 11,250",726019,2+kk,10/1/2022,75 m²,Fully furnished,6,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,1.0,,,1.0,,,,,,,,
"CZK 30,000","CZK 9,000",606435,3+1,9/12/2022,136 m²,Unfurnished,2,1.0,281.19,218.92,349.21,355.1,68.81,419.51,195.94,539.69,525.15,308.24,"Janáčkovo Nábřeží, Prague - Smíchov",50.075681,14.408523,"CZK 30,000",Brick,,Good,Personal,,,,,,,G,,,,,,
"CZK 13,200","CZK 1,500",731276,2+kk,8/25/2022,41 m²,Partly,5,,243.82,463.1,244.48,243.55,167.49,206.53,527.42,832.01,739.3,589.52,Prague - Nusle,50.06536,14.44259,"CZK 13,200",Brick,,Very good,,,,1.0,,,,D,,,,,,
"CZK 19,000","CZK 4,000",731275,3+1,8/25/2022,75 m²,Partly,1,,269.58,231.11,558.3,671.76,207.3,169.01,370.88,868.32,630.47,161.92,Prague - Letňany,50.13814,14.51441,"CZK 38,000",Prefab concrete,,Very good,,,1.0,1.0,,,,G,,1.0,,,,
"CZK 26,000","CZK 5,000",661356,3+1,11/1/2022,85 m²,Partly,2,,151.93,919.59,152.74,271.19,117.07,205.89,341.82,555.9,1112.85,364.44,"Pod Kynclovkou, Prague - Kobylisy",50.12279,14.45007,"CZK 50,000",Brick,Distance,Very good,Cooperative,,1.0,,,,,A,,1.0,,,,
"CZK 12,000","CZK 3,500",730991,Small studio,9/1/2022,35 m²,Partly,1,,424.56,741.09,276.77,976.48,346.76,484.87,210.0,432.28,1098.75,537.62,Prague - Košíře,50.07054,14.3831,"CZK 15,000",Brick,,Good,,,,,,,,G,,,,,,
"CZK 22,000","CZK 4,000",731269,2+kk,9/15/2022,60 m²,Unfurnished,6,1.0,147.68,1130.21,207.48,950.91,592.24,852.41,487.07,64.17,842.73,74.21,Prague - Strašnice,50.07235,14.5026,"CZK 44,000",Prefab concrete,,New-build,,,,,1.0,,,G,,1.0,1.0,,1.0,
"CZK 14,300","CZK 4,500",570939,2+kk,10/1/2022,51 m²,Partly,4,1.0,255.25,900.9,507.92,712.89,632.52,415.84,496.78,572.0,1241.58,406.47,"U Továren, Prague - Horní Měcholupy",50.040586,14.568464,"CZK 25,000",Brick,Distance,New-build,Personal,,1.0,,1.0,,,B,,,1.0,,,
"CZK 13,900","CZK 2,500",731265,Studio,8/27/2022,32 m²,Partly,4,1.0,80.58,970.2,288.35,326.95,469.13,383.3,436.86,1714.08,660.71,182.37,Prague - Třebonice,50.05601,14.29032,"CZK 16,400",Brick,,New-build,,,1.0,,,,,B,,,1.0,,,
"CZK 19,800","CZK 6,600",726085,3+1,10/4/2022,90 m²,Fully furnished,5,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,
"CZK 32,925","CZK 10,975",728156,2+kk,10/1/2022,50 m²,Fully furnished,3,1.0,75.01,890.63,40.68,622.44,47.2,145.83,371.43,242.4,512.42,352.71,"Kubelíkova, Prague - Žižkov",50.0815843,14.4461973,,,,,,,,,,,,,,,,,,
"CZK 11,500","CZK 2,700",731264,Studio,10/1/2022,30 m²,Partly,2,,91.83,807.35,52.77,443.32,82.54,376.43,473.94,213.65,219.21,253.28,Prague - Žižkov,50.09156,14.48126,"CZK 23,000",Brick,,Very good,,,,,,,,G,,,,,,
"CZK 5,400","CZK 1,600",393988,3+1,7/16/2022,16 m²,Fully furnished,2,,133.69,682.09,242.76,711.76,158.18,686.43,657.06,716.87,219.08,404.75,"Na Rovnosti, Prague - Žižkov",50.0877481,14.4893743,CZK 0,Prefab concrete,,,Cooperative,,1.0,,,,,,,,,,,
"CZK 18,000",CZK 0,730625,2 bedroom,8/20/2022,70 m²,Partly,1,,116.18,1129.79,507.6,1052.84,342.54,826.51,467.99,680.11,864.92,474.26,Prague - Řepy,50.07081,14.30226,"CZK 16,000",Brick,,Good,,Over 50 years,,1.0,,,Interior,G,,,,1.0,,
"CZK 28,000","CZK 5,500",731257,2+kk,9/12/2022,65 m²,Fully furnished,3,1.0,317.17,621.5,297.62,296.86,195.97,433.63,686.66,1053.07,567.17,521.88,Prague - Karlín,50.09598,14.45293,"CZK 56,000",Low-energy,,New-build,,,,1.0,1.0,1.0,,B,,,1.0,,1.0,
"CZK 15,000","CZK 3,000",726701,Small studio,7/20/2022,30 m²,Partly,2,,252.15,174.67,201.91,195.35,157.71,187.08,81.76,421.52,87.59,299.91,Prague - Strašnice,50.07473,14.49243,"CZK 15,000",Brick,,Very good,,,,,,,,G,,1.0,,,,
"CZK 19,500","CZK 1,000",609296,2 bedroom,8/28/2022,40 m²,Fully furnished,2,,362.81,259.2,126.77,286.13,118.18,279.99,159.44,215.84,295.88,466.72,"Vlkova, Prague - Žižkov",50.083992,14.448523,"CZK 25,000",Brick,Central,Very good,Personal,Up to 10 years,,,,,Complete,A,Standard,,,,,
"CZK 11,500","CZK 3,500",498710,Studio,9/1/2022,33 m²,Fully furnished,5,1.0,364.88,651.13,290.15,777.35,153.31,417.5,421.99,617.13,102.69,182.72,"Na Folimance, Prague - Vinohrady",50.066905652166,14.431690307952,"CZK 15,000",Brick,,,Personal,Up to 10 years,,,,,Complete,,Standard,1.0,,,,
"CZK 41,100","CZK 13,700",730539,2+kk,9/19/2022,68 m²,Fully furnished,2,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 7,500",730280,2 bedroom,8/17/2022,51 m²,Partly,5,1.0,174.57,1207.36,174.27,505.0,209.71,126.79,445.15,418.56,527.51,385.81,Prague - Dejvice,50.1077,14.39349,"CZK 34,000",Brick,,Very good,,,,,,,,G,,1.0,,,,
"CZK 30,000","CZK 10,000",718922,Studio,9/11/2022,45 m²,Fully furnished,5,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,
"CZK 24,990","CZK 3,388",731246,3+kk,8/29/2022,74 m²,Fully furnished,2,1.0,146.07,1733.58,871.94,1739.22,710.76,1359.51,1622.85,1351.31,1109.11,193.83,"Škvorecká, Prague - Stodůlky",50.06,14.33,"CZK 28,378",Brick,,New-build,Personal,,1.0,,1.0,,,B,,1.0,,,,"CZK 28,378"
"CZK 13,000","CZK 5,500",486379,2+kk,9/12/2022,36 m²,Partly,2,1.0,218.79,264.72,214.37,2051.37,180.86,343.29,800.01,189.83,529.94,287.22,"Horolezecká, Prague - Hostivař",50.0517645,14.5438766,"CZK 20,000",Prefab concrete,,Very good,Personal,,1.0,1.0,,,Complete,,,1.0,,,,
"CZK 12,500","CZK 4,000",731242,Studio,8/25/2022,37 m²,Partly,2,1.0,78.79,654.79,50.07,127.47,20.63,177.54,105.79,469.39,662.26,515.39,Prague - Kobylisy,50.12342,14.4558,"CZK 20,000",Brick,,New-build,,,,1.0,1.0,,,G,,,,,,
"CZK 32,175","CZK 10,725",731240,1 bedroom,9/4/2022,30 m²,Fully furnished,2,1.0,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,,,
"CZK 15,500","CZK 3,500",730817,Studio,8/22/2022,35 m²,Partly,2,1.0,188.68,499.12,653.79,1751.9,463.43,820.62,728.32,1269.8,1091.09,261.86,Prague - Hrdlořezy,50.09525,14.50889,"CZK 20,000",Brick,,New-build,,Up to 10 years,,,1.0,1.0,,B,Standard,1.0,1.0,,,
"CZK 23,990","CZK 4,378",731237,2+kk,8/29/2022,49 m²,Fully furnished,4,1.0,267.67,187.24,39.3,41.26,78.77,106.88,417.33,590.18,371.06,221.83,"Kyjevská, Prague - Dejvice",50.09886527777,14.39817361111,"CZK 56,736",Brick,,Very good,Personal,,1.0,,,,,G,,1.0,,,,"CZK 28,368"
"CZK 16,000","CZK 7,300",708480,2 bedroom,11/1/2022,53 m²,Unfurnished,3,1.0,102.94,180.37,269.43,254.61,232.0,280.22,515.14,307.34,1413.59,372.74,"Súdánská, Prague - Vokovice",50.09793,14.3627,"CZK 25,000",Prefab concrete,Distance,Very good,Personal,,,,,,Complete,G,,1.0,,,1.0,
"CZK 34,500","CZK 11,500",728709,2+kk,10/8/2022,45 m²,Fully furnished,6,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,,
"CZK 9,000","CZK 1,250",728872,2 bedroom,10/1/2022,70 m²,Partly,3,,191.02,1134.02,193.0,571.22,318.41,213.69,362.28,887.88,233.66,181.75,Prague - Libeň,50.11029,14.473,"CZK 9,000",Brick,,Very good,,,,1.0,,,,G,,,,,,
"CZK 22,000","CZK 5,000",682392,3+1,9/3/2022,75 m²,Unfurnished,4,1.0,185.73,568.17,158.58,350.06,210.16,318.32,415.22,779.92,428.0,386.65,"Svatoslavova, Prague - Nusle",50.0617576,14.4436839,"CZK 25,000",Brick,,Very good,Personal,Over 50 years,,,,,Complete,G,Standard,,,,,
"CZK 20,000","CZK 8,733",730067,Studio,9/12/2022,56 m²,Fully furnished,3,1.0,189.18,160.11,178.24,180.32,20.05,230.44,266.64,745.59,557.09,388.8,Prague - Holešovice,50.09921,14.42274,"CZK 20,000",Brick,,Very good,,,,,,,,G,,1.0,,,,
