Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Balcony,Lift,Terrace,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Cellar,Domácí mazlíčci vítáni,Parking,Ownership,Reconstruction,Age,Designe,Enclosed balcony,Heating,New-build,Garage,Administrative fee,Plot type
"CZK 20,625","CZK 6,875",728424,2 bedroom,10/2/2022,45 m²,Fully furnished,10,,1.0,,256.77,316.9,138.95,255.27,129.78,146.97,532.26,445.84,886.9,24.33,"Jablonecká, Prague - Střížkov",50.1245336,14.4947443,,,,,,,,,,,,,,,,,
"CZK 38,040","CZK 12,680",724143,2 bedroom,8/22/2022,70 m²,Fully furnished,5,,,,92.39,704.33,6.31,418.26,11.89,396.59,447.42,561.87,517.82,191.93,"Karoliny Světlé, Prague - Staré Město",50.0841726,14.4139535,,,,,,,,,,,,,,,,,
"CZK 60,000","CZK 20,000",717693,2+kk,8/22/2022,,Fully furnished,3,,,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,,,,,,,,,,,,,,,,
"CZK 32,250","CZK 10,750",727477,Studio,9/25/2022,27 m²,Fully furnished,4,,1.0,,275.28,321.52,72.5,617.26,60.27,467.19,25.57,60.76,793.43,562.96,"Americká, Prague - Vinohrady",50.0717643,14.4385436,,,,,,,,,,,,,,,,,
"CZK 29,925","CZK 9,975",723520,1 bedroom,8/22/2022,30 m²,Fully furnished,3,,1.0,,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 7,000",728694,2 bedroom,10/4/2022,53 m²,Fully furnished,9,,1.0,,125.93,351.52,458.39,239.89,349.44,469.18,335.68,124.41,1424.09,330.78,"Arabská, Prague - Vokovice",50.0992269,14.3632307,,,,,,,,,,,,,,,,,
"CZK 33,000","CZK 11,000",728257,3+kk,10/1/2022,80 m²,Fully furnished,2,,,,156.94,402.05,153.34,284.97,151.52,248.16,393.35,447.14,193.37,153.39,"Anežská, Prague - Staré Město",50.0920126,14.4239059,,,,,,,,,,,,,,,,,
"CZK 29,250","CZK 9,750",725020,2 bedroom,9/19/2022,65 m²,Fully furnished,3,,1.0,,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,
"CZK 27,195","CZK 9,065",730051,2+kk,10/15/2022,50 m²,Fully furnished,1,1.0,,1.0,255.31,501.77,459.42,715.23,218.51,523.94,431.76,479.05,374.11,261.13,"Na Balkáně, Prague - Žižkov",50.095259,14.4941569,,,,,,,,,,,,,,,,,
"CZK 25,500","CZK 8,500",730328,2+kk,10/17/2022,67 m²,Fully furnished,2,1.0,1.0,1.0,190.62,1447.15,484.7,1260.45,182.11,737.34,559.67,596.72,660.13,404.95,"V Zahradách, Prague - Libeň",50.1148427,14.4750191,,,,,,,,,,,,,,,1.0,,
"CZK 47,340","CZK 15,780",717682,2+kk,8/22/2022,69 m²,Fully furnished,6,1.0,1.0,1.0,104.56,349.59,143.75,145.93,108.83,150.53,431.56,393.96,289.53,329.01,"Na Maninách, Prague - Holešovice",50.1025661,14.4522431,,,,,,,,,,,,,,,,,
"CZK 38,000","CZK 4,000",730311,3+1,8/22/2022,135 m²,Unfurnished,1,,,,245.95,829.21,271.92,437.76,294.35,431.58,604.69,77.33,429.89,205.19,Prague - Vinohrady,50.08084,14.44272,"CZK 60,000",C,Very good,Brick,,,,,,,,,,,,,
"CZK 17,000","CZK 5,000",730297,Studio,9/1/2022,38 m²,Fully furnished,5,1.0,1.0,,280.58,594.53,280.71,334.69,330.61,408.9,573.31,547.03,561.08,221.57,Prague - Strašnice,50.07897,14.48762,"CZK 34,000",C,Very good,Low-energy,,,1.0,,,,,,,,,,
"CZK 26,363","CZK 8,787",729443,1 bedroom,9/7/2022,46 m²,Fully furnished,2,,,,450.08,851.94,613.97,1216.3,634.57,923.06,534.48,156.81,999.06,301.07,"U Pernikářky, Prague - Smíchov",50.0745289,14.3827184,,,,,,,,,,,,,,,,,
"CZK 29,925","CZK 9,975",717597,1 bedroom,8/28/2022,30 m²,Fully furnished,2,,1.0,,22.29,463.39,80.9,95.69,72.35,158.42,361.29,435.63,383.68,450.56,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,,
"CZK 25,920","CZK 8,640",730156,2+kk,9/1/2022,50 m²,Fully furnished,2,,1.0,,256.88,230.57,115.16,212.72,190.01,251.36,415.49,530.5,578.5,441.78,"Čajkovského, Prague - Žižkov",50.0830128,14.4521943,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 7,000",601657,3+kk,9/1/2022,92 m²,Fully furnished,1,,,,385.44,258.55,28.35,299.17,17.26,478.16,328.59,513.48,872.36,214.33,"Jagellonská, Prague - Vinohrady",50.079319,14.453,"CZK 30,000",G,Very good,Brick,,,,Personal,Interior,Up to 10 years,Standard,,Gas boiler,,,,
"CZK 18,000","CZK 5,000",730300,2+kk,9/1/2022,70 m²,Partly,4,1.0,,,246.08,288.42,5.77,372.0,138.71,577.97,125.8,715.83,535.91,371.62,Prague - Malá Strana,50.07977,14.40686,"CZK 20,000",G,New-build,Brick,,,,,,,,,,,,,
"CZK 23,000","CZK 3,869",728906,2+kk,9/1/2022,52 m²,Fully furnished,2,,1.0,,100.67,552.16,76.41,168.19,45.96,95.08,323.13,505.31,539.03,607.16,Prague - Vinohrady,50.0739,14.43092,"CZK 40,000",B,Very good,Brick,,,,Personal,Complete,,Standard,,,,,,
"CZK 31,590","CZK 10,530",722787,1 bedroom,9/5/2022,52 m²,Fully furnished,3,,1.0,,194.81,408.3,97.23,765.36,41.67,716.59,415.49,296.07,511.26,224.74,"Rybalkova, Prague - Vinohrady",50.0719171,14.4429188,,,,,,,,,,,,,,,,,
"CZK 41,625","CZK 13,875",720848,4+kk,10/2/2022,112 m²,Fully furnished,4,1.0,1.0,1.0,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,,,,,,,,,,,,,,,,,
"CZK 19,800","CZK 6,600",729753,3+1,9/23/2022,90 m²,Fully furnished,5,,1.0,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 5,500",531774,2+kk,8/1/2022,57 m²,Fully furnished,2,,,1.0,125.6,843.19,329.07,492.47,121.62,345.28,400.13,325.73,977.92,292.95,"Trmická, Prague - Prosek",50.1180113,14.4964518,"CZK 44,000",,Good,Brick,,,,Personal,,,,,,,,,
"CZK 16,500","CZK 4,500",443036,2+kk,10/1/2022,54 m²,Unfurnished,2,1.0,1.0,,366.55,1891.02,174.93,1565.56,1164.21,652.38,915.51,1300.32,1003.83,7.27,"Pod Harfou, Prague - Vysočany",50.1033467,14.5114565,"CZK 20,000",C,,Brick,,,1.0,Personal,Interior,10 to 30 years,Standard,,,,1.0,,
"CZK 31,752","CZK 10,584",726633,2 bedroom,9/2/2022,57 m²,Fully furnished,7,1.0,1.0,1.0,7.74,76.74,105.28,213.89,45.41,117.47,178.45,327.18,381.26,239.99,"Dělnická, Prague - Holešovice",50.1031132,14.4472134,,,,,,,,,,,,,,,,,
"CZK 35,063","CZK 11,687",729576,3+kk,9/14/2022,89 m²,Fully furnished,5,1.0,1.0,1.0,122.69,292.83,150.02,222.27,31.53,246.25,406.08,512.95,283.22,254.06,"Křižíkova a, Prague - Karlín",50.0928722,14.4500782,,,,,,,,,,,,,,,1.0,,
"CZK 16,700","CZK 3,000",730005,1 bedroom,8/15/2022,43 m²,Partly,2,,,,140.31,577.69,111.66,240.73,76.22,133.51,193.16,217.01,516.54,227.06,Prague - Košíře,50.06889,14.36945,"CZK 30,000",F,Very good,Brick,,,,,,,,,,,,,
"CZK 16,000",CZK 0,520177,2+kk,9/1/2022,52 m²,Partly,1,,1.0,,192.56,288.18,172.3,531.29,189.43,530.81,222.94,399.91,332.18,102.12,"Přípotoční, Prague - Vršovice",50.0652003,14.4562707,"CZK 45,000",C,Very good,Brick,1.0,,,Personal,Interior,Up to 10 years,Standard,,Gas boiler,,,,
"CZK 18,500","CZK 4,500",564594,2+kk,10/1/2022,42 m²,Partly,2,1.0,,,194.89,963.05,372.61,353.99,331.39,786.83,758.81,273.24,1119.02,416.56,"Velvarská, Prague - Dejvice",50.099268,14.3842157,"CZK 37,000",,Very good,Brick,,,,Personal,Complete,Up to 10 years,Standard,,Electric boiler,,,,
"CZK 18,000","CZK 3,500",593418,2+kk,10/1/2022,55 m²,,2,,1.0,,294.21,673.31,134.15,695.24,347.37,573.28,168.91,377.15,1505.14,162.74,"Jelínkova, Prague - Kobylisy",50.132785,14.466411,"CZK 45,000",A,New-build,Prefab concrete,,,,Personal,,,,,,,,,
"CZK 16,400","CZK 2,500",545224,Studio,9/1/2022,38 m²,Partly,4,,1.0,,109.24,1039.06,442.08,846.12,540.6,637.35,35.01,1310.4,767.89,296.17,Prague - Holešovice,50.11065,14.449746,"CZK 20,000",B,New-build,Brick,,,,Personal,,Up to 10 years,Luxurious,,Central,1.0,,,
"CZK 20,000","CZK 3,900",718608,2+kk,10/1/2022,72 m²,Partly,1,1.0,,1.0,179.61,210.27,72.02,334.04,55.39,313.69,302.45,395.64,509.36,219.04,"Semanského, Prague - Uhříněves",50.02972,14.60008,"CZK 20,000",G,New-build,Brick,,,,Personal,,,,1.0,,1.0,,,
"CZK 45,000","CZK 5,000",729675,2 bedroom,9/1/2022,52 m²,Fully furnished,3,,,1.0,200.51,407.37,72.96,275.48,12.97,109.41,427.03,435.74,261.27,352.53,Prague - Karlín,50.09179,14.44168,"CZK 50,000",G,Very good,Brick,,,,,,,,,,,,,
"CZK 17,000","CZK 7,500",730280,2 bedroom,8/17/2022,51 m²,Partly,5,,1.0,,174.57,1207.36,174.27,505.0,209.71,126.79,445.15,418.56,527.51,385.81,Prague - Dejvice,50.1077,14.39349,"CZK 34,000",G,Very good,Brick,1.0,,,,,,,,,,,,
"CZK 14,990","CZK 2,245",730281,Studio,8/20/2022,32 m²,Unfurnished,4,,1.0,,94.95,1132.45,103.67,538.53,105.16,438.79,18.24,373.78,179.33,116.36,"Kovářská, Prague - Libeň",50.10573416666,14.49143999999,"CZK 17,235",B,New-build,Other,,,,Personal,,,,,,1.0,,"CZK 17,235",
"CZK 13,000","CZK 2,700",568519,Studio,9/1/2022,36 m²,Fully furnished,3,,,,358.29,1029.27,131.85,658.68,256.45,529.27,501.63,197.91,226.53,237.55,"Jeseniova, Prague - Žižkov",50.0905831,14.4805142,"CZK 10,000",E,Very good,Brick,1.0,,,Personal,Interior,,Standard,,Gas boiler,,,,
"CZK 34,500","CZK 11,500",730277,2+kk,9/1/2022,52 m²,Fully furnished,2,,1.0,,101.2,551.63,76.94,167.66,45.43,94.55,322.6,504.78,539.56,607.69,"Rumunská, Prague - Vinohrady",50.0739629,14.4309041,,,,,,,,,,,,,,,,,
"CZK 7,880",CZK 0,727583,4+kk,7/27/2022,75 m²,Partly,1,,,,420.52,1658.05,1076.45,1709.11,538.55,1279.92,1010.73,544.61,894.08,350.84,Prague - Modřany,50.00685,14.43654,"CZK 7,000",C,Very good,Prefab concrete,1.0,,,,,,,1.0,,,,,
"CZK 19,000","CZK 4,500",677694,2+kk,10/1/2022,60 m²,Partly,,,1.0,,356.63,408.97,83.3,339.28,65.34,601.45,235.27,476.95,936.92,258.13,"Lucemburská, Prague - Žižkov",50.07929,14.45599,CZK 19,G,Very good,Brick,,,,Personal,Complete,,,,Central,,,,
"CZK 13,800","CZK 4,800",341638,Studio,8/17/2022,34 m²,Fully furnished,6,,1.0,,136.45,973.09,67.89,711.09,418.74,835.73,213.02,2078.74,1087.17,96.34,"Míšovická, Prague - Zličín",50.0570375,14.2829647,"CZK 18,000",,Very good,Other,,,,Personal,,10 to 30 years,Standard,,,,,,
"CZK 18,500","CZK 7,500",730267,2+kk,9/2/2022,55 m²,Fully furnished,,,1.0,1.0,134.96,1056.21,507.07,1107.28,363.41,1124.77,648.61,524.6,639.62,315.42,Prague - Modřany,50.00556,14.42918,"CZK 37,000",G,New-build,Other,1.0,1.0,1.0,Personal,,Up to 10 years,Luxurious,,,1.0,1.0,,
"CZK 20,000","CZK 7,000",730261,3+kk,11/1/2022,70 m²,Partly,3,1.0,1.0,,179.41,734.25,199.06,3432.53,206.66,1356.73,829.3,261.64,1918.6,104.41,Prague - Čakovice,50.15711,14.51994,"CZK 40,000",G,Very good,Prefab concrete,,1.0,1.0,,,,,,,,,,
"CZK 16,000","CZK 2,500",730259,Studio,8/17/2022,32 m²,Fully furnished,2,,,1.0,110.17,1151.62,486.69,1390.49,516.43,1141.26,906.6,797.73,1015.03,331.85,Prague - Braník,50.0358252,14.4138519,"CZK 37,000",B,New-build,Brick,,,,,,,,,,,,,
"CZK 17,000",CZK 0,646389,2+kk,9/1/2022,45 m²,Partly,3,,1.0,,229.05,428.91,317.53,743.48,407.24,177.07,644.95,176.06,563.33,55.22,"Heranova, Prague - Stodůlky",50.04552,14.312901,"CZK 25,000",G,Very good,Prefab concrete,,,,Personal,,,,,,,,,
"CZK 10,500","CZK 4,590",730254,2+kk,8/17/2022,43 m²,Fully furnished,5,,1.0,,98.34,317.95,96.58,1360.95,209.23,173.01,497.97,369.03,4675.82,15.74,Prague - Zbraslav,49.96752,14.38501,"CZK 15,000",A,Very good,Prefab concrete,1.0,,1.0,,,,,,,,,,
"CZK 18,000","CZK 3,805",671792,2+kk,10/1/2022,50 m²,Partly,5,,1.0,,255.46,654.83,154.69,311.05,39.3,368.22,507.54,394.6,556.94,265.4,"Sudoměřská, Prague - Žižkov",50.08065,14.45862,"CZK 18,000",,Good,Brick,,1.0,,Personal,Bathroom unit,Over 50 years,Standard,,Electric boiler,,,,
"CZK 20,000","CZK 4,000",729802,2 bedroom,8/15/2022,36 m²,Fully furnished,3,,,,354.21,737.34,455.75,355.35,376.01,575.19,1043.45,328.66,1016.27,67.61,Prague - Střešovice,50.09684,14.38976,"CZK 8,000",B,Good,Brick,,,1.0,,,,,,,,,,
"CZK 16,490","CZK 1,171",730250,2+kk,8/20/2022,44 m²,Partly,4,,1.0,,291.46,380.53,115.23,69.0,67.47,276.05,173.81,624.08,397.73,27.54,"Jaselská, Prague - Bubeneč",50.09875527777,14.40048833333,"CZK 17,661",G,Good,Brick,,,,Cooperative,,,,,,,,"CZK 17,661",
"CZK 19,000","CZK 1,500",730244,2+kk,10/1/2022,56 m²,Partly,5,1.0,1.0,,224.14,656.8,214.71,257.03,52.44,140.05,289.35,427.62,159.48,537.34,Prague - Holešovice,50.10079,14.43043,"CZK 38,000",G,Very good,Brick,1.0,,1.0,,,,,,,,,,
"CZK 50,000","CZK 10,610",682234,5+kk,9/1/2022,162 m²,Partly,11,,1.0,1.0,163.07,1109.71,303.21,956.68,424.05,1002.96,901.98,592.06,631.83,462.98,"Malešická, Prague - Žižkov",50.0870673,14.4834726,"CZK 50,000",C,New-build,Other,1.0,,,Personal,,,,,,,1.0,,
"CZK 13,000","CZK 3,000",716235,Studio,10/1/2022,33 m²,Partly,8,1.0,1.0,,136.53,1155.17,16.79,951.53,631.99,52.01,805.63,686.65,1103.35,483.79,"Hornoměcholupská, Prague - Horní Měcholupy",50.04454,14.56863,"CZK 14,000",B,New-build,Brick,,,1.0,Personal,,,,,,,,,
"CZK 11,000","CZK 3,677",730242,Studio,8/17/2022,33 m²,Partly,2,,1.0,,128.26,735.25,517.29,665.13,353.72,611.59,537.6,901.33,1630.38,341.49,Prague - Bohnice,50.13183,14.41764,"CZK 15,000",G,Very good,Prefab concrete,1.0,,1.0,,,,,,,,,,
"CZK 20,000","CZK 3,750",730206,2+kk,8/17/2022,50 m²,Partly,3,,1.0,,83.09,656.57,68.92,675.09,133.2,641.46,501.68,569.42,382.05,406.68,Prague - Vinohrady,50.06829,14.4342,"CZK 20,000",G,Very good,Brick,,,,Personal,Complete,,,,,,,,
"CZK 12,000","CZK 4,000",730158,Small studio,9/1/2022,30 m²,Fully furnished,1,,,,181.77,836.05,177.05,232.05,126.91,511.38,440.05,285.41,538.27,134.66,Prague - Bubeneč,50.10302,14.40106,"CZK 15,000",G,Very good,Brick,1.0,,,,,,,,,,,,
"CZK 14,900","CZK 3,000",657536,Studio,11/1/2022,39 m²,Partly,7,1.0,1.0,1.0,54.47,1047.39,47.89,203.63,180.78,183.66,351.8,729.1,319.84,105.46,"Kurta Konráda, Prague - Libeň",50.10375,14.48892,"CZK 30,000",B,New-build,Other,1.0,,,Personal,,Up to 10 years,Luxurious,1.0,Central,,,,
"CZK 16,500","CZK 5,200",730239,2+kk,8/17/2022,73 m²,Partly,1,,,,19.96,1099.92,11.9,951.61,104.15,1277.39,136.39,179.77,484.69,218.49,Prague - Vysočany,50.10057,14.48891,"CZK 18,000",E,Very good,Brick,1.0,1.0,,,,,,,,,,,
"CZK 16,990","CZK 4,517",730240,3+kk,8/21/2022,55 m²,Fully furnished,4,1.0,1.0,,260.07,811.21,109.09,802.45,407.57,827.12,901.91,419.98,366.49,369.83,"Vladycká, Prague - Hostivař",50.05422138888,14.52650805555,"CZK 21,507",C,New-build,Brick,,,1.0,Personal,,,,,,1.0,1.0,"CZK 21,507",
"CZK 14,000","CZK 3,500",680477,2+kk,9/1/2021,46 m²,Fully furnished,4,,,,7.74,689.1,123.69,684.43,184.85,22.29,399.14,496.48,410.57,259.22,"Jaromírova, Prague - Nusle",50.06516,14.42953,"CZK 20,000",C,Very good,Brick,1.0,,,Personal,,,,,,,,,
"CZK 12,990","CZK 2,312",730236,Studio,8/21/2022,40 m²,Fully furnished,4,,,,401.67,411.64,243.31,840.09,193.77,176.83,359.85,359.85,318.49,196.9,"Na hroudě, Prague - Strašnice",50.069900512695,14.480400085449,"CZK 15,302",D,Very good,Brick,,,,Personal,,,,,,,,"CZK 15,302",
"CZK 12,990","CZK 2,312",730237,Studio,8/20/2022,40 m²,Fully furnished,4,,,,401.67,411.64,243.31,840.09,193.77,176.83,359.85,359.85,318.49,196.9,"Na hroudě, Prague - Strašnice",50.069900512695,14.480400085449,"CZK 15,302",D,Very good,Brick,,,,Personal,,,,,,,,"CZK 15,302",
"CZK 11,000","CZK 3,000",730234,Studio,9/1/2022,40 m²,Partly,1,,,,65.34,218.79,100.4,434.15,28.29,425.13,214.32,91.05,807.08,865.26,Prague - Vinohrady,50.07124,14.43563,"CZK 28,000",G,Good,Brick,,,,,,,,,,,,,
"CZK 11,200","CZK 3,800",730230,2+kk,8/17/2022,43 m²,Unfurnished,,,,,67.67,505.17,66.53,879.75,114.26,596.76,26.0,196.36,1013.91,346.15,Prague - Košíře,50.07069,14.38098,"CZK 15,000",G,Very good,Brick,,,,,,,,,,,,,
"CZK 12,000","CZK 2,000",583096,Small studio,8/20/2022,27 m²,Fully furnished,3,,1.0,,113.18,386.47,194.66,339.41,263.29,417.1,315.13,448.25,906.99,131.23,"Počernická, Prague - Malešice",50.080924,14.496629,"CZK 14,000",B,Very good,Prefab concrete,1.0,,,Personal,,,,,,,,,
"CZK 16,500",CZK 133,730233,Studio,10/14/2022,25 m²,Fully furnished,3,,1.0,1.0,,,,,,,,,,,Prague - Stodůlky,50.04595,14.32223,"CZK 33,000",A,Very good,Other,1.0,,1.0,,,,,,,1.0,,,
"CZK 16,500",CZK 133,730228,Studio,10/14/2022,30 m²,Fully furnished,3,,1.0,1.0,,,,,,,,,,,Prague - Stodůlky,50.04595,14.32223,"CZK 33,000",A,Very good,Other,1.0,,1.0,,,,,,,1.0,,,
"CZK 20,000","CZK 5,000",151768,3+1,9/1/2022,80 m²,Fully furnished,,,,,202.88,698.15,61.59,734.78,131.92,675.65,195.73,279.66,675.08,496.05,"Dvouletky, Prague - Strašnice",50.0757297,14.5007619,"CZK 25,000",,,Brick,,,,Personal,,10 to 30 years,Standard,,Distance,,,,
"CZK 17,000","CZK 6,500",730057,3+1,8/16/2022,108 m²,Unfurnished,1,,,,138.59,325.23,586.63,2399.76,302.01,1385.97,1143.24,1676.91,1317.12,360.11,Prague - Libuš,50.01141,14.45905,"CZK 17,000",G,Good,Brick,,1.0,,,,,,,,,,,
"CZK 23,500","CZK 4,000",729642,2+kk,9/15/2022,79 m²,Fully furnished,,,1.0,1.0,121.48,1227.99,928.72,1099.69,499.69,876.19,826.93,1182.44,637.73,82.41,Prague - Řeporyje,50.03812,14.32275,"CZK 47,000",C,Very good,Brick,1.0,1.0,1.0,,,10 to 30 years,Luxurious,1.0,Electric boiler,,1.0,,
"CZK 27,999","CZK 3,900",730132,4+1,8/16/2022,94 m²,Fully furnished,3,1.0,,,319.09,325.97,227.01,251.15,242.38,191.69,343.27,530.31,1101.55,143.32,Prague - Vokovice,50.09625,14.35756,"CZK 27,999",G,Good,Brick,,1.0,,Personal,,Over 50 years,Standard,,Central,,,,
"CZK 12,000","CZK 2,000",730221,Studio,9/1/2022,27 m²,Partly,2,,,,43.39,465.36,39.04,107.52,10.36,258.39,340.32,302.31,247.76,366.7,Prague - Žižkov,50.08752,14.46899,"CZK 15,000",G,Very good,Brick,,1.0,,,,,,,,,,,
"CZK 25,000","CZK 5,000",730219,2 bedroom,8/17/2022,74 m²,Fully furnished,1,1.0,,,277.08,786.82,248.92,496.44,271.74,327.01,327.14,612.29,280.72,228.81,Prague - Libeň,50.10861,14.47539,"CZK 35,000",G,Very good,Brick,1.0,,1.0,Personal,,,,,,,,,
"CZK 13,500","CZK 2,000",730217,Studio,10/1/2022,23 m²,Partly,1,,,,229.79,293.08,77.08,237.88,34.66,198.17,64.92,281.76,68.07,564.67,Prague - Žižkov,50.08538,14.44998,"CZK 25,000",C,Very good,Other,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",718218,2+kk,9/6/2022,45 m²,Fully furnished,2,,1.0,,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,
"CZK 10,000",CZK 0,729631,Small studio,8/31/2022,26 m²,Fully furnished,3,,1.0,,137.3,643.4,595.04,2614.11,519.43,871.16,518.14,518.14,131.53,491.64,Prague - Kbely,50.13535,14.54158,"CZK 20,000",C,New-build,Brick,,,,,,,,,,1.0,1.0,,
"CZK 30,000","CZK 5,000",730208,3+kk,8/17/2022,88 m²,Fully furnished,4,,1.0,1.0,617.6,1263.84,484.11,2402.58,455.18,2080.47,784.66,1309.64,1735.19,224.38,Prague - Dolní Chabry,50.13929,14.4453,"CZK 50,000",G,New-build,Low-energy,1.0,,1.0,,,,,,,1.0,1.0,,
"CZK 18,000","CZK 3,000",730204,2+kk,8/17/2022,43 m²,Fully furnished,6,,1.0,,429.21,1235.37,367.37,873.84,266.53,904.62,412.98,488.52,959.42,224.87,Prague - Karlín,50.09537,14.4672,"CZK 20,000",E,Very good,Prefab concrete,1.0,1.0,,,,,,1.0,,,,,
"CZK 41,250","CZK 13,750",719999,2+kk,10/9/2022,55 m²,Fully furnished,1,,1.0,,76.78,951.56,41.94,296.91,109.07,229.41,371.34,325.8,517.82,388.28,"Rečkova, Prague - Žižkov",50.0904334,14.4705869,,,,,,,,,,,,,,,,,
"CZK 24,000","CZK 3,000",730205,3+1,8/17/2022,76 m²,Partly,1,1.0,1.0,,395.99,509.43,163.26,504.86,440.33,508.9,453.56,279.74,995.17,176.46,Prague - Hlubočepy,50.03685,14.37189,"CZK 24,000",G,Very good,Prefab concrete,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",718920,2+kk,9/8/2022,60 m²,Fully furnished,3,1.0,1.0,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,000",320811,1 bedroom,10/1/2022,40 m²,Fully furnished,2,,,1.0,46.46,410.4,413.35,2912.61,234.75,528.18,470.99,1222.1,885.46,315.84,"Jizerská, Prague - Čakovice",50.1499895,14.5253636,"CZK 15,000",,,Brick,,,1.0,Personal,,Up to 10 years,Standard,,Central,,,,
"CZK 19,500","CZK 4,000",593841,2+kk,9/1/2022,56 m²,Partly,3,1.0,1.0,,262.67,736.25,283.72,756.23,562.34,942.85,698.71,478.02,754.83,151.91,"Univerzitní, Prague - Malešice",50.086497,14.503346,"CZK 20,000",G,New-build,Brick,,,1.0,Personal,,Up to 10 years,Standard,,Distance,1.0,1.0,,
"CZK 14,500","CZK 4,000",730200,Studio,9/1/2022,35 m²,Fully furnished,,,,1.0,99.64,1068.06,938.4,1181.5,305.86,786.58,924.01,796.99,416.96,112.49,Prague - Modřany,49.99909,14.41013,"CZK 18,500",A,New-build,Brick,1.0,1.0,1.0,,,,,,,1.0,,,
"CZK 11,000","CZK 1,300",729583,1 bedroom,10/1/2022,35 m²,Fully furnished,3,,,,279.35,498.63,96.94,242.28,106.15,242.06,542.12,582.34,716.81,620.7,Prague - Nusle,50.06462,14.44428,"CZK 21,000",G,Very good,Brick,,,,Personal,,,,,,,,,
"CZK 25,500","CZK 4,000",730199,2+kk,8/17/2022,43 m²,Fully furnished,1,1.0,1.0,,357.59,1747.78,1125.9,1506.46,596.44,846.28,429.19,909.76,445.41,393.7,Prague - Motol,50.07465,14.35863,"CZK 29,500",G,Very good,Brick,,,1.0,,,,,,,,,,
"CZK 18,000","CZK 5,500",730198,3+1,9/1/2022,65 m²,Partly,5,,1.0,,424.34,939.28,566.26,935.99,424.47,485.28,590.77,533.03,1392.05,59.0,Prague - Braník,50.02708,14.4251,"CZK 25,000",B,Very good,Prefab concrete,,,,,,,,1.0,Central,,,,
"CZK 22,000",CZK 1,659396,3+kk,10/1/2022,75 m²,Fully furnished,-1,,,,51.61,489.31,46.18,84.8,159.63,568.15,1042.43,477.78,442.42,240.28,"Kamýcká, Prague - Suchdol",50.13239,14.37724,"CZK 44,000",B,Very good,Brick,1.0,,1.0,Personal,,,Standard,,,,,,
"CZK 37,500","CZK 12,500",717602,2+kk,9/1/2022,56 m²,Fully furnished,5,,1.0,,242.69,541.12,99.79,271.87,177.08,314.62,456.71,820.48,635.04,594.38,"Mečislavova, Prague - Nusle",50.0633339,14.4440155,,,,,,,,,,,,,,,,,
"CZK 13,167","CZK 1,333",728104,Studio,10/1/2022,20 m²,Unfurnished,1,,,,257.3,355.51,136.02,544.38,348.13,356.87,179.85,77.83,658.54,300.0,"Jakutská, Prague - Vršovice",50.0725171,14.47334415,"CZK 29,000",C,Good,Brick,,,,Personal,Complete,,,,Central,,,,
"CZK 18,500",CZK 0,127984,2 bedroom,8/29/2022,75 m²,Partly,1,,,,377.86,952.52,268.88,785.46,427.06,919.2,278.57,123.86,840.54,359.97,"Zdařilá, Prague - Nusle",50.0551428,14.4464394,"CZK 25,000",G,Very good,Brick,,,,Personal,Complete,Over 50 years,Standard,,Central,,,,
"CZK 48,645","CZK 16,215",726073,3+1,9/15/2022,55 m²,Fully furnished,2,,,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,,,,
"CZK 32,175","CZK 10,725",726162,2+kk,9/16/2022,62 m²,Fully furnished,7,,1.0,,99.26,361.63,490.78,556.87,427.65,345.52,452.0,519.02,404.9,293.38,"Olšanská h, Prague - Žižkov",50.0830187,14.4654473,,,,,,,,,,,,,,,,,
