Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Ownership,Floor space,Fully furnished,Floor,Building type,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,EPC,Condition,Balcony,Parking,Enclosed balcony,Age,Reconstruction,Heating,Designe,Garage,New-build,Domácí mazlíčci vítáni,Cellar,Terrace,Administrative fee,Plot type
"CZK 18,000","CZK 3,500","CZK 45,000",593418,2+kk,10/1/2022,Personal,55 m²,,2,Prefab concrete,1.0,294.21,673.31,134.15,695.24,347.37,573.28,168.91,377.15,1505.14,162.74,"Jelínkova, Prague - Kobylisy",50.132785,14.466411,A,New-build,,,,,,,,,,,,,,
"CZK 24,000","CZK 4,000","CZK 48,000",730850,3+1,8/22/2022,,100 m²,Partly,4,Brick,,59.26,296.08,0.0,35.85,45.02,69.1,567.23,721.88,224.98,342.7,Prague - Karlín,50.09386,14.45174,G,Good,1.0,,,,,,,,,,,,,
"CZK 16,000","CZK 4,500","CZK 32,000",730849,2+kk,9/1/2022,,47 m²,Partly,3,Prefab concrete,1.0,131.97,614.65,167.71,938.18,526.16,312.8,441.85,915.79,284.53,188.63,Prague - Záběhlice,50.05853,14.4948,C,Very good,,,1.0,,,,,,,,,,,
"CZK 20,000","CZK 3,500","CZK 40,000",474374,3+kk,6/1/2022,Cooperative,72 m²,Partly,3,Prefab concrete,1.0,89.61,422.46,487.67,590.76,265.68,426.8,499.48,593.53,271.32,350.7,"Pod Jarovem, Prague - Žižkov",50.0895199,14.4891951,,,1.0,,1.0,,,,,,,,,,,
"CZK 20,000","CZK 3,900","CZK 20,000",718608,2+kk,10/1/2022,Personal,72 m²,Partly,1,Brick,,179.61,210.27,72.02,334.04,55.39,313.69,302.45,395.64,509.36,219.04,"Semanského, Prague - Uhříněves",50.02972,14.60008,G,New-build,1.0,,1.0,,,,,,1.0,,,1.0,,
"CZK 16,000","CZK 1,698","CZK 16,000",628460,Studio,9/1/2022,Personal,43 m²,Unfurnished,1,Brick,1.0,327.31,584.04,205.09,356.41,172.42,367.7,158.25,176.48,373.62,150.08,"Kamenická, Prague - Holešovice",50.0976,14.427997,G,Good,,,,,,Distance,,,,,,,,
"CZK 28,500","CZK 3,000","CZK 31,500",716384,3+kk,8/15/2022,Personal,77 m²,Partly,7,Brick,1.0,333.31,299.19,45.56,214.52,54.5,38.78,271.42,790.21,190.1,583.95,"Opletalova, Prague - Nové Město",50.08123,14.42982,G,Very good,1.0,1.0,1.0,Up to 10 years,Interior,Distance,Luxurious,,,,,,,
"CZK 17,000","CZK 7,500","CZK 34,000",730280,2 bedroom,8/17/2022,,51 m²,Partly,5,Brick,1.0,174.57,1207.36,174.27,505.0,209.71,126.79,445.15,418.56,527.51,385.81,Prague - Dejvice,50.1077,14.39349,G,Very good,,,,,,,,,,,1.0,,,
"CZK 18,000","CZK 6,500","CZK 24,500",595560,3+kk,10/1/2022,Personal,60 m²,Partly,2,Brick,,146.61,999.39,291.59,1038.03,1154.94,1144.35,1305.26,1098.49,829.69,773.79,"Jeremiášova, Prague - Stodůlky",50.056761,14.310367,G,Very good,,,,,,Electric boiler,,,,,,,,
"CZK 13,800","CZK 4,800","CZK 18,000",341638,Studio,8/17/2022,Personal,34 m²,Fully furnished,6,Other,1.0,136.45,973.09,67.89,711.09,418.74,835.73,213.02,2078.74,1087.17,96.34,"Míšovická, Prague - Zličín",50.0570375,14.2829647,,Very good,,,,10 to 30 years,,,Standard,,,,,,,
"CZK 18,500","CZK 7,500","CZK 37,000",730267,2+kk,9/2/2022,Personal,55 m²,Fully furnished,,Other,1.0,134.96,1056.21,507.07,1107.28,363.41,1124.77,648.61,524.6,639.62,315.42,Prague - Modřany,50.00556,14.42918,G,New-build,,1.0,,Up to 10 years,,,Luxurious,1.0,1.0,1.0,1.0,1.0,,
"CZK 30,000","CZK 10,000",,730836,2+kk,9/22/2022,,40 m²,Fully furnished,1,,,29.42,633.78,151.61,536.89,130.46,316.51,391.7,900.17,984.89,128.97,"Šporkova, Prague - Malá Strana",50.0876289,14.3978335,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,000","CZK 15,000",730835,Studio,9/1/2022,,29 m²,Fully furnished,3,Brick,1.0,212.22,204.39,73.48,564.01,78.17,410.73,65.03,237.92,765.84,740.13,Prague - Vinohrady,50.07094,14.43661,A,Very good,1.0,1.0,,,,,,,,,,,,
"CZK 20,000","CZK 7,000","CZK 40,000",730261,3+kk,11/1/2022,,70 m²,Partly,3,Prefab concrete,1.0,179.41,734.25,199.06,3432.53,206.66,1356.73,829.3,261.64,1918.6,104.41,Prague - Čakovice,50.15711,14.51994,G,Very good,1.0,1.0,,,,,,,,1.0,,,,
"CZK 13,500","CZK 4,000","CZK 13,500",730513,2 bedroom,9/1/2022,,54 m²,Partly,,Brick,,85.35,397.46,123.74,363.29,405.2,121.79,397.15,493.96,635.68,177.84,Prague - Petrovice,50.0385,14.56096,G,Very good,,,,,,,,,,1.0,,,,
"CZK 16,000","CZK 2,500","CZK 37,000",730259,Studio,8/17/2022,,32 m²,Fully furnished,2,Brick,,110.17,1151.62,486.69,1390.49,516.43,1141.26,906.6,797.73,1015.03,331.85,Prague - Braník,50.0358252,14.4138519,B,New-build,,,,,,,,,,,,1.0,,
"CZK 23,000","CZK 3,869","CZK 40,000",728906,2+kk,9/1/2022,Personal,52 m²,Fully furnished,2,Brick,1.0,100.67,552.16,76.41,168.19,45.96,95.08,323.13,505.31,539.03,607.16,Prague - Vinohrady,50.0739,14.43092,B,Very good,,,,,Complete,,Standard,,,,,,,
"CZK 40,000","CZK 5,500","CZK 91,000",730824,3+1,8/22/2022,,170 m²,Partly,4,Brick,,330.89,661.36,322.57,513.77,359.29,650.66,459.34,819.46,239.7,329.09,Prague - Podolí,50.05526,14.42152,G,Very good,1.0,1.0,,,,,,,,,1.0,1.0,,
"CZK 19,000","CZK 2,000","CZK 38,000",605812,Studio,9/7/2022,Personal,42 m²,Partly,5,Brick,1.0,165.64,741.92,52.41,96.6,104.88,171.12,251.74,483.54,150.69,593.26,"Veverkova, Prague - Holešovice",50.100125,14.431629,,Very good,,,,,,Central,,,,,,1.0,,
"CZK 34,500","CZK 11,500",,728709,2+kk,10/8/2022,,45 m²,Fully furnished,6,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,
"CZK 29,925","CZK 9,975",,730822,1 bedroom,8/28/2022,,30 m²,Fully furnished,2,,1.0,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 3,500","CZK 20,000",680477,2+kk,9/1/2021,Personal,46 m²,Fully furnished,4,Brick,,7.74,689.1,123.69,684.43,184.85,22.29,399.14,496.48,410.57,259.22,"Jaromírova, Prague - Nusle",50.06516,14.42953,C,Very good,,,,,,,,,,,1.0,,,
"CZK 11,200","CZK 3,800","CZK 15,000",730230,2+kk,8/17/2022,,43 m²,Unfurnished,,Brick,,67.67,505.17,66.53,879.75,114.26,596.76,26.0,196.36,1013.91,346.15,Prague - Košíře,50.07069,14.38098,G,Very good,,,,,,,,,,,,,,
"CZK 16,800",CZK 800,"CZK 33,600",518150,3+kk,9/1/2022,Personal,62 m²,Unfurnished,1,Brick,,136.52,161.2,174.39,571.31,228.96,210.25,838.28,528.14,827.24,593.25,"Zenklova, Prague - Libeň",50.1193528,14.4614637,,,,,,,,,,,,,,,,
"CZK 14,200",CZK 800,"CZK 28,400",518153,2 bedroom,9/1/2022,Personal,53 m²,Unfurnished,-1,Brick,,136.52,161.2,174.39,571.31,228.96,210.25,838.28,528.14,827.24,593.25,Prague - Libeň,50.1193528,14.4614637,,,,,,,,,,,,,,,,
"CZK 17,400","CZK 4,500","CZK 20,000",730817,Studio,8/22/2022,,35 m²,Partly,2,Brick,1.0,188.68,499.12,653.79,1751.9,463.43,820.62,728.32,1269.8,1091.09,261.86,Prague - Hrdlořezy,50.09525,14.50889,B,New-build,,,,Up to 10 years,,,,1.0,1.0,,1.0,1.0,,
"CZK 19,000","CZK 4,000","CZK 38,000",730819,2+kk,8/22/2022,,40 m²,Fully furnished,2,Brick,1.0,204.75,739.95,76.09,367.32,58.25,230.46,154.86,958.74,280.98,269.42,Prague - Karlín,50.09391,14.45695,D,Very good,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,500","CZK 25,000",730818,3+1,8/22/2022,,80 m²,Unfurnished,8,Prefab concrete,1.0,200.89,268.35,80.24,612.71,250.02,239.34,164.5,293.43,342.4,133.97,Prague - Žižkov,50.08661,14.45867,E,Good,,,1.0,,,,,,,1.0,1.0,,,
"CZK 34,920","CZK 11,640",,728102,2 bedroom,8/31/2022,,52 m²,Fully furnished,5,,1.0,99.55,314.58,150.34,67.01,34.6,412.05,133.24,331.05,397.28,726.22,"Vinohradská, Prague - Vinohrady",50.0779159,14.4375296,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 4,500","CZK 21,000",181296,2+kk,10/1/2022,Personal,49 m²,Fully furnished,2,Brick,1.0,283.26,1010.99,131.62,469.66,235.83,554.2,304.96,253.85,397.72,318.19,"Biskupcova, Prague - Žižkov",50.09127,14.4787539,,,1.0,,,Up to 10 years,Interior,,,,,,,,,
"CZK 18,500","CZK 4,000","CZK 30,000",386251,2+kk,10/1/2022,Personal,50 m²,Unfurnished,4,Brick,,165.73,967.35,452.49,655.69,532.17,774.53,379.36,540.99,834.63,385.43,"Loosova, Prague - Háje",50.025985,14.5313856,,,,,,Up to 10 years,,Central,Standard,,,,,1.0,,
"CZK 12,500","CZK 3,500","CZK 16,000",446173,Small studio,10/1/2022,Personal,27 m²,Fully furnished,1,Brick,1.0,222.24,645.51,201.94,549.22,68.21,477.87,68.18,441.27,448.28,311.29,"Na Vítězné pláni, Prague - Nusle",50.0620688,14.4355684,,Very good,,,,Up to 10 years,Interior,Central,,,,,1.0,,,
"CZK 16,200","CZK 3,800",CZK 0,317875,2+kk,9/1/2022,Personal,46 m²,Fully furnished,3,Prefab concrete,1.0,286.97,534.67,339.67,626.88,389.52,469.04,622.73,345.66,329.07,176.61,"Jarníkova, Prague - Chodov",50.0248408,14.4900167,,Very good,,,,,Complete,Central,,,,,,,,
"CZK 11,000","CZK 2,000","CZK 13,000",425448,Small studio,9/1/2022,Personal,18 m²,Fully furnished,1,Brick,,96.37,1112.27,342.53,720.59,185.54,791.77,490.82,465.42,674.92,179.97,"Na Jezerce, Prague - Nusle",50.0582532,14.44353,,Very good,,,,Up to 10 years,Complete,,Standard,,,,,,,
"CZK 27,999","CZK 3,900","CZK 27,999",730132,4+1,8/16/2022,Personal,94 m²,Fully furnished,3,Brick,,319.09,325.97,227.01,251.15,242.38,191.69,343.27,530.31,1101.55,143.32,Prague - Vokovice,50.09625,14.35756,G,Good,1.0,,,Over 50 years,,Central,Standard,,,1.0,,,,
"CZK 10,000","CZK 4,500","CZK 14,500",652174,2+kk,9/1/2022,Personal,43 m²,Partly,6,Low-energy,1.0,123.49,1093.35,507.3,1191.49,86.25,965.89,252.17,125.15,490.24,18.46,"Jakobiho, Prague - Petrovice",50.032251,14.559848,G,Good,,1.0,,,,Distance,,,,,1.0,,,
"CZK 13,167","CZK 1,333","CZK 29,000",728104,Studio,10/1/2022,Personal,20 m²,Unfurnished,1,Brick,,257.3,355.51,136.02,544.38,348.13,356.87,179.85,77.83,658.54,300.0,"Jakutská, Prague - Vršovice",50.0725171,14.47334415,C,Good,,,,,Complete,Central,,,,,,,,
"CZK 28,000","CZK 5,000","CZK 35,000",730219,3+kk,8/17/2022,Personal,74 m²,Fully furnished,1,Brick,,277.08,786.82,248.92,496.44,271.74,327.01,327.14,612.29,280.72,228.81,Prague - Libeň,50.10861,14.47539,G,Very good,1.0,1.0,,,,,,,,,1.0,,,
"CZK 20,000","CZK 4,808","CZK 25,000",497125,2+kk,1/24/2021,Personal,55 m²,Fully furnished,1,Brick,1.0,289.31,1030.71,185.29,875.56,580.15,1000.2,374.44,2240.15,1249.45,201.42,"Sazovická, Prague - Zličín",50.0570157,14.2807456,,New-build,1.0,1.0,,Up to 10 years,,Central,,,1.0,,,,,
"CZK 41,250","CZK 13,750",,719999,2+kk,10/9/2022,,55 m²,Fully furnished,1,,1.0,76.78,951.56,41.94,296.91,109.07,229.41,371.34,325.8,517.82,388.28,"Rečkova, Prague - Žižkov",50.0904334,14.4705869,,,,,,,,,,,,,,,,
"CZK 6,900",CZK 0,"CZK 6,900",564526,4+1,8/22/2022,Personal,85 m²,Fully furnished,1,Brick,,66.19,1365.59,272.35,822.48,8.68,464.95,601.2,985.73,423.01,273.55,"Zenklova, Prague - Libeň",50.1118856,14.4754122,,,,,,Up to 10 years,,,Standard,,,,,,,
"CZK 6,900",CZK 0,"CZK 6,900",564526,4+1,8/22/2022,Personal,85 m²,Fully furnished,1,Brick,,66.19,1365.59,272.35,822.48,8.68,464.95,601.2,985.73,423.01,273.55,"Zenklova, Prague - Libeň",50.1118856,14.4754122,,,,,,Up to 10 years,,,Standard,,,,,,,
"CZK 12,000","CZK 2,634","CZK 15,000",730809,Studio,8/22/2022,Personal,25 m²,Partly,5,Low-energy,1.0,183.61,947.69,30.3,613.49,0.29,337.13,207.69,198.48,367.79,73.11,Prague - Libeň,50.10722,14.49056,B,New-build,,,,,,Other,,,1.0,,,,,
"CZK 13,900","CZK 3,900","CZK 17,800",454213,2+kk,9/1/2022,Personal,35 m²,Fully furnished,3,Brick,,228.09,392.09,59.59,266.35,61.42,779.44,349.31,309.88,628.04,243.87,"Podléšková, Prague - Záběhlice",50.0598611,14.5032006,,,,,,,,,,,,,,,,
"CZK 18,500","CZK 3,500","CZK 37,000",730591,2+kk,8/20/2022,,42 m²,Partly,11,Prefab concrete,1.0,225.25,509.23,210.61,197.57,313.05,374.5,333.7,365.29,434.6,205.29,Prague - Háje,50.0292,14.53153,A,Very good,,,,,,,,,,,1.0,,,
"CZK 23,500","CZK 4,000","CZK 47,000",729642,2+kk,9/15/2022,,79 m²,Fully furnished,,Brick,1.0,121.48,1227.99,928.72,1099.69,499.69,876.19,826.93,1182.44,637.73,82.41,Prague - Řeporyje,50.03812,14.32275,C,Very good,,1.0,1.0,10 to 30 years,,Electric boiler,Luxurious,1.0,,1.0,1.0,1.0,,
"CZK 17,500","CZK 3,500","CZK 17,000",406355,1 bedroom,8/30/2022,Personal,40 m²,Fully furnished,2,Brick,1.0,245.16,118.28,34.46,158.9,60.95,337.88,188.31,373.21,805.61,74.06,"Milešovská, Prague - Vinohrady",50.0788293,14.4518748,,Very good,,,,,,,,,,,,,,
"CZK 13,500","CZK 2,500","CZK 27,000",342199,Studio,10/15/2022,Personal,33 m²,Partly,5,Other,1.0,180.9,275.92,211.57,252.38,137.33,251.39,270.69,505.51,363.09,285.71,Prague - Podolí,50.0584062,14.4233332,C,New-build,,1.0,,Up to 10 years,Complete,Central,Luxurious,1.0,1.0,,,,,
"CZK 23,000","CZK 4,000","CZK 27,000",730804,3+1,10/1/2022,,77 m²,Partly,2,Brick,,473.84,1388.43,450.65,1215.14,466.26,729.37,635.55,575.59,435.22,232.77,Prague - Vokovice,50.10084,14.34982,G,Very good,,1.0,,,,,,,,1.0,1.0,,,
"CZK 14,500","CZK 1,487","CZK 15,000",393821,1 bedroom,9/8/2022,Personal,32 m²,Partly,1,Brick,,266.05,522.79,143.84,295.16,111.17,306.45,245.68,237.66,312.37,211.26,Prague - Holešovice,50.0981469,14.427865,,,,,,,,Gas boiler,,,,,,,,
"CZK 22,000","CZK 5,000","CZK 25,000",539856,2+kk,9/15/2021,Personal,55 m²,Fully furnished,1,Brick,1.0,223.43,981.59,819.74,1191.68,381.56,450.67,479.9,1171.22,401.22,333.31,"Radouňova, Prague - Řeporyje",50.0379471,14.3129703,,,,,1.0,,Complete,Electric boiler,,1.0,1.0,,1.0,,,
"CZK 28,350","CZK 9,450",,730801,2 bedroom,8/24/2022,,75 m²,Fully furnished,3,,1.0,286.21,293.35,195.84,193.77,92.11,378.02,243.35,1039.65,522.33,334.73,"Čechova, Prague - Bubeneč",50.1016621,14.4210737,,,,,,,,,,,,,,,,
"CZK 18,000",CZK 750,"CZK 40,000",730794,3+1,8/22/2022,,72 m²,Partly,5,Prefab concrete,1.0,391.46,583.51,405.3,513.38,94.94,580.04,370.59,358.22,1667.49,130.99,Prague - Bohnice,50.12973,14.41257,G,Very good,,,,,,,,,,,1.0,,,
"CZK 19,900","CZK 3,200","CZK 46,200",730792,2 bedroom,9/1/2022,,80 m²,Unfurnished,1,Brick,,166.46,626.55,152.29,530.25,122.81,458.91,122.79,446.38,395.26,292.32,Prague - Nusle,50.06194,14.43608,G,Very good,,,1.0,,,,,,,,,,,
"CZK 15,000",CZK 650,"CZK 15,000",730658,2+kk,8/29/2022,,45 m²,Unfurnished,3,Brick,,156.25,663.41,113.92,440.06,0.11,438.41,253.01,384.55,669.84,374.48,Prague - Vršovice,50.07212,14.45724,G,Good,,,,,,,,,,1.0,,,,
"CZK 14,500","CZK 4,000","CZK 18,500",730200,Studio,9/1/2022,,35 m²,Fully furnished,,Brick,,99.64,1068.06,938.4,1181.5,305.86,786.58,924.01,796.99,416.96,112.49,Prague - Modřany,49.99909,14.41013,A,New-build,,1.0,,,,,,,1.0,1.0,1.0,1.0,,
"CZK 22,000","CZK 6,000","CZK 22,000",730789,3+kk,10/1/2022,,81 m²,Partly,1,Prefab concrete,1.0,378.58,1911.94,502.31,1586.49,1240.39,708.11,1040.33,1321.24,1024.76,33.51,Prague - Vysočany,50.10509,14.51541,G,Very good,,1.0,,,,,,1.0,,1.0,1.0,1.0,,
"CZK 30,375","CZK 10,125",,730787,2 bedroom,9/7/2022,,77 m²,Fully furnished,1,,,362.98,762.3,103.79,363.25,76.62,226.39,253.28,848.57,276.91,306.73,"Březinova, Prague - Karlín",50.0930254,14.4565404,,,,,,,,,,,,,,,,
"CZK 25,920","CZK 8,640",,730786,2+kk,9/1/2022,,50 m²,Fully furnished,2,,1.0,256.88,230.57,115.16,212.72,190.01,251.36,415.49,530.5,578.5,441.78,"Čajkovského, Prague - Žižkov",50.0830128,14.4521943,,,,,,,,,,,,,,,,
"CZK 22,000",CZK 1,"CZK 44,000",659396,3+kk,10/1/2022,Personal,75 m²,Fully furnished,-1,Brick,,51.61,489.31,46.18,84.8,159.63,568.15,1042.43,477.78,442.42,240.28,"Kamýcká, Prague - Suchdol",50.13239,14.37724,B,Very good,,1.0,,,,,Standard,,,,1.0,,,
"CZK 14,900","CZK 2,900","CZK 12,000",713712,2+kk,9/1/2022,Personal,51 m²,Partly,3,Brick,,128.9,745.76,104.94,191.13,29.28,808.95,276.05,437.33,713.68,163.41,"Jaurisova, Prague - Nusle",50.0596745,14.4494645,E,Very good,,,,,,Electric boiler,Standard,,,,1.0,,,
"CZK 20,000","CZK 1,750","CZK 40,000",730536,2+kk,8/19/2022,,65 m²,Fully furnished,1,Brick,,467.09,1003.0,522.43,1785.3,521.26,624.12,460.18,394.67,481.92,205.34,Prague - Libuš,50.01273,14.44535,D,Very good,,,,,,,,,1.0,,,1.0,,
"CZK 14,500","CZK 5,500","CZK 20,000",605928,1 bedroom,10/1/2022,Personal,51 m²,Fully furnished,1,Low-energy,,183.47,686.2,229.3,214.79,146.92,354.99,577.44,572.39,517.85,250.6,"Žerotínova, Prague - Žižkov",50.08849,14.464717,B,Very good,,,,Up to 10 years,Complete,Electric boiler,Luxurious,,,,,1.0,,
"CZK 53,510","CZK 17,836",,725486,4+1,10/2/2022,,110 m²,Fully furnished,7,,1.0,348.55,940.69,207.03,294.37,97.8,272.7,322.85,445.04,400.99,361.6,"Divadelní, Prague - Staré Město",50.0824664,14.4140344,,,1.0,,,,,,,,,,,1.0,,
"CZK 42,075","CZK 14,025",,726062,2 bedroom,9/26/2022,,80 m²,Fully furnished,6,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 2,000","CZK 15,000",574723,Studio,10/1/2022,Personal,42 m²,Fully furnished,1,Brick,1.0,327.17,1748.1,1747.45,2463.07,1816.23,1796.45,2542.09,2557.41,1457.07,1222.39,"Penízovková, Prague - Pitkovice",50.0148387,14.5845553,,Very good,1.0,1.0,,10 to 30 years,,Central,,,1.0,,,,,
"CZK 20,000","CZK 2,700","CZK 40,000",730782,3+kk,8/22/2022,,72 m²,Partly,8,Low-energy,1.0,352.66,710.44,418.96,1275.94,405.71,711.63,327.09,286.26,1161.14,187.92,Prague - Chodov,50.02796,14.51352,G,Very good,1.0,,,,,,,,,,1.0,,,
"CZK 23,000","CZK 6,000","CZK 35,000",730656,3+kk,8/21/2022,,84 m²,Partly,4,Brick,1.0,184.94,655.02,3.59,431.68,73.84,430.02,244.62,333.82,572.87,269.17,Prague - Vršovice,50.07191,14.45951,G,Very good,1.0,,,,,,,,,,1.0,,,
"CZK 25,000","CZK 5,000","CZK 30,000",564309,4+1,9/1/2022,Personal,90 m²,Unfurnished,5,Prefab concrete,1.0,355.55,874.19,250.25,415.09,350.44,770.08,245.79,688.45,593.16,325.92,"Podvinný mlýn, Prague - Libeň",50.10706,14.485427,B,Very good,,,1.0,10 to 30 years,Complete,Distance,Standard,,,,1.0,,,
