Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Heating,Total number of floors,Renovation,PENB,Design,Front garden,New building,Administration fee,Developer name,Project name,Kód jednotky
647423,"CZK 16,000",50.071234,14.407889,"Vrázova, Prague - Smíchov",2 bedroom,76 m²,"CZK 3,000",Partially furnished,,No,No,No,No,No,No,No,15. 05. 2022,194,566,107,108,148,383,672,"1,031","1,018",505,Excellent,"CZK 30,000",Personal,Brick building,,,Raised ground floor,,G,,,,,,,
713379,"CZK 16,000",50.12931,14.49382,"Makedonská, Prague - Střížkov",Studio,42 m²,"CZK 2,600",Partially furnished,6,Yes,No,No,No,Yes,No,No,18. 04. 2022,208,909,53,834,481,327,408,285,"1,035",155,New build,"CZK 30,000",Personal,Brick building,1 to 10 years years,District heating,Top floor,Overall,D,Premium materials and solutions,,Yes,,,,
713465,"CZK 31,725",50.0795659,14.4357789,"Balbínova, Prague - Vinohrady",1 bedroom with open-plan kitchen,60 m²,"CZK 10,575",Furnished,3,No,No,No,No,No,Yes,No,21. 06. 2022,134,417,252,351,68,251,205,205,457,712,,,,,,,,,,,,,,,,
288880,"CZK 17,900",50.1022043,14.4276994,"Umělecká, Prague - Holešovice",1 bedroom,40 m²,"CZK 5,232",Furnished,3,No,No,No,No,No,No,No,23. 04. 2022,155,636,117,335,211,192,65,126,503,,,"CZK 25,000",Personal,Brick building,,,,,,,,,,,,
369890,"CZK 15,000",50.107010860053,14.388327912828,"Zelená, Prague - Dejvice",1 bedroom with open-plan kitchen,42 m²,"CZK 3,500",Unfurnished,3,No,No,No,No,No,No,No,,30,"1,308",15,715,145,169,358,259,631,360,Good,"CZK 20,000",Personal,Brick building,,,,,,Premium materials and solutions,,,,,,
715878,"CZK 10,000",50.06038,14.3974,"Holubova, Prague - Smíchov",Studio,25 m²,"CZK 3,000",Partially furnished,1,No,No,No,No,No,No,No,01. 06. 2022,177,897,204,758,197,597,434,717,495,373,Excellent,"CZK 10,000",Personal,Brick building,,,Ground floor,,G,,,,,,,
715877,"CZK 18,490",50.04469833333,14.51761583333,"náměstí Přátelství, Prague - Hostivař",1 bedroom with open-plan kitchen,61 m²,"CZK 2,329",Furnished,7,Yes,No,No,No,Yes,Yes,No,,153,134,70,59,913,292,"1,006",102,,,New build,"CZK 20,819",Personal,Brick building,,,,,B,,,Yes,"CZK 20,819

                                
                                
                
i",,,
715876,"CZK 15,000",50.0124216,14.4017606,"Vrátnická, Prague - Modřany",1 bedroom with open-plan kitchen,53 m²,"CZK 4,000",Partially furnished,2,Yes,No,Yes,No,No,Yes,Yes,25. 04. 2022,79,953,290,"1,197",615,"1,258","1,259",537,,,New build,"CZK 30,000",Personal,Brick building,,,,,G,,,,,,,
714329,"CZK 38,775",50.0918754,14.4250902,"Řásnovka, Prague - Staré Město",2 bedroom,48 m²,"CZK 12,925",Furnished,2,No,No,No,No,No,No,No,29. 04. 2022,158,249,155,246,113,320,391,409,155,114,,,,,,,,,,,,,,,,
715268,"CZK 20,000",50.06891,14.40011,"Kováků, Prague - Smíchov",1 bedroom with open-plan kitchen,48 m²,"CZK 3,000",Partially furnished,1,No,No,Yes,No,Yes,Yes,Yes,01. 05. 2022,70,130,118,310,54,23,349,625,840,192,Excellent,"CZK 20,000",Personal,Brick building,,,,,G,,,,,,,
715263,"CZK 13,000",50.05605,14.29156,"Do Zahrádek Ⅰ, Prague - Třebonice",Studio,31 m²,"CZK 2,242",Partially furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,01. 05. 2022,172,"1,088",446,414,726,524,524,748,364,,New build,"CZK 26,000",Personal,Low-energy building,,,,,B,,,,,,,
715858,"CZK 19,000",50.07632,14.42788,"Hálkova, Prague - Nové Město",1 bedroom with open-plan kitchen,46 m²,"CZK 6,000",Furnished,1,No,No,No,No,No,No,No,01. 05. 2022,216,660,188,120,96,151,187,262,216,168,Excellent,"CZK 25,000",Personal,Brick building,,,,,G,,,,,,,
715862,"CZK 13,800",50.09118,14.34546,"Krásného, Prague - Veleslavín",1 bedroom with open-plan kitchen,56 m²,"CZK 3,500",Partially furnished,4,No,No,Yes,No,No,No,No,01. 05. 2022,144,382,95,309,314,284,183,208,689,39,Excellent,"CZK 15,000",Personal,Prefab concrete building,,,,,G,,,,,,,
24757,"CZK 7,500",50.0939141,14.5324196,Prague - Hloubětín,Studio,28 m²,"CZK 3,000",Furnished,2,No,No,No,No,No,No,No,Ihned,293,747,"1,083","1,062","1,356","1,185","1,300",688,557,,,"CZK 10,000",Personal,Brick building,,Central heating,,,B,,,,,,,
645018,"CZK 15,000",50.086305,14.422709,"Kamzíková, Prague - Staré Město",1 bedroom,25 m²,"CZK 5,000",Furnished,2,No,No,No,No,No,No,No,01. 06. 2021,328,441,85,176,39,224,174,429,297,437,Excellent,"CZK 20,000",Personal,Brick building,,Other,Middle floor,,G,,,,,,,
715256,"CZK 16,000",50.09179,14.44168,"Sokolovská, Prague - Karlín",Studio,18 m²,"CZK 2,500",Furnished,2,No,Yes,No,No,No,No,No,25. 04. 2022,170,423,142,168,13,109,427,891,261,225,Excellent,"CZK 18,500",Personal,Brick building,,,,,G,,,,,,,
35209,"CZK 16,400",50.0709893,14.5034918,"Sečská 21, Prague - Strašnice",2 bedroom,65 m²,"CZK 3,000",Partially furnished,4,No,No,No,No,No,No,No,21. 05. 2018,268,"1,308",227,"1,096",483,613,251,400,960,64,,"CZK 20,000",Cooperative,Prefab concrete building,30 to 50 years years,District heating,Top floor,Overall,,Standard materials and solutions,,,,,,
496356,"CZK 28,000",50.0896186,14.4324025,"Havlíčkova, Prague - Nové Město",2 bedroom with open-plan kitchen,164 m²,"CZK 3,000",Furnished,4,No,No,No,No,No,No,No,01. 07. 2022,212,199,123,98,33,92,321,131,259,513,,"CZK 31,000",Personal,Brick building,,Gas boiler,Attic,,G,,,,,,,
715849,"CZK 12,000",50.06067,14.43501,"Žateckých, Prague - Nusle",1 bedroom with open-plan kitchen,47 m²,CZK 630,Partially furnished,2,No,No,Yes,No,No,No,No,26. 04. 2022,174,819,29,613,88,562,214,528,450,342,Excellent,"CZK 20,000",Personal,Brick building,,,,,D,,,,,,,
665746,"CZK 26,000",50.10527,14.44355,"Argentinská, Prague - Holešovice",1 bedroom with open-plan kitchen,60 m²,"CZK 3,000",Furnished,7,No,Yes,Yes,No,Yes,Yes,No,01. 05. 2022,185,451,296,464,326,319,626,804,173,345,New build,,Personal,Brick building,,,,,A,,,Yes,,,,
703675,"CZK 23,500",50.09054,14.42611,"Dlouhá, Prague - Staré Město",1 bedroom with open-plan kitchen,49 m²,"CZK 1,800",Furnished,1,No,No,Yes,No,No,Yes,No,01. 06. 2022,77,200,48,62,30,211,200,222,145,196,Excellent,"CZK 49,580",Personal,Brick building,,Central heating,Middle floor,Interior,G,Premium materials and solutions,,,,,,
715239,"CZK 18,000",50.0886644,14.484117,"Olgy Havlové, Prague - Žižkov",Studio,38 m²,"CZK 1,500",Partially furnished,7,Yes,No,Yes,No,Yes,Yes,No,20. 04. 2022,381,810,423,623,137,666,490,358,355,113,New build,"CZK 54,000",Personal,Brick building,1 to 10 years years,Central heating,Middle floor,,A,Premium materials and solutions,,,,,,
715839,"CZK 15,000",50.0406073,14.4348978,"Hudečkova, Prague - Krč",1 bedroom with open-plan kitchen,46 m²,,Furnished,1,No,No,Yes,Yes,No,No,No,15. 05. 2022,181,741,120,386,116,610,939,235,501,102,Excellent,"CZK 15,000",Personal,Prefab concrete building,,,,,G,,,,,,,
596203,"CZK 12,700",50.0144,14.58426,"Chorošová, Prague - Pitkovice",Studio,37 m²,"CZK 2,900",Partially furnished,1,Yes,Yes,Yes,No,No,Yes,No,01. 06. 2022,412,,,,,,,,,,New build,"CZK 15,000",Personal,Low-energy building,1 to 10 years years,Central heating,Ground floor,,B,Premium materials and solutions,41 m²,Yes,,,,
715833,"CZK 12,900",50.102466,14.562647,"Dobrovolného, Prague - Černý Most",Studio,35 m²,"CZK 3,500",Furnished,5,Yes,No,Yes,No,No,Yes,No,01. 05. 2022,108,574,484,"1,489",859,639,584,239,806,325,Excellent,"CZK 25,800",Personal,Brick building,,District heating,,,A,,,,,,,
81884,"CZK 14,000",50.070642,14.677549,"Rohožnická, Prague - Újezd nad Lesy",1 bedroom with open-plan kitchen,50 m²,"CZK 3,000",Furnished,3,Yes,No,Yes,No,Yes,No,No,10. 07. 2022,377,132,424,197,380,62,,,,,,"CZK 15,000",Personal,Brick building,1 to 10 years years,District heating,,Interior,,Standard materials and solutions,,,,,,
715236,"CZK 24,000",50.10014,14.40155,"Jilemnického, Prague - Bubeneč",1 bedroom with open-plan kitchen,59 m²,"CZK 3,000",Furnished,4,No,No,No,No,No,Yes,No,01. 06. 2022,55,538,169,224,154,376,206,581,398,277,Excellent,"CZK 25,000",Personal,Brick building,,,,,D,,,,,,,
715831,"CZK 23,000",50.04981,14.48307,"Střimelická, Prague - Záběhlice",3 bedroom,68 m²,"CZK 3,400",Unfurnished,6,Yes,No,Yes,No,No,Yes,No,01. 06. 2022,88,583,115,563,197,"1,395",409,259,841,204,Excellent,"CZK 46,000",Personal,Brick building,over 50 years years,Central heating,Top floor,Bathroom unit,C,Standard materials and solutions,,,,,,
698766,"CZK 16,500",50.07717,14.41919,"Karlovo náměstí, Prague - Nové Město",1 bedroom,43 m²,"CZK 1,500",Furnished,,No,No,No,No,No,No,No,25. 04. 2022,51,235,42,74,4,202,262,428,550,377,Excellent,"CZK 33,000",Personal,Brick building,,,Ground floor,,C,,,,,,,
715826,"CZK 17,500",50.10089,14.349,"Nad Jenerálkou, Prague - Vokovice",1 bedroom with open-plan kitchen,70 m²,CZK 1,Furnished,,No,No,No,No,No,No,No,25. 04. 2022,378,"1,483",429,"1,310",445,714,615,554,414,288,Excellent,"CZK 20,000",Personal,Brick building,,,,,C,,,,,,,
425448,"CZK 10,500",50.0582532,14.44353,"Na Jezerce, Prague - Nusle",Small studio,18 m²,"CZK 2,000",Furnished,1,No,No,No,No,No,No,No,02. 01. 2022,96,"1,112",343,721,186,792,491,465,675,180,Excellent,"CZK 12,500",Personal,Brick building,1 to 10 years years,,,Overall,,Standard materials and solutions,,,,,,
678488,"CZK 13,000",50.09024,14.34522,"Na Okraji, Prague - Veleslavín",2 bedroom,53 m²,"CZK 4,000",Furnished,2,No,No,Yes,No,No,No,No,01. 09. 2021,78,384,92,176,181,245,117,210,706,60,Good,"CZK 13,000",Personal,Brick building,,,,,G,,,,,,,
706675,"CZK 12,990",50.10241638888,14.47648416666,"Sokolovská, Prague - Libeň",1 bedroom,44 m²,"CZK 3,479",Furnished,1,No,No,Yes,No,No,No,No,,130,222,63,270,198,305,184,230,208,532,Excellent,"CZK 16,469",Personal,Brick building,,,,,B,,,,"CZK 16,469

                                
                                
                
i",,,
522467,"CZK 14,000",50.036731,14.3283986,Prague - Stodůlky,1 bedroom,43 m²,"CZK 3,000",Furnished,2,Yes,Yes,Yes,No,No,Yes,Yes,01. 06. 2022,437,"1,079",740,"1,116",412,"1,007",773,929,617,264,,"CZK 20,000",Personal,Brick building,,Geothermal heat pump,Middle floor,,,Premium materials and solutions,,Yes,,,,
704963,"CZK 15,500",50.06535,14.43616,"Závišova, Prague - Nusle",1 bedroom with open-plan kitchen,48 m²,"CZK 1,000",Furnished,3,No,No,No,No,No,No,No,01. 05. 2022,88,289,320,423,244,526,254,238,213,191,Good,"CZK 20,000",Personal,Brick building,,,,,G,,,,,,,
683216,"CZK 21,000",50.1038054,14.4320472,"Strojnická, Prague - Holešovice",2 bedroom with open-plan kitchen,73 m²,"CZK 3,900",Furnished,3,No,No,No,No,No,Yes,No,06. 05. 2022,77,674,231,359,0,62,438,302,713,,Excellent,"CZK 40,000",Personal,Brick building,,District heating,,,G,,,,,,,
589495,"CZK 15,000",50.058519,14.377489,"Peroutkova, Prague - Jinonice",1 bedroom,31 m²,"CZK 4,000",Furnished,5,No,No,No,No,No,Yes,No,01. 05. 2022,268,604,268,"1,017",406,800,"1,195",497,"1,194",159,New build,"CZK 15,000",Personal,Brick building,1 to 10 years years,District heating,Middle floor,Overall,C,Standard materials and solutions,,Yes,,,,
714464,"CZK 15,000",50.04483,14.41961,"Gončarenkova, Prague - Braník",2 bedroom with open-plan kitchen,46 m²,"CZK 3,000",Partially furnished,2,No,No,No,No,Yes,No,No,19. 04. 2022,168,416,"1,419",395,"1,154","1,289",936,845,,,Excellent,"CZK 18,000",Personal,Brick building,,,,,G,,400 m²,,,,,
539134,"CZK 14,000",50.1127222,14.4733194,"Lindnerova, Prague - Libeň",1 bedroom with open-plan kitchen,45 m²,CZK 600,Partially furnished,4,No,No,No,No,No,Yes,No,01. 05. 2022,220,"1,444",122,"1,017",191,577,311,"1,315",663,176,,"CZK 14,000",Personal,Brick building,,Gas boiler,,,,,,,,,,
705611,"CZK 16,000",50.07741,14.41775,"Na Zbořenci, Prague - Nové Město",1 bedroom,45 m²,"CZK 2,000",Partially furnished,2,No,No,No,No,No,Yes,No,01. 05. 2022,86,394,74,147,32,369,241,311,550,497,Excellent,"CZK 16,000",Personal,Brick building,,,,,G,,,,,,,
659654,"CZK 10,000",50.0754406,14.4923271,Prague - Strašnice,Studio,32 m²,"CZK 2,230",Furnished,3,No,No,No,No,No,No,No,01. 06. 2022,235,115,149,272,125,269,246,414,721,295,Excellent,"CZK 13,000",Personal,Brick building,,Electric boiler,,,G,,,,,,,
715687,"CZK 20,000",50.0441,14.33704,"Jeremiášova, Prague - Stodůlky",1 bedroom with open-plan kitchen,60 m²,"CZK 5,000",Furnished,5,Yes,No,No,No,No,Yes,No,01. 05. 2022,124,449,65,478,249,470,197,379,667,90,Excellent,"CZK 40,000",Personal,Brick building,10 to 30 years years,District heating,Middle floor,,B,Premium materials and solutions,,,,,,
683556,"CZK 12,000",50.05945,14.43391,"5. května, Prague - Nusle",1 bedroom with open-plan kitchen,37 m²,"CZK 3,000",Furnished,4,Yes,No,Yes,No,No,No,No,30. 04. 2022,323,"1,039",182,495,135,443,428,623,486,612,Good,"CZK 18,000",Personal,Brick building,over 50 years years,Other,,,G,Standard materials and solutions,,,,,,
191761,"CZK 14,600",50.0842085,14.3727813,"Bělohorská, Prague - Břevnov",2 bedroom,52 m²,CZK 700,Partially furnished,3,No,No,No,No,No,No,No,28. 04. 2022,141,651,4,203,11,103,192,461,471,437,Good,"CZK 24,000",Personal,Brick building,,Electric boiler,Middle floor,Overall,,Standard materials and solutions,,,,,,
661478,"CZK 21,000",50.1393591,14.4272136,Prague - Čimice,1 bedroom with open-plan kitchen,62 m²,"CZK 4,000",Furnished,4,Yes,No,Yes,No,Yes,Yes,Yes,06. 06. 2022,350,407,294,327,389,775,525,"1,468",325,,Excellent,"CZK 42,000",Personal,Brick building,1 to 10 years years,Central heating,Middle floor,,C,Standard materials and solutions,,,,,,
649871,"CZK 9,000",50.091464,14.473323,"Koněvova, Prague - Žižkov",Small studio,28 m²,CZK 900,Partially furnished,2,No,No,No,No,No,No,No,01. 06. 2022,120,"1,178",93,151,131,99,217,440,250,313,Excellent,"CZK 18,000",Personal,Brick building,,Other,Middle floor,Overall,G,Standard materials and solutions,,,,,,
715658,"CZK 9,000",50.00195,14.42693,"Urbánkova, Prague - Modřany",1 bedroom with open-plan kitchen,41 m²,"CZK 2,650",Unfurnished,2,No,No,No,No,No,Yes,No,01. 05. 2022,449,"1,133","1,379","1,200",502,"1,207",106,243,"1,180",305,Good,"CZK 18,000",Personal,Prefab concrete building,,,,,B,,,,,,,
715212,"CZK 16,000",50.0699457,14.4570461,"Žitomírská, Prague - Vršovice",1 bedroom with open-plan kitchen,60 m²,CZK 500,Partially furnished,3,No,No,No,No,No,Yes,No,20. 04. 2022,162,360,72,137,90,134,172,134,434,209,Excellent,"CZK 32,000",Personal,Brick building,,,,,G,,,,,,,
473621,"CZK 33,000",50.088662,14.4097039,"U Lužického semináře, Prague - Malá Strana",3 bedroom,92 m²,"CZK 6,000",Unfurnished,4,No,Yes,No,No,No,No,No,01. 05. 2022,300,442,115,421,2,720,478,325,960,178,Excellent,"CZK 50,000",Personal,Brick building,1 to 10 years years,Gas boiler,Attic,Overall,,Premium materials and solutions,,,,,,
708081,"CZK 10,490",50.03587361111,14.50058972222,"Benkova, Prague - Chodov",Studio,30 m²,"CZK 1,432",Furnished,5,No,No,No,No,No,Yes,No,,277,349,465,"1,083",310,523,291,373,412,196,Excellent,"CZK 11,922",Cooperative,Prefab concrete building,,,,,C,,,,"CZK 11,922

                                
                                
                
i",,,
715746,"CZK 23,100",50.0709,14.38315,"Plzeňská, Prague - Košíře",1 bedroom with open-plan kitchen,64 m²,"CZK 4,600",Furnished,3,No,Yes,Yes,No,Yes,Yes,Yes,25. 04. 2022,236,757,217,"1,132",273,"1,240",131,522,"1,117",573,New build,"CZK 25,000",Personal,Other,,,,,C,,,,,,,
698456,"CZK 11,000",50.05759,14.53231,"Štěrboholská, Prague - Hostivař",1 bedroom,35 m²,"CZK 2,000",Furnished,1,No,No,No,No,No,No,No,15. 01. 2022,218,515,327,"1,148","1,230","1,136",413,449,,,Good,"CZK 10,000",Personal,Brick building,,,,,G,,,,,,,
715207,"CZK 17,625",50.0753237,14.4575982,"Korunní, Prague - Vinohrady",Studio,29 m²,"CZK 5,875",Furnished,1,No,No,No,No,No,Yes,No,19. 06. 2022,159,612,67,290,33,373,307,359,795,244,,,,,,,,,,,,,,,,
563148,"CZK 9,800",50.0397083,14.4584435,"Budějovická, Prague - Krč",Studio,19 m²,"CZK 1,771",Furnished,1,No,No,No,No,No,No,No,01. 05. 2022,245,"1,205",382,928,252,528,887,"1,030","1,163",582,New build,"CZK 19,600",Personal,Brick building,,,,,B,,,Yes,,,,
715735,"CZK 25,000",49.99902,14.41595,"Dolnocholupická, Prague - Modřany",1 bedroom with open-plan kitchen,68 m²,"CZK 5,230",Furnished,5,No,Yes,Yes,No,Yes,Yes,Yes,01. 05. 2022,75,874,923,969,679,976,965,942,847,327,New build,"CZK 50,000",Personal,Brick building,,,,,C,,,,,,,
715170,"CZK 16,000",50.00325,14.39601,"K Sádkám, Prague - Velká Chuchle",1 bedroom with open-plan kitchen,46 m²,"CZK 4,000",Partially furnished,2,Yes,No,Yes,No,Yes,No,No,01. 05. 2022,539,"1,244","1,144","1,202","1,249","1,300","1,079",,,,Excellent,"CZK 20,000",Personal,Prefab concrete building,,,,,C,,,,,,,
680782,"CZK 10,000",50.08588,14.37037,"Nad Kajetánkou, Prague - Břevnov",Studio,40 m²,"CZK 1,600",Partially furnished,3,No,No,No,No,No,Yes,No,23. 08. 2021,187,746,406,601,143,440,468,285,745,626,Excellent,"CZK 15,000",Cooperative,Brick building,,District heating,Middle floor,Overall,G,,50 m²,,,,,
715436,"CZK 27,504",50.0925119,14.4502616,"Křižíkova, Prague - Karlín",Studio,40 m²,"CZK 9,168",Furnished,6,Yes,Yes,No,No,No,Yes,Yes,03. 06. 2022,81,251,125,181,24,205,369,"1,216",241,212,,,,,,,,,,,,,,,,
713507,"CZK 50,250",50.0710929,14.4032595,"Stroupežnického, Prague - Smíchov",3 bedroom with open-plan kitchen,90 m²,"CZK 16,750",Furnished,2,No,No,No,No,No,Yes,No,05. 05. 2022,140,528,224,126,38,67,511,"1,001","1,181",559,,,,,,,,,,,,,,,,
715733,"CZK 47,340",50.1025661,14.4522431,"Na Maninách, Prague - Holešovice",1 bedroom with open-plan kitchen,69 m²,"CZK 15,780",Furnished,6,Yes,Yes,No,No,No,Yes,No,29. 04. 2022,105,350,144,146,109,151,432,394,290,329,,,,,,,,,,,,,,,,
713587,"CZK 20,396",50.0668274,14.3966153,"U Nikolajky, Prague - Smíchov",Studio,35 m²,"CZK 6,799",Furnished,1,Yes,Yes,No,No,No,Yes,Yes,08. 06. 2022,234,341,228,706,128,428,324,536,546,328,,,,,,,,,,,,,,,,
713969,"CZK 35,175",50.0769346,14.4169603,"Na Zbořenci, Prague - Nové Město",2 bedroom,65 m²,"CZK 11,725",Furnished,4,No,No,No,No,No,Yes,No,01. 06. 2022,168,319,99,227,101,409,227,243,632,429,,,,,,,,,,,,,,,,
713497,"CZK 38,625",50.0895308,14.4237131,"Masná, Prague - Staré Město",1 bedroom,38 m²,"CZK 12,875",Furnished,4,No,No,No,No,No,Yes,No,17. 05. 2022,69,269,125,89,15,106,70,52,156,144,,,,,,,,,,,,,,,,
715371,"CZK 19,000",50.0317701,14.447565,"Višňová, Prague - Krč",1 bedroom with open-plan kitchen,54 m²,"CZK 4,000",Furnished,3,Yes,Yes,Yes,No,No,No,Yes,01. 06. 2022,69,406,395,817,928,"1,323",905,726,,,Excellent,"CZK 19,000",Personal,Prefab concrete building,1 to 10 years years,Central heating,Top floor,,B,Premium materials and solutions,,Yes,,,,
715731,"CZK 11,800",50.01441,14.44614,"Pšenčíkova, Prague - Kamýk",1 bedroom with open-plan kitchen,43 m²,"CZK 4,000",Partially furnished,5,No,No,Yes,Yes,Yes,Yes,No,01. 05. 2022,377,879,377,636,518,590,372,596,115,,Excellent,"CZK 15,800",Personal,Prefab concrete building,,,,,B,,,,,,,
439122,"CZK 21,000",50.0780926,14.4961297,Prague - Strašnice,3 bedroom,71 m²,"CZK 6,500",Partially furnished,,Yes,No,No,No,No,Yes,No,,257,447,215,535,448,488,665,427,"1,129",57,Excellent,"CZK 63,000",Personal,Prefab concrete building,,District heating,Raised ground floor,Overall,,,,,,,,
621246,"CZK 16,000",50.117855,14.475694,"Na Sypkém, Prague - Libeň",1 bedroom with open-plan kitchen,43 m²,"CZK 2,500",Furnished,3,No,No,No,No,No,No,No,01. 06. 2022,174,"1,483",516,506,775,847,"1,055","1,259",572,,Excellent,"CZK 20,000",,Brick building,1 to 10 years years,Electric boiler,,Overall,C,Premium materials and solutions,200 m²,,,,,
715724,"CZK 17,500",50.06505,14.55267,"Františka Jansy, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,48 m²,"CZK 3,500",Partially furnished,4,No,No,No,Yes,No,Yes,No,25. 04. 2022,178,872,476,395,647,"1,173",837,72,,,New build,"CZK 35,000",Cooperative,Brick building,,,,,A,,,,,,,
713524,"CZK 60,000",50.0757302,14.4269087,"Ječná, Prague - Nové Město",1 bedroom with open-plan kitchen,,"CZK 20,000",Furnished,3,No,No,No,No,No,No,No,29. 05. 2022,177,647,182,40,38,122,28,102,350,194,,,,,,,,,,,,,,,,
713522,"CZK 56,250",50.0766855,14.4294035,"Sokolská, Prague - Nové Město",1 bedroom with open-plan kitchen,45 m²,"CZK 18,750",Furnished,4,No,No,No,No,No,No,No,29. 04. 2022,212,525,185,151,68,162,317,392,109,262,,,,,,,,,,,,,,,,
713515,"CZK 36,338",50.0183023,14.5625656,"Ibišková, Prague - Křeslice",4 bedroom with open-plan kitchen,180 m²,"CZK 12,112",Furnished,1,Yes,Yes,No,No,No,No,Yes,01. 06. 2022,695,843,921,,,,,,,,,,,,,,,,,,,,,,,
715722,"CZK 12,000",50.12741,14.5036,"Terezínská, Prague - Letňany",1 bedroom with open-plan kitchen,54 m²,"CZK 4,500",Partially furnished,2,Yes,No,Yes,Yes,Yes,Yes,No,01. 06. 2022,248,911,152,941,485,"1,055",269,586,238,,Good,"CZK 16,500",Personal,Brick building,,,,,G,,,,,,,
715723,"CZK 41,250",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",2 bedroom,50 m²,"CZK 13,750",Furnished,-1,No,No,No,No,No,No,No,16. 05. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,
500192,"CZK 12,000",50.056036,14.505237,"Jabloňová, Prague - Záběhlice",Studio,25 m²,"CZK 1,900",Furnished,6,No,No,Yes,No,No,Yes,No,18. 05. 2022,191,467,454,725,179,741,648,500,937,363,,"CZK 25,000",Personal,Prefab concrete building,,District heating,Middle floor,Overall,C,,,,,,,
519806,"CZK 15,500",50.1184842,14.3885308,Prague - Dejvice,1 bedroom with open-plan kitchen,55 m²,"CZK 3,500",Partially furnished,2,Yes,No,No,No,No,No,No,01. 05. 2022,355,"1,031",912,988,796,852,,,,,,"CZK 15,500",Personal,Brick building,,Gas boiler,,,,,,,,,,
713502,"CZK 59,100",50.0882082,14.4262296,"Rybná, Prague - Staré Město",2 bedroom with open-plan kitchen,86 m²,"CZK 19,700",Furnished,2,Yes,No,No,No,No,No,No,29. 05. 2022,281,192,58,183,11,369,315,297,289,305,,,,,,,,,,,,,,,,
586444,"CZK 13,000",50.065122,14.360649,"V Cibulkách, Prague - Košíře",1 bedroom with open-plan kitchen,40 m²,"CZK 3,500",Furnished,,No,No,No,No,No,No,No,01. 05. 2022,123,"1,431",908,"1,113",280,"1,005",811,395,304,400,Excellent,"CZK 16,500",Personal,Brick building,,Other,,,B,,,,,,,
715714,"CZK 16,200",50.06133,14.39786,"Radlická, Prague - Smíchov",2 bedroom,47 m²,CZK 650,Partially furnished,3,Yes,No,No,No,No,No,No,25. 04. 2022,32,953,43,803,4,498,416,516,623,501,Excellent,"CZK 16,200",Personal,Brick building,,,,,G,,,,,,,
715713,"CZK 12,000",50.06851,14.43809,"Perucká, Prague - Vinohrady",Studio,25 m²,"CZK 3,000",Partially furnished,3,No,Yes,No,No,No,No,No,30. 04. 2022,543,662,441,769,469,743,529,451,635,750,New build,"CZK 24,000",Personal,Brick building,1 to 10 years years,District heating,Middle floor,Overall,G,Standard materials and solutions,,,,,,
313038,"CZK 13,000",50.0730831,14.4684947,"Ruská, Prague - Vršovice",1 bedroom,52 m²,"CZK 1,150",Partially furnished,,No,No,No,No,No,Yes,No,01. 05. 2022,183,752,266,552,259,312,431,316,569,79,,"CZK 13,000",Personal,Brick building,,,Ground floor,,,,,,,,,
715567,"CZK 30,000",50.08245,14.41407,"Divadelní, Prague - Staré Město",1 bedroom with open-plan kitchen,82 m²,"CZK 5,000",Furnished,,No,No,No,No,No,No,No,23. 04. 2022,262,940,205,293,96,141,487,443,399,363,Excellent,"CZK 30,000",Personal,Brick building,,Gas boiler,Middle floor,Interior,D,Premium materials and solutions,,,,,,
715136,"CZK 17,000",50.10576,14.47402,"Světova, Prague - Libeň",1 bedroom with open-plan kitchen,55 m²,"CZK 4,000",Furnished,2,No,No,No,No,No,No,No,22. 04. 2022,108,659,106,144,91,160,270,445,414,316,Excellent,"CZK 21,000",Personal,Brick building,,,,,G,,,,,,,
418600,"CZK 13,000",50.1263568,14.4202859,"Hnězdenská, Prague - Troja",1 bedroom with open-plan kitchen,38 m²,"CZK 3,000",Partially furnished,9,No,No,No,No,No,Yes,No,01. 07. 2022,226,259,273,329,123,274,781,971,"1,249",401,,"CZK 15,000",Personal,Prefab concrete building,10 to 30 years years,Central heating,Middle floor,,,Standard materials and solutions,,,,,,
713495,"CZK 49,650",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,53 m²,"CZK 16,550",Furnished,3,No,No,No,No,No,Yes,No,06. 06. 2022,281,192,58,183,11,368,315,297,289,305,,,,,,,,,,,,,,,,
713501,"CZK 33,750",50.0718291,14.4385892,"Americká, Prague - Vinohrady",1 bedroom,43 m²,"CZK 11,250",Furnished,4,No,No,No,No,No,Yes,No,16. 05. 2022,274,300,81,587,69,312,103,253,793,568,,,,,,,,,,,,,,,,
713470,"CZK 32,175",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",Studio,30 m²,"CZK 10,725",Furnished,3,No,No,No,No,No,Yes,No,16. 05. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,
