Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Age,Design,Heating,Total number of floors,New building,Front garden,Administration fee,Renovation,Developer name,Project name,Kód jednotky,Investment Advisor
588635,"CZK 27,000",50.096351,14.359043,"Kladenská, Prague - Vokovice",2 bedroom,61 m²,"CZK 5,000",Furnished,3,Yes,No,Yes,No,Yes,Yes,No,01. 08. 2022,253,190,100,213,109,59,310,464,"1,312",277,Excellent,"CZK 50,000",Personal,Brick building,C,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,,,,Overall,,,,
719670,"CZK 18,490",50.09309888888,14.49509166666,"Křivá, Prague - Žižkov",3 bedroom,73 m²,"CZK 2,798",Partially furnished,3,Yes,No,No,No,No,Yes,No,,155,355,259,664,254,377,470,519,734,38,Excellent,"CZK 21,288",Personal,Prefab concrete building,G,,,,,,,"CZK 21,288

                                
                                
                
i",,,,,
719667,"CZK 13,000",50.066714,14.3093255,"Šimonova, Prague - Řepy",2 bedroom,74 m²,"CZK 2,000",Partially furnished,4,No,No,Yes,No,No,Yes,No,24. 05. 2022,205,339,189,558,253,306,312,477,"1,229",308,Excellent,"CZK 30,000",Personal,Prefab concrete building,A,,,,,,,,,,,,
622119,"CZK 16,500",50.08373,14.449294,"Víta Nejedlého, Prague - Žižkov",Studio,32 m²,"CZK 2,000",Furnished,,No,No,No,No,No,No,No,24. 05. 2022,296,133,104,160,115,154,141,250,293,523,Excellent,"CZK 18,500",Personal,Brick building,G,,,,,,,,,,,,
529892,"CZK 11,500",50.0599289,14.3998514,Prague - Smíchov,1 bedroom,39 m²,"CZK 4,500",Partially furnished,3,No,No,Yes,No,Yes,No,No,20. 05. 2022,316,"1,018",343,"1,041",336,497,717,856,778,620,Excellent,"CZK 16,000",Personal,Brick building,C,1 to 10 years years,Standard materials and solutions,Central heating,Attic,,,,Overall,,,,
719497,"CZK 64,900",50.07583,14.45658,"Kolínská, Prague - Vinohrady",3 bedroom with open-plan kitchen,150 m²,"CZK 1,500",Furnished,5,Yes,No,No,No,No,Yes,No,01. 06. 2022,216,489,4,268,93,379,242,430,867,238,Excellent,"CZK 66,400",Personal,Brick building,G,,,,,,,,,,,,
713073,"CZK 16,000",50.07784,14.49749,"Vrátkovská, Prague - Strašnice",2 bedroom,52 m²,"CZK 5,756",Partially furnished,2,No,No,Yes,No,No,No,No,01. 05. 2022,242,489,146,575,314,529,552,469,"1,195",154,Good,"CZK 40,000",Cooperative,Prefab concrete building,D,,,District heating,Middle floor,,,,,,,,
200787,"CZK 11,000",50.0862496,14.3728458,"Nad Kajetánkou, Prague - Břevnov",1 bedroom with open-plan kitchen,42 m²,"CZK 2,000",Partially furnished,4,No,No,Yes,No,No,No,No,23. 05. 2022,91,786,420,610,183,313,414,323,618,437,Excellent,"CZK 10,000",Personal,Brick building,C,,,,Middle floor,,,,Exterior,,,,
719651,"CZK 11,500",50.04348,14.56682,"Hornoměcholupská, Prague - Horní Měcholupy",Studio,39 m²,"CZK 2,500",Partially furnished,6,Yes,No,No,No,Yes,Yes,No,30. 06. 2022,43,957,198,769,671,191,619,618,"1,159",537,New build,"CZK 14,000",Personal,Brick building,C,,,,,,,,,,,,
389375,"CZK 21,000",50.04816,14.3027984,"Svitákova, Prague - Stodůlky",1 bedroom with open-plan kitchen,53 m²,"CZK 5,000",Partially furnished,2,Yes,No,No,No,Yes,Yes,Yes,01. 07. 2022,371,315,162,327,"1,100","1,068",695,856,36,,Excellent,"CZK 26,000",Personal,Brick building,C,,,,Middle floor,,,,,,,,
646876,"CZK 23,000",50.060409,14.432629,"5. Května, Prague - Nusle",2 bedroom with open-plan kitchen,78 m²,"CZK 2,000",Partially furnished,3,No,No,No,No,No,Yes,No,01. 06. 2022,371,"1,048",147,459,22,408,419,587,530,558,Good,"CZK 23,000",Personal,Brick building,B,1 to 10 years years,Standard materials and solutions,Gas boiler,Middle floor,,,,,,,,
717047,"CZK 11,000",50.03005,14.52899,"Bajkonurská, Prague - Háje",Studio,27 m²,"CZK 3,000",Furnished,11,No,No,No,No,No,Yes,No,01. 07. 2022,81,451,106,146,121,182,440,384,242,271,Excellent,"CZK 14,000",Personal,Prefab concrete building,C,,,,,,,,,,,,
668495,"CZK 10,720",50.0906,14.42659,"Dlouhá, Prague - Staré Město",Studio,20 m²,"CZK 1,636",Furnished,1,No,No,No,No,No,No,No,28. 06. 2022,41,198,37,96,50,175,164,258,181,232,Excellent,"CZK 25,000",Personal,Brick building,G,,,,,,,,,,,,
629549,"CZK 12,500",50.076491,14.49151,"Černokostelecká, Prague - Strašnice",1 bedroom with open-plan kitchen,52 m²,"CZK 4,460",Furnished,2,No,No,Yes,No,No,Yes,No,01. 02. 2021,111,103,86,189,62,297,293,528,900,288,Excellent,"CZK 17,000",Personal,Brick building,D,,Standard materials and solutions,Other,Middle floor,,,,Exterior,,,,
718249,"CZK 14,300",50.11169,14.47157,"Kandertova, Prague - Libeň",2 bedroom,55 m²,"CZK 3,650",Unfurnished,3,Yes,No,Yes,No,Yes,Yes,No,11. 05. 2022,291,"1,262",320,747,315,315,457,"1,156",393,266,Excellent,"CZK 28,600",Personal,Brick building,G,,,,,,,,,,,,
685806,"CZK 14,000",50.10277,14.58471,"Bryksova, Prague - Černý Most",1 bedroom with open-plan kitchen,45 m²,"CZK 4,259",Furnished,3,Yes,No,Yes,No,No,Yes,No,01. 07. 2022,498,807,489,742,738,"1,048","1,452",881,438,,Excellent,"CZK 20,000",Personal,Prefab concrete building,G,,Standard materials and solutions,District heating,Middle floor,,,,Overall,,,,
643557,"CZK 10,000",50.057177,14.496205,"Jabloňová, Prague - Záběhlice",1 bedroom,33 m²,"CZK 4,200",Partially furnished,13,No,No,No,Yes,No,Yes,No,01. 06. 2022,135,560,149,865,326,74,241,685,273,209,Excellent,"CZK 15,000",Personal,Prefab concrete building,F,,,,,,,,Bathroom unit,,,,
578793,"CZK 11,500",50.064006,14.510408,"Konojedská, Prague - Strašnice",1 bedroom,33 m²,"CZK 3,500",Furnished,1,Yes,No,No,No,No,Yes,No,14. 02. 2022,321,574,"1,181",15,565,319,393,407,313,,Excellent,"CZK 15,000",Personal,Brick building,D,1 to 10 years years,Standard materials and solutions,Central heating,Middle floor,,,,Interior,,,,
707434,"CZK 14,500",50.10608,14.58416,"Bryksova, Prague - Černý Most",1 bedroom with open-plan kitchen,39 m²,"CZK 3,000",Furnished,2,No,No,No,No,Yes,Yes,No,30. 05. 2022,514,563,440,487,523,834,"1,462",667,500,,Good,"CZK 29,000",Personal,Prefab concrete building,G,,Standard materials and solutions,District heating,,,,,,,,,
715590,"CZK 43,775",50.09912,14.43261,Prague - Holešovice,3 bedroom with open-plan kitchen,113 m²,"CZK 5,500",Unfurnished,4,No,No,Yes,No,No,Yes,No,01. 06. 2022,54,722,20,64,99,38,187,"1,475",177,471,New build,"CZK 87,550",Personal,Brick building,A,,,Central heating,Top floor,Yes,,,Overall,,,,
387964,"CZK 15,900",50.1289317,14.4833692,"Střelničná, Prague - Libeň",1 bedroom with open-plan kitchen,47 m²,"CZK 2,900",Unfurnished,6,Yes,No,No,Yes,Yes,Yes,Yes,01. 06. 2022,124,"1,141",217,"1,196",532,210,330,689,"1,026",266,New build,"CZK 20,000",Personal,Brick building,B,1 to 10 years years,,District heating,Middle floor,Yes,,,,,,,
501700,"CZK 7,500",50.093780231613,14.532926958722,"Třešňová, Prague - Hloubětín",Small studio,25 m²,"CZK 3,500",Furnished,1,No,No,No,No,No,No,No,ihned,327,713,"1,048","1,028","1,391","1,207","1,334",722,591,,,"CZK 8,000",Personal,Brick building,,1 to 10 years years,,,,Yes,,,,,,,
718219,"CZK 23,700",49.99877,14.50837,"Radešovská, Prague - Šeberov",3 bedroom with open-plan kitchen,96 m²,"CZK 1,800",Furnished,1,Yes,Yes,No,No,Yes,No,No,01. 08. 2022,"1,057","1,144","1,055","1,096",,,,,,,Excellent,"CZK 47,400",Personal,Brick building,B,1 to 10 years years,Premium materials and solutions,Geothermal heat pump,Middle floor,,150 m²,,Overall,,,,
270998,"CZK 13,500",50.0921196,14.4735725,Prague - Žižkov,1 bedroom,48 m²,"CZK 4,580",Furnished,1,No,No,No,No,No,No,No,01. 07. 2022,180,"1,315",183,160,322,303,176,398,203,37,Excellent,"CZK 15,000",Personal,Brick building,,,,,Ground floor,,,,,,,,
719057,"CZK 20,000",50.08554,14.44835,"Blahníkova, Prague - Žižkov",2 bedroom,45 m²,"CZK 4,500",Furnished,2,No,No,Yes,No,No,Yes,No,06. 06. 2022,237,333,118,340,77,301,68,161,205,648,Excellent,"CZK 30,000",Personal,Brick building,G,,,,,,,,,,,,
623687,"CZK 9,300",50.033736,14.416191,"Vrbova, Prague - Braník",Studio,25 m²,"CZK 2,000",,,No,No,No,No,No,No,No,13. 06. 2022,146,647,220,157,192,520,382,"1,345",184,,Excellent,"CZK 15,000",Personal,Brick building,C,,,,,,,,,,,,
499676,"CZK 25,000",50.0994122,14.3941687,"Buzulucká, Prague - Dejvice",1 bedroom with open-plan kitchen,50 m²,"CZK 2,000",Furnished,2,Yes,No,Yes,No,No,Yes,No,01. 06. 2022,151,262,224,216,112,298,662,277,432,406,Excellent,"CZK 35,000",Personal,Brick building,,,Standard materials and solutions,Electric boiler,Middle floor,,,,Overall,,,,
719627,"CZK 16,824",50.10552,14.44651,"Osadní, Prague - Holešovice",2 bedroom,42 m²,"CZK 1,491",Furnished,3,No,No,No,No,No,No,No,01. 01. 1970,242,247,91,260,122,115,448,600,316,401,Excellent,"CZK 34,000",Personal,Brick building,A,,,,,,,,,,,,
719624,"CZK 29,500",50.08853,14.48154,"Olgy Havlové, Prague - Žižkov",2 bedroom with open-plan kitchen,120 m²,"CZK 4,500",Furnished,1,Yes,Yes,Yes,No,Yes,Yes,Yes,12. 06. 2022,304,"1,020",529,743,339,785,609,393,470,364,New build,"CZK 29,500",Personal,Low-energy building,B,,,,,,,,,,,,
719623,"CZK 20,000",50.07154,14.47738,"Litevská, Prague - Vršovice",2 bedroom with open-plan kitchen,72 m²,"CZK 4,500",Partially furnished,2,No,No,No,No,No,Yes,No,01. 07. 2022,122,63,139,255,96,56,156,230,452,239,Good,,Personal,Brick building,E,,,,,,,,,,,,
719622,"CZK 16,400",50.0859655,14.3453253,"Nad Alejí, Prague - Břevnov",2 bedroom,54 m²,"CZK 3,150",Furnished,4,Yes,No,No,No,No,No,No,01. 06. 2022,71,631,288,366,150,384,287,260,665,200,Excellent,"CZK 16,800",Personal,Prefab concrete building,G,,,,,,,,,,,,
719620,"CZK 13,000",50.14109,14.51582,"Letovská, Prague - Letňany",1 bedroom with open-plan kitchen,44 m²,"CZK 3,500",Partially furnished,2,No,No,Yes,No,No,No,No,23. 05. 2022,104,600,657,"1,126",509,623,774,683,974,371,Excellent,"CZK 15,000",Cooperative,Prefab concrete building,G,,,,,,,,,,,,
405005,"CZK 16,000",50.079818115847,14.486180887836,"Počernická, Prague - Strašnice",1 bedroom with open-plan kitchen,65 m²,"CZK 3,000",Partially furnished,4,No,No,No,Yes,No,No,No,23. 05. 2022,177,742,279,472,322,341,765,646,312,243,,"CZK 20,000",Personal,Brick building,,,,District heating,Middle floor,,,,,,,,
128351,"CZK 10,500",50.1434677,14.4325961082,"Křivenická, Prague - Čimice",Small studio,27 m²,"CZK 2,300",Furnished,1,No,No,Yes,No,Yes,No,No,25. 05. 2022,221,528,562,509,546,918,686,83,,,Excellent,"CZK 12,800",Personal,Prefab concrete building,,,,District heating,,,,,,,,,
719619,"CZK 14,206",50.01184,14.42898,"Hasova, Prague - Modřany",1 bedroom with open-plan kitchen,43 m²,"CZK 1,499",Partially furnished,7,No,No,No,No,No,Yes,No,23. 05. 2022,482,"1,463",393,"1,324",562,921,200,477,456,182,Good,"CZK 28,000",Personal,Prefab concrete building,B,,,,,,,,,,,,
100882,"CZK 13,600",50.0924491,14.4347928,"Klimentská, Prague - Nové Město",Studio,27 m²,"CZK 1,950",Partially furnished,2,No,No,No,No,No,No,No,,286,515,146,391,94,299,195,371,659,330,,"CZK 18,000",Personal,Brick building,,,,,,,,,,,,,
603216,"CZK 15,898",50.051676,14.491425,Prague - Záběhlice,1 bedroom with open-plan kitchen,58 m²,"CZK 3,500",Partially furnished,4,No,Yes,No,No,No,Yes,Yes,01. 07. 2022,236,"1,257",333,"1,219",240,730,506,980,538,362,Excellent,"CZK 19,000",Personal,Brick building,A,10 to 30 years years,Premium materials and solutions,District heating,Top floor,,,,,,,,
719609,"CZK 11,500",50.06428,14.4453,"Čestmírova, Prague - Nusle",Studio,32 m²,"CZK 2,000",Partially furnished,3,No,No,Yes,No,No,Yes,No,01. 06. 2022,324,531,20,275,283,282,572,797,777,683,Good,"CZK 11,500",Personal,Brick building,F,,,,,,,,,,,,
226603,"CZK 17,790",50.1010663,14.3658334,Prague - Dejvice,2 bedroom,55 m²,"CZK 3,180",Partially furnished,1,No,No,No,Yes,No,No,No,01. 06. 2022,371,778,804,414,512,679,906,703,"1,121",189,Excellent,"CZK 20,000",Personal,Brick building,,,Standard materials and solutions,District heating,Middle floor,,,,Overall,,,,
671330,"CZK 15,000",50.05852,14.427,"Sinkulova, Prague - Podolí",1 bedroom with open-plan kitchen,54 m²,"CZK 3,500",Partially furnished,2,No,No,No,No,No,No,No,01. 06. 2022,181,510,154,499,195,357,550,330,201,179,Excellent,"CZK 29,905",Personal,Brick building,G,,,,,,,,,,,,
603987,"CZK 9,000",50.141954,14.435524,"Křivenická, Prague - Čimice",Studio,20 m²,"CZK 1,700",Furnished,4,No,No,No,No,No,No,No,18. 06. 2022,508,512,546,314,530,677,624,324,,,Excellent,"CZK 10,000",Personal,Prefab concrete building,C,,,District heating,Top floor,,,,Overall,,,,
677757,"CZK 10,000",50.06484,14.42661,"Nezamyslova, Prague - Nusle",Studio,31 m²,"CZK 3,000",Furnished,,No,No,Yes,No,No,No,No,03. 08. 2021,118,606,34,402,50,332,586,637,455,268,Good,,Personal,Brick building,G,,,,,,,,,,,,
719032,"CZK 16,000",50.12741,14.50208,"Zlonická, Prague - Letňany",1 bedroom with open-plan kitchen,56 m²,"CZK 5,000",Partially furnished,4,Yes,No,No,No,No,Yes,No,01. 06. 2022,171,787,107,816,621,752,305,464,"1,491",320,Excellent,"CZK 32,000",Personal,Brick building,G,,,,,,,,,,,,
534737,"CZK 15,600",50.105589,14.538816,"Zelenečská, Prague - Hloubětín",1 bedroom with open-plan kitchen,54 m²,"CZK 2,350",Partially furnished,4,Yes,No,Yes,No,No,No,No,30. 06. 2022,43,36,47,54,235,109,495,417,295,266,Excellent,"CZK 35,900",Personal,Brick building,C,1 to 10 years years,Premium materials and solutions,District heating,Top floor,,,,Overall,,,,
719592,"CZK 10,490",50.10532666666,14.50215055555,"Freyova, Prague - Vysočany",Studio,33 m²,"CZK 3,314",Furnished,17,No,No,No,No,No,Yes,No,,407,741,349,410,282,694,475,506,687,234,New build,"CZK 13,804",Personal,Brick building,E,,,,,Yes,,"CZK 13,804

                                
                                
                
i",,,,,
719029,"CZK 24,127",50.1308,14.41263,"Zelenohorská, Prague - Bohnice",3 bedroom,68 m²,"CZK 3,292",Partially furnished,1,No,No,No,No,No,No,No,18. 05. 2022,125,741,276,671,224,738,540,524,233,,Excellent,"CZK 25,000",Personal,Brick building,B,,,,,,,,,,,,
626750,"CZK 25,900",50.038775,14.395989,"Na Srpečku, Prague - Hlubočepy",3 bedroom,83 m²,"CZK 4,900",Partially furnished,1,No,Yes,Yes,No,Yes,No,No,01. 06. 2022,138,776,733,795,620,578,654,,,,Excellent,"CZK 25,900",Personal,Brick building,B,,,Gas boiler,Raised ground floor,,,,Overall,,,,
503608,"CZK 18,000",50.03414,14.51408,"Markušova, Prague - Chodov",2 bedroom with open-plan kitchen,67 m²,"CZK 4,000",Partially furnished,6,No,No,Yes,Yes,No,Yes,No,01. 06. 2022,230,638,202,"1,325",394,619,294,27,206,156,Excellent,"CZK 36,000",Personal,Prefab concrete building,C,10 to 30 years years,Standard materials and solutions,District heating,Middle floor,,,,Overall,,,,
658307,"CZK 18,000",50.0669306,14.4968761,Prague - Strašnice,2 bedroom,57 m²,"CZK 3,000",,3,No,No,Yes,No,No,Yes,No,Ihned,52,"1,351",38,"1,054",53,350,401,151,722,239,Excellent,"CZK 25,000",Personal,Brick building,C,,,District heating,Middle floor,,,,Overall,,,,
529382,"CZK 16,000",50.0794638,14.4867392,Prague - Strašnice,1 bedroom with open-plan kitchen,58 m²,"CZK 3,500",Partially furnished,2,Yes,No,No,No,Yes,Yes,Yes,01. 06. 2022,249,684,351,414,264,346,707,739,384,186,Excellent,"CZK 16,000",Personal,Brick building,B,1 to 10 years years,Standard materials and solutions,District heating,Middle floor,,,,Overall,,,,
667613,"CZK 22,000",50.02237,14.44238,"Dobřejovická, Prague - Lhotka",4 bedroom,87 m²,"CZK 5,000",Partially furnished,1,No,No,No,Yes,No,No,No,01. 06. 2022,231,777,279,758,824,783,421,443,966,385,Excellent,"CZK 50,000",Cooperative,Prefab concrete building,G,,,,,,,,,,,,
719023,"CZK 19,291",50.08065,14.431,"Washingtonova, Prague - Nové Město",Studio,27 m²,"CZK 3,200",Furnished,2,No,No,No,No,No,Yes,No,15. 06. 2022,124,331,157,252,102,6,301,804,219,527,Excellent,"CZK 38,582",Personal,Brick building,G,,,,,,,,,,,,
596022,"CZK 30,000",50.071549,14.446247,"Voroněžská, Prague - Vršovice",3 bedroom with open-plan kitchen,110 m²,"CZK 5,000",,4,Yes,No,No,No,No,Yes,No,03. 06. 2022,88,582,11,510,62,650,453,440,253,242,Good,"CZK 70,000",Personal,Brick building,G,,,,,,,,,,,,
677572,"CZK 20,000",50.02448,14.49515,"Nechvílova, Prague - Chodov",3 bedroom with open-plan kitchen,97 m²,"CZK 4,000",Furnished,4,No,No,No,No,No,Yes,No,01. 07. 2022,308,521,295,620,300,487,326,283,300,162,Excellent,"CZK 30,000",Personal,Prefab concrete building,G,,,District heating,Middle floor,,,,Overall,,,,
718087,"CZK 20,000",50.07264,14.3888,"Holečkova, Prague - Smíchov",3 bedroom,84 m²,"CZK 5,900",Partially furnished,3,No,No,No,No,No,No,No,15. 06. 2022,205,"1,222",188,961,230,"1,108",467,760,"1,277",223,Excellent,"CZK 20,000",Personal,Brick building,B,,,,,,,,,,,,
698777,"CZK 32,000",50.10128,14.42327,"Ovenecká, Prague - Bubeneč",4 bedroom,126 m²,"CZK 7,000",Partially furnished,1,No,No,Yes,No,Yes,No,No,01. 06. 2022,171,212,116,136,19,176,492,383,293,,Excellent,,Personal,Brick building,G,,,,,,,,,,,,
