Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Floor,Heating,Total number of floors,Renovation,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,New building,Age,Front garden,Administration fee,Developer name,Project name,Kód jednotky
713969,"CZK 50,250",50.0769346,14.4169603,"Na Zbořenci, Prague - Nové Město",1 bedroom with open-plan kitchen,,65 m²,"CZK 16,750",,,,Furnished,No,No,No,No,No,Yes,No,01. 06. 2022,,4,,,,168,319,99,227,101,409,227,243,632,429,,,,,,,,
713968,"CZK 32,250",50.0769346,14.4169603,"Na Zbořenci, Prague - Nové Město",1 bedroom,,48 m²,"CZK 10,750",,,,Furnished,No,Yes,No,No,No,Yes,No,16. 05. 2022,,1,,,,168,319,99,227,101,409,227,243,632,429,,,,,,,,
257303,"CZK 18,000",50.0702435,14.3993777,"Na Zatlance, Prague - Smíchov",1 bedroom with open-plan kitchen,,49 m²,"CZK 3,000","CZK 30,000",Personal,Brick building,Furnished,No,No,No,No,No,No,No,01. 07. 2022,,3,Other,Middle floor,Interior,329,223,215,246,224,306,73,691,743,262,Standard materials and solutions,,over 50 years years,,,,,
713960,"CZK 21,000",50.0519,14.43436,"Pujmanové, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,69 m²,"CZK 4,000","CZK 30,000",Personal,Prefab concrete building,Furnished,No,No,No,No,No,Yes,No,01. 05. 2022,G,3,,,,337,842,397,240,391,122,102,158,420,208,,,,,,,,
613301,"CZK 12,000",50.028827,14.603343,"náměstí Bratří Jandusů, Prague - Uhříněves",Studio,Excellent,27 m²,"CZK 1,500","CZK 18,000",Personal,Low-energy building,Furnished,Yes,No,Yes,No,No,No,No,16. 04. 2022,B,3,Central heating,,,155,495,165,504,187,517,147,502,322,582,Standard materials and solutions,Yes,1 to 10 years years,,,,,
713957,"CZK 13,500",50.05568,14.44744,"Na Výsledku I, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,450","CZK 20,000",Personal,Brick building,Partially furnished,No,No,Yes,No,No,No,No,18. 04. 2022,G,2,,,,487,830,219,518,526,"1,087",389,229,878,357,,,,,,,,
705725,"CZK 150,000",50.09114,14.41807,"Pařížská, Prague - Josefov",6 bedroom with open-plan kitchen,Excellent,322 m²,"CZK 15,000","CZK 165,000",Personal,Brick building,Unfurnished,No,Yes,No,No,No,Yes,No,09. 02. 2022,G,6,,,,50,344,274,458,40,435,343,586,60,470,,,,,,,,
708594,"CZK 14,500",50.07206,14.38986,"Plzeňská, Prague - Smíchov",3 bedroom,Excellent,55 m²,"CZK 1,000","CZK 19,000",Personal,Brick building,Partially furnished,No,No,No,No,Yes,No,No,01. 03. 2022,F,1,,,,194,"1,231",107,823,149,953,414,909,"1,140",247,,,,,,,,
713260,"CZK 13,500",50.0995426,14.3993071,"Kyjevská, Prague - Bubeneč",1 bedroom with open-plan kitchen,Excellent,47 m²,"CZK 4,000","CZK 20,000",Personal,Brick building,Furnished,No,No,No,No,No,Yes,No,01. 05. 2022,G,4,Gas boiler,Middle floor,,246,303,106,114,25,199,299,630,280,265,Standard materials and solutions,,,,,,,
630457,"CZK 16,000",50.071753,14.431997,"Lublaňská, Prague - Nové Město",Small studio,Good,25 m²,"CZK 2,000",,Other,Brick building,Furnished,No,No,No,No,No,No,No,12. 10. 2020,E,2,,,,216,344,70,346,22,280,306,274,647,724,,,,,,,,
713947,"CZK 13,500",50.04372,14.44541,"Olbrachtova, Prague - Krč",1 bedroom with open-plan kitchen,Excellent,54 m²,"CZK 3,800","CZK 20,000",Cooperative,Prefab concrete building,Partially furnished,No,No,Yes,No,Yes,No,No,01. 05. 2022,G,2,,,,169,307,58,241,40,275,225,175,829,363,,,,,,,,
653924,"CZK 16,500",50.06578,14.46399,"Baškirská, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,61 m²,"CZK 5,500","CZK 20,000",Personal,Prefab concrete building,Furnished,Yes,Yes,Yes,No,Yes,Yes,No,01. 06. 2022,C,9,,,,309,593,321,558,302,809,742,158,257,524,,,,,,,,
695859,"CZK 20,000",50.02611,14.44741,"Mezilesní, Prague - Lhotka",3 bedroom with open-plan kitchen,Excellent,68 m²,"CZK 4,500","CZK 40,000",Personal,Prefab concrete building,Partially furnished,No,No,Yes,No,Yes,No,No,07. 04. 2022,B,3,District heating,Top floor,Interior,182,987,554,"1,186",580,899,337,703,659,352,,,,,,,,
553703,"CZK 11,500",50.1265799,14.4350459,"Vřesová, Prague - Troja",Studio,,25 m²,"CZK 2,500","CZK 14,000",Personal,Prefab concrete building,Furnished,Yes,No,No,No,No,Yes,No,06. 04. 2022,,5,District heating,Middle floor,,135,685,252,"1,387",528,784,745,630,383,503,Standard materials and solutions,Yes,1 to 10 years years,,,,,
713937,"CZK 12,500",50.04296,14.54931,"Padovská, Prague - Horní Měcholupy",Studio,Excellent,31 m²,"CZK 1,913","CZK 25,000",Personal,Brick building,Furnished,Yes,No,Yes,No,No,Yes,No,01. 05. 2022,G,6,,,,434,655,512,960,783,878,562,649,736,321,,,,,,,,
705375,"CZK 15,700",50.13315,14.40527,"Dolákova, Prague - Bohnice",3 bedroom,Excellent,77 m²,"CZK 4,200","CZK 30,000",Personal,Prefab concrete building,Partially furnished,No,No,Yes,No,No,Yes,No,01. 05. 2022,G,5,District heating,,Bathroom unit,476,"1,414",528,"1,344",603,"1,411",212,872,687,,,,,,,,,
465966,"CZK 19,000",50.0931427,14.4569598,"Březinova, Prague - Karlín",1 bedroom with open-plan kitchen,,49 m²,"CZK 2,000","CZK 20,000",Personal,Brick building,Partially furnished,Yes,No,No,No,No,No,No,01. 02. 2022,A,2,,Middle floor,Overall,314,772,119,373,54,236,192,"1,340",287,436,Standard materials and solutions,,,50 m²,,,,
491989,"CZK 19,500",50.0852863,14.4414487,"Seifertova, Prague - Žižkov",2 bedroom,Excellent,60 m²,"CZK 3,800","CZK 30,000",Personal,Brick building,Furnished,No,No,No,No,No,Yes,No,01. 05. 2022,,5,Other,Middle floor,Overall,218,542,89,201,47,541,464,291,642,468,Standard materials and solutions,,,,,,,
703481,"CZK 28,000",50.07345,14.43326,"Bělehradská, Prague - Vinohrady",2 bedroom with open-plan kitchen,Excellent,107 m²,CZK 920,"CZK 28,000",Personal,Brick building,Unfurnished,No,No,No,No,No,Yes,No,01. 05. 2022,G,3,,,,51,343,14,58,5,131,164,263,682,770,,,,,,,,
519620,"CZK 17,000",50.0610745,14.4381486,Prague - Nusle,1 bedroom with open-plan kitchen,Excellent,57 m²,"CZK 2,500","CZK 25,000",Personal,Brick building,Partially furnished,Yes,No,Yes,No,No,No,No,10. 04. 2022,,2,,,,134,655,158,471,93,382,369,753,93,202,,,,20 m²,,,,
704809,"CZK 12,500",50.10365925,14.496393654922,"Lisabonská, Prague - Libeň",Studio,New build,17 m²,"CZK 3,000","CZK 15,500",Personal,Brick building,Furnished,No,No,No,No,No,Yes,No,01. 04. 2022,G,6,Central heating,,Overall,259,641,512,240,238,214,699,"1,065",467,443,,,,,,,,
713926,"CZK 18,000",50.06363,14.5918,"Starodubečská, Prague - Dubeč",2 bedroom with open-plan kitchen,Excellent,67 m²,"CZK 4,100","CZK 30,000",Personal,Brick building,Unfurnished,No,Yes,No,No,Yes,No,No,12. 04. 2022,G,2,Gas boiler,Middle floor,Overall,48,487,319,195,77,263,577,,,,Standard materials and solutions,,1 to 10 years years,,,,,
297151,"CZK 15,000",50.071252,14.464839,Prague - Vršovice,1 bedroom,,48 m²,"CZK 4,000","CZK 19,000",Personal,Brick building,Furnished,Yes,No,No,No,No,No,No,01. 06. 2022,A,2,,Middle floor,Interior,2,708,126,624,266,585,373,276,760,245,,,,,,,,
