Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,Heating,Total number of floors,Renovation,Age,New building,Administration fee,Front garden,Developer name,Project name,Kód jednotky
413854,"CZK 13,000",50.0652691,14.5053347,"Na Padesátém, Prague - Strašnice",1 bedroom with open-plan kitchen,Excellent,57 m²,"CZK 8,200","CZK 13,000",Personal,Prefab concrete building,,4,No,No,Yes,No,No,No,No,03. 04. 2022,C,99,"1,101",484,776,320,535,595,575,746,424,Standard materials and solutions,District heating,Top floor,,,,,,,,
517158,"CZK 30,000",50.101426,14.3708397,Prague - Dejvice,3 bedroom,,85 m²,"CZK 6,000","CZK 60,000",Personal,Brick building,Unfurnished,3,Yes,No,No,Yes,No,No,No,13. 04. 2022,G,295,930,440,566,439,345,742,855,774,312,,Gas boiler,Attic,,,,,,,,
704234,"CZK 20,000",50.09782,14.36655,"Kladenská, Prague - Vokovice",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,000","CZK 40,000",Personal,Brick building,Partially furnished,3,No,No,Yes,No,No,No,No,01. 04. 2022,G,459,383,480,389,33,259,773,611,901,105,Premium materials and solutions,Gas boiler,Middle floor,Overall,,,,,,,
712057,"CZK 16,500",50.02426,14.52633,"Loosova, Prague - Háje",1 bedroom with open-plan kitchen,New build,50 m²,"CZK 3,600","CZK 33,000",Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,Yes,Yes,30. 03. 2022,B,514,"1,282",576,977,362,838,360,777,"1,073",198,Standard materials and solutions,District heating,Middle floor,,1 to 10 years years,,,,,,
577787,"CZK 24,000",50.0724568,14.3936394,"Plzenska, Prague - Smíchov",2 bedroom with open-plan kitchen,Excellent,63 m²,"CZK 3,000",,Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,30. 03. 2020,C,42,872,179,563,167,692,172,998,907,294,Premium materials and solutions,Central heating,Middle floor,Overall,1 to 10 years years,,,,,,
584668,"CZK 10,700",50.046155,14.48968,"Svojšovická, Prague - Záběhlice",Studio,Excellent,28 m²,"CZK 3,300","CZK 14,000",Personal,Brick building,Furnished,4,No,No,Yes,No,Yes,Yes,No,12. 08. 2021,G,175,298,407,344,298,450,770,"1,338",363,,Standard materials and solutions,District heating,Middle floor,Interior,30 to 50 years years,,,,,,
558127,"CZK 13,000",50.0846007,14.362892,"Patočkova, Prague - Břevnov",2 bedroom,,52 m²,"CZK 3,500","CZK 28,000",Cooperative,Brick building,Partially furnished,3,No,No,No,No,No,No,No,29. 04. 2019,,151,143,206,229,267,233,280,632,234,498,,,Middle floor,,,,,,,,
711933,"CZK 11,500",50.0651668,14.4575002,"Přípotoční, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,42 m²,"CZK 4,000","CZK 15,000",Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,01. 04. 2022,G,217,384,196,539,210,546,311,558,252,124,,,,,,,,,,,
252450,"CZK 11,000",50.0712944,14.4655148,"Dvacátého osmého pluku, Prague - Vršovice",1 bedroom,,43 m²,"CZK 2,830","CZK 11,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,No,No,,,47,610,174,526,170,489,289,179,808,150,,District heating,,,,,,,,,
712555,"CZK 11,600",50.0632765,14.3107686,"Makovského, Prague - Řepy",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 4,400","CZK 22,000",Personal,Prefab concrete building,Partially furnished,10,No,No,Yes,No,No,Yes,No,01. 05. 2022,G,203,276,278,327,436,433,734,681,503,,,District heating,Middle floor,,,,,,,,
712550,"CZK 22,990",50.15683583333,14.51585,"Marie Podvalové, Prague - Čakovice",2 bedroom with open-plan kitchen,New build,66 m²,"CZK 4,233","CZK 27,223",Personal,Other,Partially furnished,5,Yes,No,Yes,No,Yes,Yes,No,,G,437,"1,160",338,266,"1,161",213,138,,,,,,,,,Yes,"CZK 27,223

                                
                                
                
i",,,,
712532,"CZK 14,500",50.07888,14.49817,"V Úžlabině, Prague - Strašnice",2 bedroom,Excellent,52 m²,"CZK 4,000","CZK 14,500",Personal,Prefab concrete building,Partially furnished,4,No,No,Yes,No,No,No,No,01. 05. 2022,G,303,538,242,382,290,335,512,614,"1,164",118,,,,,,,,,,,
274030,"CZK 14,000",50.0893868,14.3315494,"Naardenská, Prague - Liboc",Studio,New build,53 m²,"CZK 3,000","CZK 14,000",Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,No,No,15. 04. 2022,,407,"1,495",500,"1,099",91,"1,139","1,136",261,670,117,Premium materials and solutions,District heating,,Overall,1 to 10 years years,,,,,,
658146,"CZK 12,000",50.08429,14.44904,"Víta Nejedlého, Prague - Žižkov",1 bedroom,Excellent,36 m²,CZK 740,,Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,12. 04. 2021,F,301,129,59,156,50,149,149,185,228,530,,Other,,,,,,,,,
712524,"CZK 23,990",50.09188777777,14.45656249999,"Pernerova, Prague - Karlín",2 bedroom with open-plan kitchen,Excellent,80 m²,"CZK 5,089","CZK 29,079",Personal,Brick building,Furnished,2,Yes,No,Yes,No,No,No,No,,G,480,857,233,458,177,321,219,"1,137",372,145,,,,,,,"CZK 29,079

                                
                                
                
i",,,,
711206,"CZK 21,500",50.0739998,14.4353957,Prague - Vinohrady,Studio,Excellent,38 m²,"CZK 4,500","CZK 40,000",Personal,Brick building,Furnished,,Yes,Yes,No,No,No,Yes,No,01. 01. 1970,,170,159,103,200,90,48,92,276,756,899,Premium materials and solutions,Electric boiler,Middle floor,Overall,1 to 10 years years,,,,,,
417903,"CZK 13,000",50.1112851,14.4976064,"Paříkova, Prague - Vysočany",Studio,Excellent,43 m²,"CZK 2,500","CZK 16,000",Other,Brick building,Partially furnished,5,No,No,Yes,No,Yes,Yes,Yes,01. 04. 2022,,0,514,361,282,323,164,688,754,414,408,Standard materials and solutions,District heating,,,10 to 30 years years,,,,,,
611491,"CZK 25,000",50.07715,14.43733,"Anny Letenské, Prague - Vinohrady",2 bedroom,Excellent,70 m²,"CZK 2,000","CZK 25,000",Personal,Brick building,Furnished,1,No,No,No,No,No,Yes,No,01. 06. 2022,C,77,350,186,47,70,87,225,314,365,696,Standard materials and solutions,Gas boiler,Middle floor,Overall,,,,,,,
712420,"CZK 10,500",50.0736565,14.4926777,"Saratovská, Prague - Strašnice",1 bedroom,Good,43 m²,CZK 600,"CZK 21,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 04. 2022,G,165,314,218,196,278,208,85,524,521,313,,,,,,,,,,,
241625,"CZK 15,900",50.1138957,14.4798538,"U Pekařky, Prague - Libeň",1 bedroom with open-plan kitchen,,48 m²,"CZK 1,900","CZK 25,000",Personal,Brick building,Partially furnished,4,Yes,Yes,Yes,No,Yes,Yes,Yes,03. 04. 2022,,186,177,"1,337",331,980,"1,134","1,350",939,316,,Premium materials and solutions,Gas boiler,Middle floor,Overall,1 to 10 years years,Yes,,10 m²,,,
543933,"CZK 22,900",50.1050022,14.3961888,"Nikolaje Alexejeviče Někrasova, Prague - Bubeneč",2 bedroom,,78 m²,"CZK 3,900","CZK 45,000",Personal,Brick building,Partially furnished,4,Yes,Yes,Yes,Yes,Yes,Yes,No,15. 05. 2022,,153,790,174,218,84,194,264,262,468,103,Premium materials and solutions,Gas boiler,Attic,Overall,1 to 10 years years,Yes,,10 m²,,,
711784,"CZK 14,000",50.0841662,14.4515896,"Seifertova, Prague - Žižkov",1 bedroom,Excellent,39 m²,"CZK 2,500","CZK 16,500",Personal,Brick building,Partially furnished,4,No,No,No,No,No,No,No,28. 03. 2022,G,83,107,13,101,33,122,299,347,363,463,,,,,,,,,,,
118686,"CZK 30,000",50.0695036,14.3174676,"Na Fialce II, Prague - Řepy",2 bedroom with open-plan kitchen,Excellent,110 m²,"CZK 7,000","CZK 70,000",Personal,Brick building,Furnished,2,Yes,No,No,No,No,No,Yes,01. 06. 2022,D,358,"1,261",962,"1,327",648,"1,114",770,535,577,211,Premium materials and solutions,Gas boiler,Middle floor,,10 to 30 years years,,,,,,
628389,"CZK 14,000",50.057523,14.43402,"Na Pankráci, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,000","CZK 28,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,Yes,No,01. 10. 2020,C,51,"1,274",123,153,101,246,825,380,113,352,,,,,,,,,,,
216916,"CZK 12,500",50.0868140356,14.4540507614,"Roháčova, Prague - Žižkov",Studio,,35 m²,"CZK 3,500","CZK 24,999",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,,,131,181,97,504,112,246,348,296,348,437,Standard materials and solutions,District heating,Middle floor,Overall,1 to 10 years years,,,,,,
648507,"CZK 20,000",50.086382,14.445103,"Řehořova, Prague - Žižkov",2 bedroom with open-plan kitchen,Excellent,63 m²,"CZK 2,000","CZK 40,000",Personal,Brick building,Unfurnished,4,No,Yes,Yes,No,No,Yes,Yes,01. 05. 2022,C,166,680,439,635,157,648,415,455,497,649,Standard materials and solutions,Central heating,Middle floor,Overall,1 to 10 years years,,,,,,
545416,"CZK 17,900",50.0704284,14.4512084,"Košická, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,61 m²,"CZK 1,600","CZK 35,800",Personal,Brick building,Unfurnished,4,No,No,Yes,No,No,Yes,No,01. 05. 2022,,126,555,100,102,59,417,178,355,334,272,Standard materials and solutions,Gas boiler,Middle floor,Overall,1 to 10 years years,,,,,,
712258,"CZK 8,900",50.05479,14.49812,"U Zahradního města, Prague - Záběhlice",Studio,Excellent,34 m²,"CZK 2,300","CZK 11,200",Personal,Brick building,Partially furnished,1,No,Yes,No,No,No,No,No,01. 05. 2022,G,431,729,507,"1,225",514,515,453,244,763,588,,,,,,,,,,,
712226,"CZK 17,500",50.07329,14.43979,"Záhřebská, Prague - Vinohrady",Studio,New build,26 m²,"CZK 2,900","CZK 35,000",Personal,Other,Furnished,3,No,No,No,No,No,Yes,No,01. 04. 2022,A,159,309,52,476,76,481,103,455,672,499,,,,,,,,,,,
712219,"CZK 23,000",50.0748,14.44408,"Šumavská, Prague - Vinohrady",2 bedroom,Excellent,75 m²,CZK 700,"CZK 23,000",Personal,Brick building,Unfurnished,2,No,No,No,No,No,Yes,No,30. 03. 2022,G,72,123,25,515,5,308,302,188,510,264,,,,,,,,,,,
712209,"CZK 12,990",50.08360611111,14.56736472222,"Na spojce, Prague - Dolní Počernice",Studio,Excellent,29 m²,"CZK 2,634","CZK 15,624",Personal,Brick building,Furnished,4,No,No,Yes,No,No,Yes,No,,B,500,"1,309",655,877,"1,474",388,,,,,,,,,,,"CZK 15,624

                                
                                
                
i",,,,
712208,"CZK 13,000",50.09776,14.36629,"Kladenská, Prague - Vokovice",2 bedroom,Good,50 m²,CZK 600,"CZK 13,000",Personal,Brick building,Unfurnished,2,No,No,No,No,No,No,No,30. 03. 2022,G,479,364,461,369,52,240,753,591,921,85,,,,,,,,,,,
711672,"CZK 29,000",50.09012,14.4045,"Valdštejnské náměstí, Prague - Malá Strana",1 bedroom with open-plan kitchen,Excellent,78 m²,"CZK 3,664","CZK 60,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,01. 04. 2022,G,59,388,358,354,96,318,302,653,"1,005",772,,,,,,,,,,,
510077,"CZK 23,000",50.027717,14.4287618,"Novodvorská, Prague - Braník",3 bedroom,,74 m²,"CZK 2,000","CZK 44,000",Personal,Brick building,Partially furnished,3,No,No,Yes,No,No,No,No,01. 09. 2022,,89,654,340,626,459,432,305,249,"1,245",322,Standard materials and solutions,Central heating,Top floor,Overall,,,,,,,
712102,"CZK 14,500",50.0651,14.50935,"Uhříněveská, Prague - Strašnice",1 bedroom with open-plan kitchen,Excellent,53 m²,"CZK 4,358","CZK 30,000",Personal,Brick building,Furnished,3,No,No,Yes,No,Yes,No,Yes,04. 04. 2022,G,394,"1,431",440,"1,106",223,431,396,447,590,342,,,,,,,,,,,
697214,"CZK 13,000",50.06194,14.43608,"Petra Rezka, Prague - Nusle",1 bedroom,Excellent,49 m²,"CZK 2,500","CZK 31,000",Personal,Other,Unfurnished,2,Yes,No,No,No,No,Yes,No,01. 04. 2022,G,167,614,151,528,121,457,121,445,399,278,,,,Bathroom unit,,,,,,,
711568,"CZK 24,900",50.10594,14.4733,"Světova, Prague - Libeň",2 bedroom with open-plan kitchen,Excellent,80 m²,"CZK 5,000","CZK 25,000",Personal,Brick building,Partially furnished,3,No,No,No,No,Yes,Yes,No,01. 05. 2022,G,56,607,54,92,39,108,218,497,362,264,,,,,,,,,,,
712094,"CZK 13,000",50.09033,14.4739536,"Biskupcova, Prague - Žižkov",2 bedroom,Good,50 m²,"CZK 3,500","CZK 16,500",Personal,Brick building,Partially furnished,5,No,No,Yes,No,No,No,No,29. 03. 2022,G,193,"1,012",134,259,16,116,321,332,358,420,,,,,,,,,,,
574900,"CZK 24,000",50.0280815,14.5150316,"Křejpského, Prague - Chodov",4 bedroom,Excellent,75 m²,"CZK 3,000","CZK 48,000",Personal,Prefab concrete building,Partially furnished,5,No,No,No,No,No,Yes,No,01. 06. 2022,C,385,495,345,"1,158",260,470,199,158,998,110,,District heating,,Overall,,,,,,,
563070,"CZK 21,450",50.1086988,14.375396,"Na Pískách, Prague - Dejvice",2 bedroom with open-plan kitchen,,64 m²,"CZK 2,400","CZK 42,900",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 06. 2022,B,57,656,293,738,469,438,289,277,,,,,,,,,,,,,
712068,"CZK 13,000",50.08862,14.46377,"Domažlická, Prague - Žižkov",1 bedroom,Good,34 m²,"CZK 1,000","CZK 13,000",Cooperative,Brick building,Unfurnished,7,No,No,Yes,No,No,Yes,No,01. 05. 2022,G,143,576,256,191,140,435,621,696,466,345,,,,,,,,,,,
512262,"CZK 9,800",50.0699333,14.3923511,"Nad Bertramkou, Prague - Smíchov",Studio,Good,27 m²,"CZK 2,500","CZK 25,000",Personal,Brick building,Furnished,1,No,No,Yes,No,No,No,No,01. 05. 2022,,217,799,671,878,468,885,690,"1,102",346,542,Standard materials and solutions,Central heating,Raised ground floor,,,,,,,,
540297,"CZK 21,500",50.04304,14.31343,"Toufarova, Prague - Stodůlky",1 bedroom with open-plan kitchen,New build,60 m²,"CZK 2,500","CZK 40,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,No,No,01. 05. 2022,B,258,485,231,799,821,429,778,559,"1,031",582,Premium materials and solutions,Central heating,Middle floor,,1 to 10 years years,,,,,,
662917,"CZK 13,300",50.10595,14.58328,"Bryksova, Prague - Černý Most",1 bedroom,Excellent,40 m²,"CZK 3,200","CZK 13,300",Personal,Prefab concrete building,Furnished,7,Yes,No,No,No,Yes,Yes,No,17. 05. 2021,C,581,630,372,420,456,767,"1,395",600,567,,,,,,,,,,,,
561746,"CZK 22,000",50.0672879,14.5526084,"Honzíkova, Prague - Dolní Měcholupy",Studio,New build,86 m²,"CZK 4,000","CZK 40,000",Personal,Brick building,Partially furnished,7,No,Yes,No,No,No,No,Yes,01. 04. 2022,,511,"1,208",327,246,506,"1,008","1,178",306,,,,Central heating,,,1 to 10 years years,,,,,,
712029,"CZK 23,990",50.10301055555,14.43322222222,"Šimáčkova, Prague - Holešovice",1 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 1,234","CZK 25,224",Personal,Brick building,Unfurnished,2,No,No,No,No,No,Yes,No,,A,114,770,169,294,55,98,477,456,857,,,,,,,,"CZK 25,224

                                
                                
                
i",,,,
703902,"CZK 15,990",50.11035555555,14.4866525,"Podvinný mlýn, Prague - Libeň",1 bedroom with open-plan kitchen,Excellent,59 m²,"CZK 3,014","CZK 18,706",Personal,Brick building,Furnished,4,Yes,No,Yes,No,Yes,Yes,No,,C,584,735,483,794,51,850,423,575,412,560,,,,,,,"CZK 18,706

                                
                                
                
i",,,,
524714,"CZK 26,000",50.0817465,14.4271892,"Václavské náměstí, Prague - Nové Město",Studio,,80 m²,"CZK 4,000","CZK 30,000",Other,Brick building,Furnished,2,No,No,No,No,No,Yes,No,01. 04. 2022,,159,379,137,87,20,155,398,847,114,372,,,,,,,,,,,
490850,"CZK 12,500",50.135346,14.5420411,"Toužimská, Prague - Kbely",1 bedroom with open-plan kitchen,,54 m²,"CZK 4,000","CZK 16,500",Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,No,No,,C,107,625,744,645,878,517,517,535,716,,,Gas boiler,,,,,,,,,
711824,"CZK 14,000",50.10907,14.5569,"Za černým mostem, Prague - Kyje",Studio,New build,,"CZK 3,000","CZK 42,000",Personal,Prefab concrete building,Furnished,4,Yes,No,Yes,No,Yes,Yes,Yes,28. 03. 2022,G,176,800,136,48,754,418,"1,323","1,438",483,,,,,,,,,,,,
639881,"CZK 17,990",50.020821,14.40306,"Šífařská, Prague - Hodkovičky",1 bedroom with open-plan kitchen,New build,48 m²,"CZK 4,500","CZK 30,000",Personal,Brick building,Partially furnished,4,No,Yes,Yes,No,Yes,Yes,Yes,01. 01. 2022,B,419,659,"1,181",370,"1,106",,,,,,Premium materials and solutions,District heating,Top floor,,1 to 10 years years,Yes,,,,,
180770,"CZK 10,800",50.1011439,14.4909093,"Prokopka, Prague - Vysočany",1 bedroom,,37 m²,CZK 900,"CZK 12,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,20. 01. 2022,,165,"1,206",215,849,308,"1,301",108,193,636,240,Standard materials and solutions,Other,,,,,,,,,
395681,"CZK 20,000",50.0769497,14.4491685,"U vodárny, Prague - Vinohrady",1 bedroom with open-plan kitchen,,55 m²,"CZK 5,000","CZK 30,000",Personal,Brick building,Furnished,1,No,No,Yes,No,No,Yes,No,01. 04. 2022,G,90,292,115,86,36,94,251,204,666,146,,,,,,,,,,,
711070,"CZK 16,900",50.0573177,14.4207856,Prague - Podolí,1 bedroom with open-plan kitchen,Excellent,59 m²,"CZK 3,100","CZK 25,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,Yes,No,04. 07. 2022,C,172,280,180,81,167,277,67,681,458,95,,,,,,,,,,,
705161,"CZK 9,900",50.05716,14.44544,"Sdružení, Prague - Nusle",Studio,Excellent,42 m²,"CZK 3,000","CZK 15,000",Other,Brick building,Partially furnished,1,No,No,No,No,No,No,No,05. 02. 2022,G,316,993,46,504,172,928,349,323,"1,018",266,Standard materials and solutions,Other,Raised ground floor,,,,,,,,
436587,"CZK 6,900",50.0835307,14.5007042,"Káranská, Prague - Malešice",Small studio,,17 m²,"CZK 1,800","CZK 8,700",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,23. 03. 2022,,328,298,328,341,344,503,262,289,703,118,,,,,,,,,,,
596754,"CZK 30,000",50.053638,14.355187,"Za Zámečkem, Prague - Jinonice",3 bedroom with open-plan kitchen,Excellent,130 m²,"CZK 10,000","CZK 79,998",Personal,Brick building,Partially furnished,1,Yes,No,No,No,No,Yes,Yes,21. 03. 2022,C,376,883,245,949,420,609,461,787,"1,290",596,Premium materials and solutions,Central heating,Raised ground floor,Overall,1 to 10 years years,,,,,,
457216,"CZK 25,900",50.0701197,14.4094656,"Vltavská, Prague - Smíchov",2 bedroom,,56 m²,"CZK 3,900","CZK 30,000",Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,10. 05. 2022,D,335,773,142,252,2,482,802,"1,070",734,220,Premium materials and solutions,,Middle floor,Interior,1 to 10 years years,,,,,,
108759,"CZK 10,900",50.0483486747,14.5587515831,"Boloňská, Prague - Horní Měcholupy",Studio,,33 m²,"CZK 3,500","CZK 29,000",Personal,Brick building,Partially furnished,4,Yes,No,Yes,No,No,Yes,No,01. 04. 2022,C,385,"1,033",497,"1,111",184,"1,178",346,312,823,191,,,,,,,,,,,
680446,"CZK 72,000",50.09961,14.4244,"Ovenecká, Prague - Holešovice",5 bedroom with open-plan kitchen,New build,234 m²,"CZK 4,000","CZK 144,000",Personal,Brick building,Partially furnished,6,Yes,Yes,Yes,No,No,Yes,Yes,01. 11. 2021,C,69,159,85,31,97,65,326,409,498,,Premium materials and solutions,Gas boiler,Top floor,Overall,1 to 10 years years,,,,,,
711434,"CZK 8,490",50.10360722222,14.536865,"Šestajovická, Prague - Hloubětín",Studio,Good,30 m²,"CZK 2,687","CZK 11,177",Personal,Prefab concrete building,Furnished,1,No,No,No,No,No,Yes,No,,D,150,287,296,269,313,233,200,160,157,116,,,,,,,"CZK 11,177

                                
                                
                
i",,,,
710836,"CZK 12,200",50.05346,14.34362,"Blattného, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 1,300","CZK 8,000",Personal,Prefab concrete building,Partially furnished,6,No,No,No,No,No,No,No,01. 04. 2022,C,335,552,309,598,390,274,281,222,"1,303",210,,,,,,,,,,,
