Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,New building,Age,Heating,Total number of floors,PENB,Design,Renovation,Developer name,Project name,Kód jednotky,Front garden,Administration fee,Investment Advisor
716457,"CZK 18,000",50.1100963,14.3976305,Prague - Bubeneč,1 bedroom with open-plan kitchen,52 m²,"CZK 2,400",,,No,No,No,No,No,No,No,Ihned,365,281,907,320,682,559,496,776,288,,Excellent,"CZK 30,000",Personal,Brick building,,,,,,,,,,,,,
709594,"CZK 15,500",50.1250814,14.5069297,"Kytlická, Prague - Prosek",2 bedroom with open-plan kitchen,71 m²,"CZK 5,500",Partially furnished,,No,No,No,No,No,No,No,01. 05. 2022,273,794,162,"1,032",290,982,154,742,195,,Excellent,"CZK 21,000",Personal,Prefab concrete building,,,District heating,Ground floor,G,,Overall,,,,,,
713305,"CZK 11,000",50.00967,14.46089,"Libušská, Prague - Libuš",Studio,36 m²,"CZK 4,500",Furnished,1,No,No,Yes,No,Yes,No,No,01. 06. 2022,69,141,357,222,334,876,"1,339",973,,,New build,"CZK 30,000",Cooperative,Brick building,,,Gas boiler,Middle floor,A,,,,,,,,
391791,"CZK 15,000",50.1018961,14.4186782,Prague - Bubeneč,Studio,20 m²,"CZK 2,000",Furnished,1,No,Yes,Yes,No,No,Yes,No,01. 06. 2022,150,482,75,350,137,567,163,"1,493",189,330,New build,"CZK 17,000",Personal,Brick building,Yes,1 to 10 years years,Electric boiler,Ground floor,C,Premium materials and solutions,,,,,10 m²,,
714443,"CZK 35,925",50.0749602,14.4305105,"Legerova, Prague - Vinohrady",Studio,30 m²,"CZK 11,975",Furnished,6,No,No,No,No,No,Yes,No,21. 05. 2022,22,463,81,96,72,158,361,436,384,451,,,,,,,,,,,,,,,,,
712290,"CZK 12,900",50.09887,14.3966,"Kafkova, Prague - Dejvice",Studio,34 m²,,Furnished,4,No,No,No,No,No,Yes,No,01. 05. 2022,134,30,92,131,64,76,507,422,357,257,Good,,Personal,Brick building,,,,,G,,,,,,,,
503042,"CZK 14,000",50.1256878,14.4467673,"Přemyšlenská, Prague - Kobylisy",1 bedroom with open-plan kitchen,48 m²,"CZK 5,000",Furnished,2,Yes,No,No,No,Yes,No,No,,171,"1,320",218,478,160,225,503,298,847,323,,CZK 1,Personal,Brick building,,1 to 10 years years,Central heating,Middle floor,,,Overall,,,,,,
715997,"CZK 15,000",50.06641,14.39943,"Bieblova, Prague - Smíchov",1 bedroom,50 m²,"CZK 3,000",Partially furnished,4,No,No,No,No,No,No,No,09. 05. 2022,45,276,6,647,218,360,80,274,536,212,Excellent,"CZK 15,600",Other,Brick building,,,,,G,,,,,,,,
593217,"CZK 15,000",50.066406,14.399425,"Bieblova, Prague - Smíchov",1 bedroom,55 m²,"CZK 2,500",Partially furnished,3,No,No,No,No,No,No,No,09. 05. 2022,45,276,6,647,218,360,80,274,536,212,Excellent,"CZK 15,600",Other,Brick building,,,,,E,,,,,,,,
695256,"CZK 18,000",50.07786,14.41518,"Vojtěšská, Prague - Nové Město",Studio,32 m²,"CZK 4,000",Furnished,1,No,No,No,No,No,No,No,01. 05. 2022,186,489,77,381,97,578,197,255,533,269,New build,"CZK 22,000",Personal,Brick building,,1 to 10 years years,Electric boiler,Ground floor,G,Premium materials and solutions,Interior,,,,,,
715481,"CZK 35,175",50.0769346,14.4169603,"Na Zbořenci, Prague - Nové Město",2 bedroom,65 m²,"CZK 11,725",Furnished,3,No,No,No,No,No,Yes,No,02. 06. 2022,168,319,99,227,101,409,227,243,632,429,,,,,,,,,,,,,,,,,
716526,"CZK 18,000",50.1261106,14.5002253,"Českolipská, Prague - Prosek",3 bedroom,52 m²,"CZK 4,000",Partially furnished,4,Yes,No,No,No,No,Yes,No,02. 05. 2022,161,460,223,490,504,604,180,138,"1,324",208,Excellent,"CZK 36,000",Personal,Prefab concrete building,,,,,G,,,,,,,,
534143,"CZK 14,000",50.0699577,14.4427519,"U Havlíčkových sadů, Prague - Vinohrady",Small studio,30 m²,CZK 700,Partially furnished,4,No,No,No,No,No,Yes,No,15. 05. 2022,465,693,187,816,193,782,472,142,570,197,,"CZK 20,000",Personal,Brick building,,,Gas boiler,Middle floor,,,,,,,,,
716525,"CZK 19,000",50.03507,14.51957,"Hněvkovského, Prague - Chodov",3 bedroom,79 m²,"CZK 3,700",Unfurnished,7,Yes,No,No,Yes,No,Yes,No,02. 05. 2022,179,525,338,978,452,474,240,513,282,226,Excellent,"CZK 38,000",Personal,Prefab concrete building,,,,,G,,,,,,,,
716524,"CZK 16,000",50.0606,14.43336,"Lounských, Prague - Nusle",2 bedroom,55 m²,"CZK 3,500",Furnished,1,No,No,No,No,No,Yes,No,01. 05. 2022,355,974,147,528,124,477,346,656,600,524,Excellent,"CZK 20,000",Personal,Brick building,,,,,G,,,,,,,,
716523,"CZK 11,000",50.12617,14.42044,"Hnězdenská, Prague - Troja",Studio,37 m²,"CZK 2,500",Partially furnished,11,No,No,No,No,No,Yes,No,02. 05. 2022,206,279,292,349,143,293,800,990,"1,268",421,Excellent,"CZK 11,000",Personal,Prefab concrete building,,,,,G,,,,,,,,
711824,"CZK 14,000",50.10907,14.5569,"Za černým mostem, Prague - Kyje",Studio,,"CZK 3,000",Furnished,4,Yes,No,Yes,No,Yes,Yes,Yes,01. 05. 2022,176,800,136,48,754,418,"1,323","1,438",483,,New build,"CZK 28,000",Personal,Brick building,,,,,G,,,,,,,,
716522,"CZK 32,000",50.0613873,14.3654246,"Na Pomezí, Prague - Košíře",3 bedroom with open-plan kitchen,110 m²,"CZK 3,500",Partially furnished,2,Yes,No,No,Yes,No,Yes,No,01. 07. 2022,153,946,939,"1,409","1,031","1,033",431,460,961,292,Excellent,"CZK 64,000",Personal,Low-energy building,,,,,G,,,,,,,,
532365,"CZK 25,000",50.0675081,14.4599435,"Moskevská, Prague - Vršovice",2 bedroom with open-plan kitchen,114 m²,"CZK 2,000",Partially furnished,5,Yes,No,No,No,No,Yes,No,15. 06. 2022,83,521,82,275,23,383,474,356,306,272,,"CZK 30,000",Personal,Brick building,,,Gas boiler,Top floor,,Standard materials and solutions,Interior,,,,,,
193123,"CZK 21,500",50.0755341,14.4547563,"Korunní, Prague - Vinohrady",3 bedroom,106 m²,"CZK 7,450",Partially furnished,2,Yes,Yes,No,No,No,No,No,01. 07. 2022,59,390,87,246,74,222,85,526,686,199,,"CZK 28,950",Personal,Brick building,,over 50 years years,Other,Middle floor,E,Standard materials and solutions,,,,,,,
