Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Age,Design,Heating,Total number of floors,Renovation,Administration fee,New building,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
699626,"CZK 16,500",50.08294,14.50018,"Káranská, Prague - Malešice",3 bedroom,74 m²,"CZK 1,500",Unfurnished,1,No,No,Yes,Yes,No,No,No,17. 01. 2022,238,148,208,195,298,388,254,385,785,285,Excellent,"CZK 16,500",Personal,Prefab concrete building,G,,,,,,,,,,,,
705518,"CZK 22,400",50.07811,14.45841,"Baranova, Prague - Žižkov",2 bedroom,74 m²,"CZK 2,800",Partially furnished,2,Yes,No,No,No,Yes,No,No,01. 03. 2022,93,424,71,166,75,234,545,652,799,286,Excellent,"CZK 25,000",Personal,Brick building,G,,Premium materials and solutions,Central heating,Middle floor,Overall,,,2 m²,,,,
191528,"CZK 13,500",50.066729016086,14.3962244431,"U Nikolajky, Prague - Smíchov",1 bedroom with open-plan kitchen,49 m²,CZK 440,Partially furnished,2,No,No,No,No,No,No,No,01. 03. 2022,262,374,215,739,155,460,351,563,578,355,,"CZK 13,500",Personal,Brick building,,,,,,,,,,,,,
705824,"CZK 19,500",50.03977,14.56813,"Modenská, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,129 m²,"CZK 3,500",Partially furnished,1,No,Yes,Yes,Yes,No,Yes,Yes,01. 04. 2022,284,868,533,733,658,325,426,597,"1,226",335,New build,"CZK 25,000",Personal,Brick building,G,,,,,,,,,,,,
616328,"CZK 11,500",50.101137,14.369987,Prague - Dejvice,1 bedroom,50 m²,"CZK 2,700",Furnished,1,No,No,No,No,No,No,No,01. 04. 2022,262,864,505,501,382,410,807,790,839,377,Excellent,"CZK 11,500",Personal,Brick building,,,Standard materials and solutions,Central heating,Ground floor,Overall,,,50 m²,,,,
150112,"CZK 12,000",50.0559665,14.4511103,"Nuselská, Prague - Michle",1 bedroom,35 m²,CZK 300,Unfurnished,2,No,No,No,No,No,No,No,07. 03. 2022,250,322,184,253,199,"1,094",364,707,630,420,,"CZK 13,500",Personal,Brick building,,,,,,,,,,,,,
706076,"CZK 16,000",50.08429,14.44904,"Víta Nejedlého, Prague - Žižkov",1 bedroom with open-plan kitchen,53 m²,CZK 750,Furnished,4,No,No,No,No,No,Yes,No,15. 02. 2022,301,129,59,156,50,149,149,185,228,530,Excellent,,Personal,Brick building,G,,Premium materials and solutions,Electric boiler,Middle floor,Overall,,,,,,,
651316,"CZK 16,000",50.056161,14.292234,"Do Zahrádek I, Prague - Třebonice",1 bedroom with open-plan kitchen,51 m²,"CZK 4,500",Partially furnished,4,No,Yes,No,No,No,Yes,Yes,01. 03. 2022,269,"1,137",519,463,776,574,573,797,414,,New build,"CZK 20,000",Personal,Brick building,B,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,,,Yes,,,,,
699845,"CZK 18,990",50.08036,14.45009,"Fibichova, Prague - Žižkov",2 bedroom,85 m²,CZK 600,Partially furnished,3,Yes,No,No,No,No,No,No,21. 02. 2022,410,370,240,424,83,339,343,383,698,317,Excellent,"CZK 20,000",Personal,Brick building,G,,,,,,,,,,,,
488998,"CZK 13,000",50.0628793,14.4490961,"ulice Kloboučnická, Prague - Nusle",Studio,36 m²,"CZK 2,500",Partially furnished,6,Yes,No,No,No,No,No,No,01. 03. 2022,299,853,341,592,296,603,620,431,932,488,Excellent,"CZK 27,000",Personal,Brick building,D,,,Central heating,Middle floor,,,,,,,,
633150,"CZK 14,500",50.053457,14.48892,"Záběhlická, Prague - Záběhlice",1 bedroom with open-plan kitchen,41 m²,"CZK 3,500",Furnished,2,No,No,Yes,No,Yes,Yes,Yes,01. 04. 2022,177,"1,102",201,"1,044",353,732,631,860,362,312,Excellent,"CZK 18,000",Personal,Other,C,10 to 30 years years,Standard materials and solutions,,Middle floor,,,,,,,,
66020,"CZK 18,500",50.0866182,14.4531338,"Roháčova, Prague - Žižkov",2 bedroom,74 m²,CZK 810,Partially furnished,1,No,No,No,Yes,No,No,No,01. 05. 2022,120,255,151,447,58,317,291,355,291,496,Excellent,"CZK 37,000",,Brick building,D,1 to 10 years years,Premium materials and solutions,Gas boiler,Middle floor,Overall,,,,,,,
434472,"CZK 22,000",50.0678622,14.4585208,Prague - Vršovice,4 bedroom,136 m²,"CZK 1,000",Partially furnished,5,Yes,Yes,No,No,No,No,No,01. 03. 2022,37,421,125,155,39,253,344,418,512,260,Good,"CZK 40,000",Personal,Brick building,,,,Gas boiler,,,,,,,,,
706075,"CZK 22,000",50.09348,14.50401,"Učňovská, Prague - Hrdlořezy",2 bedroom with open-plan kitchen,72 m²,"CZK 4,000",Partially furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,01. 03. 2022,452,947,545,"1,297",573,591,803,726,"1,373",272,New build,"CZK 22,000",Personal,Brick building,B,1 to 10 years years,Standard materials and solutions,District heating,Middle floor,,,,,,,,
706073,"CZK 19,000",50.00174,14.46417,"U Bazénu, Prague - Písnice",2 bedroom,67 m²,"CZK 1,000",Furnished,4,Yes,No,Yes,No,No,No,No,14. 02. 2022,214,"1,159",151,279,243,121,832,,,,Excellent,"CZK 38,000",Personal,Brick building,D,,,,,,,,,,,,
570411,"CZK 13,000",50.117378704321,14.509146350386,"U Voborníků, Prague - Vysočany",1 bedroom,32 m²,"CZK 2,500",Partially furnished,1,No,No,No,No,No,No,No,01. 11. 2021,136,"1,279",507,795,187,765,986,268,942,403,New build,"CZK 39,000",Personal,Brick building,,1 to 10 years years,Standard materials and solutions,Central heating,Middle floor,Overall,,,,,,,
607389,"CZK 18,500",50.044173,14.433186,"Jeremenkova, Prague - Podolí",1 bedroom with open-plan kitchen,65 m²,"CZK 4,500",Furnished,2,Yes,No,Yes,No,No,Yes,Yes,15. 03. 2022,210,690,286,764,262,791,474,283,207,400,Excellent,"CZK 20,000",Personal,Brick building,B,1 to 10 years years,Premium materials and solutions,Central heating,Middle floor,,,,,,,,
689177,"CZK 19,000",50.07306,14.43085,"Tyršova, Prague - Nové Město",1 bedroom with open-plan kitchen,34 m²,"CZK 3,600",Furnished,4,No,No,No,No,No,Yes,No,01. 03. 2022,183,529,119,213,30,197,368,453,637,687,Excellent,"CZK 19,000",Personal,Brick building,G,1 to 10 years years,Premium materials and solutions,Central heating,,Overall,,,,,,,
305895,"CZK 27,500",50.0742596,14.4414876,"Moravská, Prague - Vinohrady",3 bedroom,100 m²,"CZK 3,550",Partially furnished,2,No,No,No,No,No,No,No,01. 02. 2022,195,102,95,457,27,430,93,397,540,505,,"CZK 55,000",Personal,Brick building,,,Standard materials and solutions,,,,,,,,,,
706070,"CZK 18,000",50.072601333375,14.39634815011,Prague - Smíchov,1 bedroom with open-plan kitchen,70 m²,"CZK 3,500",,,No,No,No,No,No,Yes,No,,227,685,65,376,38,489,187,"1,156",781,451,Excellent,"CZK 18,000",Personal,Other,,,,,,,,,,,,,
706069,"CZK 10,000",50.11756,14.45415,"V Holešovičkách, Prague - Libeň",Small studio,30 m²,"CZK 1,000",Partially furnished,3,No,No,No,No,Yes,No,No,14. 02. 2022,293,"1,107",928,"1,250",189,659,431,"1,063",541,345,New build,"CZK 20,000",Personal,Brick building,B,,,,,,,,,,,,
601164,"CZK 9,500",50.0806386,14.4498736,"Fibichova, Prague - Žižkov",Small studio,25 m²,CZK 650,Partially furnished,2,Yes,No,No,No,No,Yes,No,01. 07. 2021,445,404,200,508,85,305,377,491,664,352,Excellent,"CZK 12,000",Personal,Brick building,G,,,Other,Middle floor,Interior,,,,,,,
583824,"CZK 14,000",50.072929,14.464189,Prague - Vršovice,1 bedroom with open-plan kitchen,40 m²,"CZK 2,399",Partially furnished,1,Yes,No,No,No,No,No,No,01. 04. 2020,287,788,353,704,318,651,467,351,584,194,,"CZK 16,398",Personal,Prefab concrete building,C,,,,,,,,,,,,
704119,"CZK 11,500",50.07142,14.45467,"Kodaňská, Prague - Vršovice",1 bedroom with open-plan kitchen,47 m²,CZK 500,Unfurnished,-1,No,No,Yes,No,No,No,No,05. 03. 2022,196,620,77,397,37,395,171,165,572,135,Excellent,"CZK 34,500",Personal,Brick building,D,1 to 10 years years,Premium materials and solutions,Electric boiler,,Overall,,,,,,,
391754,"CZK 14,000",49.9697787,14.3857091,"Jiřího Mašína, Prague - Zbraslav",1 bedroom with open-plan kitchen,58 m²,"CZK 3,900",Unfurnished,3,Yes,No,No,No,No,No,No,,59,991,295,"1,082",168,189,748,119,202,,Excellent,"CZK 18,000",Personal,Brick building,,10 to 30 years years,Standard materials and solutions,District heating,Middle floor,,,,,,,,
648133,"CZK 15,000",50.071933,14.386621,"Holečkova, Prague - Košíře",2 bedroom,52 m²,"CZK 3,000",Furnished,2,No,No,No,No,No,No,No,01. 04. 2022,115,"1,037",102,967,162,"1,090",461,577,"1,249",384,New build,"CZK 20,000",Personal,Brick building,B,1 to 10 years years,Standard materials and solutions,Gas boiler,Middle floor,Interior,,,120 m²,,,,
602012,"CZK 10,000",50.017333,14.435375,"U Kamýku, Prague - Kamýk",Studio,40 m²,"CZK 4,700",Furnished,3,Yes,No,No,No,No,Yes,No,20. 02. 2022,100,"1,018",176,"1,010",411,318,482,715,426,329,Excellent,"CZK 15,000",,Brick building,G,1 to 10 years years,,Central heating,,,,,,,,,
604344,"CZK 14,000",50.056015,14.441224,"Na Veselí, Prague - Nusle",1 bedroom with open-plan kitchen,55 m²,CZK 990,Partially furnished,2,No,No,Yes,No,No,No,No,01. 06. 2020,27,"1,158",180,647,119,537,375,349,"1,067",149,Excellent,"CZK 14,000",Cooperative,Brick building,,,,Gas boiler,,,,,,,,,
599802,"CZK 17,000",50.070969,14.476678,"Vršovická, Prague - Vršovice",2 bedroom,67 m²,"CZK 3,800",Partially furnished,1,No,No,No,No,No,No,No,01. 03. 2022,75,88,80,241,117,136,266,270,361,184,,"CZK 17,000",Personal,Brick building,D,,,,,,,,,,,,
705377,"CZK 18,000",50.013,14.40077,"Pískařská, Prague - Modřany",1 bedroom with open-plan kitchen,44 m²,"CZK 3,500",Furnished,,No,Yes,No,No,No,Yes,Yes,01. 03. 2022,147,"1,079",416,"1,323",741,"1,384","1,245",663,,,Excellent,"CZK 18,000",Personal,Brick building,C,,,District heating,Middle floor,,,,,,,,
639990,"CZK 14,500",50.124595,14.450716,"Služská, Prague - Kobylisy",2 bedroom,67 m²,"CZK 3,000",Partially furnished,2,Yes,No,Yes,No,Yes,No,No,01. 02. 2022,149,"1,061",117,215,410,370,467,622,"1,269",39,Excellent,"CZK 29,000",Cooperative,Brick building,C,,,Gas boiler,,Overall,,,,,,,
488832,"CZK 11,000",50.0576298,14.2845344,"Sazovická, Prague - Zličín",Studio,40 m²,"CZK 3,280",Partially furnished,1,No,No,No,No,No,No,No,,214,"1,023",643,572,778,697,167,919,208,,,"CZK 20,000",Personal,Brick building,A,,,,,,,,,,,,
705362,"CZK 15,000",50.10341,14.51085,"Pod Harfou, Prague - Vysočany",1 bedroom with open-plan kitchen,54 m²,"CZK 4,000",Furnished,5,Yes,No,No,No,No,No,No,01. 03. 2022,344,162,"1,197",617,893,"1,249",972,45,,,New build,"CZK 20,000",Personal,Brick building,C,,,,,,,,,,,,
705355,"CZK 15,000",50.15571,14.51495,"Tryskovická, Prague - Čakovice",1 bedroom with open-plan kitchen,65 m²,"CZK 5,105",Partially furnished,2,Yes,No,No,No,No,Yes,No,04. 04. 2022,600,"1,041",284,213,"1,046",995,160,192,,,Excellent,"CZK 20,105",Personal,Brick building,B,,,,,,,,,,,,
706058,"CZK 12,000",50.07828,14.5085,"Limuzská, Prague - Strašnice",Studio,33 m²,"CZK 2,700",Partially furnished,1,No,No,Yes,No,No,Yes,No,01. 03. 2022,53,915,509,892,124,768,934,"1,058","1,195",526,New build,"CZK 12,000",Personal,Low-energy building,A,1 to 10 years years,,District heating,Ground floor,Overall,,Yes,,,,,
466277,"CZK 16,000",50.0997783,14.4223343,"Milady Horákové, Prague - Holešovice",1 bedroom,45 m²,"CZK 1,300",Unfurnished,3,Yes,No,Yes,No,Yes,Yes,No,01. 04. 2022,68,39,103,105,68,124,298,463,314,,,,Personal,Brick building,,,Premium materials and solutions,Gas boiler,,Exterior,,,,,,,
527541,"CZK 10,000",50.0800565,14.4586885,"Sudoměřská, Prague - Žižkov",1 bedroom,25 m²,"CZK 2,500",Furnished,1,No,No,No,No,No,No,No,,287,558,230,334,20,474,450,275,603,208,Excellent,"CZK 10,000",Personal,Brick building,,,,District heating,Ground floor,Overall,,,,,,,
683595,"CZK 18,000",50.04818,14.30388,"Laurinova, Prague - Stodůlky",1 bedroom with open-plan kitchen,47 m²,"CZK 3,000",Furnished,1,No,No,Yes,Yes,Yes,Yes,Yes,01. 01. 1970,293,302,247,229,"1,022",990,617,778,110,,New build,"CZK 25,000",Personal,Brick building,B,,,,,,,,,,,,
646080,"CZK 14,000",50.029648,14.594749,"Ke Kříži, Prague - Uhříněves",1 bedroom with open-plan kitchen,48 m²,"CZK 3,000",Furnished,2,Yes,No,No,No,Yes,Yes,Yes,18. 02. 2022,51,456,59,548,32,408,875,969,"1,082",210,New build,"CZK 20,000",Personal,Prefab concrete building,A,,,,Middle floor,,,Yes,,,,,
495644,"CZK 12,000",50.0296532,14.449589,"Štúrova, Prague - Krč",Small studio,24 m²,"CZK 2,000",Partially furnished,3,No,No,Yes,No,No,No,Yes,01. 03. 2022,312,"1,483",0,0,761,"1,031","1,357",748,569,,,"CZK 15,000",Personal,Prefab concrete building,C,,Premium materials and solutions,,,,,,,,,,
706056,"CZK 12,500",50.0562541,14.4320938,"Dačického, Prague - Nusle",1 bedroom with open-plan kitchen,46 m²,"CZK 1,500",Partially furnished,3,Yes,No,No,No,No,Yes,No,01. 03. 2022,158,984,83,279,168,390,634,361,191,165,Good,"CZK 10,000",Cooperative,Prefab concrete building,G,,,,,,,,,,,,
543655,"CZK 14,000",50.0653043,14.4010041,"Na Doubkové, Prague - Smíchov",1 bedroom,55 m²,"CZK 3,500",Partially furnished,1,Yes,No,No,No,No,No,No,01. 06. 2020,237,479,211,736,421,489,272,438,698,339,Good,"CZK 14,000",Personal,Brick building,D,over 50 years years,Standard materials and solutions,Central heating,Middle floor,,,,,,,,
706049,"CZK 12,000",50.1291159,14.4614474,"Šiškova, Prague - Kobylisy",2 bedroom,64 m²,"CZK 4,000",Partially furnished,3,No,No,No,Yes,Yes,Yes,No,12. 02. 2022,186,843,50,623,276,383,474,196,795,96,Good,"CZK 16,000",Cooperative,Prefab concrete building,B,,,,,,,,,,,,
42544,"CZK 11,700",50.05557395,14.48522035,"Záběhlická, Prague - Záběhlice",Studio,38 m²,"CZK 2,500",Furnished,2,No,No,Yes,No,No,No,No,01. 03. 2022,109,"1,437",285,"1,426",432,910,867,"1,071",335,471,Excellent,"CZK 14,000",Personal,Brick building,,1 to 10 years years,Standard materials and solutions,Central heating,Middle floor,Overall,,,,,,,
182624,"CZK 14,000",50.1016514,14.4463916,Prague - Holešovice,Studio,33 m²,"CZK 2,000",Furnished,4,Yes,No,No,No,No,Yes,No,01. 02. 2022,221,139,201,376,50,60,90,242,550,104,Excellent,"CZK 16,000",Personal,Brick building,,1 to 10 years years,Premium materials and solutions,,Middle floor,Overall,,,,,,,
705336,"CZK 20,000",50.06505,14.55267,"Františka Jansy, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,55 m²,"CZK 4,000",Partially furnished,4,No,No,Yes,Yes,No,Yes,Yes,01. 03. 2022,178,872,476,395,647,"1,173",837,72,,,New build,"CZK 20,000",Cooperative,Brick building,B,1 to 10 years years,Standard materials and solutions,District heating,Middle floor,,,,,,,,
705335,"CZK 18,000",50.08962,14.46521,"Koněvova, Prague - Žižkov",1 bedroom with open-plan kitchen,50 m²,"CZK 3,500",Furnished,3,No,No,No,No,No,Yes,No,01. 03. 2022,139,750,163,51,36,309,640,670,545,200,Excellent,"CZK 10,000",Personal,Brick building,G,,,,,,,,,,,,
423801,"CZK 16,500",50.0987807,14.395203,"Kafkova, Prague - Dejvice",1 bedroom with open-plan kitchen,52 m²,"CZK 3,500",Furnished,5,No,No,No,No,No,No,No,01. 09. 2020,71,69,166,157,84,176,598,362,374,189,,"CZK 35,000",Personal,Brick building,D,1 to 10 years years,Premium materials and solutions,Gas boiler,Top floor,Interior,,,,,,,
632726,"CZK 9,400",50.081819,14.317635,"Jinočanská, Prague - Ruzyně",Studio,27 m²,"CZK 2,600",Furnished,2,No,No,No,No,Yes,No,No,14. 02. 2022,290,241,389,"1,260",885,469,,,,,Excellent,"CZK 12,000",Personal,Brick building,B,,Standard materials and solutions,Gas boiler,Top floor,,,,,,,,
705325,"CZK 15,900",50.07342,14.44367,"Lužická, Prague - Vinohrady",1 bedroom with open-plan kitchen,50 m²,CZK 700,Partially furnished,3,No,No,No,No,No,Yes,No,14. 02. 2022,216,368,37,811,163,638,401,518,459,213,Excellent,"CZK 15,900",Personal,Brick building,G,,,Gas boiler,,,,,,,,,
571789,"CZK 12,700",50.0713444,14.3926417,"Duškova, Prague - Smíchov",1 bedroom,33 m²,"CZK 2,300",Furnished,2,No,No,No,No,No,Yes,No,01. 05. 2022,230,886,247,645,316,795,410,"1,225",891,219,Excellent,"CZK 15,000",Personal,Brick building,C,,Standard materials and solutions,Gas boiler,,Overall,,,,,,,
361871,"CZK 13,500",50.1341967,14.5084069,"Vratimovská, Prague - Letňany",2 bedroom,50 m²,"CZK 2,950",Partially furnished,6,Yes,No,No,No,No,No,No,07. 02. 2022,120,837,185,513,386,385,63,330,218,232,,"CZK 17,000",Personal,Prefab concrete building,C,,,,,Overall,,,,,,,
706029,"CZK 9,500",50.05401,14.32867,Prague - Stodůlky,1 bedroom,35 m²,"CZK 3,000",Furnished,,No,No,Yes,No,Yes,No,No,11. 02. 2022,239,"1,384",465,"1,349",876,"1,008","1,270",691,291,915,Excellent,"CZK 12,500",Personal,Brick building,C,,,,,,,,,,,,
706045,"CZK 12,500",50.07222,14.38777,"Holečkova, Prague - Košíře",1 bedroom,31 m²,CZK 700,Partially furnished,2,No,No,Yes,No,No,No,No,01. 03. 2022,121,"1,138",108,973,168,"1,096",421,817,"1,255",307,Excellent,"CZK 15,000",Personal,Brick building,D,,,,,Interior,,,,,,,
649086,"CZK 19,900",50.046174,14.41636,"Jeremenkova, Prague - Podolí",3 bedroom,110 m²,"CZK 1,700",Furnished,1,Yes,Yes,No,No,No,Yes,No,01. 03. 2022,99,"1,400",110,"1,431",104,"1,269","1,373",598,697,,Good,"CZK 19,900",Personal,Prefab concrete building,C,10 to 30 years years,Standard materials and solutions,Gas boiler,Raised ground floor,,,,9 m²,,,,
706042,"CZK 12,000",50.09338,14.36867,"Střešovická, Prague - Střešovice",1 bedroom with open-plan kitchen,43 m²,"CZK 4,000",Partially furnished,1,No,No,No,No,No,No,No,01. 03. 2022,202,"1,053",650,"1,257",290,957,759,"1,339",216,163,Excellent,"CZK 16,000",Personal,Brick building,G,,,,,,,,,,,,
565572,"CZK 16,900",50.0621447,14.4417689,"Svatoslavova, Prague - Nusle",1 bedroom with open-plan kitchen,47 m²,"CZK 3,000",Furnished,2,No,No,Yes,No,No,No,No,15. 02. 2022,174,589,191,294,214,318,352,859,288,249,Excellent,"CZK 20,000",Personal,Brick building,,,,,,,,,,,,,
465579,"CZK 19,000",50.0887865,14.4671627,"Žerotínova, Prague - Žižkov",2 bedroom,70 m²,CZK 550,Furnished,2,Yes,No,No,No,No,Yes,No,01. 01. 2022,165,729,52,150,161,178,401,424,370,262,Excellent,"CZK 30,000",Personal,Brick building,B,,,Other,,Overall,,,,,,,
699596,"CZK 19,000",50.05929,14.42296,"Ve Svahu, Prague - Podolí",2 bedroom,62 m²,"CZK 3,000",Partially furnished,1,Yes,No,Yes,No,Yes,No,No,01. 03. 2022,258,281,219,271,164,259,298,366,309,265,Excellent,"CZK 30,000",Personal,Brick building,G,,,,,,,,,,,,
601607,"CZK 40,000",50.087438,14.463275,"Jeseniova, Prague - Žižkov",5 bedroom,174 m²,"CZK 10,000",Partially furnished,4,No,No,No,No,No,Yes,No,01. 02. 2022,182,615,75,373,122,552,521,637,506,399,Excellent,"CZK 99,998",Personal,Other,B,,,Gas boiler,Top floor,,,,,,,,
705320,"CZK 16,000",50.08288,14.40794,"Říční, Prague - Malá Strana",1 bedroom,39 m²,"CZK 4,200",Partially furnished,2,No,No,No,No,No,No,No,07. 02. 2022,170,476,373,601,0,489,336,599,461,86,Excellent,"CZK 32,000",Personal,Brick building,G,,,,,,,,,,,,
704555,"CZK 21,000",50.1037268,14.4539924,"V Háji, Prague - Holešovice",1 bedroom with open-plan kitchen,51 m²,"CZK 4,000",Partially furnished,1,No,No,Yes,No,No,No,No,01. 02. 2022,60,629,33,219,91,134,665,627,217,509,Excellent,"CZK 25,000",Personal,Brick building,G,,,,,,,,,,,,
