Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Age,Heating,Total number of floors,Renovation,Design,New building,Administration fee,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
628598,"CZK 10,000",50.101254,14.403112,"Dr. Zikmunda Wintra, Prague - Bubeneč",1 bedroom with open-plan kitchen,Excellent,35 m²,"CZK 4,500",Personal,Brick building,Furnished,-1,No,No,Yes,No,No,No,No,01. 07. 2021,G,148,693,56,419,198,490,281,510,486,225,"CZK 10,000",,,Ground floor,Overall,Standard materials and solutions,,,,,,,
706672,"CZK 15,990",50.059501647949,14.447299957275,"Horní, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,149",Personal,Brick building,,6,Yes,No,Yes,No,No,No,No,,C,231,905,57,356,196,707,438,604,840,175,"CZK 19,139",,,,,,,"CZK 19,139

                                
                                
                
i",,,,,
706668,"CZK 17,500",50.0885503,14.3441736,"Křenova, Prague - Veleslavín",3 bedroom,Good,74 m²,"CZK 4,500",Personal,Prefab concrete building,Partially furnished,1,No,No,Yes,No,No,No,No,15. 02. 2022,G,80,381,12,18,105,0,298,280,691,230,"CZK 25,000",,,,,,,,,,,,
628779,"CZK 14,000",50.061238,14.402847,"Na Neklance, Prague - Smíchov",2 bedroom,Excellent,48 m²,"CZK 3,500",Personal,Brick building,Partially furnished,1,No,No,Yes,No,Yes,Yes,No,01. 04. 2022,G,191,720,249,"1,181",193,193,835,922,918,682,,10 to 30 years years,,Middle floor,Overall,Standard materials and solutions,,,,,,,
617440,"CZK 9,200",50.076537,14.489897,"Černokostelecká, Prague - Strašnice",Studio,Excellent,30 m²,"CZK 3,300",Other,Brick building,,1,No,No,No,No,No,No,No,01. 03. 2022,G,20,216,27,76,164,183,303,641,820,347,"CZK 19,000",,,,,,,,,,,,
389581,"CZK 13,000",50.0433026,14.5670631,"Hornoměcholupská, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,New build,44 m²,"CZK 3,200",Personal,Brick building,Partially furnished,4,Yes,No,No,No,Yes,Yes,No,,C,73,967,207,779,680,199,629,627,"1,168",545,"CZK 13,000",1 to 10 years years,District heating,,,Standard materials and solutions,Yes,,,,,,
706660,"CZK 14,800",50.08677,14.46824,"Malešická, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,60 m²,CZK 770,Personal,Brick building,Unfurnished,1,Yes,No,No,No,No,No,No,01. 04. 2022,G,177,465,110,256,134,400,433,319,335,358,"CZK 14,800",,,,,,,,,,,,
661115,"CZK 27,500",50.07783,14.43667,"Vinohradská, Prague - Vinohrady",3 bedroom,Excellent,112 m²,"CZK 5,581",Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,No,No,01. 07. 2021,F,82,240,76,129,72,4,335,424,475,805,,,,,,,,,,,,,
706648,"CZK 16,900",50.06633,14.39952,"Bieblova, Prague - Smíchov",Studio,New build,32 m²,"CZK 3,500",Personal,Low-energy building,Furnished,3,No,No,Yes,No,No,Yes,No,01. 03. 2022,A,56,286,17,658,228,370,90,284,546,223,"CZK 16,900",,,,,,,,,,,,
695490,"CZK 13,500",50.0427129,14.4415653,"Krčská, Prague - Krč",2 bedroom,Good,65 m²,"CZK 3,000",Cooperative,Other,Partially furnished,3,No,No,Yes,No,Yes,No,No,13. 12. 2021,G,137,120,269,375,132,72,484,187,634,170,"CZK 15,000",,,,,,,,,,,,
488534,"CZK 15,500",50.06984,14.4750555,"Lvovská, Prague - Vršovice",2 bedroom,,70 m²,"CZK 4,000",Personal,Brick building,Partially furnished,7,No,No,Yes,No,No,Yes,No,14. 02. 2022,,181,314,178,402,130,362,151,158,136,180,"CZK 20,000",,,,,,,,,,,,
706559,"CZK 21,000",50.0923343,14.4901038,"Koněvova, Prague - Žižkov",2 bedroom,Excellent,76 m²,"CZK 3,900",Personal,Brick building,Unfurnished,3,No,No,No,No,Yes,No,No,14. 03. 2022,C,154,132,233,218,33,110,265,268,459,218,"CZK 33,000",,,Attic,,,,,,,,,
706618,"CZK 20,000",50.06638,14.37124,"Na Stárce, Prague - Košíře",4 bedroom,Good,84 m²,"CZK 5,000",Personal,Brick building,Partially furnished,2,No,No,Yes,Yes,No,No,No,15. 02. 2022,G,291,781,416,590,563,621,342,"1,155",775,94,"CZK 20,000",,,,,,,,,,,,
705819,"CZK 18,000",50.05706,14.46998,"U Plynárny, Prague - Michle",1 bedroom with open-plan kitchen,Excellent,62 m²,"CZK 2,000",Personal,Brick building,Furnished,5,No,No,Yes,No,No,Yes,No,01. 03. 2022,G,64,"1,193",128,"1,372",546,132,778,"1,098",106,,"CZK 18,000",,,,,,,,,,,,
698088,"CZK 12,500",50.09368,14.45589,"Křižíkova, Prague - Karlín",Studio,Excellent,28 m²,"CZK 1,500",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 02. 2022,B,313,657,1,285,65,149,237,"1,354",199,340,"CZK 12,000",,,,,,,,,,,,
432562,"CZK 23,000",50.1017809,14.4532674,"Tusarova, Prague - Holešovice",2 bedroom with open-plan kitchen,,75 m²,"CZK 3,500",Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,01. 03. 2022,,210,568,118,290,36,227,429,392,147,306,,1 to 10 years years,Gas boiler,Middle floor,Overall,,,,50 m²,,,,
706598,"CZK 13,000",50.0593,14.44594,"Na Jezerce, Prague - Nusle",Studio,Excellent,35 m²,CZK 500,Cooperative,Low-energy building,Furnished,,No,No,No,No,No,No,No,01. 03. 2022,G,304,"1,031",101,509,195,761,592,642,682,298,"CZK 13,500",,,,,,,,,,,,
72709,"CZK 14,500",50.09027,14.42609,"Rybná, Prague - Staré Město",Small studio,,31 m²,"CZK 3,500",Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,01. 04. 2022,,123,154,53,66,16,193,208,159,150,201,"CZK 18,000",,,,,,,,,,,,
569708,"CZK 12,000",50.0727416,14.5026424,"Oravská, Prague - Strašnice",2 bedroom,Good,53 m²,"CZK 4,000",Personal,Prefab concrete building,Furnished,3,No,No,Yes,No,No,No,No,01. 04. 2022,,170,"1,094",145,884,501,875,397,661,844,139,"CZK 12,000",,District heating,Middle floor,,Standard materials and solutions,,,,,,,
188290,"CZK 12,000",50.0865506,14.3748778,"Nad Kajetánkou, Prague - Břevnov",1 bedroom,Excellent,35 m²,"CZK 2,000",Personal,Brick building,Partially furnished,3,No,No,No,No,Yes,Yes,No,01. 03. 2022,E,180,895,400,590,292,293,262,189,541,322,"CZK 24,000",,Central heating,Middle floor,Interior,Standard materials and solutions,,,,,,,
703862,"CZK 18,500",50.05862,14.42969,"Marie Cibulkové, Prague - Nusle",1 bedroom with open-plan kitchen,New build,49 m²,"CZK 3,681",Personal,Other,Partially furnished,6,No,No,No,No,Yes,Yes,No,01. 02. 2022,C,260,860,224,335,122,200,769,252,290,213,,1 to 10 years years,Central heating,,,Premium materials and solutions,Yes,,,,,,
385181,"CZK 13,900",50.1190178,14.4957669,"Litoměřická, Prague - Prosek",2 bedroom,,48 m²,"CZK 5,500",Personal,Prefab concrete building,Furnished,3,No,No,Yes,No,No,Yes,No,01. 03. 2022,,172,813,372,315,188,352,418,344,"1,042",411,"CZK 35,000",,Central heating,Middle floor,,Standard materials and solutions,,,,,,,
614129,"CZK 15,000",50.103098,14.45016,"Komunardů, Prague - Holešovice",2 bedroom,Excellent,47 m²,"CZK 1,000",Personal,Brick building,Unfurnished,2,No,No,No,No,No,Yes,No,10. 02. 2022,G,75,279,16,49,110,70,323,286,416,267,"CZK 20,000",,,,,,,,,,,,
333374,"CZK 11,000",50.0775979,14.4869153,"Vinohradská, Prague - Strašnice",Studio,,43 m²,"CZK 3,500",Personal,Other,Partially furnished,6,Yes,No,No,No,No,Yes,Yes,01. 03. 2022,C,97,504,155,172,21,105,488,879,592,114,"CZK 25,000",,District heating,,,,,,,,,,
705778,"CZK 17,600",50.08505,14.4495,"Cimburkova, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,49 m²,"CZK 4,075",Personal,Brick building,Partially furnished,1,Yes,No,No,No,No,Yes,No,09. 02. 2022,C,281,180,53,207,51,148,88,237,120,597,"CZK 43,350",,,,,,,,,,,,
698786,"CZK 11,600",50.1088,14.49208,"U Školičky, Prague - Libeň",2 bedroom,Good,45 m²,"CZK 4,840",Cooperative,Brick building,Furnished,4,No,No,No,No,No,Yes,No,01. 03. 2022,G,134,579,269,487,242,212,488,274,67,144,"CZK 15,900",,,,,,,,,,,,
705768,"CZK 10,000",50.0482863,14.5243139,Prague - Hostivař,Small studio,Excellent,20 m²,"CZK 3,000",Personal,Prefab concrete building,Furnished,2,No,No,Yes,Yes,Yes,Yes,No,01. 03. 2022,A,225,"1,085",479,"1,065",12,711,485,493,666,345,"CZK 20,000",,,,,,,,,,,,
699025,"CZK 21,000",50.10904,14.44733,"Ortenovo náměstí, Prague - Holešovice",2 bedroom,Excellent,52 m²,"CZK 5,000",Personal,Brick building,Partially furnished,3,No,No,Yes,No,Yes,Yes,No,15. 02. 2022,A,167,654,39,587,258,432,138,"1,015",529,133,"CZK 30,000",,,Middle floor,Overall,Standard materials and solutions,,,,,,,
689604,"CZK 37,000",50.078855,14.4503271,"Laubova, Prague - Vinohrady",4 bedroom,Excellent,145 m²,"CZK 2,400",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,No,No,01. 01. 2022,G,170,234,0,233,74,262,103,243,592,130,"CZK 74,000",,,,,,,,,,,,
693758,"CZK 13,000",50.10778,14.47439,"Andrštova, Prague - Libeň",Studio,Good,48 m²,"CZK 3,000",Personal,Brick building,Partially furnished,2,No,No,Yes,No,No,Yes,No,01. 02. 2022,G,311,762,258,352,250,361,291,585,379,318,"CZK 15,000",,,,,,,,,,,,
705674,"CZK 18,000",50.072196135771,14.454171862148,"Ruská, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,46 m²,"CZK 4,000",Personal,Brick building,Partially furnished,4,No,No,No,No,No,Yes,No,30. 06. 2022,G,277,778,123,555,93,553,243,323,423,294,"CZK 20,000",,,,,,,,,,,,
705480,"CZK 18,000",50.07501,14.49783,"Brigádníků, Prague - Strašnice",3 bedroom,Development project,64 m²,"CZK 3,500",Personal,Brick building,Partially furnished,1,Yes,No,Yes,No,No,No,No,01. 03. 2022,G,477,560,311,672,169,668,267,291,829,399,"CZK 50,000",,Central heating,Raised ground floor,Overall,,,,,,,,
698009,"CZK 11,000",49.96739,14.38484,"Tunelářů, Prague - Zbraslav",1 bedroom,Good,38 m²,"CZK 3,500",Cooperative,Prefab concrete building,Partially furnished,1,No,No,No,No,No,Yes,No,01. 02. 2022,C,117,"1,271",113,"1,422",195,190,515,386,32,,,30 to 50 years years,District heating,Middle floor,Bathroom unit,Standard materials and solutions,,,,,,,
706421,"CZK 12,000",50.04379,14.45913,"Jihlavská, Prague - Michle",1 bedroom with open-plan kitchen,Good,42 m²,"CZK 4,000",Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,Yes,No,01. 05. 2022,G,275,743,292,772,137,380,604,568,654,306,"CZK 15,000",30 to 50 years years,Gas boiler,Raised ground floor,Exterior,Standard materials and solutions,,,,,,,
706541,"CZK 15,000",50.11217,14.62656,"Štverákova, Prague - Horní Počernice",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,500",Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,Yes,Yes,21. 02. 2022,G,215,707,883,452,619,646,557,,,,"CZK 18,500",,,,,,,,,,,,
706540,"CZK 12,000",50.05328,14.5131,"Velenovského, Prague - Záběhlice",2 bedroom,New build,44 m²,"CZK 3,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,15. 02. 2022,A,223,396,386,344,167,392,815,930,730,223,"CZK 15,000",,,,,,,,,,,,
544059,"CZK 12,500",50.0431159,14.3133445,"Toufarova, Prague - Stodůlky",Studio,,33 m²,"CZK 2,500",Personal,Brick building,Partially furnished,,No,Yes,No,No,Yes,Yes,No,01. 02. 2022,A,267,495,240,809,830,438,788,568,"1,041",592,"CZK 15,000",,,,,,Yes,,,,,,
72896,"CZK 11,500",50.0768004519,14.4043958187,"Arbesovo náměstí, Prague - Smíchov",Studio,,37 m²,"CZK 2,200",Personal,Brick building,Unfurnished,3,No,No,No,No,No,No,No,01. 03. 2022,G,77,217,16,68,72,104,224,909,729,358,,,Central heating,Middle floor,,,,,,,,,
539826,"CZK 9,000",49.9994485,14.4222431,"Petržílova, Prague - Modřany",Studio,Excellent,30 m²,"CZK 3,000",Personal,Prefab concrete building,Furnished,4,No,No,No,No,No,Yes,No,15. 02. 2022,,100,"1,049","1,294","1,116",417,"1,122",89,187,"1,095",141,"CZK 12,000",10 to 30 years years,District heating,Middle floor,Overall,Standard materials and solutions,,,,,,,
705725,"CZK 150,000",50.09114,14.41807,"Pařížská, Prague - Josefov",6 bedroom with open-plan kitchen,Excellent,322 m²,"CZK 15,000",Personal,Brick building,Unfurnished,6,No,Yes,No,No,No,Yes,No,09. 02. 2022,G,50,344,274,458,40,435,343,586,60,470,"CZK 165,000",,,,,,,,,,,,
572023,"CZK 19,000",50.0853905,14.3438632,"Nad Alejí, Prague - Břevnov",2 bedroom,Excellent,54 m²,"CZK 4,000",Personal,Prefab concrete building,Furnished,3,No,No,No,No,No,No,No,01. 05. 2022,,215,648,278,410,132,428,77,197,638,226,"CZK 30,000",1 to 10 years years,District heating,Middle floor,Overall,Premium materials and solutions,,,,,,,
263448,"CZK 10,000",50.1035108,14.4551188,Prague - Holešovice,Small studio,,20 m²,"CZK 2,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,21. 02. 2022,,99,526,165,258,35,162,712,674,123,527,"CZK 12,000",,,,,,,,,,,,
705429,"CZK 16,000",50.13357,14.51031,"Chlebovická, Prague - Letňany",1 bedroom with open-plan kitchen,New build,60 m²,"CZK 4,000",Personal,Brick building,Furnished,3,No,No,Yes,Yes,Yes,Yes,Yes,14. 02. 2022,G,90,775,396,357,409,413,274,376,242,36,"CZK 32,000",,,,,,,,,,,,
484129,"CZK 13,500",50.1028214,14.5708852,"Vašátkova, Prague - Černý Most",1 bedroom with open-plan kitchen,,50 m²,"CZK 2,330",Personal,Prefab concrete building,Partially furnished,1,No,No,No,No,No,No,No,07. 02. 2022,,223,"1,207",345,978,477,589,396,540,418,,"CZK 13,500",1 to 10 years years,District heating,Ground floor,Overall,Standard materials and solutions,,,,,,,
584522,"CZK 11,000",50.062876,14.449087,"ulice Kloboučnická, Prague - Nusle",Studio,Excellent,43 m²,"CZK 3,000",Personal,Brick building,Partially furnished,6,Yes,No,No,No,No,Yes,No,01. 03. 2022,C,298,853,341,592,296,603,620,431,932,488,"CZK 14,000",10 to 30 years years,Central heating,Middle floor,Interior,Standard materials and solutions,,,,,,,
33641,"CZK 14,000",50.0768071,14.4045114,"Arbesovo náměstí, Prague - Smíchov",1 bedroom,,53 m²,"CZK 2,400",Personal,Brick building,Unfurnished,3,No,No,No,Yes,No,No,No,01. 03. 2022,G,85,218,24,76,80,112,226,917,737,366,"CZK 16,400",,Central heating,Middle floor,Interior,,,,,,,,
456329,"CZK 28,000",50.0380392,14.3213519,"Wiesenthalova, Prague - Řeporyje",3 bedroom with open-plan kitchen,,84 m²,"CZK 5,500",Personal,Other,Partially furnished,3,Yes,Yes,Yes,No,No,Yes,Yes,15. 02. 2022,C,109,"1,161",806,"1,019",617,817,720,"1,101",755,209,"CZK 28,000",1 to 10 years years,District heating,Top floor,,,,,,,,,
705701,"CZK 13,000",50.04208,14.44583,"Antala Staška, Prague - Krč",2 bedroom,Excellent,55 m²,"CZK 4,000",Personal,Prefab concrete building,Furnished,3,No,No,No,No,No,No,No,11. 02. 2022,G,117,556,29,470,194,315,220,179,"1,070",343,"CZK 20,000",,,,,,,,,,,,
690394,"CZK 12,000",50.12306,14.45288,"Nad Šutkou, Prague - Kobylisy",1 bedroom,Excellent,54 m²,CZK 690,Personal,Brick building,Unfurnished,2,Yes,No,No,No,No,No,No,01. 11. 2021,G,9,724,131,219,124,187,269,661,"1,098",377,"CZK 24,000",,,,,,,,,,,,
706450,"CZK 14,000",50.09259,14.45566,"Šaldova, Prague - Karlín",Studio,Excellent,40 m²,"CZK 2,785",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,14. 02. 2022,G,360,709,135,310,149,173,353,"1,283",224,211,"CZK 28,000",,,,,,,,,,,,
547167,"CZK 16,500",50.1077073,14.527514,Prague - Hloubětín,1 bedroom with open-plan kitchen,New build,53 m²,"CZK 2,630",Cooperative,Low-energy building,Partially furnished,4,Yes,No,No,No,No,No,No,01. 08. 2020,B,67,"1,106",506,"1,088",770,903,"1,053",852,979,325,"CZK 10,000",1 to 10 years years,District heating,,,Premium materials and solutions,Yes,,,,,,
603121,"CZK 13,500",50.1057,14.474523,"Světova, Prague - Libeň",1 bedroom with open-plan kitchen,Good,43 m²,"CZK 4,900",Personal,Brick building,,1,No,No,Yes,No,No,No,No,01. 05. 2022,F,144,623,143,180,127,196,306,409,450,188,"CZK 30,000",,,,,,,,,,,,
673717,"CZK 13,000",50.0408926,14.3920654,Prague - Hlubočepy,1 bedroom,Excellent,34 m²,"CZK 2,000",Personal,Brick building,Furnished,2,No,No,No,No,Yes,No,No,01. 09. 2021,G,165,170,147,913,508,301,242,,,,"CZK 10,000",1 to 10 years years,Electric boiler,Middle floor,Interior,Premium materials and solutions,,,,,,,
31263,CZK 1,50.1115724,14.4775255,Prague - Libeň,3 bedroom,Good,70 m²,CZK 1,Personal,Brick building,Furnished,,No,No,No,No,No,No,No,26. 02. 2021,,207,"1,286",438,977,150,622,756,"1,018",699,41,"CZK 14,996",,Gas boiler,Ground floor,,Standard materials and solutions,,,,,,,
627593,"CZK 19,000",50.123424,14.4558,"Klapkova, Prague - Kobylisy",2 bedroom with open-plan kitchen,Excellent,89 m²,"CZK 4,500",Personal,Brick building,Partially furnished,3,Yes,No,No,No,Yes,Yes,No,01. 03. 2022,G,79,654,50,128,21,177,74,469,849,541,"CZK 25,000",1 to 10 years years,Central heating,Middle floor,,Standard materials and solutions,Yes,,,,,,
439532,"CZK 13,500",50.063013157204,14.404513468465,"Radlická, Prague - Smíchov",Studio,Excellent,45 m²,"CZK 2,200",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,01. 03. 2022,,19,421,44,884,17,172,675,648,761,570,"CZK 15,000",1 to 10 years years,Electric boiler,Middle floor,,,,,,,,,
697593,"CZK 16,000",50.04428,14.51449,"Rižská, Prague - Hostivař",1 bedroom with open-plan kitchen,New build,56 m²,"CZK 3,500",Personal,Brick building,Furnished,2,Yes,No,Yes,No,Yes,Yes,Yes,26. 02. 2022,B,236,377,442,431,"1,160",511,"1,293",142,,,"CZK 32,000",1 to 10 years years,District heating,Middle floor,,Standard materials and solutions,,,,,,,
645720,"CZK 12,000",50.003901,14.405669,"Komořanská, Prague - Modřany",1 bedroom with open-plan kitchen,Excellent,41 m²,"CZK 2,000",Personal,Prefab concrete building,Partially furnished,2,No,No,No,No,No,No,Yes,01. 04. 2022,C,140,"1,036",152,"1,078",108,130,138,177,787,73,"CZK 15,000",,,Middle floor,,,,,,,,,
704648,"CZK 17,000",50.08594,14.45368,"Prokopova, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,62 m²,"CZK 7,000",Personal,Other,Furnished,5,Yes,No,No,No,No,Yes,Yes,01. 03. 2022,C,129,280,56,403,157,288,138,242,310,318,"CZK 34,000",,,,,,,,,,,,
541741,"CZK 11,500",50.0574739,14.4452075,"Družstevní ochoz, Prague - Nusle",1 bedroom,Excellent,43 m²,"CZK 3,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,,,263,"1,005",127,516,93,875,423,398,768,213,"CZK 15,000",,,,,,,,,,,,
444069,"CZK 12,000",50.1061491,14.4884037,"U Svobodárny, Prague - Libeň",2 bedroom,,63 m²,"CZK 3,500",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,,,62,118,57,301,63,475,330,364,174,111,"CZK 12,000",,District heating,Ground floor,,,,,,,,,
698426,"CZK 17,000",50.0891,14.48368,"Olgy Havlové, Prague - Žižkov",1 bedroom with open-plan kitchen,New build,44 m²,"CZK 4,000",Personal,Brick building,Furnished,1,No,Yes,No,No,No,No,No,10. 01. 2022,B,452,809,494,570,209,612,436,304,301,60,"CZK 35,000",,,,,,,,,,,,
706376,"CZK 22,000",50.04319,14.31125,"Toufarova, Prague - Stodůlky",2 bedroom with open-plan kitchen,New build,69 m²,"CZK 5,500",Personal,Brick building,Partially furnished,2,No,No,Yes,Yes,Yes,Yes,Yes,01. 03. 2022,G,411,692,384,953,686,583,932,712,"1,185",713,"CZK 44,000",,,,,,,,,,,,
705588,"CZK 21,000",50.0689,14.39953,"Na Zatlance, Prague - Smíchov",1 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 4,000",Personal,Brick building,Partially furnished,3,Yes,Yes,No,Yes,No,Yes,No,08. 02. 2022,G,182,37,49,422,166,144,328,552,767,304,"CZK 22,000",,,,,,,,,,,,
