Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Condition,Ownership,EPC,Balcony,Cellar,New-build,Parking,Terrace,Heating,Age,Designe,Reconstruction,Garage,Enclosed balcony,Administrative fee,Plot type,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 20,000","CZK 5,000",728910,3+1,8/7/2022,84 m²,Partly,4,1.0,39.61,415.96,183.61,350.8,350.83,379.81,251.2,284.26,1684.22,356.33,Prague - Troja,50.12772,14.41349,"CZK 20,000",Prefab concrete,Very good,,G,,1.0,,,,,,,,,1.0,,,
"CZK 24,000","CZK 3,869",728906,2+kk,9/1/2022,55 m²,Fully furnished,1,1.0,100.67,552.16,76.41,168.19,45.96,95.08,323.13,505.31,539.03,607.16,Prague - Vinohrady,50.0739,14.43092,"CZK 46,000",Brick,Very good,,B,,,,,,,,,,,,,,
"CZK 18,500","CZK 5,500",728905,2+kk,8/20/2022,52 m²,Partly,3,1.0,421.53,1650.45,368.8,2020.44,576.51,1104.33,1815.64,2607.26,521.97,205.56,Prague - Hostavice,50.08478,14.56296,"CZK 30,000",Brick,New-build,,C,1.0,1.0,1.0,,,,,,,,,,,
"CZK 15,000","CZK 2,000",728904,Studio,9/15/2022,37 m²,Partly,1,1.0,197.65,543.84,1444.02,2611.34,612.99,1120.54,520.09,2149.46,2397.16,739.64,Prague - Dolní Počernice,50.09157,14.58187,"CZK 15,000",Brick,New-build,Personal,B,,1.0,1.0,,1.0,,Up to 10 years,,,1.0,,,,
"CZK 32,400","CZK 10,800",722376,2 bedroom,8/14/2022,62 m²,Fully furnished,2,1.0,115.5,432.36,102.25,252.86,101.54,270.19,296.51,392.65,201.07,164.93,"U Obecního dvora, Prague - Staré Město",50.091319,14.4234523,,,,,,,,,,,,,,,,,,,
"CZK 39,600","CZK 13,200",717648,2+kk,8/18/2022,46 m²,Fully furnished,2,,249.05,258.88,108.69,237.41,65.07,536.83,294.74,273.73,806.33,231.2,"Míšeňská, Prague - Malá Strana",50.0876118,14.4080467,,,,,,,,,,,,,,,,,,,
"CZK 18,075","CZK 6,025",728702,2 bedroom,9/4/2022,90 m²,Fully furnished,6,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,,,
"CZK 42,000","CZK 14,000",724430,2+kk,9/23/2022,70 m²,Fully furnished,6,1.0,131.02,427.0,167.64,222.78,153.5,424.47,453.78,447.06,416.6,569.82,"Rubešova, Prague - Vinohrady",50.0782991,14.4323831,,,,,,,,,,,,,,,1.0,,,,
"CZK 22,500","CZK 4,280",728700,3+kk,8/5/2022,68 m²,Partly,4,1.0,227.19,694.52,292.56,947.84,372.07,273.0,572.29,459.35,1024.68,123.64,Prague - Chodov,50.02741,14.5197,"CZK 45,000",Prefab concrete,Very good,Personal,G,,1.0,,,,Central,,,,,1.0,,,
"CZK 25,000",CZK 0,728125,2 bedroom,8/1/2022,62 m²,Fully furnished,3,,125.04,183.88,167.97,409.44,108.62,78.69,404.34,686.89,845.04,243.87,Prague - Smíchov,50.06945,14.40026,"CZK 55,000",Brick,Very good,,G,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",719175,2 bedroom,8/11/2022,50 m²,Fully furnished,-1,1.0,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",718218,2+kk,9/6/2022,45 m²,Fully furnished,2,1.0,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,
"CZK 11,900",CZK 0,463864,Small studio,8/8/2022,21 m²,Fully furnished,1,,74.96,828.19,292.16,833.85,120.71,611.1,822.27,411.65,477.48,374.4,"Malešická, Prague - Malešice",50.0847778,14.5092729,"CZK 11,900",Brick,,Personal,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",724600,2+kk,9/5/2022,56 m²,Fully furnished,4,,91.98,204.34,98.75,50.9,42.55,154.76,196.57,433.55,409.29,205.78,"náměstí Bratří Synků, Prague - Nusle",50.0640124,14.439955,,,,,,,,,,,,,,,,,,,
"CZK 28,425","CZK 9,475",721648,Studio,8/11/2022,30 m²,Fully furnished,2,1.0,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 4,000",724861,3+kk,9/1/2022,95 m²,Fully furnished,1,,297.57,1299.44,192.92,1089.73,370.38,240.73,178.6,170.88,876.0,232.02,Prague - Strašnice,50.06831,14.50072,"CZK 40,000",Brick,Very good,Personal,G,,,,,,Electric boiler,,,Complete,,,,,
"CZK 23,625","CZK 7,875",724916,Studio,9/5/2022,35 m²,Fully furnished,1,1.0,228.77,340.86,232.94,732.64,115.16,426.24,319.01,539.74,497.03,358.92,"U Nikolajky, Prague - Smíchov",50.0656652,14.3917771,,,,,,1.0,,,,1.0,,,,,1.0,,,,
"CZK 18,750","CZK 6,250",726550,Studio,9/18/2022,25 m²,Fully furnished,1,,272.71,301.68,85.68,246.48,43.26,206.77,19.97,254.25,110.99,588.48,"Štítného, Prague - Žižkov",50.0855201,14.4494539,,,,,,,,,,,,,,,,,,,
"CZK 21,038","CZK 7,012",725888,Studio,10/4/2022,35 m²,Fully furnished,2,1.0,233.1,571.46,103.21,275.27,139.29,314.88,470.1,600.61,643.99,585.85,"Mojmírova, Prague - Nusle",50.0630016,14.4450348,,,,,,,,,,,,,,,,,,,
"CZK 9,000","CZK 3,000",727085,2 bedroom,9/22/2022,26 m²,Fully furnished,3,,240.22,762.14,534.22,521.0,543.1,584.05,536.64,879.96,1049.11,157.74,"U Chmelnice, Prague - Modřany",50.0080579,14.4107768,,,,,,,,,,,,,,,,,,,
"CZK 25,185","CZK 8,395",727016,2+kk,9/21/2022,48 m²,Fully furnished,2,1.0,135.11,912.46,214.19,950.58,205.94,453.63,610.43,416.59,742.03,542.67,"Na Neklance, Prague - Smíchov",50.0605987,14.3995526,,,,,,,,,,,,,,,,,,,
"CZK 20,250","CZK 6,750",728265,2 bedroom,10/1/2022,48 m²,Fully furnished,1,,391.21,523.69,852.19,2051.14,481.77,1805.15,1748.87,917.01,838.92,1086.22,"Nad Kazankou, Prague - Troja",50.1179747,14.4268704,,,,,,1.0,,,,1.0,,,,,,,,,
"CZK 29,250","CZK 9,750",728264,3+kk,10/1/2022,85 m²,Fully furnished,7,1.0,43.1,275.33,86.81,107.67,29.44,58.04,584.89,359.35,612.41,136.97,"Jičínská, Prague - Žižkov",50.0780714,14.460831,,,,,,,,,,,,,,,,,,,
"CZK 19,200","CZK 6,400",728261,1 bedroom,10/1/2022,25 m²,Fully furnished,5,,325.99,599.06,10.69,489.3,51,359.95,315.04,78.83,255.47,309.72,"Polská, Prague - Vinohrady",50.0787721,14.4457646,,,,,,,,,,,,,,,,,,,
"CZK 23,760","CZK 7,920",728259,2 bedroom,10/1/2022,60 m²,Fully furnished,1,,250.51,417.46,211.46,417.21,207.64,462.73,364.17,360.99,525.54,550.17,"Lublaňská, Prague - Vinohrady",50.0710848,14.4324122,,,,,,,,,,,,,,,,,,,
"CZK 41,756","CZK 13,919",728695,4+1,10/4/2022,102 m²,Fully furnished,2,,183.27,1023.84,165.5,746.11,195.16,730.27,819.74,259.7,600.66,303.35,"Xaveriova, Prague - Smíchov",50.0626569,14.3913498,,,,,,,,,,,,,,,,,,,
"CZK 32,250","CZK 10,750",727477,Studio,9/25/2022,27 m²,Fully furnished,4,1.0,275.28,321.52,72.5,617.26,60.27,467.19,25.57,60.76,793.43,562.96,"Americká, Prague - Vinohrady",50.0717643,14.4385436,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 4,000",505757,2+kk,8/1/2022,55 m²,Partly,2,,62.71,1752.79,217.92,2388.85,105.34,1636.27,181.2,822.72,1145.48,640.88,Prague - Hlubočepy,50.0454793,14.4066166,"CZK 21,000",Brick,,Personal,A,,1.0,,,1.0,,,,,,,,,
"CZK 32,400","CZK 10,800",728253,2 bedroom,10/1/2022,65 m²,Fully furnished,5,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,,
"CZK 51,840","CZK 17,280",728059,3+1,9/30/2022,85 m²,Fully furnished,2,1.0,278.51,602.82,173.91,301.83,0.93,288.1,225.94,440.55,233.82,416.1,"Bílkova, Prague - Staré Město",50.0912254,14.4209612,,,,,,,,,,,,,,,,,,,
"CZK 39,000","CZK 13,000",728062,2 bedroom,9/30/2022,92 m²,Fully furnished,7,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,1.0,,,,1.0,,,,,,,,,
"CZK 51,656","CZK 17,219",728895,2 bedroom,10/6/2022,60 m²,Fully furnished,4,1.0,110.1,392.87,177.02,129.22,79.72,168.29,299.92,497.22,273.67,349.66,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,,,,,,,,,,,,,,,
"CZK 29,250","CZK 9,750",724407,2 bedroom,9/19/2022,65 m²,Fully furnished,4,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 6,000",728232,2+kk,8/31/2022,83 m²,Partly,3,1.0,119.42,122.54,82.16,414.46,151.65,165.78,249.01,446.89,605.24,211.56,Prague - Smíchov,50.06805,14.39953,"CZK 46,000",Brick,Very good,,G,,1.0,,1.0,,,Up to 10 years,Luxurious,Complete,,,,,
"CZK 45,600","CZK 15,200",726059,2+kk,8/30/2022,67 m²,Fully furnished,4,1.0,110.1,392.87,177.02,129.22,79.72,168.29,299.92,497.22,273.67,349.66,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,,1.0,,,,1.0,,,,,,,,,
"CZK 37,500","CZK 12,500",720700,2+kk,8/11/2022,60 m²,Fully furnished,2,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 5,000",728223,2 bedroom,9/1/2022,68 m²,Unfurnished,3,1.0,126.97,254.99,159.91,492.97,197.16,157.54,142.68,291.41,592.81,57.47,Prague - Holešovice,50.10237,14.44445,"CZK 23,000",Brick,Good,,F,,1.0,,1.0,,,,,,,,,,
"CZK 19,900","CZK 4,000",728892,2+kk,8/6/2022,52 m²,Fully furnished,2,1.0,80.58,970.2,288.35,326.95,469.13,383.3,436.86,1714.08,660.71,182.37,Prague - Třebonice,50.05601,14.29032,"CZK 19,900",Brick,New-build,,B,1.0,1.0,1.0,1.0,,,,,,1.0,,,,
"CZK 22,875","CZK 7,625",728891,3+kk,9/10/2022,63 m²,Fully furnished,5,,205.2,814.61,229.97,533.27,206.46,282.56,446.62,227.35,110.18,111.62,"U školičky, Prague - Libeň",50.1085928,14.4915135,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 8,000",483897,3+kk,8/15/2022,92 m²,Fully furnished,2,,137.91,1008.34,405.32,637.44,539.18,1087.18,1284.46,996.81,1069.33,273.85,"Uzoučká, Prague - Suchdol",50.13279,14.36972,"CZK 42,000",Brick,Very good,Personal,,,1.0,,1.0,,Gas boiler,Up to 10 years,Standard,,,,,,
"CZK 19,500",CZK 0,322336,2 bedroom,7/29/2022,67 m²,Fully furnished,2,,427.74,697.01,344.52,518.27,491.71,549.0,185.92,632.5,706.64,171.13,"Nad Kuliškou, Prague - Košíře",50.0669463,14.3736586,"CZK 19,500",Brick,Very good,Personal,,1.0,,,,,,,,,,,,,
"CZK 17,000","CZK 4,300",575497,2+kk,9/1/2022,50 m²,Fully furnished,2,1.0,134.81,1230.46,485.17,488.62,0,491.85,797.74,375.33,365.39,548.59,"5. května, Prague - Nusle",50.0562485,14.4371791,"CZK 34,000",Brick,Very good,Personal,E,,1.0,,,,Central,Up to 10 years,Standard,Complete,,,,,
"CZK 29,250","CZK 9,750",725020,2 bedroom,9/19/2022,65 m²,Fully furnished,3,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,,
"CZK 47,340","CZK 15,780",717682,2+kk,8/11/2022,69 m²,Fully furnished,6,1.0,104.56,349.59,143.75,145.93,108.83,150.53,431.56,393.96,289.53,329.01,"Na Maninách, Prague - Holešovice",50.1025661,14.4522431,,,,,,1.0,,,,1.0,,,,,,,,,
"CZK 13,000","CZK 4,000",393654,Small studio,8/15/2022,26 m²,Fully furnished,1,,240.76,1142.0,1045.26,1053.63,697.13,1064.35,924.02,421.08,1614.86,248.41,"Otvovická, Prague - Suchdol",50.1426796,14.3870953,"CZK 26,000",Brick,New-build,Personal,B,,,1.0,1.0,1.0,Geothermal,Up to 10 years,Luxurious,Complete,,,,,
"CZK 33,750","CZK 11,250",726019,2+kk,8/16/2022,75 m²,Fully furnished,6,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,1.0,,,,1.0,,,,,,,,,
"CZK 25,000","CZK 4,500",727256,2 bedroom,9/1/2022,69 m²,Partly,2,,184.87,1348.04,119.61,1123.42,379.57,422.11,794.25,164.68,1259.29,542.21,Prague - Smíchov,50.07473,14.39021,"CZK 40,000",Brick,Very good,,G,,1.0,,,,,,,,,,,,
"CZK 4,400",CZK 0,728880,1 bedroom,8/6/2022,12 m²,Unfurnished,5,1.0,297.29,944.26,225.87,3383.19,192.24,457.57,395.72,2175.64,1758.86,787.13,Prague - Písnice,50.00364,14.46366,"CZK 7,750",Prefab concrete,Good,,G,,,,,,,,,,,1.0,,,
"CZK 18,000","CZK 4,800",424503,2+kk,9/1/2022,58 m²,Partly,3,1.0,177.05,701.22,49.81,477.87,27.64,476.21,290.82,287.65,526.7,223.0,Prague - Vršovice,50.0719083,14.4601797,"CZK 30,000",Brick,Very good,Cooperative,,1.0,,,,,Central,,Standard,,,,,,
"CZK 13,500","CZK 3,500",575124,2+kk,10/1/2022,45 m²,Partly,9,1.0,215.93,295.36,218.93,2616.52,271.82,262.51,304.72,1672.13,1318.21,146.24,"Ciolkovského, Prague - Ruzyně",50.0896132,14.3064783,"CZK 13,500",Prefab concrete,Very good,Personal,D,,1.0,,,,,,,Interior,,,,,
"CZK 15,000","CZK 2,000",728879,1 bedroom,8/6/2022,46 m²,Partly,1,,141.46,1286.42,232.19,1088.15,143.15,531.21,392.3,1625.77,420.21,696.82,Prague - Holešovice,50.1087,14.43751,"CZK 17,000",Brick,Very good,,G,,,,,,,,,,,,,,
"CZK 41,625","CZK 13,875",720848,4+kk,9/1/2022,112 m²,Fully furnished,4,1.0,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,,,,,,1.0,,,,1.0,,,,,,,,,
"CZK 31,752","CZK 10,584",726633,2 bedroom,9/2/2022,57 m²,Fully furnished,7,1.0,7.74,76.74,105.28,213.89,45.41,117.47,178.45,327.18,381.26,239.99,"Dělnická, Prague - Holešovice",50.1031132,14.4472134,,,,,,1.0,,,,1.0,,,,,,,,,
"CZK 22,000",CZK 0,432247,1 bedroom,9/1/2022,45 m²,Fully furnished,2,,197.76,857.82,342.23,943.3,410.97,290.24,475.46,954.62,856.38,529.02,"U Druhé baterie, Prague - Břevnov",50.0895188,14.366109,"CZK 22,000",Brick,,Personal,,,,,,,Gas boiler,,,,,,,,
"CZK 19,800","CZK 6,600",727240,3+kk,9/3/2022,90 m²,Fully furnished,2,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 4,500",711701,2+kk,9/15/2022,70 m²,Fully furnished,2,1.0,52.73,484.57,102.81,829.06,42.67,230.7,620.9,592.51,708.03,528.97,"Radlická, Prague - Smíchov",50.06336,14.40441,"CZK 54,000",Prefab concrete,Very good,Personal,C,,,,1.0,,,,,,1.0,1.0,,,
"CZK 16,400","CZK 2,500",545224,Studio,9/1/2022,38 m²,Partly,4,1.0,109.24,1039.06,442.08,846.12,540.6,637.35,35.01,1310.4,767.89,296.17,Prague - Holešovice,50.11065,14.449746,"CZK 20,000",Brick,New-build,Personal,B,,,1.0,,,Central,Up to 10 years,Luxurious,,,,,,
"CZK 9,000","CZK 1,250",728872,2 bedroom,10/1/2022,70 m²,Partly,3,,191.02,1134.02,193.0,571.22,318.41,213.69,362.28,887.88,233.66,181.75,Prague - Libeň,50.11029,14.473,"CZK 9,000",Brick,Very good,,G,,,,1.0,,,,,,,,,,
"CZK 20,729","CZK 6,910",727823,2 bedroom,9/10/2022,47 m²,Fully furnished,2,1.0,156.38,1229.0,162.03,220.23,25.89,81.62,279.46,502.09,319.11,381.66,"Viklefova, Prague - Žižkov",50.0907344,14.4740295,,,,,,1.0,,,,1.0,,,,,,,,,
"CZK 17,250","CZK 5,750",727831,3+kk,9/16/2022,90 m²,Fully furnished,2,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,
"CZK 29,850","CZK 9,950",728156,2+kk,8/28/2022,50 m²,Fully furnished,3,1.0,75.01,890.63,40.68,622.44,47.2,145.83,371.43,242.4,512.42,352.71,"Kubelíkova, Prague - Žižkov",50.0815843,14.4461973,,,,,,,,,,,,,,,,,,,
"CZK 11,500","CZK 2,500",728870,2+kk,8/15/2022,33 m²,Fully furnished,4,1.0,111.23,987.17,669.08,855.29,220.83,1089.38,922.11,840.0,833.18,545.63,Prague - Střešovice,50.09426,14.38827,"CZK 23,000",Brick,Very good,,C,,1.0,,1.0,,,,,,,,,,
"CZK 19,000",CZK 580,623115,2 bedroom,10/1/2022,55 m²,,3,,120.4,778.1,120.38,48.38,67.8,267.02,598.26,627.49,572.95,170.07,"Koněvova, Prague - Žižkov",50.089674,14.465655,"CZK 19,580",Brick,Very good,Personal,E,,,,,,,,,,,,,,
"CZK 26,000","CZK 4,500",728159,3+kk,8/1/2022,70 m²,Partly,5,,219.55,212.06,332.73,367.96,260.06,216.4,444.55,445.71,492.32,104.03,Prague - Žižkov,50.09111,14.49059,"CZK 31,000",Brick,Very good,,G,1.0,1.0,,,,,,,,,,,,
"CZK 25,000","CZK 3,060",728860,2 bedroom,8/6/2022,56 m²,Partly,3,1.0,178.75,430.88,98.92,207.53,161.89,205.87,188.4,62.84,511.49,140.78,Prague - Vršovice,50.07025,14.45645,"CZK 37,500",Brick,Very good,,G,,,,,,,,,,,,,,
"CZK 20,000","CZK 3,500",705562,2+kk,10/10/2022,45 m²,Fully furnished,5,1.0,125.19,415.53,168.81,321.31,133.39,291.21,468.63,656.91,299.75,230.15,"Koněvova, Prague - Žižkov",50.08868,14.46064,"CZK 30,000",Brick,Very good,Personal,,,,,,,Electric boiler,,,Complete,,,,,
"CZK 28,688","CZK 9,562",728478,2 bedroom,9/5/2022,79 m²,Fully furnished,1,,363.56,762.88,104.37,363.83,77.2,226.97,253.87,849.15,277.49,306.14,"Březinova, Prague - Karlín",50.0930235,14.4565572,,,,,,,,,,,,,,,,,,,
"CZK 31,725","CZK 10,575",728856,Studio,8/11/2022,50 m²,Fully furnished,5,1.0,122.69,292.83,150.02,222.27,31.53,246.25,406.08,512.95,283.22,254.06,"Křižíkova a, Prague - Karlín",50.0928722,14.4500782,,,,,,1.0,,,,1.0,,,,,1.0,,,,
"CZK 14,200","CZK 4,800",641075,2 bedroom,8/8/2022,42 m²,Fully furnished,5,1.0,230.71,261.67,340.99,371.23,133.86,409.58,439.54,562.77,307.63,103.71,"Na Strži, Prague - Krč",50.048129,14.439351,"CZK 19,000",Prefab concrete,Very good,Personal,C,,1.0,,,,Central,,,Complete,,,,,
"CZK 21,900","CZK 3,783",728853,2+kk,10/1/2022,65 m²,Fully furnished,9,1.0,187.61,796.91,219.72,789.56,413.49,693.0,349.3,774.1,429.2,512.14,Prague - Kamýk,50.01897,14.43788,"CZK 40,000",Brick,New-build,,G,,,,1.0,1.0,,,,,,,,,
