Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Age,Designe,Floor space,Fully furnished,Condition,Ownership,EPC,Heating,Balcony,Garage,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Lift,Cellar,New-build,Parking,Enclosed balcony,Domácí mazlíčci vítáni,Terrace,Reconstruction,Administrative fee,Plot type
"CZK 22,990","CZK 5,485","CZK 28,475",732145,3+1,9/3/2022,3,Prefab concrete,,,78 m²,,New-build,Personal,C,,1.0,,323.76,705.08,150.61,289.27,137.57,191.46,271.87,285.43,411.99,165.39,"Rostovská, Prague - Vršovice",50.06818611111,14.44945,1.0,,1.0,,,,,,"CZK 28,475",
"CZK 22,990","CZK 5,485","CZK 28,475",732144,3+1,9/3/2022,3,Prefab concrete,,,78 m²,,New-build,Personal,C,,1.0,,323.76,705.08,150.61,289.27,137.57,191.46,271.87,285.43,411.99,165.39,"Rostovská, Prague - Vršovice",50.06818611111,14.44945,1.0,,1.0,,,,,,"CZK 28,475",
"CZK 18,000","CZK 6,000","CZK 24,000",470843,2+kk,10/1/2022,2,Brick,10 to 30 years,Standard,58 m²,Fully furnished,New-build,Personal,,Central,1.0,1.0,80.22,958.19,274.76,966.54,466.28,911.02,483.21,986.41,628.98,180.71,"K Netlukám, Prague - Uhříněves",50.0322565,14.6089774,1.0,1.0,1.0,1.0,,,,,,
"CZK 19,990","CZK 3,763","CZK 23,753",732141,3+kk,9/3/2022,3,Prefab concrete,,,75 m²,,Very good,Personal,C,,1.0,,326.98,357.94,294.88,400.62,404.12,563.85,103.0,167.32,620.43,60.66,"Skřivanská, Prague - Malešice",50.08289861111,14.49651805555,,1.0,,,,,,,"CZK 23,753",
"CZK 18,900","CZK 3,500","CZK 18,900",207580,Studio,9/1/2022,4,Brick,,,38 m²,Partly,New-build,Personal,,Central,,,33.0,509.91,73.38,293.53,116.25,423.09,318.1,221.06,626.37,327.67,"Korunní, Prague - Vinohrady",50.0754965,14.4586197,1.0,,1.0,,1.0,,,,,
"CZK 16,500","CZK 4,500","CZK 25,000",654021,2 bedroom,11/1/2022,2,Prefab concrete,,,52 m²,Partly,Very good,Personal,D,Distance,,,238.13,148.07,207.47,195.17,299.02,387.43,253.27,428.89,834.67,284.48,Prague - Malešice,50.0829438,14.500182,,,,1.0,,,,Complete,,
"CZK 23,990","CZK 3,776","CZK 27,766",732137,3+1,9/3/2022,3,Brick,,,100 m²,,Good,Personal,G,,1.0,,113.53,208.15,165.67,265.24,65.65,355.59,292.01,406.64,233.87,311.04,"Novákových, Prague - Libeň",50.10404611111,14.47706416666,1.0,1.0,,,,,,,"CZK 27,766",
"CZK 21,000",CZK 600,"CZK 21,000",678963,2 bedroom,9/3/2022,1,Brick,,,70 m²,Partly,Very good,Personal,G,,,,176.77,182.58,192.23,138.36,76.48,172.61,312.65,722.38,522.65,411.27,"Jirečkova, Prague - Holešovice",50.09941,14.42315,,,,,,,,,,
"CZK 16,900","CZK 4,000","CZK 34,000",731452,1 bedroom,8/28/2022,2,Brick,,Luxurious,35 m²,Fully furnished,Very good,Personal,,,,,75.69,451.17,311.88,104.64,127.64,1147.59,213.25,644.26,475.61,293.22,Prague - Michle,50.05724,14.45039,,,,,,,,Complete,,
"CZK 14,600",CZK 0,"CZK 12,000",665899,2+kk,10/1/2022,4,Brick,,Standard,39 m²,Partly,Very good,Personal,B,Electric boiler,,,91.47,1448.43,123.9,970.26,141.35,538.68,446.94,849.17,505.84,317.07,"Braunerova, Prague - Libeň",50.11277,14.47502,,,,,,,,Interior,,
"CZK 26,000","CZK 3,000","CZK 25,000",599575,3+kk,9/2/2022,4,Brick,Up to 10 years,Luxurious,46 m²,Fully furnished,Very good,Cooperative,B,Central,,,113.32,289.04,83.63,400.83,17.87,95.23,270.35,279.06,374.06,331.63,"Sokolovská, Prague - Karlín",50.092552,14.44379,1.0,,,,,,,Complete,,
"CZK 10,000","CZK 3,500","CZK 20,000",628570,Studio,9/5/2022,,Brick,,,25 m²,Fully furnished,Very good,Cooperative,G,Other,,,101.43,387.9,74.76,489.3,92.65,350.49,253.43,147.5,139.74,421.72,"Petrohradská, Prague - Vršovice",50.065445,14.452084,,,,,,,,,,
"CZK 9,200","CZK 1,500","CZK 10,000",732128,6+kk,9/24/2022,6,Other,,,30 m²,Fully furnished,Very good,,G,,1.0,,234.8,215.63,259.34,719.06,313.91,295.2,831.77,407.77,706.11,433.61,Prague - Libeň,50.11987,14.46264,1.0,,,1.0,,,,,,
"CZK 19,000","CZK 2,500","CZK 30,000",721706,Studio,9/24/2022,3,Brick,Up to 10 years,Luxurious,32 m²,Fully furnished,New-build,Personal,B,Electric boiler,,,184.9,491.18,201.53,600.56,185.71,464.1,909.61,880.1,1116.52,293.82,Prague - Uhříněves,50.02854,14.59565,1.0,1.0,1.0,,1.0,,,,,
"CZK 14,000","CZK 3,500","CZK 20,000",563487,Studio,9/15/2022,5,Brick,,,48 m²,Fully furnished,,Personal,,Distance,,,349.01,1306.15,1183.34,2547.15,135.98,470.61,639.86,1578.35,1607.92,164.68,"Velké Kunratické, Prague - Kunratice",50.0208963,14.466772,1.0,,,,,,1.0,,,
"CZK 41,756","CZK 13,919",,728695,4+1,10/4/2022,2,,,,102 m²,Fully furnished,,,,,,,183.27,1023.84,165.5,746.11,195.16,730.27,819.74,259.7,600.66,303.35,"Xaveriova, Prague - Smíchov",50.0626569,14.3913498,,,,,,,,,,
"CZK 25,500","CZK 8,500",,727015,1 bedroom,9/21/2022,3,,,,35 m²,Fully furnished,,,,,,1.0,97.26,259.91,105.72,291.36,79.07,194.41,340.41,525.24,106.28,298.87,"Koněvova, Prague - Žižkov",50.088447,14.458108,1.0,,,,,,,,,
"CZK 22,200","CZK 3,800","CZK 26,000",657252,2+kk,11/1/2022,4,Brick,,,50 m²,Fully furnished,Very good,Cooperative,G,,,,133.15,481.82,43.42,82.77,46.47,54.1,409.65,568.09,3.58,537.27,"Křižíkova, Prague - Karlín",50.09258,14.45368,1.0,1.0,,,,,,,,
"CZK 38,040","CZK 12,680",,724143,2 bedroom,9/4/2022,5,,,,70 m²,Fully furnished,,,,,,,92.39,704.33,6.31,418.26,11.89,396.59,447.42,561.87,517.82,191.93,"Karoliny Světlé, Prague - Staré Město",50.0841726,14.4139535,,,,,,,,,,
"CZK 4,000","CZK 3,000","CZK 7,000",732126,Studio,9/2/2022,,Brick,,,20 m²,Partly,Good,Municipal,B,Electric boiler,,,161.23,140.79,1536.51,1989.08,189.1,557.88,332.89,622.45,478.43,422.84,Prague - Řeporyje,50.03195,14.31385,,,,1.0,,,,,,
