Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Design,Heating,Total number of floors,Renovation,Age,Front garden,Developer name,Project name,Kód jednotky,Administration fee
697091,"CZK 21,500",50.0834958,14.4520146,"Bořivojova, Prague - Žižkov",1 bedroom with open-plan kitchen,New build,70 m²,"CZK 3,500","CZK 43,000",Personal,Brick building,Partially furnished,6,No,No,Yes,No,No,Yes,No,01. 01. 2022,C,149,185,155,167,78,206,312,425,468,452,,Premium materials and solutions,,Top floor,Overall,,,,,,
658765,"CZK 15,000",50.02408,14.51633,"Ke Škole, Prague - Chodov",2 bedroom with open-plan kitchen,Excellent,64 m²,"CZK 3,956","CZK 45,000",Personal,Prefab concrete building,Partially furnished,5,No,No,No,Yes,Yes,Yes,No,01. 02. 2022,G,177,"1,050",160,"1,343",391,354,318,605,"1,439",226,,,,,,,,,,,
620718,"CZK 18,500",50.091259,14.443862,"Křižíkova, Prague - Karlín",2 bedroom with open-plan kitchen,Excellent,84 m²,CZK 500,"CZK 39,000",Personal,Brick building,Partially furnished,2,No,No,Yes,No,No,No,No,01. 01. 2022,G,178,465,14,403,33,378,166,"1,070",489,252,,Standard materials and solutions,Gas boiler,Middle floor,Interior,,,,,,
693665,"CZK 11,000",50.0067412,14.4376047,"Vazovova, Prague - Modřany",Studio,Excellent,30 m²,"CZK 2,200","CZK 20,000",Personal,Prefab concrete building,Furnished,6,No,No,No,No,No,Yes,No,24. 11. 2021,C,340,"1,001",354,"1,187",851,479,817,202,,,,,,,,,,,,,
697521,"CZK 15,000",50.10712,14.49347,"Drahobejlova, Prague - Libeň",1 bedroom,Excellent,42 m²,"CZK 4,000","CZK 30,000",Cooperative,Brick building,Furnished,2,No,No,Yes,No,No,No,No,01. 03. 2022,G,191,385,113,596,91,184,270,495,282,223,,,,,,,,,,,
692955,"CZK 13,000",50.0376426,14.3402209,"Kurzova, Prague - Stodůlky",3 bedroom,Good,73 m²,"CZK 5,700","CZK 20,000",Cooperative,Prefab concrete building,Partially furnished,6,No,No,No,No,No,No,No,19. 12. 2021,G,429,378,106,996,254,375,229,314,263,203,,,,,,,,,,,
697507,"CZK 19,000",50.0886,14.34208,"Pláničkova, Prague - Veleslavín",1 bedroom with open-plan kitchen,Excellent,69 m²,"CZK 5,300","CZK 40,000",Personal,Brick building,Partially furnished,3,No,Yes,No,No,Yes,Yes,Yes,01. 02. 2022,G,209,553,208,189,154,225,399,287,851,218,,Premium materials and solutions,District heating,Middle floor,,10 to 30 years years,,,,,
285928,"CZK 14,000",50.0969546,14.4652086,"Molákova, Prague - Karlín",Studio,,28 m²,"CZK 3,000","CZK 30,000",Personal,Other,Furnished,10,No,Yes,No,No,No,Yes,No,,,108,"1,177",92,"1,032",226,771,442,685,901,149,,,,,,,,,,,
619815,"CZK 11,000",50.081986,14.625491,"Na Vaňhově, Prague - Běchovice",2 bedroom with open-plan kitchen,Excellent,75 m²,"CZK 4,000","CZK 15,000",,Other,,,No,No,No,No,No,No,No,01. 02. 2022,C,220,437,659,742,793,853,686,896,,,,,,,,,,,,,
344771,"CZK 14,000",50.1393916,14.5196612,"Miroslava Hajna, Prague - Letňany",1 bedroom with open-plan kitchen,,45 m²,"CZK 3,500","CZK 20,000",Personal,Brick building,Furnished,2,Yes,No,No,No,No,No,No,01. 01. 2022,B,420,536,"1,087","1,103",351,640,930,"1,114","1,191",151,Yes,,,,,,,,,,
581839,"CZK 16,400",50.128615,14.483932,"Březenská, Prague - Libeň",1 bedroom with open-plan kitchen,New build,62 m²,"CZK 3,550","CZK 45,000",Personal,Low-energy building,Furnished,2,No,No,No,No,Yes,Yes,Yes,01. 02. 2022,B,163,"1,180",257,"1,235",458,249,195,728,919,192,Yes,Premium materials and solutions,District heating,Middle floor,,1 to 10 years years,,,,,
605739,"CZK 11,500",50.10469,14.479042,"Novákových, Prague - Libeň",1 bedroom with open-plan kitchen,Excellent,41 m²,"CZK 1,000","CZK 20,000",Personal,Brick building,,4,No,No,No,No,No,Yes,No,01. 01. 2022,G,54,335,162,334,29,288,357,446,198,393,,,Gas boiler,Middle floor,,,,,,,
430813,"CZK 19,900",50.1262741,14.4319591,"Velká skála, Prague - Troja",2 bedroom with open-plan kitchen,Excellent,89 m²,"CZK 5,000","CZK 24,900",Personal,Brick building,Furnished,2,No,Yes,No,No,Yes,No,No,01. 02. 2022,A,361,626,69,"1,243",574,"1,042",547,475,481,469,,,District heating,,,,,,,,
697010,"CZK 19,000",50.0983305,14.5134504,"Mezitraťová, Prague - Hrdlořezy",1 bedroom with open-plan kitchen,Excellent,72 m²,"CZK 3,900","CZK 20,000",Personal,Brick building,Furnished,3,Yes,No,No,No,Yes,No,Yes,15. 01. 2022,G,141,"1,115","1,080","1,052","1,157","1,223","1,333",356,,,,,,,,,,,,,
405946,"CZK 11,000",50.0538495,14.4395499,"5. května, Prague - Nusle",2 bedroom,,51 m²,"CZK 5,200","CZK 16,200",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,,,78,831,334,320,198,418,654,236,562,488,,,,,,,,,,,
356168,"CZK 7,500",50.0304077,14.5138397,"Mikulova, Prague - Chodov",Studio,Excellent,32 m²,"CZK 3,900","CZK 11,000",Personal,Prefab concrete building,Partially furnished,4,No,No,No,No,No,Yes,No,04. 01. 2022,,169,361,214,"1,209",545,478,195,340,693,35,,Standard materials and solutions,District heating,Middle floor,Exterior,30 to 50 years years,,,,,
684064,"CZK 17,000",50.09084,14.35602,"Na Petřinách, Prague - Břevnov",3 bedroom,Good,60 m²,"CZK 4,000","CZK 21,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,22. 11. 2021,G,272,596,347,922,603,316,338,303,546,237,,,,,,,,,,,
484979,"CZK 19,000",50.085944,14.3822687,Prague - Střešovice,2 bedroom,Excellent,50 m²,"CZK 1,500","CZK 19,000",Personal,Brick building,Furnished,5,No,No,No,No,No,Yes,No,03. 01. 2022,C,91,641,166,859,66,623,544,502,357,213,,Premium materials and solutions,Other,Top floor,Overall,1 to 10 years years,300 m²,,,,
552322,"CZK 15,000",50.1106949,14.505841,"Kolbenova, Prague - Vysočany",2 bedroom,,65 m²,"CZK 3,750","CZK 30,000",Cooperative,Brick building,Partially furnished,3,Yes,No,Yes,No,No,No,No,10. 01. 2022,,52,457,24,273,48,393,204,446,349,355,,,,,,,,,,,
697425,"CZK 8,200",50.10237,14.47751,"U Pošty, Prague - Libeň",Studio,Excellent,28 m²,CZK 800,"CZK 9,000",Personal,Brick building,Unfurnished,4,No,No,Yes,No,No,Yes,No,01. 01. 2022,E,221,214,54,362,278,397,276,138,200,524,,,,,,,,,,,
630760,"CZK 12,900",50.052905,14.503896,"Práčská, Prague - Záběhlice",1 bedroom,New build,50 m²,"CZK 3,000","CZK 25,000",Personal,Brick building,Partially furnished,2,No,Yes,No,No,Yes,Yes,No,01. 04. 2022,B,22,713,905,"1,152",111,917,855,335,"1,166",608,Yes,,District heating,Middle floor,,1 to 10 years years,,,,,
449840,"CZK 12,500",50.1053611,14.4883085,Prague - Libeň,2 bedroom,Good,47 m²,"CZK 4,100","CZK 14,500",Personal,Brick building,Unfurnished,,No,No,Yes,No,No,No,No,17. 12. 2021,,205,32,89,151,117,325,306,502,150,75,,Standard materials and solutions,Gas boiler,Ground floor,,10 to 30 years years,,,,,
506149,"CZK 12,500",50.0793541,14.4586451,"Lucemburská, Prague - Žižkov",1 bedroom,,32 m²,"CZK 2,500","CZK 15,000",Personal,Brick building,Furnished,4,No,No,No,No,No,No,No,01. 01. 1970,G,246,516,175,372,67,433,498,361,690,167,,Standard materials and solutions,,Middle floor,Overall,,-1 m²,,,,
697390,"CZK 15,000",50.10481,14.45562,"Jankovcova, Prague - Holešovice",1 bedroom with open-plan kitchen,Excellent,52 m²,"CZK 2,600","CZK 15,000",Personal,Brick building,Partially furnished,4,Yes,No,No,No,No,Yes,No,01. 03. 2022,G,8,759,166,454,26,365,692,862,242,326,,,,,,,,,,,
690636,"CZK 14,500",50.10756,14.39299,"Koulova, Prague - Dejvice",1 bedroom,Excellent,56 m²,"CZK 3,500","CZK 14,500",Personal,Brick building,Partially furnished,1,Yes,No,Yes,No,No,Yes,No,01. 01. 2022,G,199,"1,255",183,650,231,98,489,372,570,405,,Standard materials and solutions,Central heating,Raised ground floor,Interior,,,,,,
689604,"CZK 37,000",50.078855,14.4503271,"Laubova, Prague - Vinohrady",4 bedroom,Excellent,145 m²,"CZK 2,400","CZK 74,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,No,No,01. 01. 2022,G,170,234,0,233,74,262,103,243,592,130,,,,,,,,,,,
174980,"CZK 17,600",50.0867935517,14.5021835791,"Univerzitní, Prague - Malešice",1 bedroom with open-plan kitchen,,55 m²,"CZK 2,400","CZK 20,000",Personal,Brick building,Furnished,1,No,No,No,No,Yes,Yes,Yes,29. 12. 2021,,237,688,719,788,582,893,652,459,724,402,,,Central heating,Ground floor,,,,,,,
696829,"CZK 16,000",50.092667,14.4571123,"Březinova, Prague - Karlín",1 bedroom with open-plan kitchen,Excellent,57 m²,"CZK 4,000","CZK 30,000",Cooperative,Brick building,Partially furnished,,No,No,No,No,No,Yes,No,01. 01. 2022,G,368,826,172,427,2,290,139,"1,410",340,266,,,Electric boiler,Ground floor,Overall,,,,,,
697330,"CZK 19,900",50.06562,14.42854,"Oldřichova, Prague - Nusle",2 bedroom,Excellent,77 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 01. 2022,G,198,825,104,502,171,250,534,646,366,263,,,,,,,,,,,
238023,"CZK 15,000",50.0902986,14.4271043,"Benediktská, Prague - Staré Město",1 bedroom with open-plan kitchen,,35 m²,"CZK 4,000",,Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,,,51,118,74,93,1,171,160,250,261,336,,,District heating,Middle floor,Overall,,,,,,
693778,"CZK 16,500",50.07103,14.44862,"Sevastopolská, Prague - Vršovice",1 bedroom,Excellent,40 m²,"CZK 3,000","CZK 19,500",Personal,Brick building,Furnished,4,No,No,No,No,No,Yes,No,26. 11. 2021,G,232,757,227,358,114,548,333,567,337,385,,,,,,,,,,,
454405,"CZK 10,000",50.0214151,14.4650696,"Za valem, Prague - Kunratice",Studio,,36 m²,"CZK 2,100","CZK 15,000",Personal,Brick building,Partially furnished,4,No,No,No,No,Yes,No,No,,,182,"1,168","1,045",75,294,751,"1,425",150,,,,Standard materials and solutions,District heating,,,10 to 30 years years,,,,,
697257,"CZK 14,000",50.07275,14.50122,"Oravská, Prague - Strašnice",2 bedroom,Excellent,59 m²,"CZK 3,000","CZK 20,000",Cooperative,Prefab concrete building,Furnished,4,Yes,No,No,No,No,No,No,03. 01. 2022,G,117,"1,027",244,817,434,801,330,601,748,187,,Standard materials and solutions,Central heating,Middle floor,Interior,30 to 50 years years,,,,,
490251,"CZK 20,000",50.0296401,14.4837704,"Hrabákova, Prague - Chodov",2 bedroom with open-plan kitchen,,73 m²,"CZK 4,500","CZK 40,000",Personal,Prefab concrete building,Furnished,2,No,No,Yes,Yes,No,Yes,No,20. 01. 2022,,378,558,117,721,108,451,197,758,484,103,,Premium materials and solutions,District heating,Middle floor,Overall,,,,,,
411467,"CZK 11,500",50.1282508,14.4655344,"Kurkova, Prague - Kobylisy",1 bedroom with open-plan kitchen,,70 m²,"CZK 5,000","CZK 11,500",Personal,Prefab concrete building,Partially furnished,10,No,No,No,No,No,No,No,01. 01. 2022,,353,428,174,268,246,420,247,409,907,68,,,,,,,,,,,
616465,"CZK 9,000",50.042619,14.425352,"V Křovinách, Prague - Braník",Small studio,Excellent,24 m²,"CZK 1,000","CZK 3,000",Personal,Brick building,Furnished,3,No,Yes,No,No,No,No,No,06. 09. 2021,D,273,"1,329",332,"1,302",557,"1,394",703,793,791,485,,Standard materials and solutions,Central heating,Middle floor,Overall,1 to 10 years years,30 m²,,,,
697227,"CZK 12,000",50.0644293,14.3088043,"Makovského, Prague - Řepy",1 bedroom with open-plan kitchen,Good,40 m²,"CZK 2,500","CZK 24,000",Personal,Prefab concrete building,Furnished,4,No,No,No,Yes,Yes,Yes,No,01. 01. 2022,G,48,72,197,94,296,200,544,502,532,,,,,,,,,,,,
688385,"CZK 12,000",50.00295,14.39626,"K Sádkám, Prague - Velká Chuchle",1 bedroom,Good,33 m²,"CZK 3,800","CZK 15,800",Personal,Prefab concrete building,Unfurnished,,Yes,Yes,Yes,No,Yes,No,No,27. 12. 2021,D,535,"1,240","1,140","1,198","1,245","1,296","1,074",,,,,,,,,,,,,,
697114,"CZK 14,000",50.10275,14.47574,"Heydukova, Prague - Libeň",1 bedroom with open-plan kitchen,Excellent,30 m²,"CZK 2,000","CZK 15,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,01. 02. 2022,G,77,112,140,202,47,87,183,267,291,550,,Standard materials and solutions,,Ground floor,Overall,1 to 10 years years,,,,,
212317,"CZK 9,750",50.0704283,14.3804002,"Prachnerova, Prague - Košíře",Studio,Excellent,32 m²,"CZK 2,350","CZK 24,200",Personal,Brick building,Furnished,1,No,No,No,No,No,Yes,No,01. 02. 2022,,44,576,53,950,90,"1,058",97,598,996,329,,,Central heating,Middle floor,,,,,,,
697212,"CZK 9,500",50.0349825,14.5274258,"Kryštofova, Prague - Háje",Small studio,Excellent,25 m²,"CZK 1,500","CZK 11,000",Personal,Brick building,Furnished,1,No,No,No,No,Yes,No,No,10. 01. 2022,B,152,750,437,444,292,229,353,266,388,327,,,,,,,,,,,
696945,"CZK 17,500",50.06657,14.42101,"Neklanova, Prague - Vyšehrad",3 bedroom,Excellent,62 m²,"CZK 4,000","CZK 18,500",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,24. 12. 2021,G,149,"1,103",118,144,131,181,252,450,410,478,,,,,,,,,,,
395476,"CZK 10,000",50.1049943,14.537555,"Klánovická, Prague - Hloubětín",1 bedroom,,35 m²,,,Personal,Brick building,Furnished,6,No,No,No,No,No,No,No,01. 02. 2022,,161,131,120,113,267,133,368,293,168,205,,,,,,,,,,,
566034,"CZK 9,890",50.06427,14.44503,"Čestmírova, Prague - Nusle",Studio,,20 m²,"CZK 1,980","CZK 11,870",Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,01. 02. 2022,G,322,514,3,257,265,264,555,793,760,666,,,,,,,,,,,
697204,"CZK 14,500",50.02962,14.53492,"Hlavatého, Prague - Háje",2 bedroom with open-plan kitchen,Good,57 m²,"CZK 4,000","CZK 18,500",Personal,Prefab concrete building,Partially furnished,6,Yes,No,No,Yes,No,Yes,No,01. 01. 2022,C,306,448,338,344,526,622,148,501,683,260,,,,Middle floor,Bathroom unit,,,,,,
69549,"CZK 13,200",50.0776548,14.4725134,"Kouřimská, Prague - Vinohrady",1 bedroom with open-plan kitchen,,52 m²,CZK 858,"CZK 17,999",Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,No,No,25. 10. 2021,,67,686,238,86,117,136,342,"1,099",218,277,,Standard materials and solutions,Other,Middle floor,Overall,,,,,,
502610,"CZK 18,000",50.023912,14.5137377,Prague - Chodov,2 bedroom with open-plan kitchen,Excellent,69 m²,"CZK 4,000","CZK 20,000",Personal,Prefab concrete building,Partially furnished,8,Yes,No,No,No,No,Yes,No,04. 10. 2021,,127,"1,083",96,381,103,75,638,152,,,,Premium materials and solutions,District heating,,Overall,,,,,,
685139,"CZK 15,000",50.0923991,14.370472,"Pod Bateriemi, Prague - Střešovice",3 bedroom,Excellent,75 m²,"CZK 4,000","CZK 19,000",Personal,Other,Unfurnished,3,No,No,No,No,No,No,No,01. 01. 2022,G,67,"1,187",413,"1,392",358,716,582,"1,168",352,214,,,Gas boiler,Attic,,,,,,,
644422,"CZK 15,000",50.038135,14.331004,"Jaroslava Foglara, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,42 m²,"CZK 2,500","CZK 15,000",Cooperative,Brick building,Furnished,1,No,No,No,No,No,No,No,03. 01. 2021,C,476,"1,019",509,989,399,628,703,859,525,267,,,,,,,,,,,
697178,"CZK 17,000",50.01266,14.43129,"Imrychova, Prague - Kamýk",2 bedroom with open-plan kitchen,Excellent,73 m²,"CZK 3,000","CZK 30,000",Personal,Prefab concrete building,Partially furnished,3,Yes,No,Yes,No,No,Yes,No,01. 01. 2022,G,557,442,796,587,292,254,615,115,,,,,,,,,,,,,
697065,"CZK 15,000",50.03107,14.51873,"Vejvanovského, Prague - Chodov",2 bedroom with open-plan kitchen,Excellent,64 m²,"CZK 4,400","CZK 30,000",Personal,Prefab concrete building,Partially furnished,3,No,No,No,Yes,Yes,Yes,No,01. 01. 2022,G,192,153,89,879,159,185,673,84,841,125,,,,,,,,,,,
696904,"CZK 12,500",50.0925,14.44382,"Sokolovská, Prague - Karlín",Studio,Good,36 m²,"CZK 2,500","CZK 15,000",Personal,Brick building,Furnished,6,No,Yes,No,No,No,Yes,No,02. 01. 2022,G,113,295,83,294,18,293,279,"1,017",374,318,,Standard materials and solutions,Central heating,Top floor,,,,,,,
697161,"CZK 11,000",50.076814,14.4686562,"V Horní Stromce, Prague - Vinohrady",1 bedroom,Good,29 m²,"CZK 3,000","CZK 22,000",Personal,Brick building,Partially furnished,5,No,Yes,No,No,No,Yes,No,01. 01. 2022,G,220,530,97,253,223,237,186,948,308,203,,,,,,,,,,,
665095,"CZK 16,000",50.05923,14.42791,"Marie Cibulkové, Prague - Nusle",2 bedroom,Excellent,65 m²,"CZK 4,800","CZK 16,000",Cooperative,Brick building,Partially furnished,4,Yes,No,No,No,No,Yes,No,24. 05. 2021,G,141,711,239,450,186,356,603,290,180,345,,Standard materials and solutions,Central heating,Top floor,,,,,,,
690427,"CZK 16,500",50.08606,14.38197,"Na Malovance, Prague - Střešovice",1 bedroom,Excellent,38 m²,"CZK 3,500","CZK 30,000",Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,14. 11. 2021,F,115,644,190,883,90,648,551,526,381,186,,Premium materials and solutions,Electric boiler,Middle floor,Overall,1 to 10 years years,,,,,
147062,"CZK 12,500",50.0945187,14.3486786,"Veleslavínská, Prague - Veleslavín",1 bedroom with open-plan kitchen,,45 m²,CZK 400,"CZK 12,500",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,,,164,896,219,925,253,171,374,482,683,401,,,,,,,,,,,
518592,"CZK 11,500",50.110883522209,14.466236658197,"Na Košince, Prague - Libeň",Studio,,25 m²,"CZK 1,500","CZK 13,000",Personal,Brick building,Furnished,,No,No,No,No,No,No,No,09. 11. 2021,B,595,604,992,736,583,565,"1,402",612,582,,,Standard materials and solutions,,Raised ground floor,Overall,1 to 10 years years,,,,,
667741,"CZK 14,000",50.10046,14.43701,"Heřmanova, Prague - Holešovice",Small studio,Good,18 m²,"CZK 1,000","CZK 15,000",Personal,Brick building,Furnished,6,No,Yes,No,No,No,Yes,No,06. 11. 2021,B,16,"1,093",87,301,235,295,282,"1,317",591,877,,,,,,,,,,,
691650,"CZK 14,500",50.10805,14.44539,"Plynární, Prague - Holešovice",1 bedroom with open-plan kitchen,Good,35 m²,"CZK 2,000","CZK 16,500",Personal,Brick building,Furnished,6,No,No,No,No,No,Yes,No,20. 11. 2021,G,131,598,201,611,66,207,292,954,438,220,,,,,,,,,,,
697135,"CZK 13,000",50.0723,14.47152,"Bělocerkevská, Prague - Vršovice",2 bedroom,Excellent,54 m²,"CZK 4,000","CZK 26,000",Personal,Brick building,Partially furnished,5,Yes,No,Yes,No,No,Yes,No,27. 12. 2021,D,118,490,84,442,310,26,495,384,603,224,,,,,,,,,,,
688160,"CZK 7,900",50.11391,14.47995,"U Pekařky, Prague - Libeň",Small studio,Excellent,22 m²,"CZK 1,900","CZK 15,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 01. 2022,G,186,177,"1,338",332,980,"1,133","1,350",939,315,,,,,Middle floor,Overall,,,,,,
605618,"CZK 14,950",50.071305,14.474587,"Bajkalská, Prague - Vršovice",2 bedroom,Excellent,59 m²,"CZK 3,300","CZK 18,250",Personal,Brick building,Partially furnished,1,No,No,No,No,No,Yes,No,01. 01. 2022,B,233,195,241,464,195,285,321,306,398,242,,Standard materials and solutions,Central heating,Middle floor,Overall,1 to 10 years years,,,,,
697008,"CZK 17,500",50.0983305,14.5134504,"Mezitraťová, Prague - Hrdlořezy",2 bedroom,Excellent,54 m²,"CZK 3,900","CZK 20,000",Personal,Brick building,Unfurnished,2,No,Yes,No,No,Yes,No,Yes,01. 02. 2022,G,141,"1,115","1,080","1,052","1,157","1,223","1,333",356,,,,Premium materials and solutions,Central heating,Middle floor,Interior,10 to 30 years years,,,,,
693764,"CZK 14,000",50.07587,14.4085,"Janáčkovo nábřeží, Prague - Smíchov",1 bedroom with open-plan kitchen,Excellent,49 m²,"CZK 1,500","CZK 15,000",Personal,Brick building,Furnished,2,Yes,No,No,No,No,Yes,No,25. 11. 2021,C,258,244,365,361,47,397,172,860,"1,038",288,,,,,,,,,,,
