Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Design,Heating,Total number of floors,New building,Renovation,Front garden,Developer name,Project name,Kód jednotky
707694,"CZK 12,490",50.05653277777,14.43214805555,"Dačického, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,58 m²,"CZK 2,399","CZK 14,889","CZK 14,889

                                
                                
                
i",Personal,Brick building,Unfurnished,3,No,No,Yes,No,No,Yes,No,D,129,955,179,262,173,390,730,456,162,260,,,,,,,,,,,
714474,"CZK 37,500",50.0822245,14.4146349,"Krocínova, Prague - Staré Město",2 bedroom with open-plan kitchen,,102 m²,"CZK 12,500",,,,,Furnished,2,Yes,Yes,No,No,No,Yes,No,,258,962,181,204,1,145,392,348,304,385,17. 06. 2022,,,,,,,,,,
694287,"CZK 12,800",50.03456,14.38521,"Silurská, Prague - Hlubočepy",2 bedroom,Excellent,50 m²,"CZK 4,500","CZK 17,200",,Personal,Prefab concrete building,Partially furnished,1,No,No,Yes,No,No,Yes,Yes,G,220,848,375,756,278,814,980,966,934,501,01. 12. 2021,10 to 30 years years,Standard materials and solutions,District heating,Raised ground floor,,,,,,
710905,"CZK 19,000",50.1316367,14.5540352,"Martinická, Prague - Kbely",1 bedroom with open-plan kitchen,Excellent,46 m²,"CZK 4,000","CZK 30,000",,Personal,Brick building,Furnished,1,No,Yes,No,No,No,Yes,Yes,C,166,764,230,176,215,908,641,780,101,,30. 04. 2022,,,District heating,Raised ground floor,Yes,,,,,
715545,"CZK 16,500",50.05976,14.42668,"Mikuláše z Husi, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,500","CZK 30,000",,Personal,Brick building,Furnished,4,Yes,No,Yes,No,No,No,No,F,44,588,142,353,88,446,506,192,83,300,01. 05. 2022,,,,,,,,,,
714357,"CZK 17,000",50.04343,14.51484,"Rižská, Prague - Hostivař",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,500","CZK 34,000",,Personal,Brick building,Furnished,4,No,No,Yes,Yes,Yes,Yes,Yes,B,,,,,,,,,,,11. 07. 2022,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,Yes,,,,,
615620,"CZK 25,000",50.057222,14.492372,"Za Slatinami, Prague - Záběhlice",3 bedroom with open-plan kitchen,New build,105 m²,"CZK 4,150","CZK 50,000",,Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,A,187,896,332,"1,186",379,330,411,902,160,424,30. 04. 2022,1 to 10 years years,Standard materials and solutions,Gas boiler,Middle floor,Yes,Overall,,,,
715542,"CZK 12,000",50.08492,14.37106,"Junácká, Prague - Břevnov",Studio,Excellent,37 m²,"CZK 3,500","CZK 12,000",,Personal,Brick building,Furnished,5,No,Yes,No,No,Yes,Yes,No,G,277,511,235,326,235,313,341,162,516,501,25. 04. 2022,,,,,,,,,,
619958,"CZK 25,000",50.036541,14.383217,"Pražského, Prague - Hlubočepy",4 bedroom,Excellent,90 m²,"CZK 5,000","CZK 24,000",,Personal,Other,Furnished,2,Yes,No,No,No,No,Yes,No,G,123,683,567,597,584,628,588,578,540,293,01. 06. 2022,10 to 30 years years,,District heating,Middle floor,,Interior,,,,
715537,"CZK 18,000",50.13944,14.44911,"K Beranovu, Prague - Dolní Chabry",Studio,New build,95 m²,"CZK 4,500","CZK 36,000",,Personal,Low-energy building,Partially furnished,1,No,Yes,No,No,Yes,Yes,No,A,282,"1,007",164,736,583,"1,091",136,,,,01. 05. 2022,,,,,,,,,,
639060,"CZK 24,500",50.08376,14.455893,"Lupáčova, Prague - Žižkov",1 bedroom with open-plan kitchen,New build,50 m²,"CZK 2,500","CZK 49,000",,Personal,Brick building,Furnished,8,No,No,No,No,No,Yes,No,A,207,451,138,317,99,309,112,228,402,163,01. 02. 2022,,,,,,,,,,
713473,"CZK 31,425",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",Studio,,30 m²,"CZK 10,475",,,,,Furnished,2,No,No,No,No,No,Yes,No,,211,382,250,989,170,745,812,"1,050",387,543,19. 05. 2022,,,,,,,,,,
644163,"CZK 12,600",50.103357,14.512565,"Podkovářská, Prague - Vysočany",Studio,Excellent,39 m²,"CZK 2,300","CZK 14,900",,Personal,Brick building,Furnished,2,No,No,No,Yes,No,Yes,Yes,G,101,296,"1,266",916,410,648,"1,168",891,270,,01. 06. 2022,10 to 30 years years,,Central heating,Middle floor,,,,,,
408757,"CZK 17,000",50.055196715629,14.437190215344,"Sevřená, Prague - Nusle",2 bedroom,Excellent,63 m²,"CZK 6,200","CZK 30,000",,Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,No,No,G,181,"1,036",258,385,220,237,720,21,368,346,01. 07. 2022,1 to 10 years years,,Gas boiler,Middle floor,,Overall,236 m²,,,
714456,"CZK 16,500",50.10826,14.48571,"Kovanecká, Prague - Libeň",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 2,800","CZK 25,000",,Personal,Brick building,Partially furnished,4,Yes,No,No,No,No,Yes,No,C,,,,,,,,,,,17. 04. 2022,1 to 10 years years,,District heating,,,,,,,
290365,"CZK 9,000",50.0248707,14.4253578,"Údolní, Prague - Braník",Small studio,Excellent,29 m²,"CZK 4,000","CZK 13,000",,Personal,Prefab concrete building,Furnished,1,No,No,No,No,No,No,No,,136,725,218,718,65,178,358,369,"1,176",252,01. 06. 2022,1 to 10 years years,Standard materials and solutions,District heating,Raised ground floor,,,,,,
32214,"CZK 18,000",50.0641982,14.4446428,"Čestmírova, Prague - Nusle",1 bedroom with open-plan kitchen,,58 m²,"CZK 4,500","CZK 22,500",,Personal,Brick building,Furnished,5,No,No,No,No,No,No,No,A,263,485,26,228,236,235,526,764,731,637,15. 05. 2022,1 to 10 years years,Standard materials and solutions,Central heating,Middle floor,,Interior,,,,
715525,"CZK 12,490",50.05364583333,14.50818555555,"Práčská, Prague - Záběhlice",2 bedroom,Good,52 m²,"CZK 3,260","CZK 15,750","CZK 15,750

                                
                                
                
i",Personal,Prefab concrete building,Partially furnished,4,No,No,Yes,No,No,Yes,No,D,68,751,597,699,336,747,690,570,"1,168",464,,,,,,,,,,,
713206,"CZK 19,000",50.07059,14.30566,"Španielova, Prague - Řepy",3 bedroom,Good,74 m²,"CZK 6,500","CZK 30,000",,Personal,Prefab concrete building,Furnished,7,Yes,No,No,No,No,Yes,No,G,234,969,215,931,184,497,172,364,"1,327",453,01. 05. 2022,30 to 50 years years,Standard materials and solutions,,Middle floor,,Exterior,,,,
226603,"CZK 17,790",50.1010663,14.3658334,Prague - Dejvice,2 bedroom,Excellent,55 m²,"CZK 3,180","CZK 20,000",,Personal,Brick building,Partially furnished,1,No,No,No,Yes,No,No,No,,371,778,804,414,512,679,906,703,"1,121",189,01. 06. 2022,,Standard materials and solutions,District heating,Middle floor,,Overall,,,,
715088,"CZK 19,000",50.04660745,14.306405720331,Prague - Stodůlky,1 bedroom with open-plan kitchen,New build,49 m²,"CZK 3,885","CZK 19,000",,Personal,Brick building,Partially furnished,4,Yes,No,No,No,Yes,Yes,Yes,B,21,194,102,"1,275",85,710,807,412,573,208,26. 05. 2022,,,,,,,,,,
715522,"CZK 17,990",50.07701277777,14.47691861111,"Hollarovo náměstí, Prague - Vinohrady",1 bedroom with open-plan kitchen,Good,46 m²,"CZK 2,845","CZK 20,835","CZK 20,835

                                
                                
                
i",Personal,Brick building,Partially furnished,5,No,No,Yes,No,No,No,No,G,166,882,124,472,188,154,741,797,310,110,,,,,,,,,,,
715519,"CZK 13,500",50.0660067,14.4024876,"Bieblova, Prague - Smíchov",2 bedroom,Excellent,50 m²,"CZK 1,500","CZK 10,000",,Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,B,283,525,257,548,331,428,318,494,756,379,29. 04. 2022,,,Other,Middle floor,,Overall,70 m²,,,
715518,"CZK 11,900",50.07613,14.42899,"Sokolská, Prague - Nové Město",Small studio,Excellent,19 m²,"CZK 2,700","CZK 23,400",,Personal,Brick building,Furnished,4,No,No,No,No,No,Yes,No,G,129,554,102,144,63,36,234,309,162,133,22. 04. 2022,,,,,,,,,,
715517,"CZK 16,000",50.0661714,14.3996763,"Bieblova, Prague - Smíchov",1 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 1,000","CZK 12,000",,Personal,Brick building,Furnished,3,No,Yes,No,No,No,No,No,B,66,308,50,655,250,368,101,287,549,218,29. 04. 2022,,Standard materials and solutions,Other,Top floor,,Overall,,,,
657007,"CZK 11,000",50.0291787,14.4506539,Prague - Krč,Studio,Excellent,27 m²,"CZK 3,200","CZK 22,000",,Personal,Prefab concrete building,Partially furnished,10,No,No,No,No,Yes,Yes,No,C,69,"1,240",280,57,704,788,"1,119",504,325,,01. 03. 2022,,,District heating,,,Interior,,,,
214652,"CZK 14,000",50.0948449,14.4643843,"Molákova, Prague - Karlín",Small studio,Excellent,35 m²,"CZK 2,000","CZK 14,000",,Personal,Low-energy building,Furnished,2,Yes,No,No,No,No,No,No,B,347,"1,409",373,"1,019",284,883,160,697,933,328,01. 05. 2022,30 to 50 years years,Standard materials and solutions,Central heating,Middle floor,,Overall,,,,
715514,"CZK 9,990",50.07209666666,14.46993805555,"28. pluku, Prague - Vršovice",Studio,Good,29 m²,"CZK 2,874","CZK 12,864","CZK 12,864

                                
                                
                
i",Personal,Brick building,Furnished,5,No,No,Yes,No,No,Yes,No,D,65,536,127,372,178,141,442,314,717,100,,,,,,,,,,,
706562,"CZK 27,000",50.08773,14.40913,"U Lužického semináře, Prague - Malá Strana",3 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 6,000","CZK 33,000",,Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,G,,,,,,,,,,,11. 05. 2022,,,,,Yes,,,Luka Residential s.r.o.,Luka Living Rental apartments,DČ1
712480,"CZK 22,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",2 bedroom,Excellent,42 m²,CZK 133,"CZK 44,000",,Personal,Other,Furnished,13,No,No,Yes,No,Yes,Yes,Yes,A,,,,,,,,,,,22. 07. 2022,,,,,Yes,,,Luka Residential s.r.o.,Luka Living Rental apartments,1301
714237,"CZK 36,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",2 bedroom with open-plan kitchen,Excellent,94 m²,CZK 133,"CZK 72,000",,Personal,Other,Furnished,11,No,Yes,Yes,No,Yes,Yes,Yes,A,,,,,,,,,,,10. 07. 2022,,,,,Yes,,,Luka Residential s.r.o.,Luka Living Rental apartments,1115
714245,"CZK 15,900",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",Studio,Excellent,31 m²,CZK 133,"CZK 31,800",,Personal,Other,Unfurnished,11,Yes,No,Yes,No,Yes,Yes,No,A,,,,,,,,,,,25. 06. 2022,,,,,Yes,,,Luka Residential s.r.o.,Luka Living Rental apartments,1103
714255,"CZK 30,000",50.07202,14.44518,"Francouzská, Prague - Vinohrady",Studio,Excellent,40 m²,CZK 133,"CZK 60,000",,Personal,Brick building,Unfurnished,1,No,Yes,No,No,No,No,No,A,,,,,,,,,,,14. 04. 2022,,,,,Yes,,,Luka Residential s.r.o.,Luka Living Rental apartments,F003
715044,"CZK 21,000",50.14019,14.44547,"Poštova, Prague - Dolní Chabry",2 bedroom with open-plan kitchen,New build,82 m²,"CZK 5,000","CZK 30,000",,Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,Yes,Yes,No,B,655,"1,299",492,988,874,725,"1,250",395,,,25. 04. 2022,,,,,,,,,,
715510,"CZK 11,000",50.13562,14.50983,"Bohumínská, Prague - Letňany",Studio,Excellent,41 m²,"CZK 3,500","CZK 14,500",,Personal,Prefab concrete building,Partially furnished,7,No,No,No,No,No,No,No,G,67,664,234,512,199,143,220,630,273,371,25. 04. 2022,,,,,,,,,,
693943,"CZK 10,990",50.07832805555,14.48644305555,"Názovská, Prague - Strašnice",Studio,New build,38 m²,"CZK 2,223","CZK 13,213","CZK 13,213

                                
                                
                
i",Personal,Brick building,Furnished,4,Yes,No,No,No,No,Yes,No,C,190,611,267,287,136,220,599,802,515,31,,,,,,Yes,,,,,
288880,"CZK 18,900",50.1022043,14.4276994,"Umělecká, Prague - Holešovice",1 bedroom,,40 m²,"CZK 5,232","CZK 25,000",,Personal,Brick building,Furnished,3,No,No,No,No,No,No,No,,155,636,117,335,211,192,65,126,503,,23. 04. 2022,,,,,,,,,,
671752,"CZK 13,850",50.10608,14.4905,"Drahobejlova, Prague - Libeň",Studio,Excellent,30 m²,CZK 950,"CZK 25,000",,Personal,Brick building,Partially furnished,2,No,No,No,No,No,Yes,No,C,184,143,6,326,135,425,130,356,84,98,17. 04. 2022,,,,,,,,,,
715505,"CZK 15,500",50.05001,14.48432,"Střimelická, Prague - Záběhlice",3 bedroom,Excellent,69 m²,"CZK 8,400","CZK 60,000",,Personal,Brick building,Furnished,3,Yes,No,Yes,No,No,Yes,No,G,102,553,211,495,293,"1,490",341,109,904,40,01. 07. 2022,,,,,,,,,,
628099,"CZK 35,000",50.067668,14.359419,"U tenisu, Prague - Košíře",5 bedroom,Excellent,110 m²,"CZK 2,500","CZK 70,000",,Personal,Brick building,Furnished,1,No,No,No,No,No,No,Yes,A,272,"1,304",826,960,438,853,675,696,462,761,01. 06. 2022,1 to 10 years years,,Gas boiler,Middle floor,,Overall,95 m²,,,
715009,"CZK 17,000",50.06318,14.42534,"Krokova, Prague - Nusle",2 bedroom,Excellent,50 m²,"CZK 5,000","CZK 22,000",,Personal,Brick building,Furnished,4,No,No,No,No,No,Yes,No,G,354,700,335,370,357,497,364,241,366,274,02. 05. 2022,,,,,,,,,,
498022,"CZK 12,000",50.047703,14.431007,"Kaplická, Prague - Podolí",Studio,Excellent,34 m²,"CZK 2,500","CZK 20,000",,Personal,Prefab concrete building,Partially furnished,3,No,No,No,Yes,No,Yes,No,C,279,919,252,610,314,691,295,384,662,117,18. 04. 2022,,Premium materials and solutions,District heating,Middle floor,,Overall,,,,
661112,"CZK 11,000",50.07518,14.41415,"Rašínovo nábřeží, Prague - Nové Město",1 bedroom with open-plan kitchen,Good,69 m²,"CZK 1,000","CZK 15,000",,Personal,Brick building,Furnished,-1,No,No,No,No,No,No,No,,81,379,150,407,21,469,292,486,780,413,01. 05. 2022,,,,,,,,,,
715500,"CZK 29,000",50.04711,14.30195,"Svitákova, Prague - Stodůlky",3 bedroom with open-plan kitchen,New build,100 m²,"CZK 9,000","CZK 40,000",,Personal,Other,Partially furnished,1,No,No,No,No,No,No,No,B,334,243,49,247,"1,107","1,075",702,863,160,,08. 08. 2022,,,,,,,,,,
715495,"CZK 55,660",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",5 bedroom,,142 m²,"CZK 18,553",,,,,Furnished,4,Yes,Yes,No,No,No,Yes,Yes,,123,293,167,222,66,246,411,"1,258",283,254,01. 05. 2022,,,,,,,,,,
715493,"CZK 10,000",50.00929,14.40772,"Darwinova, Prague - Modřany",Small studio,Excellent,32 m²,"CZK 2,000","CZK 12,000",,Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,G,132,"1,099",639,"1,002",591,882,363,847,364,,01. 06. 2022,,,,,,,,,,
715490,"CZK 20,000",50.05126,14.34434,"Petržílkova, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,54 m²,"CZK 3,500","CZK 20,000",,Personal,Low-energy building,Partially furnished,3,Yes,No,No,No,No,Yes,No,C,165,345,77,309,101,208,134,246,"1,098",142,23. 04. 2022,,,,,,,,,,
260594,"CZK 17,000",50.12283,14.456009,"Ke Stírce, Prague - Kobylisy",1 bedroom with open-plan kitchen,Excellent,54 m²,"CZK 3,300","CZK 30,000",,Personal,Brick building,Furnished,4,Yes,No,Yes,No,No,Yes,Yes,,10,584,2,59,48,246,142,467,918,500,,1 to 10 years years,,Central heating,Middle floor,Yes,,,,,
705725,"CZK 150,000",50.09114,14.41807,"Pařížská, Prague - Josefov",6 bedroom with open-plan kitchen,Excellent,322 m²,"CZK 15,000","CZK 165,000",,Personal,Brick building,Unfurnished,6,No,Yes,No,No,No,Yes,No,G,50,344,274,458,40,435,343,586,60,470,09. 02. 2022,,,,,,,,,,
715215,"CZK 15,000",50.10818115,14.5556455,"Za černým mostem, Prague - Hloubětín",Studio,New build,32 m²,"CZK 2,000","CZK 10,000",,Personal,Low-energy building,Furnished,1,No,Yes,Yes,No,No,No,No,A,127,650,224,136,604,370,"1,173","1,288",627,,21. 04. 2022,,,,,,,,,,
715046,"CZK 11,000",50.12411,14.48791,"Rumburská, Prague - Střížkov",Studio,Excellent,29 m²,"CZK 2,000","CZK 13,000",,Personal,Prefab concrete building,Furnished,4,No,No,Yes,No,No,Yes,No,G,315,968,325,907,472,397,437,183,267,200,01. 05. 2022,,,,,,,,,,
606047,"CZK 10,500",50.110155,14.5084,"Pod Strojírnami, Prague - Vysočany",1 bedroom,Excellent,26 m²,"CZK 1,600","CZK 15,000",,Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,E,57,661,180,477,156,597,380,438,553,560,01. 05. 2022,,,,,,,,,,
664265,"CZK 18,900",50.06704,14.40011,"Na Skalce, Prague - Smíchov",1 bedroom with open-plan kitchen,Excellent,67 m²,"CZK 1,000","CZK 50,000",,Personal,Brick building,Unfurnished,3,No,No,Yes,No,No,Yes,No,G,139,265,85,595,216,348,220,415,677,200,04. 07. 2022,,,Gas boiler,Middle floor,,,,,,
715481,"CZK 35,175",50.0769346,14.4169603,"Na Zbořenci, Prague - Nové Město",2 bedroom,,65 m²,"CZK 11,725",,,,,Furnished,3,No,No,No,No,No,Yes,No,,168,319,99,227,101,409,227,243,632,429,14. 05. 2022,,,,,,,,,,
705981,"CZK 13,500",50.08524,14.44984,"Štítného, Prague - Žižkov",Studio,Excellent,30 m²,CZK 830,"CZK 25,000",,Personal,Other,Partially furnished,3,No,No,No,No,No,Yes,No,C,255,222,50,211,7,189,62,278,94,553,25. 04. 2022,1 to 10 years years,Standard materials and solutions,Other,Middle floor,,Overall,,,,
454348,CZK 17,50.0693943,14.3832932,"Vrchlického, Prague - Košíře",1 bedroom with open-plan kitchen,,46 m²,CZK 590,,,Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,,293,575,258,859,377,967,377,817,991,447,25. 04. 2022,,,,,,,,,,
87340,"CZK 28,000",50.0734871,14.3916435,"Zapova, Prague - Smíchov",4 bedroom,Excellent,112 m²,CZK 987,"CZK 56,000",,Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,Yes,,287,"1,211",218,902,58,993,297,739,"1,200",129,,,Standard materials and solutions,Gas boiler,Middle floor,,Overall,,,,
715474,"CZK 11,000",50.10275,14.47574,"Heydukova, Prague - Libeň",Small studio,Excellent,25 m²,"CZK 3,500","CZK 14,500",,Personal,Brick building,Furnished,-1,No,No,No,No,No,No,No,G,77,112,140,202,47,87,183,267,291,550,01. 05. 2022,,,,,,,,,,
453637,"CZK 14,500",50.1412404,14.510172,"Kuželova, Prague - Letňany",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 4,000","CZK 29,000",,Personal,Brick building,Partially furnished,8,Yes,No,No,No,No,Yes,No,,389,777,192,"1,061",400,377,543,309,551,81,22. 04. 2022,,Standard materials and solutions,Electric boiler,Top floor,,,,,,
712024,"CZK 9,500",50.1264302,14.4948993,"Varnsdorfská, Prague - Střížkov",Studio,Excellent,27 m²,"CZK 3,000","CZK 20,000",,Personal,Prefab concrete building,Partially furnished,3,No,No,No,No,No,Yes,No,G,370,556,168,455,236,213,284,138,999,94,01. 04. 2022,,,,,,,,,,
714462,"CZK 14,900",50.0483074,14.3124035,Prague - Stodůlky,Studio,Excellent,37 m²,"CZK 3,000","CZK 29,800",,Personal,Brick building,Partially furnished,1,No,Yes,No,No,No,Yes,Yes,G,,,,,,,,,,,01. 05. 2022,,,,,,,40 m²,,,
599575,"CZK 27,000",50.092552,14.44379,"Sokolovská, Prague - Karlín",2 bedroom with open-plan kitchen,Excellent,46 m²,"CZK 3,500","CZK 30,000",,Cooperative,Brick building,Furnished,6,No,No,No,No,No,Yes,No,C,113,295,84,293,18,292,279,"1,016",374,318,01. 05. 2022,1 to 10 years years,Premium materials and solutions,Electric boiler,Middle floor,,Overall,,,,
223403,"CZK 15,500",50.1331108,14.4861759,"Roudnická, Prague - Střížkov",1 bedroom with open-plan kitchen,Good,45 m²,"CZK 3,000",CZK 2,,Personal,Prefab concrete building,Furnished,4,Yes,No,Yes,No,No,No,No,C,574,822,443,815,518,917,"1,422",168,,,01. 05. 2022,,Premium materials and solutions,District heating,Middle floor,,Overall,,,,
710879,"CZK 19,000",50.08726,14.40593,"Mostecká, Prague - Malá Strana",1 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 7,000","CZK 25,000",,Personal,Other,Partially furnished,1,No,No,No,No,No,No,No,G,136,135,21,108,13,355,165,470,644,326,15. 04. 2022,,,,,,,,,,
715441,"CZK 18,000",50.06916,14.36792,"Pod Školou, Prague - Košíře",1 bedroom with open-plan kitchen,Excellent,56 m²,"CZK 2,500","CZK 36,000",,Personal,Brick building,Furnished,3,Yes,No,No,No,No,Yes,Yes,G,142,695,184,351,187,244,61,"1,044",415,338,01. 05. 2022,10 to 30 years years,Standard materials and solutions,Central heating,Middle floor,,,,,,
713920,"CZK 86,625",50.0882058,14.4262315,"Rybná, Prague - Staré Město",3 bedroom with open-plan kitchen,,150 m²,"CZK 28,875",,,,,Furnished,4,No,No,No,No,No,No,No,,281,192,58,183,11,368,315,297,289,305,11. 06. 2022,,,,,,,,,,
714092,"CZK 23,195",50.0719625,14.461813,"Bulharská, Prague - Vršovice",Studio,,35 m²,"CZK 7,731",,,,,Furnished,5,No,No,No,No,No,No,No,,220,827,175,604,97,602,416,334,726,246,12. 06. 2022,,,,,,,,,,
714359,"CZK 21,000",50.107989,14.3791722,"Šárecká, Prague - Dejvice",1 bedroom with open-plan kitchen,,60 m²,"CZK 7,000",,,,,Furnished,1,No,No,No,No,No,No,No,,423,672,"1,367",598,865,490,316,584,300,,15. 06. 2022,,,,,,,,,,
376757,"CZK 28,000",50.0705246,14.4147691,"Trojická, Prague - Nové Město",3 bedroom,,95 m²,"CZK 3,500",,,Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,,242,783,35,302,54,64,420,177,473,401,01. 04. 2021,,,,,,,,,,
526565,"CZK 14,900",50.0428927,14.5489151,Prague - Horní Měcholupy,Studio,Excellent,48 m²,"CZK 3,000","CZK 30,000",,Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,Yes,No,,458,678,536,983,807,902,586,673,760,344,01. 06. 2022,10 to 30 years years,Standard materials and solutions,District heating,Middle floor,,,,,,
715449,"CZK 17,000",50.04386,14.42527,"Nad Cihelnou, Prague - Podolí",Studio,New build,40 m²,"CZK 3,500","CZK 34,000",,Personal,Other,Unfurnished,1,No,Yes,No,No,No,Yes,Yes,A,72,"1,331",217,"1,367",582,"1,432",668,893,848,795,01. 05. 2022,1 to 10 years years,Standard materials and solutions,Central heating,Raised ground floor,,Overall,40 m²,,,
691358,"CZK 12,990",50.02901,14.36168,"Vítové, Prague - Hlubočepy",Studio,New build,29 m²,"CZK 2,000","CZK 12,990",,Cooperative,Prefab concrete building,Furnished,5,Yes,No,No,No,No,Yes,No,G,437,"1,318",559,"1,298",301,"1,336",529,769,854,542,21. 04. 2022,1 to 10 years years,,,Middle floor,,,,,,
586683,"CZK 17,000",50.05174,14.543651,"Horolezecká, Prague - Hostivař",1 bedroom with open-plan kitchen,New build,58 m²,"CZK 5,000","CZK 22,000",,Personal,Brick building,Furnished,6,Yes,No,Yes,No,No,Yes,Yes,A,235,288,192,226,389,754,172,512,293,,15. 02. 2020,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,Yes,,,,,
626750,"CZK 25,900",50.038775,14.395989,"Na Srpečku, Prague - Hlubočepy",3 bedroom,Excellent,83 m²,"CZK 4,500","CZK 25,900",,Personal,Brick building,Partially furnished,1,No,Yes,Yes,No,Yes,No,No,B,138,776,733,795,620,578,654,,,,01. 06. 2022,,,Gas boiler,Raised ground floor,,Overall,50 m²,,,
715440,"CZK 15,000",50.064779,14.5525555,"Františka Jansy, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,New build,48 m²,"CZK 3,000","CZK 15,000",,Cooperative,Brick building,Furnished,4,No,No,No,Yes,No,Yes,No,C,150,845,468,387,639,"1,165",809,100,,,16. 05. 2022,,,,,,,,,,
708594,"CZK 14,500",50.07206,14.38986,"Plzeňská, Prague - Smíchov",2 bedroom,Excellent,55 m²,"CZK 1,000","CZK 19,000",,Personal,Brick building,Partially furnished,1,No,No,No,No,Yes,No,No,F,194,"1,231",107,823,149,953,414,909,"1,140",247,01. 03. 2022,,,,,,,,,,
714011,"CZK 22,350",50.0799163,14.4476377,"Slavíkova, Prague - Žižkov",Studio,,29 m²,"CZK 7,450",,,,,Furnished,5,No,Yes,No,No,No,Yes,No,,472,536,115,535,55,394,404,513,675,431,10. 06. 2022,,,,,,,,,,
691645,"CZK 39,000",50.09069,14.42032,"Dušní, Prague - Josefov",3 bedroom with open-plan kitchen,Excellent,93 m²,"CZK 1,900","CZK 40,900",,Personal,Brick building,Partially furnished,3,Yes,No,No,No,Yes,Yes,No,E,101,447,205,252,70,269,137,380,248,453,01. 05. 2022,,,,,,,,,,
715436,"CZK 27,504",50.0925119,14.4502616,"Křižíkova, Prague - Karlín",Studio,,40 m²,"CZK 9,168",,,,,Furnished,6,Yes,Yes,No,No,No,Yes,Yes,,81,251,125,181,24,205,369,"1,216",241,212,03. 06. 2022,,,,,,,,,,
713527,"CZK 22,950",50.0719498,14.4319499,"Koubkova, Prague - Nové Město",1 bedroom,,39 m²,"CZK 7,650",,,,,Furnished,2,No,No,No,No,No,Yes,No,,203,332,57,333,25,268,328,262,694,682,01. 06. 2022,,,,,,,,,,
713969,"CZK 35,175",50.0769346,14.4169603,"Na Zbořenci, Prague - Nové Město",2 bedroom,,65 m²,"CZK 11,725",,,,,Furnished,4,No,No,No,No,No,Yes,No,,168,319,99,227,101,409,227,243,632,429,01. 06. 2022,,,,,,,,,,
713472,"CZK 41,250",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",2 bedroom,,50 m²,"CZK 13,750",,,,,Furnished,-1,No,No,No,No,No,Yes,No,,211,382,250,989,170,745,812,"1,050",387,543,16. 05. 2022,,,,,,,,,,
565490,"CZK 11,800",50.0658614,14.4029299,"Radlická, Prague - Smíchov",1 bedroom,,33 m²,CZK 800,"CZK 12,600",,Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,G,326,520,320,541,324,421,381,562,824,433,22. 04. 2022,,,,,,,,,,
713515,"CZK 36,338",50.0183023,14.5625656,"Ibišková, Prague - Křeslice",4 bedroom with open-plan kitchen,,180 m²,"CZK 12,112",,,,,Furnished,1,Yes,Yes,No,No,No,No,Yes,,695,843,921,,,,,,,,01. 06. 2022,,,,,,,,,,
438948,"CZK 11,600",50.0721195,14.4055053,"Lidická, Prague - Smíchov",Studio,Good,34 m²,"CZK 1,500","CZK 13,100",,Personal,Brick building,Partially furnished,4,No,No,No,No,No,No,No,,137,484,128,84,86,369,577,"1,058","1,252",720,22. 04. 2022,,,,,,,,,,
715422,"CZK 18,000",50.07828,14.5085,"Limuzská, Prague - Strašnice",1 bedroom with open-plan kitchen,New build,49 m²,"CZK 3,500","CZK 45,000",,Personal,Other,Unfurnished,3,Yes,No,Yes,No,Yes,No,No,C,53,915,509,892,124,768,934,"1,058","1,195",526,06. 05. 2022,,,,,,,,,,
