Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Age,Design,Total number of floors,Renovation,Heating,Front garden,Administration fee,Developer name,Project name,Kód jednotky,New building,Investment Advisor
714092,"CZK 23,195",50.0719625,14.461813,"Bulharská, Prague - Vršovice",Studio,35 m²,"CZK 7,731",Furnished,5,No,No,No,No,No,No,No,12. 06. 2022,220,827,175,604,97,602,416,334,726,246,,,,,,,,,,,,,,,,,
715746,"CZK 23,100",50.0709,14.38315,"Plzeňská, Prague - Košíře",1 bedroom with open-plan kitchen,64 m²,"CZK 4,600",Furnished,3,No,Yes,Yes,No,Yes,Yes,Yes,25. 04. 2022,236,757,217,"1,132",273,"1,240",131,522,"1,117",573,New build,"CZK 25,000",Personal,Other,C,,,,,,,,,,,,
716430,"CZK 15,000",50.08393,14.40454,"Újezd, Prague - Malá Strana",1 bedroom with open-plan kitchen,41 m²,"CZK 3,500",Furnished,3,Yes,No,Yes,No,No,Yes,No,01. 05. 2022,54,387,90,502,94,448,252,196,243,262,Excellent,"CZK 20,000",Personal,Brick building,G,,,,,,,,,,,,
716431,"CZK 13,500",50.07929,14.44774,"Slavíkova, Prague - Vinohrady",3 bedroom,113 m²,"CZK 1,500",Furnished,2,No,No,No,No,No,Yes,No,22. 05. 2022,301,451,66,419,61,291,171,160,510,325,Good,"CZK 20,000",Personal,Brick building,G,,,,,,,,,,,,
713523,"CZK 60,000",50.0757302,14.4269087,"Ječná, Prague - Nové Město",1 bedroom with open-plan kitchen,,"CZK 20,000",Furnished,3,No,No,No,No,No,No,No,29. 05. 2022,177,647,182,40,38,122,28,102,350,194,,,,,,,,,,,,,,,,,
538394,"CZK 20,000",50.1560751,14.522333,"Schoellerova, Prague - Čakovice",2 bedroom with open-plan kitchen,79 m²,"CZK 5,300",Furnished,1,Yes,No,No,No,No,No,No,01. 06. 2022,108,536,169,409,"1,120",561,335,232,,,,"CZK 25,000",Personal,Brick building,,1 to 10 years years,Premium materials and solutions,Attic,Interior,,,,,,,,
621246,"CZK 16,000",50.117855,14.475694,"Na Sypkém, Prague - Libeň",1 bedroom with open-plan kitchen,43 m²,"CZK 2,500",Furnished,3,No,No,No,No,No,No,No,01. 06. 2022,174,"1,483",516,506,775,847,"1,055","1,259",572,,Excellent,"CZK 20,000",,Brick building,C,1 to 10 years years,Premium materials and solutions,,Overall,Electric boiler,200 m²,,,,,,
715724,"CZK 17,500",50.06505,14.55267,"Františka Jansy, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,48 m²,"CZK 3,500",Partially furnished,4,No,No,No,Yes,No,Yes,No,25. 04. 2022,178,872,476,395,647,"1,173",837,72,,,New build,"CZK 35,000",Cooperative,Brick building,A,,,,,,,,,,,,
716429,"CZK 31,000",50.07781,14.40239,"Drtinova, Prague - Smíchov",3 bedroom with open-plan kitchen,89 m²,"CZK 3,000",Partially furnished,1,Yes,No,Yes,No,No,No,No,01. 06. 2022,221,424,229,353,40,326,578,851,671,282,Excellent,"CZK 50,000",Personal,Brick building,G,,,Middle floor,Overall,Central heating,,,,,,,
713498,"CZK 39,000",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",2 bedroom,80 m²,"CZK 13,000",Furnished,3,No,No,No,No,No,Yes,No,29. 05. 2022,149,274,60,441,20,421,59,552,690,457,,,,,,,,,,,,,,,,,
716428,"CZK 16,990",50.10263833333,14.56778277777,"Doležalova, Prague - Černý Most",3 bedroom,76 m²,"CZK 3,560",Unfurnished,4,Yes,No,Yes,No,No,Yes,No,,220,943,175,"1,241",739,751,382,276,"1,275",347,Good,"CZK 20,550",Personal,Prefab concrete building,G,,,,,,,"CZK 20,550

                                
                                
                
i",,,,,
482525,"CZK 18,750",50.086769801288,14.345216747607,"Brunclíkova, Prague - Břevnov",2 bedroom,53 m²,"CZK 4,250",Partially furnished,7,Yes,No,No,No,No,No,No,01. 06. 2022,15,602,259,337,121,355,258,231,636,171,Excellent,"CZK 30,000",Personal,Prefab concrete building,D,1 to 10 years years,,Top floor,Overall,District heating,,,,,,,
695231,"CZK 7,000",50.06129,14.59472,"Netlucká, Prague - Dubeč",Small studio,25 m²,,Furnished,2,No,No,No,No,Yes,No,No,27. 05. 2022,174,953,256,818,584,919,"1,025",,,,Excellent,"CZK 7,000",Personal,Brick building,A,1 to 10 years years,Premium materials and solutions,Attic,Overall,Central heating,,,,,,,
713472,"CZK 41,250",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",2 bedroom,50 m²,"CZK 13,750",Furnished,-1,No,No,No,No,No,Yes,No,01. 05. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,,
326100,"CZK 9,000",50.0777008,14.4576999,"Vinohradská, Prague - Žižkov",Small studio,30 m²,"CZK 1,500",Partially furnished,4,No,No,No,No,No,No,No,09. 05. 2022,43,433,75,83,83,243,516,593,808,295,,"CZK 10,500",Personal,Brick building,G,,,Top floor,,District heating,,,,,,,
520013,"CZK 10,490",50.013708,14.4335403,"Zárubova, Prague - Kamýk",Studio,24 m²,"CZK 3,200",Partially furnished,8,No,No,Yes,No,No,Yes,No,,438,"1,467",368,"1,460",815,359,128,387,622,252,,"CZK 10,000",Personal,Prefab concrete building,,,,,,,,,,,,,
603358,"CZK 16,000",50.108989,14.497986,"Na Břehu, Prague - Vysočany",1 bedroom with open-plan kitchen,54 m²,"CZK 3,500",Furnished,4,Yes,No,Yes,No,No,No,No,01. 06. 2022,238,370,128,234,86,223,696,655,269,320,Excellent,"CZK 32,000",Personal,Brick building,G,,,Top floor,Overall,Other,,,,,,,
713468,"CZK 18,720",50.0713305,14.4638794,"Na Míčánkách, Prague - Vršovice",1 bedroom with open-plan kitchen,49 m²,"CZK 6,240",Furnished,2,No,No,No,No,No,Yes,No,06. 06. 2022,84,743,87,659,277,595,408,307,678,198,,,,,,,,,,,,,,,,,
713506,"CZK 37,425",50.0749602,14.4305105,"Legerova, Prague - Vinohrady",1 bedroom,30 m²,"CZK 12,475",Furnished,2,No,No,No,No,No,Yes,No,15. 05. 2022,22,463,81,96,72,158,361,436,384,451,,,,,,,,,,,,,,,,,
716426,"CZK 14,000",50.04672,14.40946,"Na Zlíchově, Prague - Hlubočepy",1 bedroom with open-plan kitchen,45 m²,"CZK 3,500",Partially furnished,,No,Yes,No,No,No,No,No,01. 05. 2022,431,"1,076",923,"1,125",680,"1,267",,,,,Good,"CZK 17,500",Personal,Brick building,G,,,,,,,,,,,,
716423,"CZK 12,000",50.08378,14.42837,Prague - Nové Město,2 bedroom with open-plan kitchen,90 m²,"CZK 1,000",Furnished,2,No,No,No,No,Yes,Yes,No,01. 05. 2022,148,69,35,222,7,58,97,871,203,563,Good,"CZK 13,000",Personal,Other,C,,,,,,,,,,,,
715714,"CZK 16,200",50.06133,14.39786,"Radlická, Prague - Smíchov",2 bedroom,47 m²,CZK 650,Partially furnished,3,Yes,No,No,No,No,No,No,25. 04. 2022,32,953,43,803,4,498,416,516,623,501,Excellent,"CZK 16,200",Personal,Brick building,G,,,,,,,,,,,,
714329,"CZK 38,775",50.0918754,14.4250902,"Řásnovka, Prague - Staré Město",2 bedroom,48 m²,"CZK 12,925",Furnished,2,No,No,No,No,No,No,No,01. 05. 2022,158,249,155,246,113,320,391,409,155,114,,,,,,,,,,,,,,,,,
716417,"CZK 16,808",50.1040109,14.4778547,"Novákových a, Prague - Libeň",1 bedroom with open-plan kitchen,42 m²,"CZK 5,602",Furnished,2,No,No,No,No,No,No,No,06. 06. 2022,128,226,52,252,51,178,275,424,252,299,,,,,,,,,,,,,,,,,
715713,"CZK 12,000",50.06851,14.43809,"Perucká, Prague - Vinohrady",Studio,25 m²,"CZK 3,000",Partially furnished,3,No,Yes,No,No,No,No,No,30. 04. 2022,543,662,441,769,469,743,529,451,635,750,New build,"CZK 24,000",Personal,Brick building,G,1 to 10 years years,Standard materials and solutions,Middle floor,Overall,District heating,,,,,,,
714373,"CZK 16,800",50.04842,14.42603,"Pod Pekařkou, Prague - Podolí",1 bedroom with open-plan kitchen,50 m²,"CZK 4,200",Furnished,4,No,No,Yes,No,No,Yes,No,15. 06. 2022,397,"1,349",499,801,268,940,567,671,"1,211",650,Excellent,"CZK 20,000",Personal,Brick building,C,,,,,,,,,,,,
371956,"CZK 11,490",50.0583938,14.2812233,"Milotická, Prague - Zličín",Studio,32 m²,"CZK 1,339",Partially furnished,4,Yes,No,Yes,No,Yes,Yes,Yes,01. 05. 2022,406,848,920,850,900,974,321,"1,196",98,,,"CZK 18,000",Personal,Brick building,C,,,,,,,,,,,,
716406,"CZK 31,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",2 bedroom with open-plan kitchen,68 m²,CZK 133,Furnished,8,No,Yes,Yes,No,Yes,Yes,No,01. 06. 2022,,,,,,,,,,,Excellent,"CZK 62,000",Personal,Other,A,,,,,,,,Luka Residential s.r.o.,Luka Living Rental apartments,814,Yes,
657007,"CZK 11,000",50.0291787,14.4506539,Prague - Krč,Studio,27 m²,"CZK 3,200",Partially furnished,10,No,No,No,No,Yes,Yes,No,01. 03. 2022,69,"1,240",280,57,704,788,"1,119",504,325,,Excellent,"CZK 22,000",Personal,Prefab concrete building,C,,,,Interior,District heating,,,,,,,
712480,"CZK 22,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",2 bedroom,42 m²,CZK 133,Furnished,13,No,No,Yes,No,Yes,Yes,Yes,22. 07. 2022,,,,,,,,,,,Excellent,"CZK 44,000",Personal,Other,A,,,,,,,,Luka Residential s.r.o.,Luka Living Rental apartments,1301,Yes,
714237,"CZK 36,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",2 bedroom with open-plan kitchen,94 m²,CZK 133,Furnished,11,No,Yes,Yes,No,Yes,Yes,Yes,10. 07. 2022,,,,,,,,,,,Excellent,"CZK 72,000",Personal,Other,A,,,,,,,,Luka Residential s.r.o.,Luka Living Rental apartments,1115,Yes,
714245,"CZK 15,900",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",Studio,31 m²,CZK 133,Unfurnished,11,Yes,No,Yes,No,Yes,Yes,No,25. 06. 2022,,,,,,,,,,,Excellent,"CZK 31,800",Personal,Other,A,,,,,,,,Luka Residential s.r.o.,Luka Living Rental apartments,1103,Yes,
714255,"CZK 30,000",50.07202,14.44518,"Francouzská, Prague - Vinohrady",Studio,40 m²,CZK 133,Unfurnished,1,No,Yes,No,No,No,No,No,14. 04. 2022,,,,,,,,,,,Excellent,"CZK 60,000",Personal,Brick building,A,,,,,,,,Luka Residential s.r.o.,Luka Living Rental apartments,F003,Yes,
716403,"CZK 25,000",50.09174,14.44246,"Prvního pluku, Prague - Karlín",1 bedroom with open-plan kitchen,55 m²,"CZK 5,000",Furnished,4,No,No,No,No,No,No,No,23. 05. 2022,208,408,151,207,58,181,363,930,293,284,Excellent,,Personal,Other,G,,,,,,,,,,,,
708045,"CZK 17,000",50.08186,14.41921,"Spálená, Prague - Nové Město",1 bedroom with open-plan kitchen,42 m²,"CZK 1,000",Unfurnished,4,Yes,No,No,No,No,No,No,01. 03. 2022,55,766,79,25,36,129,216,426,136,433,Excellent,"CZK 17,000",Personal,Brick building,G,,,,,,,,,,,,
348494,"CZK 16,500",50.019622,14.4673797,"Muškova, Prague - Kunratice",1 bedroom with open-plan kitchen,60 m²,"CZK 5,000",Partially furnished,1,No,Yes,No,No,No,Yes,Yes,01. 07. 2022,418,"1,389","1,267",212,569,561,"1,500",166,,,,"CZK 30,000",Personal,Brick building,,10 to 30 years years,,Raised ground floor,,District heating,,,,,,,
414900,"CZK 11,500",50.1356723,14.5098273,"Bohumínská, Prague - Letňany",Studio,41 m²,"CZK 3,500",Furnished,8,No,No,No,No,No,Yes,No,01. 06. 2022,61,658,228,506,193,137,214,624,267,365,,,Personal,Prefab concrete building,,,,,,,,,,,,,
316188,"CZK 11,900",50.0622893,14.4358679,"Petra Rezka, Prague - Nusle",Studio,32 m²,"CZK 2,000",Furnished,,No,No,No,No,No,No,No,01. 05. 2022,229,592,213,506,104,428,94,423,425,248,,"CZK 12,000",Personal,Brick building,F,,Standard materials and solutions,,,Central heating,,,,,,,
688853,"CZK 7,500",50.07186,14.46305,"Bulharská, Prague - Vršovice",Other,31 m²,"CZK 1,500",Unfurnished,,No,No,No,No,No,No,No,01. 07. 2022,201,860,203,689,182,687,525,419,641,161,Excellent,"CZK 18,000",Personal,Brick building,G,,,,,,,,,,,,
716390,"CZK 19,200",50.08781,14.4725,"Ambrožova, Prague - Žižkov",1 bedroom with open-plan kitchen,57 m²,"CZK 2,500",Partially furnished,2,Yes,No,Yes,No,Yes,Yes,No,01. 08. 2022,102,622,257,413,274,484,238,58,551,172,New build,,Personal,Brick building,B,1 to 10 years years,Premium materials and solutions,Middle floor,Overall,Central heating,,,,,,Yes,
451027,"CZK 19,000",50.0713103,14.4822158,"V Olšinách, Prague - Vršovice",1 bedroom with open-plan kitchen,51 m²,"CZK 4,000",Furnished,2,Yes,No,Yes,No,No,Yes,No,31. 05. 2022,212,485,124,284,224,328,549,388,666,270,Excellent,"CZK 25,000",Personal,Brick building,,,Premium materials and solutions,Middle floor,Overall,District heating,,,,,,,
