Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Ownership Type,Building Type,Condition,Heating,Total number of floors,PENB,Renovation,Age,Design,Front garden,New building,Administration fee,Developer name,Project name,Kód jednotky
715307,"CZK 24,500",50.08709,14.46381,"V Kapslovně, Prague - Žižkov",3 bedroom,98 m²,"CZK 3,000",Partially furnished,2,No,Yes,No,No,No,Yes,Yes,21. 04. 2022,,,,,,,,,,,"CZK 25,000",Personal,Brick building,Excellent,,,C,,,,,,,,,
715306,"CZK 20,000",50.06326,14.28874,"Křivatcová, Prague - Zličín",2 bedroom with open-plan kitchen,70 m²,"CZK 5,000",Partially furnished,1,Yes,No,No,Yes,Yes,Yes,No,21. 04. 2022,,,,,,,,,,,"CZK 25,000",Personal,Brick building,New build,,,A,,,,,,,,,
711233,"CZK 14,990",50.1085429,14.5254683,"Granitova, Prague - Hloubětín",Studio,44 m²,"CZK 2,990",Partially furnished,5,No,Yes,Yes,No,Yes,Yes,No,21. 03. 2022,280,"1,320",719,"1,302","1,077","1,144","1,212","1,015","1,196",524,,Personal,Low-energy building,New build,District heating,,A,,1 to 10 years years,Premium materials and solutions,,Yes,,,,
554738,"CZK 17,000",50.0694,14.4840287,Prague - Strašnice,1 bedroom with open-plan kitchen,42 m²,"CZK 3,500",Partially furnished,5,Yes,No,Yes,No,No,Yes,Yes,16. 05. 2022,,,,,,,,,,,"CZK 34,000",Personal,Brick building,New build,District heating,,,,,,,Yes,,,,
576460,"CZK 13,500",50.0807978,14.4844751,"Nad Vodovodem, Prague - Strašnice",1 bedroom,40 m²,"CZK 3,500",Furnished,1,No,No,No,No,No,No,No,01. 12. 2019,,,,,,,,,,,"CZK 27,000",Personal,Brick building,Excellent,Central heating,Raised ground floor,G,Overall,,,,,,,,
441407,"CZK 20,000",50.0420403,14.3250048,Prague - Stodůlky,2 bedroom with open-plan kitchen,90 m²,"CZK 6,500",Furnished,10,No,No,Yes,Yes,No,Yes,No,01. 05. 2022,,,,,,,,,,,"CZK 26,500",Cooperative,Prefab concrete building,Excellent,District heating,Top floor,,Overall,1 to 10 years years,Premium materials and solutions,,,,,,
619048,"CZK 12,000",50.08373,14.449294,"Víta Nejedlého, Prague - Žižkov",Studio,39 m²,"CZK 2,000",Furnished,1,No,No,No,No,Yes,Yes,No,20. 04. 2022,296,133,104,160,115,154,141,250,293,523,"CZK 14,000",Personal,Brick building,Excellent,Electric boiler,Ground floor,D,Overall,1 to 10 years years,,,,,,,
621379,"CZK 9,000",50.056553,14.495605,"Jabloňová, Prague - Záběhlice",Small studio,25 m²,"CZK 3,200",Furnished,8,No,No,No,No,No,Yes,No,20. 04. 2022,59,616,149,989,200,50,166,658,166,283,"CZK 18,000",Personal,Prefab concrete building,Excellent,,,,,,,,,,,,
715302,"CZK 12,941",50.1028023,14.4794456,"Turnovská, Prague - Libeň",1 bedroom,38 m²,"CZK 2,719",,2,No,No,No,No,No,No,No,15. 05. 2022,,,,,,,,,,,"CZK 15,660",Personal,Other,Good,,,,,,,,,"CZK 1,941",,,
376531,"CZK 18,000",50.0713399,14.4867799,Prague - Strašnice,1 bedroom with open-plan kitchen,46 m²,"CZK 2,000",Partially furnished,1,No,No,No,No,No,No,No,01. 06. 2022,,,,,,,,,,,"CZK 18,000",Personal,Brick building,Excellent,Gas boiler,Middle floor,C,Interior,,Standard materials and solutions,,,,,,
713073,"CZK 16,000",50.07784,14.49749,"Vrátkovská, Prague - Strašnice",2 bedroom,52 m²,"CZK 5,756",Partially furnished,2,No,No,Yes,No,No,No,No,01. 05. 2022,242,489,146,575,314,529,552,469,"1,195",154,"CZK 40,000",Cooperative,Prefab concrete building,Excellent,District heating,Middle floor,D,,,,,,,,,
401143,"CZK 12,500",50.0544343,14.5127755,"Práčská, Prague - Záběhlice",2 bedroom,52 m²,"CZK 3,600",Partially furnished,2,No,No,No,No,Yes,Yes,No,17. 03. 2022,214,442,432,483,306,438,648,903,831,140,"CZK 24,000",Personal,Prefab concrete building,Good,District heating,,C,Exterior,,Standard materials and solutions,,,,,,
713493,"CZK 37,125",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",2 bedroom,90 m²,"CZK 12,375",Furnished,2,No,No,No,No,No,Yes,No,29. 05. 2022,149,274,60,441,20,421,59,552,690,457,,,,,,,,,,,,,,,,
715293,"CZK 74,850",50.090911,14.4295366,"Soukenická, Prague - Nové Město",2 bedroom with open-plan kitchen,90 m²,"CZK 24,950",Furnished,4,Yes,Yes,No,No,No,Yes,Yes,12. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
713467,"CZK 23,625",50.0984636,14.4253146,"Ovenecká, Prague - Holešovice",1 bedroom with open-plan kitchen,55 m²,"CZK 7,875",Furnished,5,No,No,No,No,No,Yes,No,01. 06. 2022,220,310,47,185,156,218,202,"1,485",496,451,,,,,,,,,,,,,,,,
715292,"CZK 63,000",50.090911,14.4295366,"Soukenická, Prague - Nové Město",2 bedroom with open-plan kitchen,90 m²,"CZK 21,000",Furnished,4,No,No,No,No,No,Yes,Yes,28. 04. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
615846,"CZK 5,800",50.069998,14.488557,"Gutova, Prague - Strašnice",Small studio,16 m²,"CZK 1,400",,1,No,No,No,No,No,No,No,10. 07. 2020,,,,,,,,,,,"CZK 10,000",Personal,Brick building,New build,,,G,,,,,,,,,
714330,"CZK 18,490",50.10238,14.44509,"Tovární, Prague - Holešovice",1 bedroom with open-plan kitchen,71 m²,"CZK 2,999",Furnished,4,No,No,Yes,No,No,Yes,No,15. 04. 2022,161,207,201,445,174,111,139,291,567,90,"CZK 18,490",Personal,Brick building,Good,,,C,,,,,,,,,
514992,"CZK 15,900",50.0806407,14.4498808,Prague - Žižkov,1 bedroom with open-plan kitchen,51 m²,CZK 750,Partially furnished,5,No,No,No,No,No,Yes,No,01. 05. 2018,,,,,,,,,,,"CZK 18,000",Personal,Brick building,,,,,,,,,,,,,
715281,"CZK 57,437",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",5 bedroom,142 m²,"CZK 19,145",Furnished,4,Yes,Yes,No,No,No,Yes,Yes,01. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
713465,"CZK 35,475",50.0795659,14.4357789,"Balbínova, Prague - Vinohrady",1 bedroom with open-plan kitchen,60 m²,"CZK 11,825",Furnished,3,No,No,No,No,No,Yes,No,01. 05. 2022,134,417,252,351,68,251,205,205,457,712,,,,,,,,,,,,,,,,
713459,"CZK 51,225",50.090911,14.4295366,"Soukenická, Prague - Nové Město",1 bedroom with open-plan kitchen,50 m²,"CZK 17,075",Furnished,4,No,No,No,No,No,Yes,Yes,03. 05. 2022,144,325,176,152,60,230,49,259,388,439,,,,,,,,,,,,,,,,
713454,"CZK 31,875",50.0902753,14.4260311,"Rybná, Prague - Staré Město",Studio,40 m²,"CZK 10,625",Furnished,1,No,No,No,No,No,No,No,26. 05. 2022,124,153,54,67,17,194,209,158,151,202,,,,,,,,,,,,,,,,
713455,"CZK 22,313",50.0699993,14.3820262,"Hlaváčkova, Prague - Košíře",Studio,35 m²,"CZK 7,437",Furnished,6,Yes,No,No,No,No,Yes,Yes,08. 06. 2022,202,523,119,828,248,936,219,756,"1,073",529,,,,,,,,,,,,,,,,
709962,"CZK 13,000",50.09935,14.42987,"Milady Horákové, Prague - Holešovice",Studio,30 m²,"CZK 2,500",Furnished,2,Yes,No,Yes,No,No,No,No,22. 04. 2022,75,523,33,158,86,70,139,60,409,,"CZK 20,000",Personal,Brick building,Excellent,,,G,,,,,,,,,
401195,"CZK 16,000",50.04012221879,14.499368130164,"Babická, Prague - Chodov",1 bedroom with open-plan kitchen,55 m²,"CZK 4,000",Partially furnished,3,Yes,No,No,No,No,No,No,25. 04. 2022,,,,,,,,,,,"CZK 32,000",Personal,Brick building,New build,,Middle floor,,,1 to 10 years years,,,Yes,,,,
712480,"CZK 22,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",2 bedroom,42 m²,CZK 133,Furnished,13,No,No,Yes,No,Yes,Yes,Yes,22. 07. 2022,,,,,,,,,,,"CZK 44,000",Personal,Other,Excellent,,,A,,,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,1301
714237,"CZK 36,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",2 bedroom with open-plan kitchen,94 m²,CZK 133,Furnished,11,No,Yes,Yes,No,Yes,Yes,Yes,10. 07. 2022,,,,,,,,,,,"CZK 72,000",Personal,Other,Excellent,,,A,,,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,1115
714245,"CZK 15,900",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",Studio,31 m²,CZK 133,Unfurnished,11,Yes,No,Yes,No,Yes,Yes,No,25. 06. 2022,,,,,,,,,,,"CZK 31,800",Personal,Other,Excellent,,,A,,,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,1103
714255,"CZK 25,000",50.07202,14.44518,"Francouzská, Prague - Vinohrady",Studio,40 m²,CZK 133,Unfurnished,1,No,Yes,No,No,No,No,No,14. 04. 2022,,,,,,,,,,,"CZK 50,000",Personal,Brick building,Excellent,,,A,,,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,F003
715256,"CZK 16,000",50.09179,14.44168,"Sokolovská, Prague - Karlín",Studio,18 m²,"CZK 2,500",Furnished,2,No,Yes,No,No,No,No,No,25. 04. 2022,,,,,,,,,,,"CZK 18,500",Personal,Brick building,Excellent,,,G,,,,,,,,,
369890,"CZK 15,000",50.107010860053,14.388327912828,"Zelená, Prague - Dejvice",1 bedroom with open-plan kitchen,42 m²,"CZK 3,500",Unfurnished,3,No,No,No,No,No,No,No,,,,,,,,,,,,"CZK 20,000",Personal,Brick building,Good,,,,,,Premium materials and solutions,,,,,,
715275,"CZK 12,000",50.12532,14.48936,"Vysočanská, Prague - Střížkov",Small studio,23 m²,"CZK 2,500",Furnished,6,No,No,No,No,No,Yes,No,01. 05. 2022,,,,,,,,,,,"CZK 15,000",Personal,Prefab concrete building,Excellent,,,G,,,,,,,,,
286300,"CZK 13,500",50.033422754,14.610529887,"Václava Trojana, Prague - Uhříněves",1 bedroom with open-plan kitchen,52 m²,"CZK 4,000",Furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,14. 05. 2022,,,,,,,,,,,"CZK 35,000",Personal,Brick building,Excellent,District heating,Middle floor,C,Overall,1 to 10 years years,Standard materials and solutions,,,,,,
367899,"CZK 16,000",50.0854072,14.3740317,"Mládeže, Prague - Břevnov",1 bedroom with open-plan kitchen,49 m²,"CZK 2,500",Partially furnished,5,No,Yes,No,No,No,No,No,,150,720,240,430,225,133,161,345,438,321,"CZK 32,000",Personal,Brick building,Excellent,Gas boiler,,B,Overall,,,,,,,,
171484,"CZK 12,000",50.0854629,14.4478081,"Blahníkova, Prague - Žižkov",1 bedroom,40 m²,"CZK 1,000",Partially furnished,2,No,No,No,No,No,No,No,,224,319,86,346,110,300,100,129,237,639,"CZK 13,000",Personal,Brick building,,,,,,,,,,,,,
197464,"CZK 16,500",50.0622616,14.4358444,"Petra Rezka, Prague - Nusle",2 bedroom with open-plan kitchen,69 m²,"CZK 4,500",Partially furnished,1,No,No,No,No,No,No,No,,,,,,,,,,,,"CZK 20,000",Personal,Brick building,,Central heating,Raised ground floor,,,,,,,,,,
715268,"CZK 20,000",50.06891,14.40011,"Kováků, Prague - Smíchov",1 bedroom with open-plan kitchen,48 m²,"CZK 3,000",Partially furnished,1,No,No,Yes,No,Yes,Yes,Yes,01. 05. 2022,,,,,,,,,,,"CZK 20,000",Personal,Brick building,Excellent,,,G,,,,,,,,,
657007,"CZK 11,000",50.0291787,14.4506539,Prague - Krč,Studio,27 m²,"CZK 3,200",Partially furnished,10,No,No,No,No,Yes,Yes,No,01. 03. 2022,69,"1,240",280,57,704,788,"1,119",504,325,,"CZK 22,000",Personal,Prefab concrete building,Excellent,District heating,,C,Interior,,,,,,,,
715263,"CZK 13,000",50.05605,14.29156,"Do Zahrádek Ⅰ, Prague - Třebonice",Studio,31 m²,"CZK 2,242",Partially furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,01. 05. 2022,,,,,,,,,,,"CZK 26,000",Personal,Low-energy building,New build,,,B,,,,,,,,,
715259,"CZK 12,500",50.03184,14.52061,"Podjavorinské, Prague - Chodov",1 bedroom with open-plan kitchen,44 m²,"CZK 3,500",Partially furnished,9,No,No,No,No,No,No,No,21. 04. 2022,,,,,,,,,,,"CZK 25,000",Personal,Prefab concrete building,New build,,,C,,,,,,,,,
489303,"CZK 8,500",50.0646836,14.3965606,"Nad Santoškou, Prague - Smíchov",Studio,40 m²,"CZK 4,000",Furnished,,No,No,No,No,No,No,No,03. 05. 2022,248,604,356,947,320,690,303,148,340,266,"CZK 18,000",Personal,Brick building,Excellent,Gas boiler,Ground floor,D,Overall,1 to 10 years years,Standard materials and solutions,,,,,,
652153,"CZK 15,000",50.071528,14.430216,"Fügnerovo náměstí, Prague - Nové Město",Studio,20 m²,"CZK 4,500",Furnished,3,No,No,No,No,Yes,Yes,Yes,19. 04. 2022,210,499,175,346,159,239,220,429,661,519,"CZK 3,000",Personal,Brick building,Excellent,Central heating,Middle floor,C,Overall,1 to 10 years years,Premium materials and solutions,,,,,,
715254,"CZK 12,000",50.1027335,14.4359765,"U Smaltovny, Prague - Holešovice",1 bedroom with open-plan kitchen,55 m²,"CZK 3,140",Partially furnished,1,No,No,No,No,No,No,No,01. 05. 2022,,,,,,,,,,,"CZK 24,000",Personal,Brick building,Excellent,,,D,,,,,,,,,
163681,"CZK 11,500",50.1401102,14.548523,"Herlíkovická, Prague - Kbely",Small studio,46 m²,"CZK 2,500",Partially furnished,1,No,Yes,No,No,No,No,No,,,,,,,,,,,,,Personal,Brick building,,District heating,Ground floor,A,,10 to 30 years years,Standard materials and solutions,42 m²,,,,,
35209,"CZK 16,400",50.0709893,14.5034918,"Sečská 21, Prague - Strašnice",2 bedroom,65 m²,"CZK 3,000",Partially furnished,4,No,No,No,No,No,No,No,21. 05. 2018,,,,,,,,,,,"CZK 20,000",Cooperative,Prefab concrete building,,District heating,Top floor,,Overall,30 to 50 years years,Standard materials and solutions,,,,,,
540196,"CZK 16,000",50.0680875,14.4199999,"Svobodova, Prague - Vyšehrad",Small studio,45 m²,"CZK 3,000",Furnished,5,No,No,No,No,No,No,No,01. 05. 2022,38,956,86,291,62,258,114,499,143,354,"CZK 19,000",Personal,Brick building,Excellent,Electric boiler,Attic,B,Overall,1 to 10 years years,Premium materials and solutions,,,,,,
599575,"CZK 27,000",50.092552,14.44379,"Sokolovská, Prague - Karlín",2 bedroom with open-plan kitchen,46 m²,"CZK 3,500",Furnished,6,No,No,No,No,No,Yes,No,01. 05. 2022,113,295,84,293,18,292,279,"1,018",374,328,"CZK 30,000",Cooperative,Brick building,Excellent,Electric boiler,Middle floor,C,Overall,1 to 10 years years,Premium materials and solutions,,,,,,
630457,"CZK 16,000",50.071753,14.431997,"Lublaňská, Prague - Nové Město",Small studio,25 m²,"CZK 2,000",Furnished,2,No,No,No,No,No,No,No,12. 10. 2020,216,344,70,346,22,280,306,274,647,724,,Other,Brick building,Good,,,E,,,,,,,,,
646029,"CZK 10,000",50.07513,14.38313,"U Pernikářky, Prague - Smíchov",Studio,21 m²,"CZK 2,043",Partially furnished,2,No,No,Yes,No,No,Yes,No,27. 07. 2021,533,"1,143",696,"1,324",746,"1,383",721,327,"1,097",363,"CZK 15,000",Personal,Brick building,Excellent,,,D,,,,,,,,,
715239,"CZK 18,000",50.0886644,14.484117,"Olgy Havlové, Prague - Žižkov",Studio,38 m²,"CZK 1,500",Partially furnished,7,Yes,No,Yes,No,Yes,Yes,No,20. 04. 2022,,,,,,,,,,,"CZK 54,000",Personal,Brick building,New build,Central heating,Middle floor,A,,1 to 10 years years,Premium materials and solutions,,,,,,
351656,"CZK 12,000",50.0590262,14.3820704,"Na Farkáně III, Prague - Radlice",1 bedroom,32 m²,"CZK 3,000",Furnished,1,No,No,No,No,No,No,No,01. 05. 2022,217,744,118,531,214,"1,064",832,565,707,331,"CZK 24,000",Personal,Brick building,,Electric boiler,Ground floor,,,,,,,,,,
705725,"CZK 150,000",50.09114,14.41807,"Pařížská, Prague - Josefov",6 bedroom with open-plan kitchen,322 m²,"CZK 15,000",Unfurnished,6,No,Yes,No,No,No,Yes,No,09. 02. 2022,50,344,274,458,40,435,343,586,60,470,"CZK 165,000",Personal,Brick building,Excellent,,,G,,,,,,,,,
557589,"CZK 17,500",50.1187312,14.4967253,"Libočanská, Prague - Prosek",1 bedroom with open-plan kitchen,72 m²,"CZK 5,825",Furnished,2,No,No,No,No,Yes,Yes,No,01. 07. 2022,,,,,,,,,,,"CZK 25,000",Personal,Low-energy building,Excellent,District heating,Middle floor,C,,10 to 30 years years,,,,,,,
608060,"CZK 11,000",50.008761,14.415273,"Československého exilu, Prague - Modřany",Studio,39 m²,"CZK 1,910",,3,Yes,No,No,No,No,Yes,No,01. 06. 2022,68,475,402,376,445,401,241,541,"1,086",425,CZK 1,Personal,Brick building,New build,,,B,,,,,Yes,,,,
81884,"CZK 13,000",50.070642,14.677549,"Rohožnická, Prague - Újezd nad Lesy",1 bedroom with open-plan kitchen,50 m²,"CZK 3,000",Furnished,3,Yes,No,Yes,No,Yes,No,No,10. 07. 2022,377,132,425,217,400,"1,303",64,,,,"CZK 15,000",Personal,Brick building,,District heating,,,Interior,1 to 10 years years,Standard materials and solutions,,,,,,
288662,"CZK 19,500",50.1014102,14.3708384,"Vostrovská, Prague - Dejvice",2 bedroom,50 m²,"CZK 4,000",Unfurnished,1,No,No,No,No,No,No,No,01. 04. 2021,294,928,442,564,441,347,743,854,776,314,"CZK 45,000",Personal,Brick building,Good,Gas boiler,Middle floor,G,Interior,,Standard materials and solutions,,,,,,
715236,"CZK 24,000",50.10014,14.40155,"Jilemnického, Prague - Bubeneč",1 bedroom with open-plan kitchen,59 m²,"CZK 3,000",Furnished,4,No,No,No,No,No,Yes,No,01. 06. 2022,,,,,,,,,,,"CZK 25,000",Personal,Brick building,Excellent,,,D,,,,,,,,,
709484,"CZK 13,500",50.05702105,14.292262248137,"Do Zahrádek I, Prague - Třebonice",Studio,31 m²,"CZK 2,500",Furnished,4,Yes,No,No,No,No,Yes,Yes,21. 04. 2022,289,"1,204",586,530,842,640,640,864,481,,"CZK 31,000",Personal,Brick building,New build,Other,Top floor,A,,,Premium materials and solutions,,Yes,,,,
715234,"CZK 19,000",50.05315,14.43646,"Kotorská, Prague - Nusle",2 bedroom with open-plan kitchen,67 m²,"CZK 4,200",Furnished,8,Yes,No,No,No,No,Yes,No,01. 05. 2022,,,,,,,,,,,"CZK 30,000",Personal,Prefab concrete building,Excellent,,,C,,,,,,,,,
603343,"CZK 44,500",50.085203,14.428022,"Nekázanka, Prague - Nové Město",Other,114 m²,"CZK 5,000",Furnished,5,No,No,No,No,No,Yes,No,01. 05. 2022,232,136,116,213,140,227,297,701,403,667,"CZK 49,500",Personal,Brick building,Excellent,Central heating,Top floor,G,Overall,30 to 50 years years,Premium materials and solutions,,,,,,
715223,"CZK 18,000",50.1161,14.61419,"Otovická, Prague - Horní Počernice",2 bedroom with open-plan kitchen,100 m²,"CZK 4,000",Furnished,2,No,No,No,No,No,No,No,01. 05. 2022,,,,,,,,,,,"CZK 25,000",Personal,Brick building,New build,,,B,,,,,,,,,
605139,"CZK 25,000",50.095329,14.458173,"Kaizlovy Sady, Prague - Karlín",1 bedroom with open-plan kitchen,48 m²,"CZK 2,263",Furnished,2,Yes,Yes,Yes,No,Yes,Yes,No,25. 04. 2022,85,789,82,529,83,486,289,"1,008",537,220,"CZK 25,000",Personal,Brick building,Excellent,Central heating,Middle floor,B,Overall,,,15 m²,,,,,
715222,"CZK 16,500",50.04577,14.30466,"Klementova, Prague - Stodůlky",1 bedroom with open-plan kitchen,52 m²,"CZK 3,500",Partially furnished,2,No,No,No,Yes,No,Yes,No,25. 04. 2022,,,,,,,,,,,"CZK 25,000",Cooperative,Brick building,New build,,,B,,,,,,,,,
214652,"CZK 14,000",50.0948449,14.4643843,"Molákova, Prague - Karlín",Small studio,35 m²,"CZK 2,000",Furnished,2,Yes,No,No,No,No,No,No,01. 05. 2022,347,"1,409",373,"1,019",284,883,160,697,933,328,"CZK 14,000",Personal,Low-energy building,Excellent,Central heating,Middle floor,B,Overall,30 to 50 years years,Standard materials and solutions,,,,,,
393866,"CZK 18,000",50.0692954,14.4739425,"Amurská, Prague - Vršovice",2 bedroom,53 m²,"CZK 1,500",Partially furnished,4,No,No,Yes,No,No,Yes,No,15. 06. 2022,294,442,218,324,110,505,76,195,144,184,"CZK 36,000",Personal,Brick building,,,,,,,,,,,,,
600130,"CZK 10,000",50.072442,14.392718,"Plzeňská, Prague - Smíchov",Studio,30 m²,"CZK 2,500",Partially furnished,1,No,No,No,No,No,No,No,01. 07. 2022,64,925,20,616,155,745,212,"1,000",933,226,"CZK 12,500",Personal,Brick building,Excellent,Central heating,Middle floor,G,,,,,,,,,
