Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Heating,Floor space,Fully furnished,Condition,Ownership,EPC,Reconstruction,Balcony,Parking,Cellar,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Designe,Enclosed balcony,Domácí mazlíčci vítáni,Terrace,Garage,New-build,Administrative fee
"CZK 17,800","CZK 3,671","CZK 35,000",730933,2 bedroom,9/24/2022,6,Brick,Central,53 m²,Fully furnished,Very good,Personal,E,Complete,1.0,1.0,1.0,1.0,249.45,542.09,188.53,762.13,138.43,578.41,416.88,123.11,714.28,256.3,Prague - Žižkov,50.09051,14.49609,,,,,,,,
"CZK 16,000","CZK 1,200","CZK 32,000",741336,2+kk,11/1/2022,1,Brick,,43 m²,Partly,Very good,,G,,,,,,216.46,1774.36,583.17,412.94,606.95,1107.38,1128.31,1029.74,517.13,878.05,Prague - Vokovice,50.09403,14.33444,,,,,,,,
"CZK 16,000","CZK 4,500","CZK 30,000",740263,2+kk,9/13/2022,2,Brick,Distance,56 m²,Partly,Very good,Personal,G,,,1.0,,1.0,508.94,939.25,148.17,918.31,746.83,665.98,438.81,535.34,1344.59,196.4,Prague - Střížkov,50.13048,14.49656,10 to 30 years,Standard,1.0,,,,,
"CZK 11,453","CZK 3,817",,741530,4+kk,11/20/2022,-1,,,60 m²,Fully furnished,,,,,,,,,128.07,590.39,54.39,441.02,27.54,567.88,151.31,255.51,710.79,142.74,"Masarykovo nábřeží, Prague - Nové Město",50.0778219,14.4145055,,,,,,,,
"CZK 12,000","CZK 2,000","CZK 28,000",740680,1 bedroom,11/1/2022,3,Prefab concrete,,37 m²,Partly,Very good,Personal,G,,,1.0,,1.0,176.89,533.1,217.69,224.17,0.26,288.29,208.28,312.97,152.44,171.63,Prague - Háje,50.03194,14.52646,,,,,,,,
"CZK 27,500",CZK 810,"CZK 45,000",66020,3+1,11/1/2022,4,Brick,Gas boiler,92 m²,Partly,Very good,Personal,D,Complete,,,,,86.41,247.65,127.67,383.86,45.89,297.15,239.35,336.95,241.86,302.77,"Roháčova, Prague - Žižkov",50.0866182,14.4531338,Up to 10 years,Luxurious,1.0,,,,,
"CZK 15,000","CZK 2,000","CZK 15,000",741507,2+kk,9/26/2022,2,Brick,,48 m²,Partly,Very good,,G,,,,,,57.66,230.73,33.91,32.25,119.24,118.29,365.43,324.54,367.15,309.18,Prague - Holešovice,50.10343,14.45016,,,,,,,,
"CZK 18,000","CZK 3,024","CZK 54,000",741504,3+kk,9/20/2022,3,Prefab concrete,,63 m²,Fully furnished,Very good,,G,,,,1.0,,92.57,869.75,99.09,849.12,853.81,873.8,1049.84,855.48,856.07,92.88,Prague - Hostivař,50.05783,14.52035,,,1.0,1.0,,,,
"CZK 14,000","CZK 3,600","CZK 14,000",505470,2+kk,10/1/2022,7,Prefab concrete,Distance,43 m²,Partly,Very good,Personal,D,Bathroom unit,,,,1.0,97.07,518.62,175.18,614.86,171.34,492.91,345.02,334.45,1585.25,88.37,"Famfulíkova, Prague - Kobylisy",50.1318409,14.4711883,,,,,,,,
"CZK 11,500","CZK 3,400","CZK 20,000",741499,Studio,10/1/2022,2,Brick,,22 m²,Fully furnished,Very good,,G,,,,,1.0,108.55,960.74,68.98,495.24,64.56,615.85,428.46,270.74,198.18,176.96,Prague - Libeň,50.10703,14.48804,,,,,,,,
"CZK 24,000","CZK 5,500","CZK 30,000",741490,3+kk,10/15/2022,1,Brick,,72 m²,Fully furnished,Very good,Personal,B,,1.0,,,1.0,120.16,1518.05,279.89,1795.03,346.4,335.48,923.36,383.22,1061.86,74.96,Prague - Hostivař,50.04346,14.51534,,,,,1.0,1.0,,
"CZK 12,800","CZK 4,500","CZK 12,800",741485,1 bedroom,10/1/2022,1,Brick,,42 m²,Partly,Good,Personal,G,,,1.0,1.0,,278.8,1090.64,515.54,1213.83,149.7,363.72,501.15,471.68,569.61,415.42,Prague - Modřany,50.00143,14.40646,,,,,1.0,,,
"CZK 21,000","CZK 2,800","CZK 20,000",740660,Studio,10/17/2022,,Prefab concrete,,39 m²,Fully furnished,Very good,,B,,,,,,165.04,693.97,218.31,198.96,208.44,199.93,410.35,701.37,475.65,42.79,Prague - Libeň,50.10525,14.47206,,,,,1.0,,,
"CZK 26,000",CZK 0,"CZK 50,000",476207,2 bedroom,11/1/2022,4,Brick,Gas boiler,80 m²,Fully furnished,,Personal,,Interior,1.0,1.0,1.0,,127.73,886.45,36.32,399.9,121.48,332.84,596.5,641.14,459.0,269.03,"Nezamyslova, Prague - Nusle",50.0648387,14.4266126,Over 50 years,Standard,,,,,,
"CZK 18,600","CZK 1,200","CZK 35,000",741483,Studio,9/28/2022,2,Brick,,33 m²,Fully furnished,New-build,,G,,,,1.0,1.0,80.65,238.96,84.77,435.88,128.0,173.46,271.76,456.59,155.21,258.11,Prague - Žižkov,50.08852,14.4588,,,,,,,1.0,
"CZK 11,000","CZK 2,000","CZK 22,000",741482,1 bedroom,9/20/2022,,Prefab concrete,,42 m²,Fully furnished,Good,,C,,,,,,308.95,359.86,262.0,352.52,306.94,322.14,394.69,362.51,672.38,207.31,Prague - Braník,50.02418,14.43047,,,1.0,1.0,,,,
"CZK 17,250","CZK 5,750",,741484,3+kk,10/15/2022,2,,,90 m²,Fully furnished,,,,,,,,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,
"CZK 19,000","CZK 4,500","CZK 24,000",451075,2+kk,9/19/2022,3,Prefab concrete,Central,64 m²,Partly,Very good,Personal,C,,1.0,1.0,,1.0,243.38,716.96,239.91,736.94,566.83,923.56,679.42,482.51,711.02,108.1,"Univerzitní, Prague - Malešice",50.0868201,14.5026904,,Standard,,,,1.0,,
"CZK 19,000","CZK 5,000","CZK 38,000",741475,2+kk,9/20/2022,3,Brick,,36 m²,Fully furnished,New-build,,G,Complete,,,,,36.99,1301.68,62.77,1018.79,48.27,320.54,535.7,256.55,703.58,338.89,Prague - Strašnice,50.06681,14.49572,,,,,,,1.0,
"CZK 17,000","CZK 6,000","CZK 34,000",370709,2+kk,9/18/2022,3,Brick,,50 m²,Partly,,Personal,,Interior,,,1.0,,141.16,995.49,358.49,777.38,233.64,745.64,490.05,464.65,643.69,240.13,"Pod lázní, Prague - Nusle",50.0583632,14.4426184,,,,,,,,
"CZK 10,000",CZK 450,"CZK 10,000",666928,1 bedroom,10/1/2022,1,Brick,,50 m²,Partly,Good,Personal,G,,,,,,180.36,656.28,125.61,175.11,156.44,751.13,238.68,777.51,476.82,214.86,"Na Rozcestí, Prague - Libeň",50.10422,14.48492,,,,,,,,
"CZK 25,988","CZK 8,662",,741471,2 bedroom,11/1/2022,1,,,60 m²,Fully furnished,,,,,,,,,250.51,417.46,211.46,417.21,207.64,462.73,364.17,360.99,525.54,550.17,"Lublaňská, Prague - Vinohrady",50.0710848,14.4324122,,,,,,,,
"CZK 21,000","CZK 4,000","CZK 21,000",741415,2+kk,10/1/2022,2,Brick,Electric boiler,53 m²,Fully furnished,Very good,,G,Complete,,,1.0,1.0,282.27,415.4,110.26,393.02,136.66,350.07,173.52,581.84,583.6,305.74,Prague - Krč,50.0465,14.44259,,,1.0,,,,,
"CZK 23,000","CZK 1,200","CZK 30,000",735206,2+kk,9/7/2022,4,Brick,,72 m²,Partly,Very good,Personal,E,,,,,1.0,23.95,430.92,31.85,121.68,7.68,296.01,127.87,292.46,595.72,409.34,"Myslíkova, Prague - Nové Město",50.078159371219,14.418303124476,,Standard,,,,,,
"CZK 20,000","CZK 2,500","CZK 30,000",551612,3+kk,10/1/2022,4,Prefab concrete,Central,70 m²,Partly,,Cooperative,G,,1.0,,1.0,1.0,319.89,652.96,443.08,513.9,243.88,560.18,459.19,556.56,566.03,398.81,"Pod Jarovem, Prague - Žižkov",50.0896368,14.4890174,,,1.0,,,,,
"CZK 16,500","CZK 3,800","CZK 20,000",741470,2+kk,10/2/2022,7,Prefab concrete,Central,43 m²,Fully furnished,Good,Personal,G,,,,1.0,1.0,120.24,762.63,173.06,876.04,133.96,788.2,284.55,301.39,1523.94,191.53,Prague - Prosek,50.12374,14.50671,,,,,,,,
"CZK 12,000","CZK 4,600","CZK 12,000",643580,1 bedroom,9/21/2022,2,Brick,,40 m²,Partly,Very good,Personal,G,,,,,,248.95,652.1,226.07,738.89,45.49,203.28,202.2,542.23,798.97,466.78,"Radimova, Prague - Břevnov",50.087549,14.368275,,,,,,,,
"CZK 14,000","CZK 3,500","CZK 14,000",640147,2+kk,11/1/2022,12,Prefab concrete,Central,45 m²,Partly,Very good,Cooperative,G,Interior,,,1.0,1.0,318.01,805.9,364.47,320.54,374.9,376.06,207.06,417.76,410.05,239.97,"Neustupného, Prague - Stodůlky",50.043968,14.322204,,,,,,,,
"CZK 10,000","CZK 4,000","CZK 20,000",343623,1 bedroom,9/20/2022,3,Brick,Distance,30 m²,Partly,,Cooperative,,,,,,,256.4,554.34,102.91,716.47,396.66,638.24,346.8,348.11,361.66,159.51,"Stallichova, Prague - Krč",50.0447151,14.4378787,,,,,,,,
"CZK 18,800","CZK 3,800","CZK 25,000",639290,2+kk,9/21/2022,2,Brick,Distance,60 m²,Fully furnished,New-build,Personal,B,,1.0,,1.0,1.0,318.86,907.55,571.54,776.51,696.14,364.13,465.15,635.61,1265.51,374.84,"Modenská, Prague - Horní Měcholupy",50.040147,14.568712,,Luxurious,,,,1.0,,
"CZK 12,500","CZK 2,800","CZK 25,000",741464,2+kk,9/20/2022,5,Brick,,52 m²,Partly,Very good,,G,,1.0,,1.0,,104.9,554.67,92.21,567.36,232.06,250.5,285.38,907.32,237.44,213.23,Prague - Holešovice,50.10767,14.44587,,,,,,,,
"CZK 25,000","CZK 6,000","CZK 25,000",741465,2+kk,11/1/2022,1,Low-energy,,70 m²,Fully furnished,New-build,,A,,,1.0,1.0,,234.45,481.34,1852.52,2558.13,550.48,1058.04,457.59,2096.25,2334.65,677.14,Prague - Dolní Počernice,50.09108,14.58167,,,,1.0,1.0,1.0,1.0,
"CZK 62,100","CZK 20,700",,741462,5+kk,10/1/2022,6,,,219 m²,Fully furnished,,,,,1.0,,,1.0,122.69,292.83,150.02,222.27,31.53,246.25,406.08,512.95,283.22,254.06,"Křižíkova a, Prague - Karlín",50.0928722,14.4500782,,,,,1.0,1.0,,
"CZK 16,000","CZK 6,500","CZK 32,000",741452,2 bedroom,10/17/2022,5,Brick,,55 m²,Fully furnished,Very good,,G,,,,,1.0,99.37,66.41,234.13,429.91,437.83,196.65,370.38,196.14,784.4,87.09,Prague - Veleslavín,50.08999,14.34875,,,,,,,,
"CZK 14,000",CZK 780,"CZK 14,000",247929,2+kk,10/1/2022,4,Brick,Gas boiler,55 m²,Unfurnished,Very good,Personal,,,,,,,54.24,739.06,81.02,442.87,82.86,482.48,631.45,629.99,665.63,496.21,"Rostislavova, Prague - Nusle",50.0620588,14.4463563,,,,,,,,
"CZK 24,999","CZK 5,000","CZK 30,000",741458,Studio,9/20/2022,2,Brick,Central,52 m²,Fully furnished,New-build,,G,,,,1.0,1.0,143.97,581.34,108.01,244.39,79.87,137.16,196.81,220.67,520.19,230.72,Prague - Košíře,50.06885,14.36944,,,,,1.0,,1.0,
"CZK 14,000","CZK 3,000","CZK 30,000",731675,Studio,9/20/2022,4,Brick,,34 m²,Fully furnished,Very good,,G,,,1.0,1.0,1.0,159.96,318.63,144.94,410.41,117.64,270.71,737.06,831.3,943.97,238.54,Prague - Uhříněves,50.03064,14.59533,,,1.0,,,,,
"CZK 9,500","CZK 2,500","CZK 12,000",660715,Studio,11/1/2022,15,Prefab concrete,Central,24 m²,Partly,Very good,Personal,D,,,,,1.0,255.14,469.14,256.58,281.03,241.04,441.16,162.89,270.73,894.98,198.02,"Kyselova, Prague - Kobylisy",50.12683,14.46463,,,,,,,,
"CZK 11,000","CZK 3,500","CZK 10,000",179532,Studio,9/20/2022,2,Prefab concrete,Distance,30 m²,Partly,Good,Personal,,Complete,,1.0,1.0,1.0,112.65,580.91,605.69,1181.26,377.34,619.92,283.58,421.3,384.47,189.27,"Kunínova, Prague - Chodov",50.0369822,14.4998086,,Standard,,,,,,
"CZK 14,500","CZK 5,000","CZK 20,000",741440,3+1,9/20/2022,6,Prefab concrete,,63 m²,Fully furnished,Very good,,G,,,,,1.0,254.54,583.97,132.9,522.35,490.74,200.21,403.59,222.38,617.32,93.88,Prague - Prosek,50.12147,14.49138,,,1.0,1.0,,,,
"CZK 11,538","CZK 2,709","CZK 30,000",741439,2+kk,9/20/2022,8,Prefab concrete,,43 m²,Partly,Good,,C,,,,,1.0,356.89,354.06,123.45,313.84,139.11,249.02,351.74,90.9,297.26,116.56,Prague - Háje,50.03315,14.53096,,,,,,,,
"CZK 10,000","CZK 2,000","CZK 10,000",375433,1 bedroom,9/20/2022,1,Brick,Other,35 m²,Partly,,Personal,,,,,,,3.98,2025.89,1742.12,4614.44,266.11,2076.1,2165.23,1680.84,2202.84,287.89,"Bohdanečská, Prague - Vinoř",50.14761,14.5605063,,,,,,,,
"CZK 18,500","CZK 5,000","CZK 20,000",741425,2 bedroom,9/20/2022,2,Brick,,54 m²,Fully furnished,Very good,,D,,1.0,1.0,1.0,1.0,248.51,308.59,152.64,304.59,66.05,214.83,437.25,665.59,223.73,364.4,Prague - Holešovice,50.10604,14.44736,,,,,,1.0,,
"CZK 10,000","CZK 3,000","CZK 10,000",741424,Studio,9/20/2022,2,Brick,,26 m²,Partly,Good,,G,,,,1.0,,167.26,549.58,78.18,622.55,140.9,630.94,384.32,257.55,209.3,196.37,Prague - Michle,50.0467,14.46035,,,,,,,,
"CZK 13,500","CZK 3,900","CZK 17,400",672753,1 bedroom,9/21/2022,2,Brick,,35 m²,Unfurnished,Very good,Personal,C,Interior,,,,,140.83,618.68,155.87,210.92,205.44,136.81,449.51,954.55,752.29,262.81,"Zbynická, Prague - Radotín",49.98329,14.36373,,,,,,,,
"CZK 19,000","CZK 4,000","CZK 23,000",715217,2+kk,5/1/2022,1,Brick,,37 m²,Partly,Very good,Personal,B,,1.0,,,,124.02,1124.46,421.65,753.55,655.3,1203.3,1300.79,1112.93,1125.9,259.97,"Špačkova, Prague - Suchdol",50.13348,14.36849,,Standard,,,,1.0,,
"CZK 14,990","CZK 4,793","CZK 19,783",741411,2+kk,9/21/2022,7,Prefab concrete,,63 m²,Fully furnished,Very good,Personal,C,,,,1.0,1.0,86.4,955.05,138.72,956.14,315.93,277.37,510.58,227.96,243.49,105.06,"Malkovského, Prague - Letňany",50.14192027777,14.50722222222,,,1.0,,,,,"CZK 19,783"
"CZK 24,000",CZK 0,"CZK 24,000",573658,2+kk,9/6/2019,1,Brick,Central,45 m²,Fully furnished,Very good,Personal,C,,,1.0,1.0,1.0,100.52,2055.53,250.95,1942.2,442.95,2000.38,424.73,416.06,288.31,364.82,"Hlubočepská, Prague - Hlubočepy",50.0412007,14.396962,,Luxurious,,,1.0,1.0,,
"CZK 16,000","CZK 2,700","CZK 31,000",681206,2+kk,10/1/2022,2,Brick,Electric boiler,40 m²,Fully furnished,Very good,Cooperative,G,Complete,,,1.0,,221.15,1016.78,164.77,826.73,71.24,370.74,300.11,376.08,102.44,250.81,"Heleny Malířové, Prague - Břevnov",50.08433,14.37791,,,,,,,,
"CZK 12,500","CZK 4,500","CZK 20,000",529892,1 bedroom,9/29/2022,3,Brick,Central,39 m²,Partly,Very good,Personal,C,Complete,,1.0,1.0,,255.27,1028.87,319.89,1053.27,311.64,495.83,715.17,521.33,473.07,403.17,Prague - Smíchov,50.0599289,14.3998514,Up to 10 years,Standard,,,,,,
"CZK 28,000","CZK 5,000","CZK 40,000",731753,3+kk,10/1/2022,9,Prefab concrete,Central,62 m²,Partly,New-build,Personal,B,Complete,,,,1.0,282.04,976.86,137.68,1624.39,519.38,742.9,629.66,1257.83,99.38,73.97,Prague - Krč,50.02579,14.4531,30 - 50 years,Luxurious,1.0,,,,,
"CZK 18,852","CZK 5,148","CZK 24,000",497125,2+kk,1/24/2021,1,Brick,Central,55 m²,Fully furnished,New-build,Personal,,,1.0,1.0,,1.0,289.31,1030.71,185.29,875.56,580.15,1000.2,374.44,2240.15,1249.45,201.42,"Sazovická, Prague - Zličín",50.0570157,14.2807456,Up to 10 years,,,,,,1.0,
"CZK 18,500","CZK 3,000","CZK 30,000",741386,2 bedroom,10/1/2022,5,Brick,,51 m²,Partly,Very good,,F,,,,1.0,1.0,204.09,737.2,198.38,256.02,86.15,431.2,333.2,707.5,536.17,207.79,Prague - Libeň,50.10449,14.48597,,,,,,,,
"CZK 22,000","CZK 2,500","CZK 30,000",455646,3+kk,9/25/2022,3,Brick,,74 m²,Fully furnished,Very good,Personal,,Complete,1.0,1.0,,,218.07,656.94,172.01,360.75,224.77,400.36,555.59,515.26,649.72,671.34,Prague - Nusle,50.063452704019,14.4460371,,,,,,1.0,,
"CZK 28,000","CZK 3,000","CZK 28,000",740574,2+kk,10/1/2022,2,Brick,,50 m²,Fully furnished,New-build,,G,,,,,1.0,181.84,271.59,65.24,146.03,134.72,180.18,306.17,594.3,353.1,492.87,Prague - Holešovice,50.09897,14.42431,,,,,,,,
"CZK 60,000","CZK 15,000","CZK 150,000",642265,3+kk,10/1/2022,1,Brick,Gas boiler,250 m²,Partly,Very good,Personal,G,,1.0,1.0,1.0,1.0,69.39,153.79,118.64,136.76,19.93,194.52,255.5,381.44,458.31,317.05,"Dělnická, Prague - Holešovice",50.103053,14.448298,10 to 30 years,Luxurious,,,1.0,1.0,,
"CZK 10,500",CZK 800,"CZK 11,500",705140,Studio,2/4/2022,1,Brick,,38 m²,Partly,Very good,Personal,G,,,,,,131.41,674.21,149.18,378.01,151.47,417.63,572.85,637.5,734.7,564.82,"Rostislavova, Prague - Nusle",50.06256,14.44555,,,,,,,,
"CZK 19,400","CZK 2,600","CZK 22,000",107622,3+1,10/1/2022,5,Prefab concrete,Distance,75 m²,Unfurnished,,Cooperative,,,,,1.0,1.0,388.42,791.87,343.93,726.7,567.22,739.07,350.84,172.63,2057.36,277.82,"Krynická, Prague - Troja",50.1269242,14.4089477,,,1.0,,,,,
"CZK 20,000","CZK 5,000","CZK 25,000",741381,2+kk,10/1/2022,5,Brick,,48 m²,Fully furnished,Very good,,B,,,1.0,,1.0,210.57,816.75,165.33,593.4,87.93,591.74,406.34,321.17,560.22,256.52,Prague - Vršovice,50.07173,14.46174,,,,,,,,
"CZK 25,000","CZK 3,000","CZK 50,000",740562,2+kk,10/1/2022,6,Brick,,58 m²,Fully furnished,New-build,,C,,,1.0,1.0,1.0,283.25,286.13,169.89,496.56,193.42,648.6,413.97,211.22,129.23,129.61,Prague - Libeň,50.1022,14.47913,Up to 10 years,Luxurious,1.0,,,1.0,1.0,
"CZK 16,240","CZK 4,760","CZK 21,000",598253,3+kk,9/1/2022,2,Brick,,62 m²,Fully furnished,Good,Cooperative,E,,1.0,,1.0,,43.9,1481.21,321.11,1214.55,271.5,1639.89,581.9,182.8,842.09,733.21,"Jeremenkova, Prague - Podolí",50.045654,14.419161,,,,,,,,
"CZK 21,000","CZK 3,500","CZK 30,000",741376,2 bedroom,10/15/2022,2,Other,,55 m²,Partly,Very good,,G,,1.0,,,,193.62,886.4,77.93,605.06,75.32,329.73,269.13,190.1,154.87,143.99,Prague - Libeň,50.10773,14.49046,,,,,,,,
"CZK 20,900","CZK 4,000","CZK 14,900",628098,2 bedroom,9/21/2022,2,Brick,,59 m²,Partly,Good,Personal,A,,1.0,,,,158.41,417.83,60.94,299.04,87.78,438.61,193.04,108.24,437.9,582.05,"Krásova, Prague - Žižkov",50.085524,14.446418,Up to 10 years,Standard,,,,,,
"CZK 7,900","CZK 1,400","CZK 15,000",558336,Small studio,10/1/2022,1,Brick,Central,14 m²,Partly,Very good,Personal,C,Interior,,,,,137.43,960.26,459.79,1193.17,451.54,510.67,855.07,661.23,612.97,315.4,"Pod Kesnerkou, Prague - Smíchov",50.0594281,14.4017868,Up to 10 years,Standard,,,,,,
"CZK 23,000","CZK 5,000","CZK 30,000",741363,2 bedroom,12/1/2022,1,Brick,,78 m²,Fully furnished,Very good,,G,,1.0,,,1.0,363.03,613.78,183.43,468.29,373.91,465.96,618.59,558.2,798.51,264.5,Prague - Vinohrady,50.075,14.48475,,,,,,,,
"CZK 19,000","CZK 3,200","CZK 19,000",740553,3+kk,9/15/2022,1,Brick,,60 m²,Partly,Very good,,A,,1.0,1.0,1.0,,201.76,826.62,427.74,342.19,309.48,311.96,533.47,800.7,639.18,121.43,Prague - Prosek,50.11773,14.5037,,,,1.0,,,,
"CZK 89,250","CZK 29,750",,732122,4+kk,11/1/2022,7,,,150 m²,Fully furnished,,,,,1.0,,,1.0,151.96,732.59,114.81,122.42,123.15,23.69,324.18,773.09,503.18,376.18,"Jungmannova, Prague - Nové Město",50.0805317,14.4221981,,,,,1.0,,,
"CZK 60,000","CZK 20,000",,717693,2+kk,10/2/2022,3,,,,Fully furnished,,,,,,,,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,,,,,,,
"CZK 36,450","CZK 12,150",,726075,3+kk,10/10/2022,6,,,82 m²,Fully furnished,,,,,,,,1.0,101.2,551.63,76.94,167.66,45.43,94.55,322.6,504.78,539.56,607.69,"Rumunská, Prague - Vinohrady",50.0739629,14.4309041,,,,,,,,
"CZK 37,125","CZK 12,375",,726070,2 bedroom,10/30/2022,2,,,90 m²,Fully furnished,,,,,,,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,
"CZK 32,625","CZK 10,875",,728257,3+kk,9/29/2022,2,,,80 m²,Fully furnished,,,,,,,,,156.94,402.05,153.34,284.97,151.52,248.16,393.35,447.14,193.37,153.39,"Anežská, Prague - Staré Město",50.0920126,14.4239059,,,,,,,,
"CZK 24,938","CZK 8,312",,732307,1 bedroom,10/4/2022,2,,,16 m²,Fully furnished,,,,,,,,,254.83,288.07,110.12,571.95,81.97,421.88,80.01,71.59,804.26,588.21,"Americká, Prague - Vinohrady",50.0721161,14.4387295,,,,,,,,
"CZK 25,808","CZK 8,602",,725069,2 bedroom,10/29/2022,5,,,54 m²,Fully furnished,,,,,,,,,221.57,827.75,176.34,604.4,98.94,602.74,417.35,332.18,571.22,245.6,"Bulharská, Prague - Vršovice",50.0720218,14.4618189,,,,,,,,
"CZK 34,500","CZK 11,500",,728709,2+kk,10/8/2022,6,,,45 m²,Fully furnished,,,,,,,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,
"CZK 33,750","CZK 11,250",,726019,2+kk,10/4/2022,6,,,75 m²,Fully furnished,,,,,1.0,,,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,1.0,,,
"CZK 45,000","CZK 15,000",,723086,2+kk,10/20/2022,4,,,70 m²,Fully furnished,,,,,,,,1.0,285.3,547.87,69.97,206.93,9.84,222.16,245.36,617.77,369.53,523.86,"Ve Smečkách, Prague - Nové Město",50.0795975,14.4273504,,,,,,,,
"CZK 21,000","CZK 7,000","CZK 30,000",312846,3+1,10/15/2022,4,Brick,Gas boiler,78 m²,Partly,Very good,Personal,C,,,,,1.0,224.41,326.27,369.08,535.55,344.51,441.14,189.51,793.2,1960.26,232.34,"U Kříže, Prague - Jinonice",50.0539125,14.3681254,10 to 30 years,Standard,,,,,,
"CZK 17,000","CZK 3,400","CZK 34,000",713830,2+kk,11/1/2022,5,Prefab concrete,Central,43 m²,Fully furnished,Very good,Personal,G,Complete,,,1.0,1.0,322.21,364.76,375.03,363.57,348.82,368.8,843.52,786.4,618.84,59.07,"Strašnická, Prague - Hostivař",50.05542,14.51693,Up to 10 years,Standard,,,,,,
"CZK 14,950","CZK 3,900","CZK 17,950",374295,2 bedroom,10/1/2022,1,Brick,,70 m²,Fully furnished,Very good,Personal,,Complete,,,,,245.31,666.9,85.0,728.73,113.87,740.86,235.39,270.0,355.85,255.03,"Na úlehli, Prague - Michle",50.0464847,14.4619804,Over 50 years,Luxurious,,,,,,
"CZK 9,980","CZK 2,519","CZK 24,998",741353,Studio,10/3/2022,2,Brick,,22 m²,Partly,Very good,,B,,,,,1.0,193.25,1008.45,25.5,662.04,61.11,397.89,146.88,259.24,306.97,12.29,Prague - Libeň,50.10673,14.49094,,,,,,,,
"CZK 63,000","CZK 21,000",,735517,3+kk,11/7/2022,6,,,110 m²,Fully furnished,,,,,,,,1.0,30.08,409.78,41.21,139.22,4.79,323.92,155.78,264.84,623.64,381.72,"Myslíkova, Prague - Nové Město",50.0781479,14.4179311,,,,,,,,
"CZK 20,000","CZK 5,000","CZK 25,000",741338,3+1,10/1/2022,4,Prefab concrete,,76 m²,Partly,Very good,,G,,,,1.0,1.0,427.54,663.64,553.72,596.23,611.14,920.54,579.7,265.39,828.89,353.77,Prague - Háje,50.03178,14.53868,,,1.0,,,,,
"CZK 16,000","CZK 2,500","CZK 40,000",741053,2+kk,9/18/2022,1,Other,,75 m²,Partly,Very good,,G,,,1.0,,,49.97,4883.86,2158.03,6112.9,2560.28,5549.15,2371.8,2363.9,3226.12,2297.08,Prague - Radotín,49.99739,14.32149,,,,,,,,
"CZK 19,000","CZK 5,000","CZK 38,000",733267,3+1,9/19/2022,6,Prefab concrete,,68 m²,Partly,Very good,Personal,C,,,1.0,1.0,1.0,224.08,922.37,434.67,1592.85,284.95,264.63,705.34,1143.7,773.85,157.27,Prague - Horní Počernice,50.11099,14.6042,,,1.0,,,,,
"CZK 17,900",CZK 0,"CZK 40,000",741324,2+kk,9/20/2022,5,Brick,,54 m²,Partly,Good,,E,,,,1.0,1.0,276.93,764.54,188.51,176.26,108.39,338.32,641.05,664.48,609.93,325.62,Prague - Žižkov,50.08863,14.46576,,,1.0,,,,,
"CZK 17,000","CZK 5,000","CZK 34,000",741325,3+kk,12/1/2022,2,Brick,,65 m²,Unfurnished,Very good,,G,,,,,,508.78,1061.4,773.42,1153.18,946.18,1013.48,1142.38,915.25,1686.74,966.96,Prague - Uhříněves,50.03464,14.58624,,,,,,,,
"CZK 11,650",CZK 0,"CZK 11,650",262439,1 bedroom,9/22/2022,4,Brick,Electric boiler,42 m²,Partly,,Personal,F,,,,,,199.08,871.2,156.11,575.85,182.29,455.67,295.58,477.46,968.34,398.18,"Grafická, Prague - Smíchov",50.0730669,14.394531,,,,,,,,
"CZK 14,000","CZK 3,000","CZK 34,000",741045,Studio,9/18/2022,1,Low-energy,,33 m²,Fully furnished,New-build,,A,,,,,1.0,471.54,1704.83,539.58,1476.26,618.79,1640.83,1382.82,1589.72,710.99,199.76,Prague - Vysočany,50.1129,14.51374,,,,,1.0,1.0,1.0,
"CZK 39,971","CZK 13,324",,741321,2 bedroom,11/19/2022,1,,,56 m²,Fully furnished,,,,,1.0,,,,323.47,356.02,19.06,334.55,43.47,635.94,360.96,349.33,865.49,201.5,"U Lužického semináře, Prague - Malá Strana",50.0877117,14.4091678,,,,,1.0,,,
"CZK 15,000","CZK 2,400","CZK 18,000",535601,Studio,10/1/2022,2,Brick,Distance,32 m²,Fully furnished,New-build,Personal,B,,1.0,,,1.0,434.1,1219.68,725.34,3829.56,414.97,668.78,1059.56,3252.21,1183.89,372.97,"Honzíkova, Prague - Dolní Měcholupy",50.0670162,14.5542436,Up to 10 years,Standard,,,,,1.0,
