Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Administrative fee,Floor space,Fully furnished,Condition,Ownership,EPC,Cellar,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Reconstruction,Heating,Parking,Balcony,Terrace,New-build,Enclosed balcony,Designe,Garage,Plot type,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 16,000","CZK 2,600","CZK 18,600",724932,Studio,7/15/2022,1,Brick,,91 m²,Partly,New-build,,B,,,410.17,1507.76,969.35,1170.81,576.77,1063.58,847.57,749.16,600.77,554.81,Prague - Košíře,50.06701,14.35662,,,,,,1.0,1.0,,,,,,
"CZK 21,000",CZK 700,"CZK 21,000",534372,2+kk,8/1/2022,4,Brick,,66 m²,Unfurnished,,Personal,B,,,108.23,391.06,244.03,205.75,87.05,83.9,290.48,222.06,529.85,194.84,"Vinohradská, Prague - Vinohrady",50.0772932,14.4476518,Up to 10 years,Complete,Gas boiler,,,,,,,,,,
"CZK 22,000","CZK 3,325","CZK 25,325",437084,2+kk,7/1/2022,3,Brick,,50 m²,Fully furnished,,Personal,,,1.0,77.44,178.68,44.71,148.37,33.33,189.5,186.99,355.36,533.72,363.06,"Elišky Peškové, Prague - Smíchov",50.0769889,14.4053328,Up to 10 years,Complete,Central,,,,1.0,,Standard,,,,
"CZK 18,500","CZK 5,500","CZK 15,000",553593,2+kk,8/1/2022,3,Brick,,57 m²,Fully furnished,,Personal,B,,1.0,215.94,993.77,80.94,918.87,517.66,365.53,493.34,369.92,1048.96,101.24,"Makedonská, Prague - Střížkov",50.1294577,14.4931299,Up to 10 years,,Distance,1.0,,,1.0,1.0,,1.0,,,
"CZK 11,800","CZK 3,000","CZK 14,800",724928,Studio,8/10/2022,1,Brick,,40 m²,Partly,Very good,,C,,,251.06,654.09,359.73,2070.87,303.68,349.79,659.69,540.42,1188.94,213.85,Prague - Braník,50.03352,14.41808,,,,,1.0,,,,,,,,
"CZK 14,500","CZK 2,400","CZK 18,000",708120,Studio,6/1/2022,3,Brick,,34 m²,Fully furnished,New-build,Personal,B,1.0,1.0,438.2,569.76,1064.73,1148.72,283.94,685.94,975.18,1009.69,199.35,240.93,"Miroslava Hajna, Prague - Letňany",50.13991,14.52038,,,,1.0,1.0,,,,,1.0,,,
"CZK 18,881","CZK 6,294",,717606,Studio,8/31/2022,1,,,28 m²,Fully furnished,,,,,,192.2,792.19,136.81,285.46,92.76,475.4,242.58,336.79,507.76,82.3,"U Zeměpisného ústavu, Prague - Bubeneč",50.1033901,14.4020568,,,,,,,,,,,,,
"CZK 20,000","CZK 5,000","CZK 25,000",277759,3+1,7/10/2022,,Brick,,67 m²,Partly,,Cooperative,,,,226.8,113.17,247.94,447.22,218.41,544.64,261.78,360.15,642.37,272.33,"U Demartinky, Prague - Smíchov",50.0708952,14.3761637,,,Gas boiler,,,,,,,,,,
"CZK 24,990","CZK 4,500","CZK 50,000",705367,3+kk,7/18/2022,7,Brick,,75 m²,Fully furnished,Very good,Personal,G,,1.0,164.03,284.11,153.59,500.31,135.88,314.59,59.78,59.78,255.77,74.07,"Karpatská, Prague - Vršovice",50.0697,14.47606,Up to 10 years,,Gas boiler,,,,,,Luxurious,,,,
"CZK 15,900","CZK 2,500",CZK 0,724653,2+kk,10/1/2022,3,Brick,,45 m²,Partly,New-build,Personal,B,1.0,1.0,101.97,622.17,257.21,412.56,238.41,483.85,237.72,57.55,550.69,311.67,Prague - Žižkov,50.08781,14.4725,Up to 10 years,Complete,Central,1.0,,,1.0,,Luxurious,,,,
"CZK 17,000","CZK 2,000","CZK 30,000",724188,2+kk,7/8/2022,3,Prefab concrete,,45 m²,Partly,Very good,,G,1.0,1.0,186.52,423.85,343.0,429.49,433.33,333.44,313.13,41.58,1083.79,72.24,Prague - Stodůlky,50.05362,14.34094,,,,,,,,,,,,,
"CZK 57,000","CZK 8,830","CZK 65,830",720855,4+kk,6/2/2022,3,Brick,,110 m²,Unfurnished,Very good,,G,1.0,1.0,91.01,254.74,137.58,110.13,57.48,149.86,319.23,477.31,263.02,386.4,Prague - Nové Město,50.08676,14.43233,,,,1.0,1.0,,,,,,,,
"CZK 22,000","CZK 5,500","CZK 27,500",523811,3+1,8/8/2022,6,Prefab concrete,,76 m²,Partly,,Personal,C,,1.0,84.16,913.24,338.92,836.3,147.07,434.17,307.37,554.35,1065.21,125.09,Prague - Řepy,50.0707275,14.3064521,,Complete,Central,,,,,1.0,Standard,,,,
"CZK 19,500","CZK 4,000","CZK 20,000",724918,2+kk,7/7/2022,8,Other,,50 m²,Partly,New-build,,G,1.0,1.0,213.08,1860.93,1352.72,1853.59,1217.54,1311.21,554.89,1508.78,1431.4,123.88,Prague - Hodkovičky,50.02114,14.41408,,,,,,1.0,1.0,,,,,,
"CZK 33,750","CZK 11,250",,724080,1 bedroom,8/28/2022,4,,,43 m²,Fully furnished,,,,,1.0,276.64,299.92,82.85,597.17,63.3,447.09,45.77,62.13,794.8,565.99,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",,719175,2 bedroom,7/17/2022,-1,,,50 m²,Fully furnished,,,,,1.0,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,
"CZK 18,060","CZK 6,020",,724517,1 bedroom,9/1/2022,1,,,50 m²,Fully furnished,,,,,,205.31,1124.89,579.04,1117.54,553.77,629.21,687.34,826.77,1417.7,569.07,"Na Výspě, Prague - Hodkovičky",50.0236328,14.420109,,,,,,,,,,,,,
"CZK 57,000","CZK 19,000",,724522,3+1,9/1/2022,3,,,130 m²,Fully furnished,,,,,,293.94,358.82,65.34,231.82,29.61,399.45,202.79,623.36,368.2,458.02,"Michalská, Prague - Staré Město",50.0859057,14.4200254,,,,,,,,,,1.0,,,
"CZK 19,286","CZK 6,428",,724519,2+kk,9/1/2022,6,,,40 m²,Fully furnished,,,,,,275.72,613.97,142.96,237.63,75.92,333.81,397.97,134.84,451.34,420.6,"Na Poříčním právu, Prague - Nové Město",50.0712667,14.4160344,,,,,,,,,,,,,
"CZK 42,000","CZK 14,000",,724430,2+kk,8/31/2022,6,,,70 m²,Fully furnished,,,,,1.0,131.02,427.0,167.64,222.78,153.5,424.47,453.78,447.06,416.6,569.82,"Rubešova, Prague - Vinohrady",50.0782991,14.4323831,,,,,,,,,,1.0,,,
"CZK 29,850","CZK 9,950",,724078,2+kk,8/28/2022,3,,,50 m²,Fully furnished,,,,,1.0,75.01,890.63,40.68,622.44,47.2,145.83,371.43,242.4,512.42,352.71,"Kubelíkova, Prague - Žižkov",50.0815843,14.4461973,,,,,,,,,,,,,
