Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Condition,Ownership,EPC,Heating,Terrace,Cellar,New-build,Parking,Garage,Reconstruction,Sklep 2 m²,Balcony,Lodžie 7.5 m²,Designe,Balkón 6 m²,Sklep 34 m²,Sklep 4 m²,Domácí mazlíčci vítáni,Balkón 33 m²,Balkón 4 m²,Balkón 9 m²,Enclosed balcony,Balkón 60 m²,Balkón 10 m²,Sklep 10 m²,Balkón 2 m²,Sklep 5 m²,Balkón 8 m²,Terasa 20 m²,Sklep 6 m²,Administrative fee,Terasa 12 m²,Balkón 3.1 m²,Balkón 32 m²,Terasa 32 m²,Terasa 19 m²,Balkón 7 m²,Sklep 20 m²,Sklep 3 m²,Sklep 1 m²,Terasa 40 m²,Lodžie 8 m²,Balkón 3 m²,Lodžie 1 m²,Balkón 5 m²,Terasa 15 m²,Water,Sewage,Plot space,Sklep 44 m²,Terasa 10 m²,Sklep 8 m²
"CZK 21,900","CZK 7,000",744441,3+1,10/10/2022,110 m²,Partly,1,,516.65,2160.58,669.07,1586.35,645.48,1009.63,752.46,700.65,959.15,774.61,"Na Zavadilce, Prague - Dejvice",50.10959,14.3794,"CZK 25,000",Brick,,Good,,G,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 3,000",673141,2+kk,12/1/2022,59 m²,Unfurnished,2,1.0,254.72,1106.91,204.26,641.4,210.72,640.09,512.47,354.75,302.76,308.64,"Čihákova, Prague - Libeň",50.10781,14.48951,"CZK 40,000",Brick,Up to 10 years,Very good,Personal,C,Central,,1.0,,,,Interior,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 2,000",711641,2+kk,11/1/2022,49 m²,Fully furnished,4,1.0,32.78,592.19,41.02,4.17,44.87,159.87,254.74,339.78,285.23,399.87,"Jana Želivského, Prague - Žižkov",50.08854,14.46861,"CZK 25,000",Brick,10 to 30 years,Very good,Personal,E,Electric boiler,,,,,,Interior,1.0,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 1,000",744439,2+kk,10/8/2022,57 m²,Partly,2,,187.83,205.05,192.0,596.83,33.81,290.44,278.07,498.79,548.51,286.2,"Zoubkova, Prague - Smíchov",50.06746,14.39771,"CZK 20,000",Brick,,Very good,,G,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 1,500",494581,Studio,10/9/2022,30 m²,Fully furnished,3,,249.14,204.22,200.85,596.0,76.62,289.6,339.37,560.1,487.38,496.67,"Ostrovského, Prague - Smíchov",50.067588,14.3973095,"CZK 15,000",Brick,Up to 10 years,,Personal,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000",CZK 0,743500,2+kk,10/3/2022,42 m²,Partly,4,,149.0,133.45,88.35,414.72,155.13,372.81,453.99,720.15,467.33,67.49,"Bystřická, Prague - Krč",50.0482,14.44216,"CZK 36,000",Brick,,Good,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 54,000","CZK 18,000",744437,4+1,12/1/2022,118 m²,Fully furnished,5,1.0,10.09,941.97,67.62,646.62,248.31,375.19,227.43,495.09,1021.07,415.81,"Grafická, Prague - Smíchov",50.0722637,14.3926388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,000","CZK 2,700",744435,Small studio,10/8/2022,28 m²,Fully furnished,1,,229.63,419.48,344.33,361.07,263.11,1539.38,207.04,59.66,958.82,62.29,"Měchenická, Prague - Záběhlice",50.04949,14.48581,"CZK 11,000",Brick,,Very good,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,500",CZK 1,628107,2 bedroom,12/1/2022,75 m²,Unfurnished,,,263.35,662.51,285.16,512.72,95.79,559.0,458.01,393.4,433.16,264.32,Prague - Žižkov,50.088777,14.486709,"CZK 15,000",Brick,,,Municipal,G,Electric boiler,,,,,,Interior,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,000",741534,2 bedroom,11/14/2022,50 m²,Partly,2,,134.33,189.92,323.18,214.42,108.07,90.21,614.21,413.97,1115.66,185.24,Prague - Vokovice,50.09758,14.36389,"CZK 18,000",Brick,,Very good,,C,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,500","CZK 5,000",743359,2+kk,10/23/2022,47 m²,Fully furnished,3,1.0,94.6,720.43,71.85,473.52,480.0,299.37,620.93,407.98,367.97,370.97,"Na Palouku, Prague - Strašnice",50.08065,14.48774,"CZK 50,000",Low-energy,,New-build,,B,Central,,1.0,1.0,1.0,,,,,,Luxurious,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 2,009",642378,Studio,11/1/2022,38 m²,Fully furnished,,,292.79,548.13,414.75,3237.09,418.68,881.26,923.62,1394.96,1539.17,190.93,Prague - Libuš,50.007901,14.466774,"CZK 26,000",Prefab concrete,Up to 10 years,New-build,Personal,D,Central,,,,,,Complete,,,,Luxurious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 4,000",732838,Studio,10/1/2022,30 m²,Fully furnished,5,,25.96,374.17,20.45,2174.28,72.28,647.45,261.01,485.72,1325.26,370.94,Prague - Braník,50.03968,14.41073,"CZK 26,000",Brick,,Very good,,D,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 3,500",743484,Studio,10/23/2022,27 m²,Fully furnished,2,1.0,94.6,720.43,71.85,473.52,480.0,299.37,620.93,407.98,367.97,370.97,"Na Palouku, Prague - Strašnice",50.08065,14.48774,"CZK 34,000",Low-energy,,New-build,,B,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,300","CZK 3,700",743665,2+kk,10/15/2022,43 m²,Fully furnished,5,,289.31,2051.78,1762.26,2137.78,289.32,1810.51,1102.53,2020.14,253.43,989.28,"Šífařská, Prague - Hodkovičky",50.0219,14.40279,"CZK 21,000",Other,,New-build,,B,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,900","CZK 2,900",574571,3+1,11/1/2022,73 m²,Fully furnished,3,,162.18,1388.59,186.77,1105.69,211.19,193.91,455.45,86.16,853.62,79.94,"Nučická, Prague - Strašnice",50.0673571,14.4981258,"CZK 10,000",Prefab concrete,,Very good,Cooperative,,Central,,1.0,,,,Complete,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 5,000",744283,2+kk,10/10/2022,47 m²,Fully furnished,1,,121.08,1260.83,187.54,558.47,184.02,180.26,493.95,367.83,474.02,332.32,Prague - Dejvice,50.10817,14.39365,"CZK 35,000",Brick,,Very good,Personal,G,,,,,,,Complete,,,,Luxurious,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
