Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Heating,Total number of floors,Renovation,Design,New building,Age,Front garden,Administration fee,Developer name,Project name,Kód jednotky
616754,"CZK 13,500",50.086345,14.371833,"Patočkova, Prague - Břevnov",1 bedroom with open-plan kitchen,43 m²,"CZK 3,300",Partially furnished,2,No,No,No,No,No,Yes,No,01. 03. 2022,39,665,402,608,62,391,419,280,696,493,New build,"CZK 20,000",Personal,Brick building,E,Gas boiler,Middle floor,Interior,Standard materials and solutions,,,,,,,
694835,"CZK 26,078",50.0940007,14.4535929,"Sokolovská a, Prague - Karlín",Studio,30 m²,"CZK 8,693",Furnished,5,No,No,No,No,No,Yes,Yes,01. 02. 2022,109,421,13,160,21,228,518,"1,364",384,467,,,,,,,,,,,,,,,,
403607,"CZK 12,500",50.102335,14.445112,"Tovární, Prague - Holešovice",1 bedroom,32 m²,"CZK 1,500",Furnished,2,No,No,Yes,No,No,Yes,No,01. 02. 2022,163,205,202,443,174,110,138,290,568,91,,"CZK 13,000",Personal,Brick building,,Other,Middle floor,Interior,,,,,,,,
369932,"CZK 14,500",50.031751,14.5352893,"Janouchova, Prague - Háje",1 bedroom with open-plan kitchen,46 m²,"CZK 2,900",Furnished,7,Yes,No,Yes,No,No,Yes,No,01. 02. 2022,99,346,332,378,329,639,396,168,690,214,Excellent,"CZK 29,000",Personal,Prefab concrete building,C,District heating,,Overall,Premium materials and solutions,,,,,,,
696414,"CZK 13,125",50.073014,14.4308483,"Tyršova, Prague - Nové Město",Studio,23 m²,"CZK 4,375",Furnished,5,No,No,No,No,No,Yes,No,01. 03. 2022,182,528,118,213,29,198,369,452,636,686,,,,,,,,,,,,,,,,
698909,"CZK 18,000",50.10457,14.4882,"Kurta Konráda, Prague - Libeň",1 bedroom with open-plan kitchen,60 m²,"CZK 3,817",Furnished,6,Yes,No,Yes,No,No,Yes,Yes,01. 02. 2022,161,141,181,71,192,230,354,627,242,88,Excellent,"CZK 21,817",Personal,Other,B,,,,,,,,,,,
694842,"CZK 29,228",50.0940007,14.4535929,"Sokolovská a, Prague - Karlín",Studio,32 m²,"CZK 9,742",Furnished,4,No,No,No,No,No,Yes,Yes,01. 02. 2022,109,421,13,160,21,228,518,"1,364",384,467,,,,,,,,,,,,,,,,
694843,"CZK 39,747",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",2 bedroom with open-plan kitchen,145 m²,"CZK 13,249",Furnished,6,No,Yes,No,No,No,Yes,Yes,01. 02. 2022,123,293,167,222,66,246,411,"1,258",283,254,,,,,,,,,,,,,,,,
694837,"CZK 33,000",50.0920126,14.4239059,"Anežská, Prague - Staré Město",2 bedroom with open-plan kitchen,80 m²,"CZK 11,000",Furnished,2,No,No,No,No,No,No,No,01. 02. 2022,157,402,153,285,152,248,384,447,194,153,,,,,,,,,,,,,,,,
696838,"CZK 45,000",50.090911,14.4295366,"Soukenická, Prague - Nové Město",1 bedroom with open-plan kitchen,50 m²,"CZK 15,000",Furnished,4,No,No,No,No,No,Yes,Yes,20. 02. 2022,144,325,176,152,60,230,49,259,388,439,,,,,,,,,,,,,,,,
696907,"CZK 15,375",50.0236328,14.420109,"Na Výspě, Prague - Hodkovičky",Studio,40 m²,"CZK 5,125",Furnished,2,No,Yes,No,No,No,No,No,21. 02. 2022,205,"1,125",579,"1,118",554,629,856,827,"1,391",591,,,,,,,,,,,,,,,,
694675,"CZK 24,000",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",1 bedroom with open-plan kitchen,45 m²,"CZK 8,000",Furnished,6,No,No,No,No,No,Yes,No,01. 02. 2022,149,274,60,441,20,421,59,552,690,457,,,,,,,,,,,,,,,,
695336,"CZK 18,926",50.0668274,14.3966153,"U Nikolajky, Prague - Smíchov",Studio,35 m²,"CZK 6,309",Furnished,1,Yes,Yes,No,No,No,Yes,Yes,01. 03. 2022,234,341,228,706,128,428,324,536,546,328,,,,,,,,,,,,,,,,
699552,"CZK 20,687",50.0707465,14.4307581,"Wenzigova, Prague - Nové Město",2 bedroom,92 m²,"CZK 6,896",Furnished,6,No,Yes,No,No,No,Yes,No,01. 03. 2022,231,547,213,435,47,356,108,477,535,521,,,,,,,,,,,,,,,,
699551,"CZK 17,933",50.0754859,14.4856652,"Irkutská, Prague - Vinohrady",1 bedroom with open-plan kitchen,60 m²,"CZK 5,978",Furnished,3,No,No,No,No,No,No,No,01. 03. 2022,202,655,227,405,291,338,661,768,874,396,,,,,,,,,,,,,,,,
696835,"CZK 25,500",50.0471114,14.4429584,"Krchlebská, Prague - Krč",1 bedroom with open-plan kitchen,41 m²,"CZK 8,500",Furnished,5,No,No,No,No,No,No,No,20. 02. 2022,394,499,253,432,280,389,317,725,696,412,,,,,,,,,,,,,,,,
697544,"CZK 46,313",50.0745467,14.4389986,"Blanická, Prague - Vinohrady",3 bedroom with open-plan kitchen,93 m²,"CZK 15,437",Furnished,6,No,Yes,No,No,No,Yes,No,02. 03. 2022,84,364,40,331,100,341,128,408,656,679,,,,,,,,,,,,,,,,
697479,"CZK 22,500",50.1059511,14.4731393,"Světova, Prague - Libeň",2 bedroom with open-plan kitchen,80 m²,"CZK 7,500",Furnished,3,No,No,No,No,No,No,No,01. 03. 2022,44,595,43,80,28,96,206,509,351,252,,,,,,,,,,,,,,,,
697475,"CZK 20,625",50.0739629,14.4309041,"Rumunská, Prague - Vinohrady",1 bedroom with open-plan kitchen,55 m²,"CZK 6,875",Furnished,3,No,No,No,No,No,Yes,No,01. 03. 2022,181,525,82,168,45,95,309,378,542,609,,,,,,,,,,,,,,,,
697467,"CZK 22,669",50.073131,14.3495147,"Weberova, Prague - Motol",2 bedroom with open-plan kitchen,88 m²,"CZK 7,556",Furnished,2,Yes,No,No,No,No,No,No,01. 03. 2022,119,339,291,422,812,875,662,,,,,,,,,,,,,,,,,,,
698254,"CZK 18,000",50.0705847,14.4064774,"Jindřicha Plachty, Prague - Smíchov",3 bedroom,94 m²,"CZK 6,000",Furnished,1,No,No,No,No,No,Yes,No,07. 03. 2022,185,620,138,274,86,216,657,"1,148","1,019",505,,,,,,,,,,,,,,,,
698913,"CZK 16,500",50.05682,14.42282,"Levá, Prague - Podolí",1 bedroom with open-plan kitchen,51 m²,"CZK 1,500",Furnished,3,No,No,Yes,No,No,Yes,No,10. 01. 2022,105,409,293,269,155,406,280,633,343,242,Excellent,"CZK 20,000",Personal,Brick building,G,,,,,,,,,,,
698912,"CZK 16,500",50.0724181,14.4583242,"Ruská, Prague - Vršovice",2 bedroom,63 m²,"CZK 2,500",Partially furnished,2,No,No,No,No,No,No,No,10. 01. 2022,60,760,56,537,96,535,314,309,731,350,Excellent,"CZK 16,500",Personal,Brick building,G,,,,,,,,,,,
691605,"CZK 24,900",50.0795659,14.4357789,"Balbínova, Prague - Vinohrady",1 bedroom with open-plan kitchen,68 m²,"CZK 8,300",Furnished,2,No,No,No,No,No,Yes,No,02. 03. 2022,134,417,252,351,68,251,205,205,457,712,,,,,,,,,,,,,,,,
697584,"CZK 23,900",50.1153416,14.4743339,"Na Sypkém, Prague - Libeň",2 bedroom with open-plan kitchen,75 m²,"CZK 3,590",Unfurnished,2,No,No,Yes,No,Yes,Yes,Yes,03. 01. 2022,134,"1,388",426,"1,206",128,680,505,"1,371",852,342,New build,"CZK 47,800",Personal,Low-energy building,B,,,,,Yes,,,,,,
699550,"CZK 26,250",50.0902986,14.4271043,"Benediktská, Prague - Staré Město",1 bedroom with open-plan kitchen,50 m²,"CZK 8,750",Furnished,3,No,No,No,No,No,Yes,No,17. 03. 2022,51,118,74,93,1,171,160,250,261,336,,,,,,,,,,,,,,,,
699549,"CZK 26,250",50.0905181,14.4322974,"Zlatnická, Prague - Nové Město",1 bedroom with open-plan kitchen,60 m²,"CZK 8,750",Furnished,2,No,Yes,No,No,No,Yes,No,17. 03. 2022,140,262,117,176,89,151,218,24,337,419,,,,,,,,,,,,,,,,
699548,"CZK 45,000",50.0885763,14.423344,"Týnská, Prague - Staré Město",3 bedroom,100 m²,"CZK 15,000",Furnished,3,No,No,No,No,No,No,No,17. 03. 2022,143,354,108,199,36,219,154,136,9,154,,,,,,,,,,,,,,,,
698724,"CZK 26,006",50.0684378,14.4104352,"Hořejší nábřeží, Prague - Smíchov",2 bedroom,80 m²,"CZK 8,669",Furnished,4,No,No,No,No,No,Yes,No,11. 03. 2022,435,892,279,490,236,702,754,992,495,60,,,,,,,,,,,,,,,,
699547,"CZK 26,250",50.0903135,14.4354588,"Na Poříčí, Prague - Nové Město",2 bedroom,65 m²,"CZK 8,750",Furnished,3,No,No,No,No,No,No,Yes,17. 03. 2022,41,186,17,41,56,120,330,361,459,501,,,,,,,,,,,,,,,,
680052,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",Studio,45 m²,"CZK 12,000",Furnished,3,No,No,No,No,No,Yes,No,20. 01. 2022,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,,,,
630873,"CZK 13,900",50.03068,14.52172,"Michnova, Prague - Chodov",1 bedroom with open-plan kitchen,46 m²,"CZK 4,900",Partially furnished,1,No,No,Yes,No,No,Yes,No,17. 01. 2022,296,433,299,613,200,214,275,380,631,314,New build,"CZK 15,000",Personal,Prefab concrete building,B,District heating,Middle floor,Overall,Standard materials and solutions,,,,,,,
698898,"CZK 15,500",50.026,14.43067,"Novodvorská, Prague - Braník",2 bedroom with open-plan kitchen,65 m²,"CZK 3,500",Partially furnished,7,No,No,Yes,Yes,Yes,Yes,No,17. 01. 2022,46,368,205,375,308,340,179,158,933,423,Excellent,"CZK 20,000",Personal,Prefab concrete building,C,,,,,,,,,,,
682349,"CZK 37,500",50.0372353,14.482405,"Hněvkovská, Prague - Chodov",3 bedroom,80 m²,"CZK 12,500",Furnished,2,Yes,No,No,No,No,No,No,20. 01. 2022,469,"1,480",408,"1,340",370,"1,305",889,"1,194",334,309,,,,,,,,,,,,,,,,
680095,"CZK 63,113",50.0761284,14.4327244,"Londýnská, Prague - Vinohrady",3 bedroom,70 m²,"CZK 21,037",Furnished,3,No,Yes,No,No,No,No,No,20. 01. 2022,100,264,66,90,3,201,314,391,396,647,,,,,,,,,,,,,,,,
682344,"CZK 13,823",50.1044601,14.5518792,"Slévačská, Prague - Hloubětín",1 bedroom,54 m²,"CZK 4,607",Furnished,2,No,No,No,No,No,Yes,No,20. 01. 2022,256,674,499,"1,325",205,584,277,"1,192",804,230,,,,,,,,,,,,,,,,
694734,"CZK 21,000",50.1057314,14.44422,"U Průhonu b, Prague - Holešovice",Studio,32 m²,"CZK 7,000",Furnished,1,No,Yes,No,No,No,Yes,Yes,20. 01. 2022,299,437,281,449,312,304,607,789,18,459,,,,,,,,,,,,,,,,
619927,"CZK 12,500",50.031865,14.393208,"Lumiérů, Prague - Hlubočepy",1 bedroom,40 m²,"CZK 2,200",Furnished,2,No,No,No,No,No,No,No,31. 01. 2022,92,"1,442",756,"1,349",209,"1,407",99,,,,Good,"CZK 14,700",Cooperative,Brick building,G,District heating,Middle floor,Exterior,,,,,,,,
699542,"CZK 13,000",50.05346,14.34165,"Dominova, Prague - Stodůlky",1 bedroom with open-plan kitchen,45 m²,"CZK 5,500",Furnished,3,No,No,Yes,No,No,Yes,No,01. 02. 2022,253,436,326,441,416,291,325,85,"1,163",30,Excellent,"CZK 13,000",Personal,Prefab concrete building,G,,,,,,,,,,,
699541,"CZK 19,000",50.10887,14.47533,"U Libeňského pivovaru, Prague - Libeň",1 bedroom with open-plan kitchen,42 m²,"CZK 1,700",Partially furnished,4,No,No,No,No,No,No,No,15. 01. 2022,306,813,278,526,301,356,408,635,375,200,New build,"CZK 38,000",Personal,Brick building,G,,Top floor,Overall,Premium materials and solutions,,,,,,,
680071,"CZK 51,750",50.0802704,14.4260824,"Štěpánská, Prague - Nové Město",1 bedroom with open-plan kitchen,80 m²,"CZK 17,250",Furnished,6,No,No,No,No,No,Yes,No,20. 01. 2022,288,586,250,131,26,252,214,638,273,511,,,,,,,,,,,,,,,,
699539,"CZK 9,000",50.11577,14.46653,"Budínova, Prague - Libeň",Studio,50 m²,"CZK 2,000",Partially furnished,1,No,Yes,No,No,No,No,No,01. 02. 2022,61,879,83,"1,328",196,11,219,"1,156","1,069",394,Excellent,"CZK 11,000",Personal,Brick building,C,,,,,,,,,,,
698874,"CZK 13,000",50.0293723,14.5965658,"Oty Bubeníčka, Prague - Uhříněves",1 bedroom with open-plan kitchen,52 m²,"CZK 4,000",Partially furnished,5,No,No,Yes,Yes,No,Yes,Yes,01. 03. 2022,191,331,288,440,259,304,749,830,956,140,Excellent,"CZK 26,000",Personal,Brick building,C,Central heating,Top floor,,,,1 to 10 years years,,,,,
228728,"CZK 9,900",49.996150613002,14.472742494809,"Švihovská, Prague - Písnice",Studio,30 m²,"CZK 3,000",,3,Yes,No,No,No,No,Yes,No,,485,"1,383",981,"1,176","1,171",778,,,,,New build,"CZK 25,000",Personal,Brick building,C,Central heating,Middle floor,,,Yes,1 to 10 years years,,,,,
680047,"CZK 39,750",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",1 bedroom with open-plan kitchen,73 m²,"CZK 13,250",Furnished,5,No,No,No,No,No,Yes,No,20. 01. 2022,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,,,,
682068,"CZK 18,300",50.0739772,14.4306534,"Legerova, Prague - Vinohrady",Studio,34 m²,"CZK 6,100",Furnished,2,No,No,No,No,No,Yes,No,20. 01. 2022,132,574,130,206,94,143,358,427,494,560,,,,,,,,,,,,,,,,
699037,"CZK 17,100",50.0717643,14.4385436,"Americká, Prague - Vinohrady",Studio,27 m²,"CZK 5,700",Furnished,4,No,No,No,No,No,Yes,No,20. 01. 2022,272,322,70,607,60,509,83,250,792,565,,,,,,,,,,,,,,,,
695226,"CZK 17,456",50.0739772,14.4306534,"Legerova, Prague - Vinohrady",Studio,35 m²,"CZK 5,819",Furnished,3,No,No,No,No,No,Yes,No,20. 01. 2022,132,574,130,206,94,143,358,427,494,560,,,,,,,,,,,,,,,,
698869,"CZK 12,500",50.03724,14.34137,"Přecechtělova, Prague - Stodůlky",1 bedroom with open-plan kitchen,43 m²,"CZK 3,500",Partially furnished,3,No,No,Yes,No,No,Yes,No,14. 02. 2022,426,218,252,"1,141",396,215,361,255,405,92,Good,"CZK 12,500",Personal,Prefab concrete building,G,,,,,,,,,,,
698871,"CZK 27,000",49.98339,14.36398,"Zbynická, Prague - Radotín",2 bedroom with open-plan kitchen,94 m²,"CZK 5,000",Furnished,3,Yes,No,No,No,Yes,Yes,No,15. 02. 2022,144,617,154,209,208,135,441,807,624,267,Excellent,"CZK 54,000",Personal,Brick building,C,,,,,,,,,,,
685308,"CZK 16,000",50.12184,14.47035,"Nad Okrouhlíkem, Prague - Libeň",1 bedroom with open-plan kitchen,80 m²,"CZK 4,200",Partially furnished,1,No,Yes,Yes,No,Yes,Yes,No,06. 12. 2021,573,902,578,995,759,"1,033","1,095",935,"1,086",502,Excellent,"CZK 20,000",Personal,Brick building,B,District heating,Middle floor,,,,,,,,,
670314,"CZK 18,000",49.96831,14.38631,"Pelzova, Prague - Zbraslav",1 bedroom with open-plan kitchen,70 m²,"CZK 2,831",Partially furnished,1,No,Yes,Yes,No,No,Yes,No,01. 02. 2022,122,"1,089",68,"1,240",367,102,498,329,149,,Excellent,"CZK 36,000",Personal,Brick building,C,District heating,Middle floor,,,,1 to 10 years years,,,,,
699391,"CZK 13,000",50.10558,14.54778,"Rochovská, Prague - Hloubětín",1 bedroom with open-plan kitchen,43 m²,"CZK 5,000",Furnished,2,No,No,No,No,Yes,Yes,No,01. 02. 2022,147,924,268,942,552,930,275,668,946,205,Excellent,"CZK 24,000",Personal,Prefab concrete building,G,District heating,,,,,,,,,,
661662,"CZK 15,250",50.1106031,14.4435861,Prague - Holešovice,1 bedroom with open-plan kitchen,50 m²,"CZK 3,200",Partially furnished,6,No,No,Yes,No,No,Yes,No,03. 05. 2021,219,"1,059",371,"1,062",475,435,597,"1,414",666,561,New build,"CZK 19,000",Personal,Brick building,C,Central heating,Middle floor,Overall,Standard materials and solutions,Yes,1 to 10 years years,,,,,
699531,"CZK 14,100",50.09033,14.4739536,"Viklefova, Prague - Žižkov",1 bedroom with open-plan kitchen,52 m²,"CZK 2,000",Partially furnished,6,No,No,No,No,No,Yes,No,07. 03. 2022,193,"1,012",134,259,16,116,321,332,358,420,Excellent,"CZK 28,000",Other,Brick building,C,Other,Middle floor,,Standard materials and solutions,,30 to 50 years years,,,,,
699530,"CZK 15,000",49.99957,14.42119,"Platónova, Prague - Modřany",3 bedroom,78 m²,"CZK 5,000",Partially furnished,3,No,No,Yes,Yes,Yes,Yes,No,16. 01. 2022,205,"1,022","1,267","1,089",390,"1,095",126,224,"1,068",246,Excellent,"CZK 30,000",Personal,Prefab concrete building,G,District heating,Middle floor,Interior,Standard materials and solutions,,10 to 30 years years,,,,,
685777,"CZK 11,490",50.0373006,14.5619685,"Lebeděvova, Prague - Petrovice",2 bedroom,44 m²,"CZK 3,490",Furnished,,No,Yes,No,No,Yes,No,No,19. 01. 2022,10,566,261,473,494,434,436,600,632,228,Excellent,"CZK 20,000",Personal,Brick building,B,,,,,,,,,,,
680086,"CZK 25,500",50.0901585,14.3426685,"Na Okraji, Prague - Veleslavín",1 bedroom with open-plan kitchen,90 m²,"CZK 8,500",Furnished,1,No,No,No,No,No,No,No,20. 01. 2022,142,547,112,211,216,280,208,0,878,210,,,,,,,,,,,,,,,,
680073,"CZK 30,000",50.0372353,14.482405,"Hněvkovská, Prague - Chodov",1 bedroom with open-plan kitchen,55 m²,"CZK 10,000",Furnished,3,No,No,No,No,No,No,No,20. 01. 2022,469,"1,480",408,"1,340",370,"1,305",889,"1,194",334,309,,,,,,,,,,,,,,,,
680051,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",Studio,45 m²,"CZK 12,000",Furnished,4,No,No,No,No,No,Yes,No,20. 01. 2022,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,,,,
699525,"CZK 9,000",50.09854,14.34497,"V Středu, Prague - Vokovice",1 bedroom,50 m²,"CZK 1,000",Partially furnished,,No,No,No,No,No,No,No,24. 01. 2022,264,"1,407",310,927,33,523,270,435,294,37,Good,"CZK 18,000",Personal,Brick building,G,,,,,,,,,,,
699524,"CZK 19,207",50.04829,14.35029,"Ovčí hájek, Prague - Stodůlky",2 bedroom with open-plan kitchen,79 m²,"CZK 2,793",Partially furnished,3,Yes,No,No,No,No,Yes,No,17. 01. 2022,395,921,289,507,326,402,454,259,"1,309",282,Excellent,"CZK 25,000",Personal,Prefab concrete building,G,,,,,,,,,,,
639417,"CZK 12,300",50.107726,14.447911,"Ortenovo náměstí, Prague - Holešovice",1 bedroom,37 m²,"CZK 1,910",Furnished,3,No,No,No,No,No,Yes,No,01. 03. 2022,54,557,196,436,205,257,258,917,398,185,Excellent,"CZK 24,600",Personal,Brick building,G,Central heating,Middle floor,Interior,,,10 to 30 years years,,,,,
89008,"CZK 12,500",50.0866182,14.4531338,"Roháčova 2, Prague - Žižkov",1 bedroom,49 m²,CZK 750,Partially furnished,2,No,No,No,Yes,No,No,No,,120,255,151,447,58,317,291,355,291,496,Excellent,,Personal,Brick building,D,Gas boiler,Middle floor,Interior,Premium materials and solutions,,1 to 10 years years,,,,,
680008,"CZK 35,100",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,44 m²,"CZK 11,700",Furnished,3,No,No,No,No,No,No,No,20. 01. 2022,281,192,58,183,11,368,315,297,289,305,,,,,,,,,,,,,,,,
699519,"CZK 18,760",50.0726277,14.3919683,"Grafická, Prague - Smíchov",1 bedroom with open-plan kitchen,79 m²,"CZK 6,253",Furnished,6,No,No,No,No,No,No,No,01. 02. 2022,187,"1,029",127,720,136,847,206,901,"1,059",126,,,,,,,,,,,,,,,,
688331,"CZK 29,250",50.0830689,14.4668702,"Olšanská d, Prague - Žižkov",1 bedroom with open-plan kitchen,85 m²,"CZK 9,750",Furnished,4,No,Yes,No,No,No,Yes,Yes,20. 01. 2022,213,228,353,747,332,258,643,491,336,409,,,,,,,,,,,,,,,,
696583,"CZK 15,300",50.0236328,14.420109,"Na Výspě, Prague - Hodkovičky",1 bedroom,50 m²,"CZK 5,100",Furnished,1,No,No,No,No,No,No,No,24. 01. 2022,205,"1,125",579,"1,118",554,629,856,827,"1,391",591,,,,,,,,,,,,,,,,
163039,"CZK 8,500",50.1013985,14.4207461,"Čechova, Prague - Bubeneč",Studio,34 m²,"CZK 3,500",Furnished,1,No,No,No,No,No,No,No,,223,299,128,155,56,384,100,381,297,,,,Personal,Brick building,,,,,,,,,,,,
