Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Heating,Age,Design,Total number of floors,Renovation,New building,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
712480,"CZK 22,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",2 bedroom,Excellent,42 m²,CZK 133,"CZK 44,000",,Personal,Other,Furnished,13,No,No,Yes,No,Yes,Yes,Yes,A,,,,,,,,,,,22. 07. 2022,,,,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,1301,
714237,"CZK 36,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",2 bedroom with open-plan kitchen,Excellent,94 m²,CZK 133,"CZK 72,000",,Personal,Other,Furnished,11,No,Yes,Yes,No,Yes,Yes,Yes,A,,,,,,,,,,,10. 07. 2022,,,,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,1115,
714245,"CZK 15,900",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",Studio,Excellent,31 m²,CZK 133,"CZK 31,800",,Personal,Other,Unfurnished,11,Yes,No,Yes,No,Yes,Yes,No,A,,,,,,,,,,,25. 06. 2022,,,,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,1103,
716406,"CZK 29,900",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",2 bedroom with open-plan kitchen,Excellent,68 m²,CZK 133,"CZK 59,800",,Personal,Other,Furnished,8,No,Yes,Yes,No,Yes,Yes,No,A,,,,,,,,,,,01. 06. 2022,,,,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,814,
714255,"CZK 27,000",50.07202,14.44518,"Francouzská, Prague - Vinohrady",Studio,Excellent,40 m²,CZK 133,"CZK 54,000",,Personal,Brick building,Unfurnished,1,No,Yes,No,No,No,No,No,A,,,,,,,,,,,14. 04. 2022,,,,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,F003,
717034,"CZK 12,500",50.13919,14.51845,"Pavla Beneše, Prague - Letňany",Studio,Excellent,42 m²,"CZK 3,000","CZK 25,000",,Personal,Other,Partially furnished,4,Yes,No,Yes,No,Yes,Yes,No,C,276,460,963,"1,046",502,584,860,990,"1,122",169,01. 06. 2022,,,,,,,,,,,
545732,"CZK 20,000",50.0677891,14.4330621,"Pod Karlovem, Prague - Vinohrady",Other,,85 m²,"CZK 3,000",,,Personal,Brick building,Furnished,5,No,No,No,No,No,No,No,C,142,732,179,748,115,606,472,652,284,372,01. 08. 2022,,,,,,,,,,,
535339,"CZK 15,900",50.0592231,14.4514127,Prague - Michle,1 bedroom with open-plan kitchen,,42 m²,"CZK 3,200","CZK 30,000",,Personal,Brick building,Partially furnished,6,No,No,No,No,No,No,No,,162,720,164,242,202,894,99,396,588,222,01. 06. 2022,,,,,,,,,,,
452087,"CZK 13,000",50.0485532,14.5241392,Prague - Hostivař,1 bedroom with open-plan kitchen,Good,40 m²,"CZK 3,000","CZK 26,000",,Personal,Prefab concrete building,Partially furnished,2,No,No,No,Yes,No,Yes,No,,253,"1,054",508,"1,017",56,739,454,449,635,314,Ihned,Central heating,,,Middle floor,Bathroom unit,,,,,,
717005,"CZK 16,000",50.10681,14.44916,"Poupětova, Prague - Holešovice",1 bedroom with open-plan kitchen,Excellent,40 m²,"CZK 3,500","CZK 16,000",,Cooperative,Brick building,Furnished,,No,No,No,No,No,No,No,G,198,450,31,262,118,266,265,724,363,324,01. 06. 2022,,,,,,,,,,,
717018,"CZK 17,000",50.10832,14.49069,"U Školičky, Prague - Libeň",1 bedroom,Excellent,40 m²,"CZK 3,500","CZK 20,000",,Personal,Brick building,Furnished,3,No,Yes,Yes,No,No,Yes,No,G,247,467,156,599,198,324,385,162,126,46,26. 06. 2022,,,Standard materials and solutions,Middle floor,,,,,,,
717004,"CZK 16,000",50.04505,14.4027,"Nad Zlíchovem, Prague - Hlubočepy",1 bedroom with open-plan kitchen,Excellent,51 m²,"CZK 3,000","CZK 16,000",,Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,No,No,G,93,617,769,740,829,"1,224",323,,,,09. 05. 2022,,,,,,,,,,,
639668,"CZK 10,000",50.133324,14.455523,Prague - Kobylisy,Studio,Good,40 m²,"CZK 3,500","CZK 20,000",,Personal,Brick building,Unfurnished,7,Yes,No,Yes,No,No,Yes,No,B,65,"1,391",325,"1,290",303,995,"1,006",865,"1,478",521,15. 05. 2022,Central heating,,Standard materials and solutions,Top floor,Overall,,,,,,
717001,"CZK 11,150",50.10621,14.58504,"Bryksova, Prague - Černý Most",1 bedroom with open-plan kitchen,Excellent,48 m²,"CZK 3,850","CZK 32,000",,Personal,Prefab concrete building,Partially furnished,1,No,No,No,No,No,Yes,No,G,447,496,507,649,591,901,735,434,,,16. 05. 2022,,,,,,,,,,,
717003,"CZK 16,000",50.09301,14.49053,"K Chmelnici, Prague - Žižkov",2 bedroom,Excellent,50 m²,"CZK 4,900","CZK 16,000",,Personal,Brick building,Partially furnished,5,No,No,No,Yes,No,No,No,G,243,192,202,302,138,170,160,328,413,215,05. 05. 2022,,,,,,,,,,,
595378,"CZK 19,000",50.109744,14.49792,"Bassova, Prague - Vysočany",1 bedroom with open-plan kitchen,New build,53 m²,"CZK 3,550","CZK 25,000",,Personal,Prefab concrete building,Partially furnished,2,Yes,No,No,No,No,Yes,Yes,B,99,282,60,174,25,196,526,702,267,335,01. 06. 2022,District heating,1 to 10 years years,,,,,,,,,
716909,"CZK 23,000",50.1049556,14.4905151,"Ocelářská, Prague - Libeň",1 bedroom with open-plan kitchen,New build,70 m²,"CZK 3,900","CZK 23,000",,Personal,Brick building,Partially furnished,3,Yes,Yes,No,No,No,Yes,No,B,280,213,157,195,145,289,128,514,240,212,10. 05. 2022,Central heating,,Premium materials and solutions,,,,,,,,
577002,"CZK 16,000",50.1171669,14.4317465,"Trojská, Prague - Troja",1 bedroom with open-plan kitchen,,43 m²,"CZK 3,500","CZK 48,000",,Personal,Brick building,Unfurnished,1,No,No,No,No,No,No,No,C,141,"1,030","1,164",484,672,"1,054",233,748,,,01. 01. 2022,,,,,,,,,,,
282174,"CZK 15,500",50.0700211,14.3958844,"Mrázovka, Prague - Smíchov",1 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 1,500",,,Personal,Brick building,Furnished,1,No,No,No,No,No,Yes,No,,318,508,500,524,51,593,275,976,402,164,01. 01. 1970,Gas boiler,,,Middle floor,,,,,,,
716680,"CZK 21,500",50.09593,14.36114,"Na Dlouhém lánu, Prague - Vokovice",2 bedroom with open-plan kitchen,Excellent,61 m²,"CZK 3,200","CZK 21,500",,Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,G,354,217,70,343,111,140,288,565,"1,176",407,06. 05. 2022,,,,,,,,,,,
541377,"CZK 18,000",50.0898814,14.3429244,"Na Okraji, Prague - Veleslavín",1 bedroom with open-plan kitchen,,52 m²,"CZK 4,000","CZK 33,000",,Cooperative,Brick building,Partially furnished,2,No,No,No,No,No,No,No,,129,524,89,187,192,257,195,59,854,186,01. 07. 2022,District heating,,,Middle floor,Overall,,,,,,
662021,"CZK 17,000",50.08702,14.34672,"Nad Alejí, Prague - Břevnov",1 bedroom with open-plan kitchen,Excellent,53 m²,"CZK 4,000","CZK 34,000",,Municipal,Prefab concrete building,Partially furnished,3,No,No,Yes,Yes,No,No,No,C,225,387,240,326,173,264,130,123,485,137,01. 07. 2022,District heating,,Premium materials and solutions,Middle floor,Overall,,,,,,
686568,"CZK 21,900",50.07386,14.41527,"Gorazdova, Prague - Nové Město",Studio,New build,26 m²,"CZK 3,000","CZK 44,000",,Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,E,105,431,45,391,67,341,472,466,787,541,01. 06. 2022,,,,,,,,,,,
529892,"CZK 10,600",50.0599289,14.3998514,Prague - Smíchov,1 bedroom,Excellent,39 m²,"CZK 4,000","CZK 14,600",,Personal,Brick building,Partially furnished,3,No,No,Yes,No,Yes,No,No,C,316,"1,018",343,"1,041",336,497,717,856,778,620,11. 05. 2022,Central heating,1 to 10 years years,Standard materials and solutions,Attic,Overall,,,,,,
716991,"CZK 15,500",50.06265,14.44798,"U Křížku, Prague - Nusle",2 bedroom,Excellent,50 m²,"CZK 3,500","CZK 15,500",,Cooperative,Prefab concrete building,Furnished,-1,No,No,Yes,No,No,No,No,C,223,813,263,525,239,563,710,550,821,607,01. 06. 2022,,,,,,,,,,,
203657,"CZK 16,500",50.1155867,14.4743483,"Na sypkém, Prague - Libeň",1 bedroom with open-plan kitchen,New build,55 m²,"CZK 4,000","CZK 20,500",,Personal,Brick building,Furnished,2,Yes,No,Yes,No,Yes,Yes,No,,143,"1,362",395,"1,237",150,656,536,"1,350",883,321,01. 07. 2022,,1 to 10 years years,,Middle floor,,Yes,,,,,
716987,"CZK 18,000",50.08337,14.36193,"Bělohorská, Prague - Břevnov",2 bedroom,Excellent,51 m²,"CZK 2,500","CZK 36,000",,Personal,Brick building,Partially furnished,1,No,No,No,No,No,Yes,No,G,86,268,115,91,138,158,328,812,229,401,04. 05. 2022,,,,,,,,,,,
716692,"CZK 11,000",50.0735326,14.5001292,Prague - Strašnice,Studio,Good,40 m²,"CZK 1,500","CZK 10,000",,Personal,Brick building,,,No,No,No,No,No,No,No,,204,850,290,693,272,718,167,438,760,286,,,,,,,,,,,,
684922,"CZK 9,900",50.03579,14.41528,"Na Vinohradu, Prague - Braník",Studio,Excellent,25 m²,"CZK 1,500","CZK 19,000",,Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,,200,452,102,198,138,224,244,515,,,09. 05. 2022,,,,,,,,,,,
704205,"CZK 20,500",50.01239,14.40096,"Vrátnická, Prague - Modřany",1 bedroom with open-plan kitchen,New build,60 m²,"CZK 3,100","CZK 30,000",,Personal,Low-energy building,Partially furnished,3,Yes,No,No,No,No,Yes,Yes,B,426,"1,386",854,"1,481",703,"1,184","1,052","1,135",638,379,01. 04. 2022,Central heating,1 to 10 years years,,Middle floor,,,,,,,
716985,"CZK 12,500",50.0951749,14.5092549,"Mezilehlá, Prague - Hrdlořezy",Small studio,New build,37 m²,"CZK 3,120","CZK 37,000",,Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,Yes,Yes,A,203,514,668,478,976,743,"1,293","1,106",276,,01. 05. 2022,,,,,,,,,,,
716981,"CZK 15,000",50.08404,14.49011,"Nad Kapličkou, Prague - Strašnice",1 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 3,500","CZK 30,000",,Personal,Brick building,Furnished,4,No,No,No,No,No,Yes,No,G,419,963,457,"1,005",618,590,628,453,123,452,04. 05. 2022,District heating,10 to 30 years years,Standard materials and solutions,Middle floor,Interior,,,,,,
530639,"CZK 12,500",50.0400116,14.5681437,Prague - Horní Měcholupy,Studio,,39 m²,"CZK 2,500","CZK 15,000",,Personal,Brick building,Partially furnished,5,Yes,No,No,No,No,Yes,Yes,,240,898,493,763,617,355,456,557,"1,256",366,01. 07. 2022,,,,,,Yes,,,,,
515070,"CZK 27,800",50.06671,14.456435,"Oblouková, Prague - Vršovice",3 bedroom,Excellent,80 m²,"CZK 2,940","CZK 40,000",,Personal,Brick building,Furnished,6,No,No,No,No,No,Yes,No,,38,225,51,316,42,316,420,560,322,259,01. 07. 2022,District heating,1 to 10 years years,Premium materials and solutions,Top floor,Overall,,,,,,
624896,"CZK 13,500",50.0973,14.362884,"Kladenská, Prague - Vokovice",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,400","CZK 27,000",,Personal,Brick building,Partially furnished,5,No,No,Yes,No,Yes,No,No,C,227,104,237,300,260,291,511,417,"1,174",243,01. 06. 2022,Gas boiler,1 to 10 years years,Premium materials and solutions,Top floor,Overall,,,,,,
716734,"CZK 10,000",50.06184,14.44442,"Svatoslavova, Prague - Nusle",1 bedroom,Excellent,40 m²,"CZK 1,000","CZK 20,000",,Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,C,137,691,109,397,161,420,540,730,476,584,03. 05. 2022,,,,,,,,,,,
716531,"CZK 17,000",50.0693304,14.4608713,"Arménská, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 2,800","CZK 12,000",,Personal,Brick building,Furnished,4,No,No,No,No,No,Yes,No,D,217,693,244,367,186,479,321,221,572,314,06. 05. 2022,District heating,,,,Overall,,,,,,
611162,"CZK 16,000",50.030212,14.364044,"Kováříkova, Prague - Hlubočepy",1 bedroom with open-plan kitchen,Excellent,53 m²,"CZK 3,800","CZK 16,000",,Personal,Brick building,Partially furnished,2,No,Yes,No,No,No,Yes,No,D,380,"1,101",366,"1,082",244,"1,143",471,586,796,326,01. 06. 2022,District heating,1 to 10 years years,,Middle floor,,Yes,,,,,
494735,"CZK 17,500",50.1155396,14.5633862,"Farkašova, Prague - Kyje",2 bedroom with open-plan kitchen,New build,63 m²,"CZK 4,350","CZK 20,000",,Personal,Prefab concrete building,Furnished,2,Yes,No,No,No,No,No,No,C,204,910,685,"1,279","1,219",697,,,,,01. 07. 2022,District heating,1 to 10 years years,Premium materials and solutions,Middle floor,,,,,,,
716333,"CZK 45,000",50.0931,14.36735,"Nový lesík, Prague - Střešovice",5 bedroom,Good,170 m²,"CZK 5,000","CZK 50,000",,Personal,Brick building,Partially furnished,2,Yes,Yes,Yes,No,No,No,Yes,G,266,928,710,"1,132",274,883,879,"1,234",325,288,01. 05. 2022,,,,,,,,,,,
601295,"CZK 18,500",50.023226,14.511166,"Zdiměřická, Prague - Chodov",1 bedroom with open-plan kitchen,Excellent,64 m²,"CZK 3,500","CZK 35,000",,Personal,Prefab concrete building,Partially furnished,8,Yes,No,No,No,No,Yes,No,D,326,"1,289",222,595,221,296,844,181,,,01. 06. 2022,District heating,1 to 10 years years,Premium materials and solutions,Top floor,Overall,,,,,,
505339,"CZK 12,500",50.0969546,14.4652086,Prague - Karlín,Small studio,,28 m²,"CZK 3,000","CZK 15,000",,Personal,Other,Partially furnished,5,No,Yes,Yes,No,No,Yes,No,,108,"1,177",92,"1,032",226,771,442,685,901,149,09. 05. 2022,District heating,,,,,,,,,,
716322,"CZK 16,500",50.10325,14.50045,"Na Harfě, Prague - Vysočany",1 bedroom with open-plan kitchen,Excellent,57 m²,"CZK 4,500","CZK 30,000",,Personal,Other,Partially furnished,4,Yes,No,No,No,Yes,Yes,No,G,368,"1,126",301,531,354,432,401,891,936,619,15. 07. 2022,,,,,,,,,,,
716919,"CZK 14,000",50.07714,14.47583,"U Vinohradské nemocnice, Prague - Vinohrady",2 bedroom,Excellent,45 m²,"CZK 4,200","CZK 30,000",,Personal,Brick building,Partially furnished,5,No,No,No,No,No,No,No,D,54,820,41,350,101,148,605,881,207,13,15. 05. 2022,,,,,,,,,,,
639908,"CZK 21,900",50.087756,14.366929,"Radimova, Prague - Břevnov",1 bedroom with open-plan kitchen,New build,66 m²,"CZK 4,000","CZK 30,000",,Personal,Brick building,Furnished,1,Yes,No,No,No,Yes,Yes,Yes,,327,564,144,651,53,98,134,639,620,539,01. 06. 2022,Central heating,1 to 10 years years,Premium materials and solutions,Raised ground floor,,Yes,,,,,
716913,"CZK 21,000",50.07168,14.46069,"Bulharská, Prague - Vršovice",2 bedroom with open-plan kitchen,Excellent,73 m²,"CZK 4,000","CZK 25,000",,Personal,Brick building,Partially furnished,6,No,No,Yes,No,No,Yes,No,G,138,748,96,525,18,523,337,252,760,188,01. 06. 2022,Gas boiler,,,Top floor,Overall,,,,,,
610714,"CZK 14,000",50.054134,14.483781,"Podle Náhonu, Prague - Záběhlice",1 bedroom with open-plan kitchen,New build,44 m²,"CZK 3,153","CZK 14,000",,Personal,Brick building,,2,Yes,No,No,No,No,Yes,No,B,190,"1,150",551,"1,092",231,"1,176",938,747,372,191,01. 08. 2022,,,,,,,,,,,
710751,"CZK 14,500",50.06853,14.38762,"Nad Popelkou, Prague - Smíchov",1 bedroom with open-plan kitchen,Excellent,55 m²,CZK 950,"CZK 29,000",,Personal,Brick building,Partially furnished,,No,No,Yes,No,No,No,No,F,52,986,661,"1,180",625,"1,073",698,"1,065",537,177,01. 07. 2022,Other,,,Ground floor,Overall,,,,,,
716314,"CZK 15,500",50.10601,14.4356,"Bubenská, Prague - Holešovice",1 bedroom,Excellent,40 m²,"CZK 3,000","CZK 18,500",,Personal,Prefab concrete building,Furnished,3,Yes,No,No,No,No,Yes,No,G,310,"1,078",541,773,84,477,525,106,677,,01. 06. 2022,Electric boiler,,,,Overall,,,,,,
657758,"CZK 10,000",50.0981031,14.3582803,"Evropská, Prague - Vokovice",Small studio,Excellent,23 m²,"CZK 2,200","CZK 10,000",,Cooperative,Prefab concrete building,Unfurnished,11,No,No,Yes,Yes,No,Yes,No,C,90,334,179,160,60,190,155,133,"1,075",294,02. 05. 2022,District heating,,,Middle floor,,,,,,,
350671,"CZK 13,000",50.1376179,14.5200178,"Nepomuckých, Prague - Letňany",Studio,,31 m²,"CZK 2,000","CZK 15,000",,Personal,Brick building,Unfurnished,3,No,No,No,No,No,No,No,B,225,358,"1,013",926,501,463,752,"1,276","1,014",203,06. 05. 2022,District heating,1 to 10 years years,Premium materials and solutions,Middle floor,,Yes,,,,,
716902,"CZK 13,000",50.13927,14.51786,"Pavla Beneše, Prague - Letňany",Studio,New build,37 m²,"CZK 2,500","CZK 26,000",,Personal,Brick building,Furnished,3,No,No,No,No,Yes,Yes,Yes,G,210,367,951,934,509,471,760,979,"1,022",240,03. 05. 2022,,,,,,,,,,,
713073,"CZK 16,000",50.07784,14.49749,"Vrátkovská, Prague - Strašnice",2 bedroom,Good,52 m²,"CZK 5,756","CZK 40,000",,Cooperative,Prefab concrete building,Partially furnished,2,No,No,Yes,No,No,No,No,D,242,489,146,575,314,529,552,469,"1,195",154,01. 05. 2022,District heating,,,Middle floor,,,,,,,
529640,"CZK 9,500",50.0577592,14.2889989,"Na Radosti, Prague - Zličín",Studio,Excellent,25 m²,"CZK 2,800","CZK 19,000",,Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,,293,773,615,558,412,669,248,522,50,,09. 05. 2022,Central heating,1 to 10 years years,Premium materials and solutions,Middle floor,Overall,,,,,,
630614,"CZK 10,500",50.090374,14.307124,"Ciolkovského, Prague - Ruzyně",1 bedroom with open-plan kitchen,Good,42 m²,"CZK 2,500","CZK 20,000",,Personal,Prefab concrete building,,2,No,No,No,No,No,Yes,No,G,248,322,228,215,274,272,307,"1,484","1,396",213,04. 05. 2022,,,,Middle floor,,,,,,,
202649,"CZK 11,990",50.1026222,14.436082,"U smaltovny, Prague - Holešovice",Studio,Excellent,30 m²,"CZK 2,500","CZK 15,000",,Personal,Brick building,Furnished,1,No,No,No,No,No,Yes,No,,286,848,109,360,31,305,466,444,944,,01. 06. 2022,District heating,1 to 10 years years,Standard materials and solutions,Raised ground floor,Overall,,,,,,
715590,"CZK 43,775",50.09912,14.43261,Prague - Holešovice,3 bedroom with open-plan kitchen,New build,113 m²,"CZK 5,500","CZK 87,550",,Personal,Brick building,Unfurnished,4,No,No,Yes,No,No,Yes,No,A,54,722,20,64,99,38,187,"1,475",177,471,01. 06. 2022,,,,,,,,,,,
581839,"CZK 17,400",50.128615,14.483932,"Březenská, Prague - Libeň",1 bedroom with open-plan kitchen,New build,62 m²,"CZK 3,550","CZK 55,000",,Personal,Low-energy building,Furnished,2,No,No,No,No,Yes,Yes,Yes,B,163,"1,180",257,"1,235",458,249,195,728,919,192,18. 05. 2022,District heating,1 to 10 years years,Premium materials and solutions,Middle floor,,Yes,,,,,
540297,"CZK 21,500",50.04304,14.31343,"Toufarova, Prague - Stodůlky",1 bedroom with open-plan kitchen,New build,60 m²,"CZK 2,500","CZK 40,000",,Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,No,No,B,258,485,231,799,821,429,778,559,"1,031",582,01. 05. 2022,Central heating,1 to 10 years years,Premium materials and solutions,Middle floor,,,,,,,
688668,"CZK 19,000",50.07413,14.3961,"Holečkova, Prague - Smíchov",Studio,New build,40 m²,"CZK 3,400","CZK 40,000",,Personal,Brick building,Furnished,3,Yes,No,Yes,No,No,Yes,No,G,70,937,289,648,121,632,234,"1,083","1,005",390,01. 06. 2022,,,,,,,,,,,
697214,"CZK 13,000",50.06194,14.43608,"Petra Rezka, Prague - Nusle",1 bedroom,Excellent,49 m²,"CZK 2,500","CZK 31,000",,Personal,Other,Unfurnished,2,Yes,No,No,No,No,Yes,No,G,167,614,151,528,121,457,121,445,399,278,01. 04. 2022,,,,,Bathroom unit,,,,,,
716856,"CZK 33,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",2 bedroom with open-plan kitchen,Excellent,94 m²,CZK 133,"CZK 66,000",,Personal,Other,Furnished,13,No,Yes,Yes,No,Yes,Yes,No,A,,,,,,,,,,,24. 06. 2022,,,,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,1314,
664824,"CZK 16,000",49.97529,14.39465,"Žitavského, Prague - Zbraslav",2 bedroom with open-plan kitchen,Excellent,64 m²,"CZK 1,800","CZK 15,000",,Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,F,102,216,100,86,154,143,211,915,,,01. 06. 2021,Gas boiler,,Standard materials and solutions,Top floor,Overall,,,,,,
