Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Administrative fee,Floor space,Fully furnished,Condition,Ownership,EPC,Balcony,Cellar,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Terrace,Lift,Heating,Domácí mazlíčci vítáni,Parking,Enclosed balcony,Designe,Reconstruction,New-build,Garage,Age,"You will rent this apartment for approximately CZK 12,389 CZK",Plot type,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 17,000","CZK 3,500","CZK 20,000",465918,1 bedroom,8/21/2022,3,Brick,,37 m²,Fully furnished,,Personal,,,,200.72,600.92,144.24,145.95,138.78,399.64,679.4,511.11,496.57,377.77,"Na Celné, Prague - Smíchov",50.0715092,14.409671,,,Electric boiler,,,,,Complete,,,,,,
"CZK 17,000","CZK 3,000","CZK 30,000",678107,3+1,10/1/2022,4,Prefab concrete,,82 m²,Partly,Very good,Cooperative,C,1.0,1.0,139.15,489.42,691.61,2969.27,540.85,838.62,952.02,1515.86,1660.06,368.03,"V Rohu, Prague - Libuš",50.01091,14.46631,,1.0,Central,,,,,Bathroom unit,,,,,,
"CZK 16,500","CZK 3,500","CZK 20,000",646493,Studio,9/1/2022,2,Other,,53 m²,Fully furnished,Very good,Personal,G,,,225.12,831.68,0.0,877.55,320.85,194.19,387.21,271.69,382.22,103.03,"Malkovského, Prague - Letňany",50.140867,14.50736,1.0,1.0,Central,,1.0,,,,,,,,,
"CZK 12,000","CZK 3,000","CZK 15,000",650716,Small studio,9/1/2022,6,Brick,,33 m²,Partly,New-build,Personal,A,1.0,,423.15,2168.74,1870.0,2245.52,406.28,2025.04,1219.49,2119.55,370.39,1106.24,"Šífařská, Prague - Hodkovičky",50.020821,14.40306,,1.0,Distance,,1.0,,Luxurious,,1.0,,Up to 10 years,,,
"CZK 29,325","CZK 9,775",,729972,3+1,8/17/2022,1,,,110 m²,Fully furnished,,,,1.0,,208.61,131.46,936.81,2564.81,336.74,613.32,243.84,2102.93,1889.94,338.05,"K Zámku, Prague - Dolní Počernice",50.0890765,14.5799076,1.0,,,,,,,,,,,,,
"CZK 21,019","CZK 7,006",,729565,Studio,8/31/2022,1,,,28 m²,Fully furnished,,,,,,194.2,798.76,138.2,283.7,89.62,474.09,247.17,335.61,500.98,81.99,"U Zeměpisného ústavu, Prague - Bubeneč",50.1033901,14.4020568,,,,,,,,,,,,,,
"CZK 13,500","CZK 2,000","CZK 10,000",729968,Studio,8/15/2022,1,Prefab concrete,,25 m²,Partly,Very good,,C,,,260.88,661.41,171.16,560.3,303.46,941.17,281.66,430.11,339.64,103.62,Prague - Záběhlice,50.05732,14.50991,,,,,,,,,,,,,,
"CZK 8,000","CZK 3,700","CZK 16,000",729966,Small studio,8/15/2022,4,Brick,,20 m²,Partly,Good,,G,,,111.65,608.86,74.16,512.01,358.21,419.05,256.16,331.17,552.81,125.13,Prague - Vršovice,50.07329,14.47054,,,,,,,,,,,,,,
"CZK 13,500","CZK 1,000","CZK 15,000",729961,Small studio,9/1/2022,4,Brick,,28 m²,Partly,Good,,G,,1.0,131.52,150.96,141.36,93.73,15.42,210.61,143.91,438.79,121.75,419.4,Prague - Vršovice,50.06817,14.45449,,,,1.0,,,,,,,,,,
"CZK 13,000","CZK 4,000","CZK 13,000",694796,Studio,12/2/2021,2,Low-energy,,37 m²,Partly,New-build,Personal,B,,1.0,318.32,841.02,465.89,601.46,180.43,644.06,546.75,294.52,334.29,112.16,"Olgy Havlové, Prague - Žižkov",50.0888135,14.4837802,,1.0,,,,1.0,,,,,,,,
"CZK 16,500","CZK 4,500","CZK 20,000",613343,2+kk,10/1/2022,4,Brick,,46 m²,,Very good,Personal,A,1.0,,526.76,1019.91,431.15,1156.37,479.61,952.31,597.42,464.21,605.37,264.73,"Mírového Hnutí, Prague - Háje",50.037896,14.521034,,1.0,,,1.0,,,,,1.0,,,,
"CZK 28,000","CZK 1,860","CZK 35,000",632286,2 bedroom,11/13/2020,2,Brick,,99 m²,Partly,Good,Personal,G,,,478.8,591.92,370.65,828.73,398.29,798.26,428.22,378.25,620.85,677.83,"Perucká, Prague - Vinohrady",50.068862,14.438625,,,,,1.0,,Standard,,,,Over 50 years,,,
"CZK 18,500","CZK 4,000","CZK 35,000",421225,2+kk,10/1/2022,4,Brick,,52 m²,Partly,Very good,Personal,A,1.0,,324.34,473.47,296.86,224.17,158.4,158.73,795.72,748.5,192.56,232.72,"Nepilova, Prague - Vysočany",50.110728,14.4959744,,1.0,,,1.0,,,,,,,,,
"CZK 12,500",CZK 900,"CZK 12,500",615538,2+kk,8/15/2022,5,Brick,,50 m²,Partly,Very good,Other,D,1.0,,187.59,274.83,227.89,282.77,113.5,323.91,178.79,489.77,650.19,338.39,"Zborovská, Prague - Smíchov",50.076849,14.407253,,,Gas boiler,,,,,,,1.0,,,,
"CZK 19,800","CZK 6,600",,729949,3+kk,9/3/2022,2,,,90 m²,Fully furnished,,,,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,1.0,,,,,,,,,,,,
"CZK 18,000","CZK 4,000","CZK 25,000",422289,3+kk,9/1/2022,1,Prefab concrete,,62 m²,Partly,Very good,Cooperative,,,,349.4,572.95,463.03,504.55,608.98,829.85,376.29,223.35,863.97,146.24,"Borošova, Prague - Háje",50.0303216,14.5380942,,,Central,,,1.0,Standard,Interior,,,,,,
"CZK 15,500","CZK 5,000","CZK 31,000",574633,3+kk,8/15/2022,9,Prefab concrete,,63 m²,Fully furnished,,Personal,,1.0,,70.26,529.39,207.62,452.45,57.22,527.57,397.46,212.87,624.33,149.34,"Makovského, Prague - Řepy",50.0665097,14.3026694,,,,,,,,,,,,,,
"CZK 27,000","CZK 2,800","CZK 54,000",729947,3+kk,9/1/2022,3,Brick,,80 m²,Unfurnished,Very good,,G,1.0,,123.73,504.08,88.34,166.22,168.28,331.46,520.43,300.11,897.27,383.33,Prague - Žižkov,50.07838,14.45734,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,000","CZK 18,000",670896,Studio,9/1/2022,5,Brick,,40 m²,Fully furnished,Very good,Personal,D,,,10.59,665.3,5.26,495.41,14.16,424.06,265.3,603.82,239.39,165.01,"Táborská, Prague - Nusle",50.06129,14.43673,,,,,,,,,,,,,,
"CZK 32,000","CZK 6,000","CZK 32,000",628613,3+1,9/1/2022,1,Brick,,89 m²,Fully furnished,Very good,Personal,G,,,167.95,912.97,160.16,349.44,164.94,418.89,576.42,448.95,290.35,341.84,"Slavojova, Prague - Nusle",50.064215,14.424948,,1.0,Electric boiler,,,,Standard,Complete,,,30 - 50 years,,,
"CZK 13,500",CZK 500,"CZK 15,000",729944,Studio,10/1/2022,5,Prefab concrete,,38 m²,Fully furnished,Very good,,B,,1.0,233.84,1275.59,229.74,1315.56,318.64,307.71,443.89,133.99,1126.09,128.62,Prague - Hostivař,50.04662,14.51884,,1.0,,,,,Standard,Interior,,,10 to 30 years,,,
