Price,Fees,Refundable security deposit,Listing ID,Layout,Condition,Ownership,EPC,Floor space,Avaliable from,Floor,Building type,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Reconstruction,Fully furnished,Heating,Designe,Cellar,Balcony,Terrace,Enclosed balcony,Age,New-build,Parking,Garage,Domácí mazlíčci vítáni,Administrative fee,Plot type
"CZK 12,000","CZK 3,000","CZK 19,000",726777,Small studio,New-build,,G,20 m²,8/31/2022,1,Brick,,476.01,1797.91,1520.88,1790.57,730.58,1278.75,570.77,1430.11,944.43,214.45,Prague - Hodkovičky,50.02584,14.40784,,Partly,,Standard,,,,,10 to 30 years,1.0,1.0,,,,
"CZK 8,500","CZK 4,000","CZK 15,000",730728,Studio,Good,,G,30 m²,8/29/2022,-1,Brick,,316.86,1211.38,288.09,897.75,374.18,971.78,946.12,272.14,959.79,267.32,Prague - Dejvice,50.0979,14.37711,,Partly,,,,,,,,,,,,,
"CZK 16,000","CZK 3,290","CZK 19,290",730159,2 bedroom,Very good,,A,54 m²,9/30/2022,11,Prefab concrete,1.0,118.09,489.85,20.91,438.5,309.94,459.86,121.07,212.17,710.25,223.59,Prague - Vršovice,50.0723,14.47152,,Partly,,,,,,,,,,,1.0,,
"CZK 35,000","CZK 10,000","CZK 35,000",729540,3+kk,Very good,,G,136 m²,9/1/2022,5,Other,1.0,414.08,771.69,477.5,878.68,3.32,463.98,336.19,409.67,481.2,613.02,"Na Výsledku II, Prague - Nusle",50.05555665,14.44677365,,Fully furnished,,,1.0,,1.0,,,,,,,,
"CZK 14,000","CZK 2,500","CZK 28,000",730724,Studio,New-build,,G,42 m²,8/21/2022,1,Brick,,1478.51,2152.1,1779.95,2050.57,1884.71,2089.31,1389.09,1749.38,2849.26,1483.91,Prague - Uhříněves,50.04535,14.59727,,Fully furnished,,Standard,,1.0,,,10 to 30 years,1.0,1.0,,1.0,,
"CZK 9,500","CZK 2,500","CZK 12,000",728735,Small studio,Good,,B,15 m²,9/1/2022,4,Brick,,6.13,1142.27,634.69,818.33,746.52,711.11,579.27,699.97,377.71,338.38,Prague - Smíchov,50.07075,14.36128,,Fully furnished,,,,,,,,,,,,,
"CZK 24,000","CZK 5,000","CZK 75,000",729939,3+kk,New-build,,G,80 m²,8/15/2022,3,Brick,1.0,404.22,627.09,484.92,932.02,709.91,847.27,542.04,621.82,662.9,305.7,Prague - Horní Měcholupy,50.04295,14.54968,Complete,Fully furnished,Central,,1.0,1.0,,,10 to 30 years,1.0,1.0,1.0,,,
"CZK 11,500","CZK 2,580","CZK 15,000",730161,Studio,Very good,,A,22 m²,9/30/2022,1,Prefab concrete,1.0,313.68,468.15,553.55,2697.95,331.92,485.82,741.2,610.42,1689.93,249.23,Prague - Čimice,50.14157,14.43307,,Partly,,,,,,,,,,,1.0,,
"CZK 15,000","CZK 5,000","CZK 30,000",730398,2+kk,Very good,,E,54 m²,9/15/2022,2,Brick,,60.74,738.0,272.64,1093.95,101.41,576.03,488.78,430.55,388.92,367.0,Prague - Smíchov,50.06497,14.39291,,Partly,,,1.0,,,,,,,,1.0,,
"CZK 8,900","CZK 3,100","CZK 16,000",689133,Studio,Very good,Personal,G,28 m²,8/17/2022,4,Brick,1.0,325.63,279.64,115.51,2177.18,130.11,325.04,2.2,206.21,1466.61,480.39,"Školní, Prague - Braník",50.03722,14.41341,,Partly,,,,,1.0,,,,,,,,
"CZK 27,000","CZK 9,000",,730277,2+kk,,,,52 m²,9/1/2022,2,,1.0,101.2,551.63,76.94,167.66,45.43,94.55,322.6,504.78,539.56,607.69,"Rumunská, Prague - Vinohrady",50.0739629,14.4309041,,Fully furnished,,,,,,,,,,,,,
"CZK 18,000","CZK 5,000","CZK 36,000",683172,2+kk,Very good,Personal,G,55 m²,8/16/2022,5,Brick,,300.02,346.31,242.92,505.85,74.44,510.98,211.05,158.51,186.03,232.81,"Písecká, Prague - Vinohrady",50.0763515,14.4651577,Complete,Partly,Gas boiler,Standard,1.0,,,,Over 50 years,,,,,,
"CZK 11,800","CZK 3,700","CZK 11,800",174167,1 bedroom,Very good,Personal,,47 m²,9/1/2022,1,Brick,,269.91,482.78,119.66,1225.34,219.91,809.9,389.5,379.4,327.15,23.4,"Za Pohořelcem, Prague - Střešovice",50.0864318,14.3834355,Complete,Fully furnished,Gas boiler,Standard,,,,,,,,,,,
"CZK 14,700",CZK 0,"CZK 20,000",319784,2+kk,,Personal,,52 m²,9/1/2022,3,Brick,1.0,183.18,395.09,68.94,148.73,17.96,292.33,263.93,505.32,342.96,196.0,"Valerije Pavloviče Čkalova, Prague - Bubeneč",50.0993313,14.3998311,,Fully furnished,Electric boiler,,,,,,,,,,,,
"CZK 17,500","CZK 1,500","CZK 20,000",730111,2+kk,Very good,,A,55 m²,9/1/2022,1,Brick,,129.88,1069.07,205.53,1004.68,159.66,663.48,615.44,421.6,536.05,467.95,Prague - Smíchov,50.06262,14.39664,,Fully furnished,,,1.0,,,,,,,1.0,,,
"CZK 15,800","CZK 3,280","CZK 20,000",570248,Studio,New-build,Personal,C,42 m²,10/1/2022,3,Low-energy,1.0,99.26,361.63,490.78,556.87,427.65,345.52,452.0,519.02,404.9,293.38,"Olšanská, Prague - Žižkov",50.0830187,14.4654473,,Partly,Distance,Luxurious,1.0,1.0,,,Up to 10 years,1.0,1.0,,,,
"CZK 12,500","CZK 2,500","CZK 20,000",730113,Small studio,Very good,,B,32 m²,8/16/2022,1,Brick,,265.54,457.35,516.76,553.64,567.65,606.23,913.09,589.89,1518.52,803.9,Prague - Jinonice,50.05764,14.36741,,Partly,,,,,1.0,,,,,,,,
"CZK 21,500","CZK 3,058","CZK 32,250",386583,2+kk,New-build,Personal,,66 m²,9/5/2022,6,Prefab concrete,1.0,200.44,899.67,116.64,347.09,27.75,327.12,327.09,562.48,353.21,44.52,"Kurta Konráda, Prague - Libeň",50.1050691,14.4879729,,Partly,Central,Standard,1.0,1.0,,,Up to 10 years,1.0,,1.0,,,
"CZK 17,500","CZK 3,500","CZK 17,500",730701,2+kk,New-build,,C,65 m²,8/21/2022,2,Brick,1.0,265.0,976.08,523.77,941.25,483.3,496.25,908.9,521.25,436.99,403.29,Prague - Stodůlky,50.05178,14.33128,,Partly,,,1.0,1.0,,,,,,,,,
"CZK 27,000","CZK 2,000","CZK 54,000",730698,3+1,Very good,,G,100 m²,9/1/2022,4,Brick,,111.55,568.7,105.68,389.17,22.69,257.42,701.81,529.29,514.74,478.42,Prague - Smíchov,50.06958,14.40615,,Partly,,,,,,,,,,,,,
"CZK 16,000","CZK 4,000","CZK 30,000",730100,2 bedroom,Very good,,G,50 m²,8/16/2022,3,Brick,1.0,231.98,400.68,81.73,1320.65,181.98,823.91,307.39,297.29,243.53,63.79,Prague - Střešovice,50.08683,14.38424,,Unfurnished,,,,1.0,,,,,,,,,
"CZK 30,000","CZK 5,000","CZK 60,000",730693,3+1,Very good,,D,98 m²,8/21/2022,6,Brick,1.0,206.4,463.59,26.18,490.53,132.33,56.4,300.37,399.38,623.06,491.83,Prague - Žižkov,50.08145,14.44794,,Fully furnished,,,1.0,1.0,1.0,,,,,,,,
"CZK 21,019","CZK 7,006",,730685,Studio,,,,28 m²,8/31/2022,1,,,194.2,798.76,138.2,283.7,89.62,474.09,247.17,335.61,500.98,81.99,"U Zeměpisného ústavu, Prague - Bubeneč",50.1033901,14.4020568,,Fully furnished,,,,,,,,,,,,,
"CZK 15,000","CZK 4,000","CZK 30,000",730681,2 bedroom,Very good,Personal,G,49 m²,9/5/2022,1,Brick,,72.47,323.21,123.04,161.16,83.35,257.83,190.96,677.42,400.74,244.94,Prague - Strašnice,50.07551,14.48872,Complete,Partly,,Standard,,,,,,,1.0,,,,
"CZK 19,500","CZK 4,300","CZK 45,000",730680,2+kk,Very good,Personal,D,51 m²,11/1/2022,3,Prefab concrete,1.0,77.89,806.6,238.19,510.21,346.43,332.17,116.14,372.1,179.0,189.14,Prague - Letňany,50.13414,14.50913,,Fully furnished,,,1.0,,,1.0,,,,,,,
"CZK 43,000","CZK 7,000","CZK 90,000",730080,3+kk,New-build,,G,90 m²,9/1/2022,2,Brick,1.0,78.16,287.71,91.16,102.12,98.71,140.37,133.02,301.56,565.88,477.59,Prague - Nové Město,50.09072,14.4351,,Partly,,,1.0,,,,,,,,,,
"CZK 20,500","CZK 5,500","CZK 26,000",683312,2+kk,Very good,Personal,E,64 m²,9/1/2022,5,Brick,1.0,54.15,613.56,19.65,25.54,43.7,138.5,276.11,361.15,306.6,378.5,"Jana Želivského, Prague - Žižkov",50.08869,14.46837,Complete,Fully furnished,,,1.0,,,,,,,,,,
"CZK 17,000","CZK 2,900","CZK 40,000",730677,2+kk,Very good,,C,48 m²,9/1/2022,3,Brick,1.0,127.28,833.45,0.95,1967.51,86.67,787.29,490.85,1036.75,847.71,404.51,Prague - Kyje,50.10906,14.55753,,Partly,,,1.0,1.0,,,,,,1.0,,,
"CZK 19,500",CZK 779,"CZK 39,000",697625,2+kk,Very good,Cooperative,G,58 m²,11/1/2022,3,Brick,1.0,82.7,455.01,98.38,158.1,81.21,239.05,520.06,207.7,804.87,290.93,"Baranova, Prague - Žižkov",50.07806,14.4581,,Unfurnished,Gas boiler,,,1.0,,1.0,,,,,,,
"CZK 16,000","CZK 3,950","CZK 20,000",320028,2 bedroom,,Personal,,60 m²,10/1/2022,3,Prefab concrete,1.0,195.62,994.27,38.44,1213.76,334.91,313.68,465.33,577.57,746.52,421.28,"Olbramovická, Prague - Kamýk",50.0160639,14.4388525,,Partly,Central,,1.0,,,,,,,,,,
"CZK 14,000","CZK 3,600","CZK 14,000",505470,2+kk,Very good,Personal,D,43 m²,10/1/2022,7,Prefab concrete,1.0,97.07,518.62,175.18,614.86,171.34,492.91,345.02,334.45,1585.25,88.37,"Famfulíkova, Prague - Kobylisy",50.1318409,14.4711883,Bathroom unit,Partly,Distance,,,,,,,,,,,,
"CZK 21,768","CZK 2,772","CZK 60,000",730674,2+kk,Very good,,B,47 m²,8/21/2022,1,Brick,1.0,189.21,570.4,309.44,252.01,222.72,568.96,235.01,384.66,186.41,205.54,Prague - Vršovice,50.06875,14.46365,,Fully furnished,,,1.0,1.0,,,,1.0,,,1.0,,
"CZK 21,900","CZK 3,000","CZK 44,000",686568,Studio,New-build,Personal,E,26 m²,9/1/2022,2,Brick,1.0,98.4,430.77,193.81,210.42,67.47,366.05,461.93,467.64,787.48,452.05,"Gorazdova, Prague - Nové Město",50.07386,14.41527,Complete,Fully furnished,,,,,,,Up to 10 years,,,,,,
"CZK 22,000","CZK 3,500","CZK 34,000",607372,Studio,Very good,Personal,E,25 m²,9/15/2022,1,Brick,1.0,148.83,419.07,71.5,195.07,56.82,331.69,329.58,642.28,911.37,462.1,"Gorazdova, Prague - Nové Město",50.074462,14.414953,Complete,Fully furnished,Central,Luxurious,,,,,Up to 10 years,,,,,,
"CZK 26,000","CZK 3,400","CZK 52,000",730670,2+kk,New-build,,A,63 m²,8/21/2022,3,Brick,1.0,223.82,551.73,112.09,195.54,39.2,180.54,365.08,771.85,231.06,497.78,Prague - Karlín,50.09339,14.45428,,Partly,,,1.0,,,,,1.0,,1.0,,,
"CZK 20,000","CZK 1,000","CZK 25,000",730668,3+1,Very good,,G,82 m²,8/21/2022,1,Prefab concrete,1.0,249.23,243.32,171.92,966.42,151.79,801.36,290.08,469.24,587.42,189.96,Prague - Hlubočepy,50.03013,14.36698,,Partly,,,1.0,,,1.0,,,,,,,
"CZK 15,000","CZK 3,000","CZK 20,000",709035,Small studio,New-build,Personal,,29 m²,,,Low-energy,,618.33,731.45,510.18,791.23,537.83,770.06,567.75,517.78,666.68,817.36,Prague - Vinohrady,50.0684925,14.438051,,Fully furnished,Central,Luxurious,1.0,,1.0,,Up to 10 years,,,,,,
"CZK 21,500","CZK 1,400","CZK 43,000",729511,2 bedroom,Very good,,G,57 m²,8/11/2022,2,Brick,1.0,267.75,1301.32,208.94,1122.02,496.69,676.19,348.18,214.56,1000.15,110.09,Prague - Strašnice,50.07119,14.50355,,Partly,,,1.0,,,,,,,,,,
"CZK 10,000","CZK 2,500","CZK 12,500",730667,Studio,New-build,,B,16 m²,9/1/2022,2,Other,,611.24,780.27,433.45,420.1,219.24,740.32,581.38,100.21,449.61,338.75,Prague - Vysočany,50.10672,14.50538,,Partly,,,,,,,,1.0,,,,,
"CZK 33,750","CZK 11,250",,718218,2+kk,,,,45 m²,9/6/2022,2,,1.0,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,Fully furnished,,,,,,,,,,,,,
"CZK 17,500","CZK 2,500","CZK 25,000",404507,2+kk,Very good,Personal,,44 m²,8/15/2022,3,Brick,1.0,314.12,465.35,344.55,234.05,291.91,454.65,173.32,780.57,389.91,135.89,Prague - Podolí,50.0561286,14.4214707,Complete,Unfurnished,Central,Standard,1.0,1.0,,,,,1.0,,,,
"CZK 27,000","CZK 6,000","CZK 33,000",462223,3+kk,New-build,Personal,B,106 m²,9/1/2022,8,Brick,1.0,212.08,812.91,162.18,1052.96,441.38,396.18,445.25,146.72,1065.71,247.83,"Otradovická, Prague - Kamýk",50.0198176,14.4448089,,Fully furnished,Central,Luxurious,,,1.0,,Up to 10 years,1.0,,1.0,,,
"CZK 8,300",CZK 0,"CZK 12,000",730065,4+1,Good,,G,30 m²,10/10/2022,2,Brick,,416.15,1119.2,164.68,682.83,309.93,545.96,146.46,1060.0,596.48,112.48,Prague - Karlín,50.09357,14.46052,,Fully furnished,,,1.0,,,,,,,,,,
"CZK 17,000","CZK 3,500","CZK 35,000",679463,2+kk,Very good,Personal,B,55 m²,9/1/2022,4,Low-energy,1.0,119.61,1030.22,381.43,913.75,402.76,629.33,272.0,279.05,815.5,41.99,"Valečovská, Prague - Prosek",50.11799,14.49021,,Fully furnished,Central,Luxurious,,,,,,1.0,1.0,,,,
"CZK 20,000","CZK 4,500","CZK 40,000",461130,3+kk,,Personal,C,62 m²,9/12/2022,1,Brick,1.0,245.07,1603.95,923.29,2129.19,697.88,1650.4,1292.07,1787.3,1232.57,710.16,"Farkašova, Prague - Kyje",50.1158365,14.5628399,,Fully furnished,,,,,1.0,,Up to 10 years,,1.0,,,,
"CZK 15,000",CZK 650,"CZK 15,000",730658,2+kk,Good,,G,45 m²,8/29/2022,3,Brick,,156.25,663.41,113.92,440.06,0.11,438.41,253.01,384.55,669.84,374.48,Prague - Vršovice,50.07212,14.45724,,Unfurnished,,,,,,,,,,,1.0,,
"CZK 16,000","CZK 4,000","CZK 16,000",600766,2+kk,Very good,Personal,C,56 m²,8/15/2022,1,Brick,1.0,115.45,128.96,563.8,755.23,442.46,635.86,384.23,834.07,2003.92,309.41,"U Kříže, Prague - Jinonice",50.054407,14.365663,,Partly,,,,,,,,,,1.0,,,
"CZK 23,000","CZK 6,000","CZK 35,000",730656,3+kk,Very good,,G,84 m²,8/21/2022,4,Brick,1.0,184.94,655.02,3.59,431.68,73.84,430.02,244.62,333.82,572.87,269.17,Prague - Vršovice,50.07191,14.45951,,Partly,,,1.0,1.0,,,,,,,,,
"CZK 26,000","CZK 2,000","CZK 26,000",729064,2+kk,New-build,,A,62 m²,8/8/2022,6,Brick,1.0,133.89,534.98,98.87,163.12,157.02,73.54,334.02,280.84,454.18,358.34,Prague - Nové Město,50.07173,14.41968,,Fully furnished,,,,,,,,1.0,,,,,
"CZK 32,175","CZK 10,725",,726162,2+kk,,,,62 m²,9/16/2022,7,,1.0,99.26,361.63,490.78,556.87,427.65,345.52,452.0,519.02,404.9,293.38,"Olšanská h, Prague - Žižkov",50.0830187,14.4654473,,Fully furnished,,,,,,,,,,,,,
"CZK 16,200","CZK 3,800","CZK 20,000",686230,2+kk,New-build,Personal,B,43 m²,10/1/2022,5,Brick,1.0,443.03,2205.5,1833.24,2208.76,443.04,2061.8,1256.25,2082.8,407.15,1143.0,"Šífařská, Prague - Hodkovičky",50.0204964,14.4029624,,Fully furnished,,,1.0,1.0,,,,,,,,,
"CZK 22,900","CZK 3,500","CZK 25,000",326740,3+1,,Personal,,73 m²,8/21/2022,7,Prefab concrete,,139.55,285.64,66.38,910.94,156.45,733.79,182.95,283.33,474.97,107.71,"Voskovcova, Prague - Hlubočepy",50.0296414,14.3686041,Complete,Unfurnished,Central,,,1.0,,,,,,,,,
"CZK 19,000","CZK 5,000","CZK 24,000",729104,2+kk,Very good,,B,48 m²,8/20/2022,4,Brick,1.0,634.27,870.62,220.77,1005.97,282.21,234.65,479.9,251.36,711.03,122.07,Prague - Kunratice,50.02378,14.48676,,Fully furnished,Central,Standard,1.0,1.0,,,,,1.0,1.0,,,
"CZK 29,900",CZK 0,"CZK 29,900",730506,4+kk,Very good,,G,110 m²,9/1/2022,1,Brick,1.0,90.95,663.85,103.33,402.38,15.51,371.51,274.26,552.81,289.52,278.14,Prague - Bubeneč,50.10016,14.40303,,Partly,,,1.0,1.0,,,,,1.0,,,,
"CZK 13,000","CZK 5,000","CZK 26,000",726042,Studio,Very good,Personal,G,32 m²,9/1/2022,3,Brick,1.0,249.66,693.57,692.2,1211.41,225.0,494.83,319.69,416.46,396.46,249.66,Prague - Hloubětín,50.10433,14.55168,,Fully furnished,,Standard,,,,,Up to 10 years,,1.0,,,,
"CZK 60,000","CZK 20,000",,717694,2+kk,,,,,8/23/2022,3,,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,Fully furnished,,,,,,,,,,,,,
"CZK 51,840","CZK 17,280",,728059,3+1,,,,85 m²,9/30/2022,2,,1.0,278.51,602.82,173.91,301.83,0.93,288.1,225.94,440.55,233.82,416.1,"Bílkova, Prague - Staré Město",50.0912254,14.4209612,,Fully furnished,,,,,,,,,,,,,
"CZK 41,438","CZK 13,812",,728262,Studio,,,,26 m²,9/11/2022,2,,,229.1,530.05,122.61,223.26,36.43,222.12,280.75,471.08,466.92,408.11,"Příčná, Prague - Nové Město",50.077834,14.422878,,Fully furnished,,,,,,,,,,,,,
"CZK 32,400","CZK 10,800",,728253,2 bedroom,,,,65 m²,10/1/2022,5,,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,Fully furnished,,,,,,,,,,,,,
"CZK 33,000","CZK 11,000",,728257,3+kk,,,,80 m²,10/1/2022,2,,,156.94,402.05,153.34,284.97,151.52,248.16,393.35,447.14,193.37,153.39,"Anežská, Prague - Staré Město",50.0920126,14.4239059,,Fully furnished,,,,,,,,,,,,,
"CZK 29,250","CZK 9,750",,725020,2 bedroom,,,,65 m²,9/19/2022,3,,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,Fully furnished,,,,,,,,,,,,,
"CZK 39,000","CZK 13,000",,728062,2 bedroom,,,,92 m²,9/30/2022,7,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,Fully furnished,,,,1.0,1.0,,,,,,,,
"CZK 27,195","CZK 9,065",,730051,2+kk,,,,50 m²,10/15/2022,1,,,255.31,501.77,459.42,715.23,218.51,523.94,431.76,479.05,374.11,261.13,"Na Balkáně, Prague - Žižkov",50.095259,14.4941569,,Fully furnished,,,,1.0,1.0,,,,,,,,
"CZK 27,000","CZK 9,000",,729347,Studio,,,,42 m²,10/10/2022,6,,1.0,281.75,307.61,213.79,334.55,123.9,263.48,107.78,215.2,467.08,403.1,"Krásova, Prague - Žižkov",50.0830503,14.4473656,,Fully furnished,,,,1.0,1.0,,,,,,,,
"CZK 33,750","CZK 11,250",,730188,1 bedroom,,,,45 m²,10/16/2022,3,,1.0,153.03,376.72,146.99,646.6,45.07,502.75,147.12,62.23,673.09,485.89,"Jana Masaryka, Prague - Vinohrady",50.0723321,14.4399493,,Fully furnished,,,,,,,,,,,,,
"CZK 48,435","CZK 16,145",,730649,3+1,,,,108 m²,10/20/2022,3,,1.0,170.36,424.31,260.04,428.7,73.65,305.75,38.65,29.43,439.38,720.46,"Balbínova, Prague - Vinohrady",50.0795643,14.4361068,,Fully furnished,,,,,,,,,,,,,
"CZK 32,918","CZK 10,972",,730648,Studio,,,,35 m²,10/20/2022,2,,,247.87,258.88,108.69,237.41,65.07,538.8,263.81,273.73,806.33,230.99,"Míšeňská, Prague - Malá Strana",50.0876118,14.4080467,,Fully furnished,,,,,,,,,,,,,
"CZK 28,050","CZK 9,350",,730647,Studio,,,,40 m²,10/20/2022,2,,,87.49,353.69,89.13,198.59,58.79,391.02,424.91,274.28,259.74,601.22,"Zborovská, Prague - Smíchov",50.0730353,14.4083714,,Fully furnished,,,,1.0,1.0,,,,,,,,
"CZK 20,000","CZK 5,800","CZK 40,000",730026,3+kk,Very good,,B,79 m²,8/20/2022,4,Brick,1.0,123.98,590.32,215.96,3442.71,251.39,175.06,693.48,435.64,573.06,105.37,Prague - Kbely,50.13218,14.5513,,Partly,,,1.0,1.0,1.0,,,,1.0,,1.0,,
"CZK 26,000","CZK 7,900","CZK 50,000",548506,2+kk,,Personal,B,54 m²,8/21/2022,4,Brick,1.0,196.54,708.6,185.89,175.43,33.46,257.8,76.89,276.1,130.26,252.34,"Vyšehradská, Prague - Nové Město",50.0694781,14.418098,Complete,Fully furnished,,Luxurious,1.0,,,,Up to 10 years,,,,,,
