Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Renovation,Age,Total number of floors,New building,Front garden,Developer name,Project name,Kód jednotky,Administration fee
680251,"CZK 13,990",50.0851483,14.4512417,Prague - Žižkov,1 bedroom,40 m²,CZK 760,Partially furnished,3,Yes,No,No,No,No,No,No,05. 01. 2022,173,144,56,115,75,165,167,383,199,457,Excellent,"CZK 20,000",Personal,Other,C,Standard materials and solutions,Central heating,Overall,1 to 10 years years,Middle floor,,,,,,
594296,"CZK 16,000",50.0674073,14.4519118,"Petrohradská, Prague - Vršovice",1 bedroom with open-plan kitchen,58 m²,"CZK 2,500",Furnished,5,No,No,No,No,No,Yes,No,05. 01. 2022,250,461,208,339,218,218,329,378,232,482,New build,"CZK 16,000",Personal,Brick building,B,Premium materials and solutions,Gas boiler,Overall,1 to 10 years years,Middle floor,Yes,,,,,
536547,"CZK 15,500",50.1102146,14.5256426,Prague - Hloubětín,2 bedroom,61 m²,"CZK 5,000",Partially furnished,3,Yes,No,Yes,No,No,No,No,06. 01. 2022,213,"1,295",825,"1,277",865,"1,112","1,123",908,957,613,Excellent,"CZK 20,000",Cooperative,Brick building,D,,Gas boiler,,,Middle floor,,,,,,
554465,"CZK 15,500",50.0987257,14.396819,"Kafkova, Prague - Dejvice",1 bedroom with open-plan kitchen,50 m²,"CZK 3,000",Unfurnished,2,No,No,No,No,No,No,No,01. 02. 2022,159,56,66,143,76,89,520,448,370,282,,"CZK 15,500",Personal,Brick building,,,,,,,,,,,,
597089,"CZK 22,000",50.099657,14.431762,"Veverkova, Prague - Holešovice",1 bedroom with open-plan kitchen,48 m²,"CZK 1,500",Unfurnished,3,No,No,Yes,No,No,Yes,No,10. 01. 2022,116,714,0,44,148,144,254,169,541,,Excellent,"CZK 44,000",Personal,Brick building,C,Premium materials and solutions,Gas boiler,Overall,1 to 10 years years,Middle floor,,,,,,
693374,"CZK 13,000",50.10811,14.44456,"Plynární, Prague - Holešovice",Studio,32 m²,"CZK 1,500",Unfurnished,4,Yes,No,Yes,No,No,No,No,23. 11. 2021,168,658,261,670,72,147,351,"1,013",379,279,Excellent,"CZK 26,000",Personal,Brick building,G,,,,,,,,,,,
697027,"CZK 11,000",50.06952,14.46051,"náměstí Svatopluka Čecha, Prague - Vršovice",1 bedroom,38 m²,"CZK 3,500",Partially furnished,4,No,No,No,No,No,No,No,01. 01. 2022,267,744,295,418,236,530,371,272,622,365,Excellent,"CZK 14,500",Personal,Brick building,E,,,,,,,,,,,
618201,"CZK 21,500",50.029235,14.597578,"Oty Bubeníčka, Prague - Uhříněves",2 bedroom with open-plan kitchen,90 m²,"CZK 4,000",,1,Yes,No,No,No,No,Yes,Yes,01. 12. 2021,249,370,319,479,293,342,674,690,862,245,New build,"CZK 30,000",Personal,Brick building,B,,,,,,,,,,,
536504,"CZK 22,000",50.1112224,14.4508959,"Varhulíkové, Prague - Holešovice",1 bedroom with open-plan kitchen,79 m²,"CZK 3,551",Partially furnished,6,Yes,Yes,Yes,No,Yes,No,No,03. 01. 2022,136,"1,042",582,854,543,640,497,"1,317",771,483,Excellent,"CZK 25,000",Personal,Prefab concrete building,C,,,,10 to 30 years years,Middle floor,,,,,,
446124,"CZK 16,500",50.0058372,14.4149292,"Soukalova, Prague - Modřany",1 bedroom with open-plan kitchen,49 m²,"CZK 3,500",Unfurnished,2,Yes,No,Yes,No,Yes,No,Yes,01. 02. 2022,246,257,379,339,405,40,617,740,869,72,,"CZK 16,500",Personal,Brick building,B,Premium materials and solutions,District heating,,1 to 10 years years,Middle floor,Yes,,,,,
693404,"CZK 22,125",50.1085928,14.4915135,"U školičky, Prague - Libeň",2 bedroom with open-plan kitchen,63 m²,"CZK 7,375",Furnished,5,No,No,No,No,No,No,No,07. 01. 2022,181,533,222,533,196,258,442,227,114,112,,,,,,,,,,,,,,,,
695866,"CZK 21,750",50.073014,14.4308483,"Tyršova, Prague - Nové Město",1 bedroom with open-plan kitchen,35 m²,"CZK 7,250",Furnished,4,No,No,No,No,No,Yes,No,07. 01. 2022,182,528,118,213,29,198,369,452,636,686,,,,,,,,,,,,,,,,
688966,"CZK 18,900",50.0723321,14.4399493,"Jana Masaryka, Prague - Vinohrady",1 bedroom,49 m²,"CZK 6,300",Furnished,3,No,No,No,No,No,Yes,No,07. 01. 2022,155,369,147,651,45,545,205,328,671,484,,,,,,,,,,,,,,,,
698216,"CZK 19,500",50.11169,14.47157,"Kandertova, Prague - Libeň",1 bedroom with open-plan kitchen,68 m²,"CZK 2,500",Furnished,2,Yes,No,Yes,No,No,Yes,No,01. 02. 2022,291,"1,262",320,747,315,315,457,"1,156",393,266,Excellent,"CZK 19,500",Cooperative,Brick building,B,Premium materials and solutions,Electric boiler,Overall,1 to 10 years years,Middle floor,,,,,,
