Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Design,Heating,PENB,Total number of floors,Front garden,New building,Administration fee,Renovation,Developer name,Project name,Kód jednotky
52689,"CZK 12,000",50.0798736,14.4868594,"Počernická, Prague - Strašnice",Studio,36 m²,"CZK 2,215",Furnished,1,Yes,Yes,No,No,No,No,No,01. 05. 2022,133,695,208,479,369,294,718,599,359,290,,"CZK 20,000",Personal,Brick building,,,,,,,,,,,,
228019,"CZK 15,500",50.0363726,14.3282926,"Přeučilova, Prague - Stodůlky",1 bedroom with open-plan kitchen,55 m²,"CZK 2,800",Unfurnished,2,Yes,No,No,No,Yes,Yes,Yes,05. 04. 2022,414,"1,016",700,"1,094",389,967,743,866,595,139,New build,"CZK 18,300",Personal,Brick building,1 to 10 years years,Standard materials and solutions,Central heating,,Middle floor,,,,,,,
597076,"CZK 13,000",50.055288,14.441894,"Nad Studánkou, Prague - Nusle",1 bedroom with open-plan kitchen,58 m²,"CZK 3,900",Furnished,2,No,No,No,No,No,No,No,01. 04. 2020,110,"1,054",174,490,137,600,313,287,"1,006",261,,"CZK 26,000",Personal,Brick building,,Standard materials and solutions,Gas boiler,D,Middle floor,,,,,,,
596800,"CZK 11,500",50.100593,14.488647,"Novovysočanská, Prague - Vysočany",Studio,29 m²,CZK 490,Partially furnished,,No,No,Yes,No,No,No,No,01. 05. 2022,9,"1,082",6,933,86,"1,250",154,209,467,248,Excellent,"CZK 23,980",Personal,Brick building,1 to 10 years years,,Other,G,Raised ground floor,,,,Overall,,,
537538,"CZK 65,000",50.0794233,14.3794742,"Atletická, Prague - Břevnov",2 bedroom with open-plan kitchen,100 m²,"CZK 15,000",Furnished,1,Yes,Yes,Yes,No,Yes,No,Yes,01. 04. 2022,302,"1,223",778,"1,104",193,"1,214","1,134",989,377,610,,"CZK 70,000",,Other,,Premium materials and solutions,,,,50 m²,,,,,,
642598,"CZK 12,100",50.125077,14.485276,"Teplická, Prague - Střížkov",Studio,36 m²,"CZK 2,000",Partially furnished,11,No,No,No,No,No,Yes,No,01. 04. 2022,53,"1,190",195,"1,090",226,365,261,218,292,133,New build,"CZK 24,000",Personal,Brick building,1 to 10 years years,Premium materials and solutions,District heating,B,Middle floor,,Yes,,,,,
589375,"CZK 25,000",50.090582,14.450551,"Pernerova, Prague - Karlín",2 bedroom,97 m²,"CZK 2,000",Partially furnished,1,No,No,Yes,No,Yes,No,No,01. 01. 1970,327,394,162,391,192,458,44,"1,048",452,353,Excellent,"CZK 25,000",Cooperative,Brick building,,Standard materials and solutions,Gas boiler,G,Middle floor,,,,Overall,,,
629592,"CZK 14,000",50.054874,14.525425,"Rychtáře Petříka, Prague - Hostivař",1 bedroom with open-plan kitchen,52 m²,"CZK 3,000",Partially furnished,3,No,No,Yes,Yes,Yes,Yes,No,01. 07. 2022,287,755,238,717,532,759,"1,182",642,491,399,New build,"CZK 28,000",Personal,Brick building,,Standard materials and solutions,District heating,B,Middle floor,6 m²,Yes,,,,,
630182,"CZK 17,500",50.055756,14.433425,"Dačického, Prague - Nusle",1 bedroom with open-plan kitchen,54 m²,"CZK 1,400",Partially furnished,2,No,No,Yes,Yes,No,Yes,No,15. 05. 2022,86,"1,182",26,252,263,280,586,312,216,97,Excellent,"CZK 17,500",Personal,Brick building,over 50 years years,Standard materials and solutions,Gas boiler,C,Middle floor,,,,Overall,,,
712844,"CZK 28,000",50.05301,14.49077,"Záběhlická, Prague - Záběhlice",2 bedroom with open-plan kitchen,130 m²,"CZK 4,800",Partially furnished,1,No,Yes,No,Yes,No,No,No,01. 07. 2022,255,"1,227",274,"1,200",287,700,476,882,518,332,Excellent,"CZK 28,000",Personal,Brick building,,,,,,,,,,,,
657178,"CZK 14,000",50.1105273,14.4507356,"Jankovcova, Prague - Holešovice",Studio,47 m²,"CZK 2,400",Partially furnished,5,No,No,No,No,Yes,Yes,No,01. 06. 2022,43,973,494,785,474,571,428,"1,247",701,348,New build,"CZK 16,000",Personal,Brick building,1 to 10 years years,Standard materials and solutions,Central heating,G,Middle floor,,Yes,,Overall,,,
670707,"CZK 25,000",50.07067,14.37649,"Plzeňská, Prague - Smíchov",1 bedroom with open-plan kitchen,67 m²,"CZK 4,000",Partially furnished,4,Yes,No,No,No,No,Yes,No,01. 05. 2022,218,64,199,439,230,546,213,620,691,325,Excellent,"CZK 40,000",Personal,Brick building,,,,B,,,,,,,,
709588,"CZK 17,000",50.044637241492,14.303398704245,Prague - Stodůlky,1 bedroom with open-plan kitchen,53 m²,"CZK 3,900",Partially furnished,2,Yes,No,No,No,Yes,No,No,16. 05. 2022,270,209,261,243,"1,040","1,137",743,903,196,,New build,"CZK 20,000",Cooperative,Brick building,1 to 10 years years,Standard materials and solutions,,G,Middle floor,,Yes,,,,,
168222,"CZK 7,000",50.0450408,14.4739278,"Severní IX, Prague - Záběhlice",Small studio,27 m²,"CZK 1,900",Furnished,1,Yes,No,No,No,No,No,No,,259,"1,134",267,221,370,"1,458",782,669,216,270,,"CZK 9,000",Personal,Brick building,,,,,,,,,,,,
496859,"CZK 18,000",50.0562016,14.3484456,Prague - Jinonice,1 bedroom with open-plan kitchen,53 m²,"CZK 3,834",Partially furnished,4,Yes,No,Yes,No,No,Yes,Yes,01. 04. 2022,305,"1,121",449,817,603,599,470,705,78,,New build,"CZK 18,000",Personal,Brick building,,,,B,,,Yes,,,,,
712080,"CZK 14,990",50.04684,14.44859,"Přímětická, Prague - Michle",1 bedroom with open-plan kitchen,41 m²,"CZK 1,637",Furnished,2,No,No,No,No,No,Yes,No,01. 06. 2022,191,585,180,225,193,267,184,801,586,282,Excellent,"CZK 30,000",Personal,Prefab concrete building,,,District heating,G,Middle floor,,,,,,,
712834,"CZK 10,000",50.11056,14.5041,"Prouzova, Prague - Vysočany",Small studio,30 m²,"CZK 3,000",Partially furnished,1,No,No,No,No,Yes,No,No,10. 04. 2022,91,311,66,207,108,271,165,494,286,262,Excellent,"CZK 20,000",Personal,Brick building,,,,G,,,,,,,,
712827,"CZK 13,900",50.01301,14.517,"Pod Vsí, Prague - Šeberov",1 bedroom with open-plan kitchen,44 m²,CZK 800,Partially furnished,2,Yes,No,Yes,No,No,No,Yes,24. 04. 2022,317,578,417,532,"1,078",354,,,,,Excellent,"CZK 27,800",Personal,Brick building,,,,G,,,,,,,,
712831,"CZK 14,500",50.07631,14.64919,"Račiněveská, Prague - Újezd nad Lesy",1 bedroom with open-plan kitchen,38 m²,"CZK 2,700",Partially furnished,1,Yes,No,No,No,Yes,No,No,01. 05. 2022,455,497,201,"1,008",267,408,675,864,697,,Excellent,"CZK 29,000",Personal,Brick building,1 to 10 years years,,Gas boiler,G,Middle floor,,,,Interior,,,
545164,"CZK 12,500",50.1105294,14.4507429,Prague - Holešovice,Studio,22 m²,"CZK 2,000",Furnished,2,No,No,No,No,No,Yes,No,01. 05. 2022,42,972,494,784,474,571,428,"1,247",701,348,New build,"CZK 12,500",Personal,Brick building,1 to 10 years years,Premium materials and solutions,Central heating,,Middle floor,,Yes,,,,,
639768,"CZK 14,900",50.105523,14.477794,"Pod Kotlaskou, Prague - Libeň",2 bedroom,77 m²,"CZK 3,293",Furnished,3,No,No,Yes,No,No,Yes,No,05. 07. 2021,169,438,221,438,118,390,487,194,461,156,Excellent,"CZK 19,000",Personal,Brick building,,,Electric boiler,G,Middle floor,,,,Overall,,,
576216,"CZK 31,000",50.0737075,14.4374755,"Uruguayská, Prague - Vinohrady",3 bedroom,104 m²,CZK 900,Partially furnished,1,Yes,No,No,No,No,Yes,No,04. 04. 2022,193,394,107,354,76,271,273,479,833,674,Excellent,"CZK 31,000",Personal,Brick building,,Premium materials and solutions,Electric boiler,G,Middle floor,,,,Overall,,,
530111,"CZK 15,000",50.0069043,14.4296917,"Vitošská, Prague - Modřany",3 bedroom,75 m²,"CZK 3,500",Partially furnished,5,No,No,Yes,Yes,Yes,Yes,No,11. 04. 2022,82,973,349,962,210,"1,046",512,194,478,87,,"CZK 30,000",Personal,Prefab concrete building,,,District heating,D,,,,,,,,
707297,"CZK 39,600",50.0876118,14.4080467,"Míšeňská, Prague - Malá Strana",1 bedroom with open-plan kitchen,46 m²,"CZK 13,200",Furnished,2,No,No,No,No,No,No,No,23. 04. 2022,249,259,109,237,65,537,295,274,806,231,,,,,,,,,,,,,,,,
539704,"CZK 22,000",50.0671146,14.5037186,Prague - Strašnice,2 bedroom,75 m²,"CZK 3,000",Partially furnished,1,Yes,Yes,No,No,No,No,No,01. 03. 2022,259,"1,403",423,"1,079",297,527,337,330,"1,102",173,,"CZK 44,000",Personal,Brick building,,,,E,,,,,,,,
661945,"CZK 20,950",50.06164,14.36178,"Naskové, Prague - Košíře",1 bedroom with open-plan kitchen,54 m²,"CZK 3,950",Partially furnished,5,Yes,Yes,Yes,No,Yes,Yes,Yes,16. 01. 2022,449,"1,154","1,147",965,"1,241",791,422,"1,082",653,,New build,"CZK 39,990",Personal,Brick building,1 to 10 years years,,,A,,,Yes,,,,,
707249,"CZK 51,225",50.090911,14.4295366,"Soukenická, Prague - Nové Město",1 bedroom with open-plan kitchen,50 m²,"CZK 17,075",Furnished,4,No,No,No,No,No,Yes,Yes,11. 04. 2022,144,325,176,152,60,230,49,259,388,439,,,,,,,,,,,,,,,,
710179,"CZK 47,025",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,64 m²,"CZK 15,675",Furnished,3,Yes,Yes,No,No,No,Yes,No,11. 05. 2022,110,274,157,129,77,143,300,496,282,367,,,,,,,,,,,,,,,,
244227,"CZK 7,000",50.0888925,14.4603288,"Koněvova, Prague - Žižkov",Small studio,27 m²,"CZK 2,000",Unfurnished,,No,No,No,No,No,No,No,04. 04. 2022,37,424,269,320,25,358,486,656,174,472,New build,"CZK 9,000",Personal,Brick building,1 to 10 years years,Standard materials and solutions,Central heating,,Ground floor,,Yes,,Overall,,,
709824,"CZK 39,971",50.0877117,14.4091678,"U Lužického semináře, Prague - Malá Strana",2 bedroom,56 m²,"CZK 13,324",Furnished,1,No,Yes,No,No,No,No,No,20. 05. 2022,337,356,19,335,43,634,392,362,865,215,,,,,,,,,,,,,,,,
708305,"CZK 46,800",50.0606031,14.3995501,"Na Neklance, Prague - Smíchov",1 bedroom with open-plan kitchen,47 m²,"CZK 15,600",Furnished,1,No,No,No,No,No,Yes,Yes,08. 04. 2022,149,907,200,914,210,455,590,729,652,530,,,,,,,,,,,,,,,,
712190,"CZK 10,300",50.09779,14.36641,"Kladenská, Prague - Vokovice",Small studio,20 m²,"CZK 1,900",Furnished,1,No,No,No,No,No,No,No,31. 03. 2022,469,373,470,378,43,249,762,600,911,94,Excellent,"CZK 12,200",Personal,Brick building,,,,,,,,,,,,
711822,"CZK 41,250",50.0912734,14.4238585,"Haštalské náměstí, Prague - Staré Město",2 bedroom,50 m²,"CZK 13,750",Furnished,-1,No,Yes,No,No,No,No,No,26. 05. 2022,55,370,51,238,66,242,352,396,158,122,,,,,,,,,,,,,,,,
708810,"CZK 49,650",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,53 m²,"CZK 16,550",Furnished,3,No,No,No,No,No,Yes,No,15. 04. 2022,281,192,58,183,11,368,315,297,289,305,,,,,,,,,,,,,,,,
712607,"CZK 57,000",50.0859057,14.4200254,"Michalská, Prague - Staré Město",3 bedroom,130 m²,"CZK 19,000",Furnished,3,No,No,No,No,No,No,Yes,01. 06. 2022,314,347,72,145,13,210,197,621,445,403,,,,,,,,,,,,,,,,
712606,"CZK 27,900",50.0471114,14.4429584,"Krchlebská, Prague - Krč",1 bedroom with open-plan kitchen,41 m²,"CZK 9,300",Furnished,5,No,No,No,No,No,No,No,01. 06. 2022,394,499,253,432,280,389,317,725,696,412,,,,,,,,,,,,,,,,
711821,"CZK 70,875",50.0822886,14.4155231,"Karoliny Světlé, Prague - Staré Město",2 bedroom with open-plan kitchen,90 m²,"CZK 23,625",Furnished,3,No,No,No,No,No,Yes,No,26. 05. 2022,462,817,70,468,89,510,489,683,411,400,,,,,,,,,,,,,,,,
708789,"CZK 49,650",50.0894663,14.4240032,"Masná, Prague - Staré Město",Studio,43 m²,"CZK 16,550",Furnished,6,No,No,No,No,No,Yes,No,12. 04. 2022,62,263,122,95,13,113,64,46,150,138,,,,,,,,,,,,,,,,
712465,"CZK 45,000",50.0795975,14.4273504,"Ve Smečkách, Prague - Nové Město",1 bedroom with open-plan kitchen,70 m²,"CZK 15,000",Furnished,4,No,No,No,No,No,Yes,No,31. 05. 2022,285,548,70,207,10,222,245,618,370,524,,,,,,,,,,,,,,,,
712596,"CZK 37,500",50.0633339,14.4440155,"Mečislavova, Prague - Nusle",1 bedroom with open-plan kitchen,56 m²,"CZK 12,500",Furnished,5,No,No,No,No,No,Yes,No,01. 06. 2022,243,541,100,272,177,315,457,820,635,594,,,,,,,,,,,,,,,,
704205,"CZK 22,000",50.01239,14.40096,"Vrátnická, Prague - Modřany",1 bedroom with open-plan kitchen,60 m²,"CZK 3,100",Partially furnished,3,Yes,No,Yes,Yes,No,Yes,Yes,01. 04. 2022,426,"1,386",854,"1,481",703,"1,184","1,052","1,135",638,379,New build,"CZK 30,000",Personal,Low-energy building,1 to 10 years years,,Central heating,B,Middle floor,,,,,,,
494316,"CZK 8,500",50.1256878,14.4467673,"Přemyšlenská, Prague - Kobylisy",Studio,23 m²,"CZK 4,000",Furnished,,No,No,No,No,No,No,No,,171,"1,320",218,478,160,225,503,298,847,323,,CZK 1,Personal,Brick building,,,,,Ground floor,,,,,,,
712781,"CZK 16,500",50.03681,14.50131,"Benkova, Prague - Chodov",3 bedroom,68 m²,"CZK 2,500",Furnished,6,Yes,No,Yes,No,No,Yes,No,01. 06. 2022,222,461,587,"1,208",404,648,345,345,331,331,Excellent,"CZK 16,500",Personal,Prefab concrete building,,,,G,,,,,,,,
712777,"CZK 15,000",50.05797,14.32921,"Kejhova, Prague - Stodůlky",Studio,69 m²,"CZK 4,200",Furnished,1,No,Yes,No,No,Yes,Yes,No,01. 05. 2022,162,604,720,"1,264","1,241",841,180,,,,Excellent,"CZK 30,000",Personal,Prefab concrete building,,,,C,,,,,,,,
712778,"CZK 30,000",50.07667,14.35035,"Nad Motolskou nemocnicí, Prague - Břevnov",2 bedroom with open-plan kitchen,120 m²,"CZK 5,000",Partially furnished,3,No,Yes,Yes,No,Yes,No,Yes,04. 04. 2022,325,968,"1,401",611,829,"1,088","1,138","1,303",542,,New build,"CZK 27,000",Personal,Brick building,,,,G,,,,,,,,
588993,"CZK 25,349",50.0776403,14.4264665,"Ve Smečkách, Prague - Nové Město",2 bedroom,96 m²,"CZK 3,000",Partially furnished,2,No,No,No,No,No,Yes,Yes,01. 05. 2022,58,717,48,249,118,148,273,391,191,297,Excellent,"CZK 25,000",Personal,Brick building,1 to 10 years years,Premium materials and solutions,Gas boiler,G,Middle floor,,,,Overall,,,
712043,"CZK 33,675",50.0749602,14.4305105,"Legerova, Prague - Vinohrady",1 bedroom,30 m²,"CZK 11,225",Furnished,2,No,No,No,No,No,Yes,No,04. 05. 2022,22,463,81,96,72,158,361,436,384,451,,,,,,,,,,,,,,,,
712773,"CZK 14,000",50.0758546,14.5096395,"Třebohostická, Prague - Strašnice",1 bedroom with open-plan kitchen,39 m²,"CZK 3,100",Partially furnished,4,No,No,Yes,Yes,Yes,Yes,No,,381,"1,009",720,"1,141",405,990,791,957,718,,New build,"CZK 17,000",Personal,Brick building,1 to 10 years years,,District heating,B,Top floor,,,,,,,
712772,"CZK 14,000",50.10188,14.28815,"U letiště, Prague - Ruzyně",2 bedroom,60 m²,"CZK 3,000",Partially furnished,1,No,No,No,No,No,No,No,04. 04. 2022,136,704,898,"1,119",,,,,,,Excellent,"CZK 20,000",Personal,Brick building,,,,G,,,,,,,,
393876,"CZK 13,629",50.0190107,14.4377634,Prague - Kamýk,Studio,42 m²,"CZK 1,371",Furnished,4,No,No,No,No,No,No,No,01. 05. 2022,230,875,180,868,398,548,307,732,413,470,Excellent,"CZK 20,000",Personal,Brick building,,,,,,,,,,,,
22233,"CZK 9,000",50.115324,14.466482,"Bulovka P8 Liben, Prague - Libeň",Small studio,18 m²,"CZK 2,000",Furnished,2,No,No,No,No,No,No,No,01. 05. 2022,127,972,140,"1,393",12,195,119,"1,249","1,012",337,Good,"CZK 15,000",Personal,Brick building,,Standard materials and solutions,Central heating,,Middle floor,,,,Interior,,,
712143,"CZK 21,019",50.1080609,14.4828384,"Nad Kolčavkou A, Prague - Libeň",Studio,32 m²,"CZK 7,006",Furnished,1,No,No,No,No,No,No,No,01. 05. 2022,420,741,425,495,194,893,285,624,454,365,,,,,,,,,,,,,,,,
694325,"CZK 7,200",50.1018824,14.2881497,"U letiště, Prague - Ruzyně",Small studio,12 m²,CZK 800,Furnished,1,No,No,No,No,No,No,No,01. 12. 2021,136,704,898,"1,119",,,,,,,Excellent,"CZK 10,000",Personal,Brick building,,,,G,,,,,,,,
696066,"CZK 15,000",50.07027,14.40493,"Nádražní, Prague - Smíchov",1 bedroom with open-plan kitchen,44 m²,"CZK 2,900",Partially furnished,5,No,No,No,No,No,Yes,No,04. 04. 2022,89,569,28,167,0,101,552,"1,042","1,020",600,Good,"CZK 15,000",Personal,Brick building,,,District heating,E,Middle floor,,,,,,,
712770,"CZK 11,600",50.05818,14.28119,"Milotická, Prague - Zličín",Studio,30 m²,"CZK 2,800",Furnished,1,No,Yes,No,No,No,No,Yes,07. 04. 2022,408,871,944,874,923,998,345,"1,220",122,,New build,"CZK 20,000",Personal,Brick building,,,,C,,,,,,,,
712768,"CZK 12,000",50.10941,14.31908,"Sichrovského, Prague - Nebušice",1 bedroom with open-plan kitchen,55 m²,"CZK 4,500",Partially furnished,,No,No,No,No,No,No,No,04. 04. 2022,402,710,754,390,"1,064","1,100",624,,,,Excellent,"CZK 24,000",Personal,Other,,,,B,,,,,,,,
540588,"CZK 15,500",50.1008556,14.5281271,"Nademlejnská, Prague - Hloubětín",1 bedroom with open-plan kitchen,57 m²,"CZK 5,500",Furnished,2,No,Yes,Yes,No,No,Yes,No,01. 05. 2022,234,906,351,888,100,834,904,953,770,478,,"CZK 40,000",Personal,Other,,,,,,,,,,,,
712765,"CZK 15,500",50.01533,14.43272,"Seidlova, Prague - Kamýk",2 bedroom,66 m²,"CZK 3,100",Partially furnished,2,No,No,Yes,No,Yes,Yes,No,04. 04. 2022,383,"1,300",460,"1,292",730,451,122,556,745,287,Excellent,"CZK 20,000",Personal,Prefab concrete building,,,,G,,,,,,,,
222383,"CZK 24,000",50.0792487,14.4494301,Prague - Vinohrady,2 bedroom,104 m²,"CZK 3,000",Partially furnished,5,No,No,Yes,Yes,No,Yes,No,01. 05. 2022,271,335,101,334,95,363,204,204,554,231,Excellent,"CZK 23,000",Personal,Brick building,1 to 10 years years,Standard materials and solutions,Electric boiler,,Middle floor,,,,Overall,,,
712756,"CZK 16,000",50.04246,14.4442,"Kremličkova, Prague - Krč",2 bedroom,67 m²,"CZK 8,600",Unfurnished,2,No,No,Yes,No,No,No,No,01. 05. 2022,325,336,187,460,217,264,365,196,849,384,Good,"CZK 65,000",Cooperative,Brick building,,,,F,,,,,,,,
410422,"CZK 12,000",50.0714391,14.484256,"V Olšinách, Prague - Vršovice",1 bedroom,44 m²,"CZK 1,000",Partially furnished,4,No,Yes,No,No,No,No,No,04. 04. 2022,292,590,212,389,316,420,637,476,786,375,,CZK 20,Personal,Brick building,,,,C,Top floor,,,,,,,
649812,"CZK 12,000",50.057971,14.42579,"Doudova, Prague - Podolí",1 bedroom,41 m²,CZK 374,Partially furnished,1,Yes,No,No,No,No,No,No,04. 04. 2022,253,500,57,479,260,446,497,401,265,250,Excellent,"CZK 24,000",Personal,Brick building,,,,G,,,,,,,,
712745,"CZK 20,000",50.01912,14.40123,"Šífařská, Prague - Hodkovičky",1 bedroom with open-plan kitchen,77 m²,"CZK 4,000",Furnished,4,No,Yes,Yes,No,No,Yes,Yes,01. 06. 2022,458,543,"1,446",669,"1,397",,,,,,New build,"CZK 24,000",Personal,Brick building,,,,B,,,,,,,,
712754,"CZK 20,000",50.12094,14.4904,"Veltruská, Prague - Prosek",2 bedroom with open-plan kitchen,61 m²,"CZK 5,500",Furnished,1,No,No,No,Yes,Yes,Yes,No,01. 05. 2022,346,675,41,614,582,292,312,236,526,149,Excellent,"CZK 50,000",Personal,Prefab concrete building,,,,C,,,,,,,,
379854,"CZK 11,000",50.0443978,14.5658065,"Na křečku, Prague - Horní Měcholupy",Studio,33 m²,"CZK 3,500",Partially furnished,4,Yes,No,No,No,No,No,No,11. 04. 2022,65,792,637,749,429,227,603,484,904,281,New build,"CZK 22,000",Personal,Brick building,1 to 10 years years,,District heating,C,Middle floor,,Yes,,,,,
