Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,Heating,Total number of floors,New building,Age,Front garden,Renovation,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
614578,"CZK 10,500",50.141253,14.522638,"Kadečkové, Prague - Letňany",Studio,New build,32 m²,"CZK 2,335","CZK 20,000",Personal,Brick building,Furnished,,No,Yes,Yes,No,No,Yes,No,01. 03. 2022,C,529,885,"1,214","1,472",79,"1,009","1,285","1,131",909,221,Standard materials and solutions,District heating,Ground floor,Yes,1 to 10 years years,33 m²,,,,,,
645425,"CZK 13,000",50.06436,14.460205,"Pod Soutratím, Prague - Vršovice",Studio,New build,30 m²,CZK 800,"CZK 7,000",Personal,Low-energy building,Partially furnished,6,Yes,No,No,No,No,Yes,No,21. 01. 2022,B,286,705,300,657,278,765,623,485,77,295,Premium materials and solutions,Geothermal heat pump,Middle floor,,,,Overall,,,,,
698486,"CZK 32,500",50.07468,14.3949,"Švédská, Prague - Smíchov",2 bedroom with open-plan kitchen,New build,100 m²,"CZK 5,500","CZK 33,500",Personal,Other,Partially furnished,2,Yes,No,No,No,No,Yes,Yes,Ihned,B,52,989,268,730,310,684,316,930,"1,088",443,Standard materials and solutions,Central heating,Middle floor,,1 to 10 years years,,Overall,,,,,
451745,"CZK 10,000",50.066691,14.486618,"Krátká, Prague - Strašnice",Studio,Excellent,31 m²,"CZK 2,800","CZK 10,800",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,01. 03. 2022,D,476,"1,140",711,892,636,870,833,"1,084",538,531,,Central heating,Middle floor,,,,Overall,,,,,
329275,"CZK 7,700",50.1396627,14.3799385,"Suchdolská, Prague - Suchdol",Other,,20 m²,,"CZK 1,000",Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,,,48,507,780,512,91,429,173,864,"1,350",536,Standard materials and solutions,Central heating,Middle floor,,,,,,,,,
706399,"CZK 18,000",50.0808065,14.4385161,"Italská, Prague - Vinohrady",2 bedroom,Excellent,66 m²,"CZK 5,000","CZK 20,000",Personal,Brick building,Partially furnished,5,Yes,No,No,No,No,Yes,No,15. 02. 2022,G,98,593,429,291,237,199,291,291,417,498,,,,,,,,,,,,
599076,"CZK 12,900",50.062863,14.445872,"Rostislavova, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,45 m²,CZK 400,"CZK 13,000",Personal,Brick building,Partially furnished,4,No,No,Yes,No,No,No,No,01. 05. 2022,E,159,652,166,355,174,398,540,721,718,629,Standard materials and solutions,Gas boiler,Middle floor,,,,Overall,,,,,
680251,"CZK 13,990",50.0851483,14.4512417,Prague - Žižkov,1 bedroom,Excellent,34 m²,CZK 870,"CZK 25,000",Personal,Other,Partially furnished,3,Yes,No,No,No,No,No,No,01. 04. 2022,C,173,144,56,115,75,165,167,383,199,457,Standard materials and solutions,Other,Middle floor,,1 to 10 years years,,Overall,,,,,
706398,"CZK 10,000",50.15648,14.51777,"Theinova, Prague - Čakovice",Studio,Excellent,36 m²,"CZK 3,500","CZK 15,000",Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,Yes,No,14. 02. 2022,G,371,896,85,76,"1,481",867,109,115,,,,,,,,,,,,,,
363434,"CZK 12,500",50.0570433,14.4504535,Prague - Michle,Studio,,25 m²,CZK 500,"CZK 20,000",Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,,,122,429,312,124,150,966,235,735,501,292,Premium materials and solutions,Other,Middle floor,,1 to 10 years years,,Overall,,,,,
653513,"CZK 20,000",50.10478,14.48652,"Drahobejlova, Prague - Libeň",1 bedroom with open-plan kitchen,Excellent,77 m²,"CZK 4,193","CZK 40,000",Personal,Brick building,Furnished,6,Yes,No,Yes,No,No,Yes,Yes,01. 04. 2022,B,188,197,193,247,44,415,349,676,311,178,Premium materials and solutions,District heating,Middle floor,,1 to 10 years years,,,,,,,
707173,"CZK 25,000",50.10287,14.47407,"Novákových, Prague - Libeň",3 bedroom,Excellent,74 m²,"CZK 2,400","CZK 30,000",Personal,Brick building,Furnished,4,No,No,Yes,No,No,Yes,No,19. 02. 2022,G,104,296,97,46,58,121,69,263,461,472,,,,,,,,,,,,
707166,"CZK 14,500",50.0732478,14.3957879,"Grafická, Prague - Smíchov",Studio,New build,30 m²,"CZK 3,000","CZK 30,000",Personal,Other,Unfurnished,1,No,No,Yes,No,No,Yes,No,21. 02. 2022,B,198,802,134,493,35,566,79,"1,139",850,325,,,,,,,,,,,,
706562,"CZK 27,000",50.08773,14.40913,"U Lužického semináře, Prague - Malá Strana",3 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 6,000","CZK 33,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,11. 04. 2022,G,,,,,,,,,,,,,,Yes,,,,,Luka Residential s.r.o.,Luka Living Rental apartments,DČ1,
684383,"CZK 17,500",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,50 m²,CZK 133,"CZK 35,000",Personal,Other,Unfurnished,6,No,Yes,Yes,No,Yes,Yes,No,08. 04. 2022,A,,,,,,,,,,,Premium materials and solutions,,Middle floor,Yes,1 to 10 years years,,,,Luka Residential s.r.o.,Luka Living Rental apartments,605,
663234,"CZK 28,500",50.07202,14.44518,"Francouzská, Prague - Vinohrady",3 bedroom,,72 m²,CZK 133,"CZK 57,000",Personal,Brick building,Furnished,2,Yes,No,No,No,No,No,No,04. 04. 2022,,98,759,121,4,359,124,370,164,253,225,Premium materials and solutions,Gas boiler,Middle floor,Yes,1 to 10 years years,,Overall,,Luka Residential s.r.o.,Luka Living Rental apartments,201,
605872,"CZK 13,400",50.040404,14.498412,"Babická, Prague - Chodov",1 bedroom with open-plan kitchen,New build,42 m²,"CZK 3,600","CZK 28,000",Personal,Brick building,Partially furnished,1,No,Yes,No,No,No,Yes,No,01. 03. 2022,C,231,"1,064",631,"1,425",185,877,649,832,499,245,,,,,1 to 10 years years,,,,,,,
601337,"CZK 10,900",50.09029,14.469048,"Koněvova, Prague - Žižkov",Studio,Excellent,18 m²,"CZK 2,610","CZK 10,900",Personal,Brick building,Unfurnished,3,No,No,No,No,No,Yes,Yes,01. 11. 2021,G,32,841,113,156,3,128,463,481,545,433,Standard materials and solutions,Other,Middle floor,,1 to 10 years years,,Overall,,,,,
707155,"CZK 14,000",50.06124,14.4512,"Maroldova, Prague - Nusle",1 bedroom with open-plan kitchen,Good,49 m²,"CZK 4,000","CZK 18,000",Personal,Brick building,Partially furnished,4,Yes,No,No,No,No,Yes,No,18. 02. 2022,D,99,888,209,429,249,787,457,231,877,288,,,,,,,,,,,,
707152,"CZK 14,000",50.09033,14.46901,"Koněvova, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,44 m²,"CZK 2,500","CZK 14,000",Personal,Brick building,Unfurnished,3,No,No,No,No,No,No,No,18. 02. 2022,G,33,840,114,154,4,127,462,482,544,432,,,,,,,,,,,,
549603,"CZK 20,000",50.0587913,14.3939796,"Pechlátova, Prague - Radlice",1 bedroom with open-plan kitchen,New build,55 m²,"CZK 5,000","CZK 25,000",Personal,Brick building,Furnished,6,Yes,Yes,Yes,No,No,Yes,Yes,,,162,579,477,496,451,776,212,861,168,46,,Central heating,,Yes,,,,,,,,
596556,"CZK 19,500",50.070048,14.381574,"Hlaváčkova, Prague - Košíře",2 bedroom with open-plan kitchen,New build,66 m²,"CZK 4,500",,Personal,Prefab concrete building,Furnished,3,Yes,No,No,No,No,No,No,01. 04. 2022,B,168,494,90,799,214,907,221,722,"1,119",453,,,,Yes,,,,,,,,
707140,"CZK 10,900",50.04785,14.43722,"Bartákova, Prague - Krč",1 bedroom,Good,33 m²,"CZK 1,600","CZK 10,900",Personal,Prefab concrete building,Partially furnished,6,No,No,No,Yes,No,Yes,No,27. 02. 2022,C,224,465,185,453,176,457,321,461,208,186,,,,,,,,,,,,
707138,"CZK 16,900",50.0448249,14.5180625,"náměstí Přátelství, Prague - Hostivař",1 bedroom with open-plan kitchen,Excellent,75 m²,"CZK 2,900","CZK 30,000",Personal,Brick building,Furnished,6,No,Yes,Yes,No,No,Yes,No,01. 03. 2022,C,137,127,24,13,897,276,990,109,,,,,,,,,,,,,,
706382,"CZK 15,000",50.09826,14.34499,"Na Volánové, Prague - Vokovice",1 bedroom with open-plan kitchen,New build,46 m²,"CZK 4,500","CZK 30,000",Personal,Brick building,Partially furnished,,No,No,Yes,No,No,No,No,15. 02. 2022,C,290,"1,386",284,864,96,470,296,409,357,64,,,,,,,,,,,,
113300,"CZK 14,500",50.1324842549,14.5513486862,Prague - Kbely,1 bedroom with open-plan kitchen,Excellent,53 m²,"CZK 3,650",,Personal,Brick building,Furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,01. 05. 2022,,113,492,161,285,120,636,382,509,50,,,District heating,,Yes,,,,,,,,
707043,"CZK 10,000",50.09175,14.32462,"Jenečská, Prague - Liboc",1 bedroom,Excellent,50 m²,"CZK 4,000","CZK 20,000",Personal,Brick building,Partially furnished,,No,No,No,No,No,No,No,01. 03. 2022,G,30,"1,312",56,"1,165",75,"1,251",599,175,653,315,,,,,,,,,,,,
567531,"CZK 18,500",50.0768602,14.4540927,"Perunova, Prague - Vinohrady",1 bedroom with open-plan kitchen,,50 m²,"CZK 3,500","CZK 20,000",Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,21. 02. 2022,,183,211,107,66,3,259,94,585,963,323,,,,,,,,,,,,
705442,"CZK 16,500",50.06164,14.36178,"Naskové, Prague - Košíře",1 bedroom with open-plan kitchen,New build,47 m²,"CZK 3,500","CZK 33,000",Personal,Prefab concrete building,Furnished,4,Yes,No,Yes,No,No,Yes,No,01. 03. 2022,B,449,"1,154","1,147",965,"1,241",791,422,"1,082",653,,,,,,,,,,,,,
707127,"CZK 11,500",50.056675,14.4689133,"U Plynárny, Prague - Michle",Studio,Good,33 m²,"CZK 2,508","CZK 14,964",Personal,Other,,3,No,No,No,No,No,No,No,01. 03. 2022,,0,"1,097",153,"1,397",642,172,794,"1,002",105,,,,,,,,,"CZK 1,868",,,,
466331,"CZK 13,500",50.104744362974,14.483123834332,"Sokolovská, Prague - Libeň",2 bedroom,Excellent,50 m²,"CZK 2,820","CZK 20,000",Personal,Brick building,Partially furnished,2,No,No,Yes,No,No,Yes,No,01. 03. 2022,,74,520,99,73,261,677,195,682,379,162,,Other,,,,,,,,,,
707124,"CZK 24,000",50.10744,14.48813,"Matějkova, Prague - Libeň",2 bedroom with open-plan kitchen,New build,92 m²,"CZK 5,500","CZK 48,000",Personal,Prefab concrete building,Partially furnished,3,Yes,No,Yes,No,No,Yes,Yes,01. 04. 2022,B,178,335,138,479,109,639,408,252,230,243,,,,,,,,,,,,
707123,"CZK 15,000",50.05468,14.52622,"Vladycká, Prague - Hostivař",Studio,Excellent,33 m²,"CZK 3,080","CZK 15,000",Personal,Brick building,Furnished,1,No,Yes,Yes,No,Yes,Yes,Yes,21. 02. 2022,G,317,805,171,768,465,809,"1,201",576,424,427,,District heating,Raised ground floor,,1 to 10 years years,,Overall,,,,,
476888,"CZK 10,500",50.1344957,14.4054575,"Hackerova, Prague - Bohnice",1 bedroom with open-plan kitchen,,44 m²,"CZK 3,899","CZK 15,000",Personal,Prefab concrete building,Partially furnished,1,No,No,No,No,Yes,Yes,No,01. 02. 2022,D,630,682,"1,499",758,214,"1,027",842,,,,Standard materials and solutions,District heating,,,,,Interior,,,,,
588123,"CZK 23,000",50.075306,14.41547,"Dittrichova, Prague - Nové Město",1 bedroom with open-plan kitchen,Excellent,69 m²,"CZK 4,000","CZK 27,000",Cooperative,Brick building,Furnished,,No,No,No,No,No,No,No,01. 03. 2022,G,117,263,234,291,45,337,175,523,739,462,Standard materials and solutions,Gas boiler,Ground floor,,30 to 50 years years,,Interior,,,,,
668548,"CZK 19,000",50.08623,14.44151,"Řehořova, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,000","CZK 22,000",Personal,Brick building,Furnished,4,No,No,No,No,Yes,Yes,No,01. 03. 2022,G,353,606,217,328,166,592,587,611,669,654,,,,,,,,,,,,
461862,"CZK 19,500",50.0865576,14.4999493,"Marciho, Prague - Malešice",1 bedroom with open-plan kitchen,,57 m²,"CZK 4,500","CZK 39,000",Personal,Low-energy building,Furnished,1,No,Yes,No,No,No,Yes,No,01. 01. 1970,B,211,640,670,683,466,845,604,570,466,109,Premium materials and solutions,,Ground floor,Yes,1 to 10 years years,50 m²,,,,,,
699134,"CZK 17,500",49.99955,14.40727,"K Vystrkovu, Prague - Modřany",1 bedroom with open-plan kitchen,New build,55 m²,"CZK 3,000","CZK 35,000",Personal,Low-energy building,Unfurnished,2,Yes,No,Yes,No,No,Yes,No,01. 02. 2022,B,59,"1,252",668,"1,372",401,516,653,624,409,416,,,,Yes,,,,,,,,
704757,"CZK 15,200",50.06141,14.44619,"Svatoslavova, Prague - Nusle",Studio,Excellent,27 m²,"CZK 2,000","CZK 17,200",Personal,Brick building,Furnished,3,No,No,No,No,Yes,Yes,No,01. 03. 2022,G,47,606,34,328,22,335,475,639,615,477,,,,,,,,,,,,
570139,"CZK 16,900",50.0438401,14.5166021,Prague - Hostivař,1 bedroom with open-plan kitchen,Excellent,66 m²,"CZK 3,900","CZK 41,600",Personal,Brick building,Furnished,1,No,Yes,No,No,No,Yes,Yes,01. 06. 2021,B,174,187,254,243,"1,057",289,"1,146",104,,,Standard materials and solutions,Central heating,Raised ground floor,,1 to 10 years years,,,,,,,
707121,"CZK 23,000",50.0809956,14.419024,"Ostrovní, Prague - Nové Město",1 bedroom with open-plan kitchen,Excellent,63 m²,"CZK 2,000","CZK 25,000",Personal,Brick building,Furnished,5,No,Yes,No,No,No,No,No,01. 03. 2022,G,55,733,88,104,15,126,90,448,99,556,,,,,,,,,,,,
707120,"CZK 12,000",50.11911,14.46961,"Davídkova, Prague - Libeň",2 bedroom,Excellent,29 m²,"CZK 1,100","CZK 13,100",Personal,Brick building,Unfurnished,1,No,No,No,No,No,No,No,18. 02. 2022,G,98,925,390,"1,223",348,527,654,958,"1,392",606,,,,,,,,,,,,
705518,"CZK 21,900",50.07811,14.45841,"Baranova, Prague - Žižkov",2 bedroom,Excellent,74 m²,"CZK 2,800","CZK 25,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,Yes,No,No,01. 03. 2022,G,93,424,71,166,75,234,545,652,799,286,Premium materials and solutions,Central heating,Middle floor,,,2 m²,Interior,,,,,
