Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Design,Heating,Renovation,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Total number of floors,Age,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky
27966,"CZK 18,000",50.0757964,14.4035156,"Štefánikova, Prague - Smíchov",1 bedroom,,30 m²,"CZK 2,000","CZK 20,000",Personal,Brick building,Unfurnished,3,No,Yes,No,No,No,No,No,01. 06. 2022,,Other,,G,28,239,70,78,57,33,265,"1,013",833,438,Middle floor,,,,,,,
714184,"CZK 12,500",50.03736,14.41106,"Ke Krči, Prague - Braník",2 bedroom,Good,54 m²,"CZK 4,200","CZK 20,000",Personal,Brick building,Partially furnished,2,No,No,Yes,No,No,No,No,15. 04. 2022,,,,G,172,296,182,203,440,202,413,"1,308",321,,,,,,,,,
503703,"CZK 14,000",50.0716385,14.4535707,"Estonská, Prague - Vršovice",1 bedroom,Excellent,34 m²,"CZK 2,006","CZK 18,000",Personal,Brick building,Unfurnished,5,No,No,No,No,No,No,No,,Standard materials and solutions,Gas boiler,Interior,,196,708,196,352,163,483,119,252,413,204,Middle floor,1 to 10 years years,,,,,,
714142,"CZK 16,500",50.04296,14.54984,"Padovská, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,Excellent,54 m²,"CZK 3,750","CZK 33,000",Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,01. 07. 2022,,,,B,395,616,474,921,847,839,531,610,652,294,,,,,,,,
540339,"CZK 13,000",50.0743287,14.3177437,"Čistovická, Prague - Řepy",1 bedroom with open-plan kitchen,,44 m²,"CZK 1,000","CZK 26,000",Personal,Brick building,Unfurnished,1,No,No,No,No,No,No,No,15. 04. 2022,,,,G,95,407,245,"1,357","1,182",257,370,276,,,,,,,,,,
451726,"CZK 20,000",50.0834475,14.3447623,"Na Klášterním, Prague - Břevnov",3 bedroom,Excellent,71 m²,"CZK 5,000","CZK 25,000",Personal,Prefab concrete building,Furnished,1,No,No,No,No,No,No,No,01. 06. 2022,Premium materials and solutions,District heating,Overall,,234,860,251,622,344,640,339,147,523,262,Raised ground floor,,,,,,,
491989,"CZK 19,500",50.0852863,14.4414487,"Seifertova, Prague - Žižkov",2 bedroom,Excellent,60 m²,"CZK 3,800","CZK 30,000",Personal,Brick building,Furnished,5,No,No,No,No,No,Yes,No,01. 05. 2022,Standard materials and solutions,Other,Overall,,218,542,89,201,47,541,464,291,642,468,Middle floor,,,,,,,
713758,"CZK 18,500",50.10398,14.48591,"Českomoravská, Prague - Libeň",2 bedroom with open-plan kitchen,Excellent,56 m²,"CZK 2,600","CZK 25,000",Personal,Brick building,Partially furnished,4,No,No,No,No,No,Yes,No,01. 05. 2022,,,,D,159,337,213,255,60,386,332,819,438,326,Middle floor,,,,,,,
600532,"CZK 65,000",50.075681,14.408523,"Janáčkovo Nábřeží, Prague - Smíchov",5 bedroom,Excellent,165 m²,"CZK 10,000","CZK 65,000",Personal,Brick building,Partially furnished,6,No,Yes,No,No,No,Yes,No,11. 04. 2022,Premium materials and solutions,Central heating,,G,279,223,344,342,68,418,193,839,"1,059",309,Top floor,1 to 10 years years,,,,,,
603998,"CZK 18,000",50.02628,14.530734,"Loosova, Prague - Háje",1 bedroom with open-plan kitchen,New build,53 m²,"CZK 4,500","CZK 30,000",Personal,Brick building,,3,Yes,Yes,No,No,No,Yes,Yes,01. 05. 2022,,,,A,97,973,382,630,464,704,311,473,764,410,,,,,,,,
714473,"CZK 12,500",50.1271,14.37922,"Sídlištní, Prague - Lysolaje",Studio,Excellent,37 m²,"CZK 2,500","CZK 25,000",Personal,Low-energy building,Furnished,2,No,No,No,No,No,Yes,No,01. 05. 2022,,,,G,,,,,,,,,,,,,,,,,,
476526,"CZK 11,000",50.0901272,14.4736059,"Biskupcova, Prague - Žižkov",Studio,,32 m²,"CZK 5,300","CZK 30,000",Personal,Brick building,Furnished,1,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,
714472,"CZK 15,000",50.01325,14.42609,"Daškova, Prague - Modřany",1 bedroom,Excellent,41 m²,"CZK 3,000","CZK 30,000",Personal,Prefab concrete building,Partially furnished,7,No,No,No,No,No,Yes,No,01. 05. 2022,Standard materials and solutions,District heating,Exterior,C,,,,,,,,,,,Top floor,1 to 10 years years,,,,,,
485180,"CZK 25,000",50.077309,14.4556257,"Kolínská, Prague - Vinohrady",2 bedroom with open-plan kitchen,Excellent,74 m²,"CZK 4,500","CZK 25,000",Personal,Brick building,Partially furnished,4,Yes,No,Yes,No,No,No,No,16. 05. 2022,,,,,130,313,49,92,22,320,291,607,996,394,,,,,,,,
714471,"CZK 38,900",50.09292,14.45004,"Křižíkova, Prague - Karlín",Studio,Excellent,49 m²,,"CZK 38,900",Personal,Brick building,Furnished,2,Yes,No,No,No,No,Yes,No,02. 05. 2022,,,,C,,,,,,,,,,,,,,,,,,
714470,"CZK 28,900",50.07035,14.45073,"Košická, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 2,900","CZK 28,900",Personal,Brick building,Furnished,4,No,No,No,No,No,Yes,No,22. 04. 2022,,Gas boiler,,E,,,,,,,,,,,,,,,,,,
714044,"CZK 15,000",50.06881,14.43794,"Perucká, Prague - Vinohrady",Studio,New build,24 m²,"CZK 3,598","CZK 50,000",Personal,Prefab concrete building,Furnished,1,No,No,Yes,No,No,No,No,29. 04. 2022,,,,C,533,652,431,809,459,782,519,441,675,740,,,,,,,,
593860,"CZK 8,000",50.029714,14.529635,"Bajkonurská, Prague - Háje",Studio,Good,28 m²,"CZK 3,500","CZK 10,000",Personal,Prefab concrete building,Partially furnished,4,No,No,Yes,No,No,Yes,No,18. 04. 2022,,District heating,,G,109,534,142,184,203,265,461,310,325,297,Middle floor,,,,,,,
714037,"CZK 19,850",50.04714,14.42878,Prague - Podolí,1 bedroom with open-plan kitchen,Excellent,44 m²,"CZK 2,400","CZK 30,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,18. 04. 2022,,,,D,283,"1,079",242,722,92,776,298,402,822,277,,,,,,,,
711703,"CZK 14,200",50.10694,14.44521,"U Staré plynárny, Prague - Holešovice",1 bedroom with open-plan kitchen,Excellent,47 m²,CZK 650,"CZK 30,000",Cooperative,Brick building,Partially furnished,1,No,No,Yes,No,No,Yes,No,01. 05. 2022,,,,C,279,729,370,742,354,265,460,"1,085",380,388,,,,,,,,
714459,"CZK 13,000",50.07165,14.45777,"Bulharská, Prague - Vršovice",Studio,Excellent,30 m²,"CZK 2,228","CZK 25,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,01. 05. 2022,,,,G,,,,,,,,,,,,,,,,,,
714457,"CZK 25,000",50.08828,14.45798,"Koněvova, Prague - Žižkov",1 bedroom with open-plan kitchen,New build,61 m²,"CZK 3,900","CZK 50,000",Personal,Other,Furnished,2,No,Yes,Yes,No,Yes,Yes,Yes,01. 05. 2022,Premium materials and solutions,Central heating,,G,,,,,,,,,,,Middle floor,1 to 10 years years,Yes,54 m²,,,,
349514,"CZK 14,900",50.1367432,14.508601,"Šumperská, Prague - Letňany",2 bedroom,Excellent,57 m²,"CZK 4,800",,Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,Yes,No,23. 04. 2022,,District heating,,C,140,603,311,524,302,126,315,709,403,308,Middle floor,,,,,,,
704127,"CZK 12,000",50.05509,14.42088,"Pravá, Prague - Podolí",Studio,Excellent,25 m²,"CZK 3,000","CZK 22,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,01. 02. 2022,,,,G,257,556,290,355,329,553,325,907,208,171,,,,,,,,
713960,"CZK 21,000",50.0519,14.43436,"Pujmanové, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,69 m²,"CZK 4,000","CZK 30,000",Personal,Prefab concrete building,Furnished,3,No,No,No,No,No,Yes,No,01. 05. 2022,,,,G,337,842,397,240,391,122,102,158,420,208,,,,,,,,
713957,"CZK 13,500",50.05568,14.44744,"Na Výsledku I, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,450","CZK 20,000",Personal,Brick building,Partially furnished,2,No,No,Yes,No,No,No,No,18. 04. 2022,,,,G,487,830,219,518,526,"1,087",389,229,878,357,,,,,,,,
710751,"CZK 14,500",50.06853,14.38762,"Nad Popelkou, Prague - Smíchov",1 bedroom with open-plan kitchen,Excellent,55 m²,CZK 950,"CZK 29,000",Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,01. 07. 2022,,Other,Overall,F,52,986,661,"1,180",625,"1,073",698,"1,065",537,177,Ground floor,,,,,,,
713926,"CZK 18,000",50.06363,14.5918,"Starodubečská, Prague - Dubeč",2 bedroom with open-plan kitchen,Excellent,67 m²,"CZK 4,100","CZK 30,000",Personal,Brick building,Unfurnished,2,No,Yes,No,No,Yes,No,No,12. 04. 2022,Standard materials and solutions,Gas boiler,Overall,G,48,487,319,195,77,263,577,,,,Middle floor,1 to 10 years years,,,,,,
706672,"CZK 14,990",50.059501647949,14.447299957275,"Horní, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,149","CZK 18,139",Personal,Brick building,,6,Yes,No,Yes,No,No,No,No,,,,,C,231,905,57,356,196,707,438,604,840,175,,,,,"CZK 18,139

                                
                                
                
i",,,
714397,"CZK 20,500",50.05644,14.34655,"Pod Stolovou horou, Prague - Jinonice",1 bedroom with open-plan kitchen,New build,60 m²,"CZK 4,000","CZK 25,000",Personal,Low-energy building,Furnished,5,Yes,No,Yes,No,Yes,Yes,Yes,01. 05. 2022,,,,B,211,"1,071",496,791,577,461,608,668,145,,,,,,,,,
706082,"CZK 18,900",50.08041,14.45483,"Žižkovo náměstí, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 2,000","CZK 38,000",Personal,Brick building,Unfurnished,1,No,No,Yes,No,Yes,Yes,No,01. 04. 2022,,Central heating,Overall,A,367,340,71,443,29,561,401,395,712,217,,1 to 10 years years,,,,,,
446569,"CZK 18,500",50.0886908,14.4828424,"Olgy Havlové, Prague - Žižkov",1 bedroom with open-plan kitchen,New build,54 m²,"CZK 3,500",,Personal,Brick building,Furnished,3,Yes,No,Yes,No,No,No,No,24. 04. 2022,,,,,413,883,458,643,229,686,510,323,373,136,,1 to 10 years years,,,,,,
714387,"CZK 10,000",50.1521164,14.5330516,"Zámišova, Prague - Čakovice",1 bedroom with open-plan kitchen,Good,55 m²,"CZK 2,000","CZK 12,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 06. 2022,Standard materials and solutions,District heating,,G,184,"1,008",275,421,217,"1,095","1,261",853,,,Ground floor,,,,,,,
16673,"CZK 17,000",50.0367232,14.4391774,"Pod vrstevnicí, Prague - Krč",2 bedroom,Excellent,65 m²,"CZK 3,500","CZK 41,000",Personal,Brick building,Unfurnished,2,Yes,No,Yes,No,No,No,No,01. 05. 2022,Premium materials and solutions,Central heating,Interior,,357,"1,127",609,719,578,996,"1,359",915,860,805,Middle floor,10 to 30 years years,,,,,,
714374,"CZK 23,000",50.04247,14.34236,"U Albrechtova vrchu, Prague - Stodůlky",2 bedroom with open-plan kitchen,Excellent,120 m²,"CZK 4,000","CZK 30,000",Personal,Brick building,Partially furnished,2,No,Yes,No,No,Yes,No,No,01. 06. 2022,,,,G,389,847,682,"1,034",145,707,940,645,779,535,,,,,,,,
713815,"CZK 14,500",50.0369,14.33773,"Přecechtělova, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 3,500","CZK 29,000",Personal,Prefab concrete building,Furnished,1,No,No,Yes,No,No,Yes,No,11. 04. 2022,,,,C,260,481,208,917,203,478,292,396,212,92,,,,,,,,
714370,"CZK 22,843",50.10098,14.42605,"Veletržní, Prague - Bubeneč",2 bedroom,Excellent,86 m²,"CZK 1,890","CZK 24,733",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,01. 05. 2022,,,,G,239,292,136,205,89,33,319,132,480,,,,,,,,,
543611,"CZK 23,000",50.100966,14.430497,"Františka Křížka, Prague - Holešovice",2 bedroom,Excellent,65 m²,"CZK 5,000","CZK 23,000",Personal,Brick building,Furnished,1,No,No,No,No,No,Yes,No,01. 06. 2022,Standard materials and solutions,Gas boiler,Overall,D,204,466,140,276,72,172,293,179,556,,Middle floor,over 50 years years,,,,,,
507391,"CZK 14,000",50.096701450562,14.346599984656,Prague - Vokovice,1 bedroom,,44 m²,"CZK 2,000","CZK 14,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,k dispozici,,,,,49,"1,202",146,759,317,210,56,239,414,306,,,,,,,,
713110,"CZK 23,000",50.1056794,14.4916437,"Kovářská, Prague - Libeň",2 bedroom with open-plan kitchen,New build,80 m²,"CZK 5,000",,Personal,Brick building,Furnished,7,No,No,Yes,No,No,Yes,No,15. 05. 2022,,,,G,59,268,110,330,11,423,6,380,151,122,,,,,,,,
240794,"CZK 15,000",50.1363086059,14.3804926233,"Suchdolské náměstí, Prague - Suchdol",Studio,Excellent,45 m²,"CZK 3,000","CZK 30,000",Personal,Brick building,Furnished,3,Yes,No,Yes,No,No,Yes,Yes,07. 03. 2022,Standard materials and solutions,Central heating,,,129,59,413,154,169,20,560,497,952,785,Middle floor,10 to 30 years years,,,,,,
572023,"CZK 18,000",50.0853905,14.3438632,"Nad Alejí, Prague - Břevnov",2 bedroom,Excellent,54 m²,"CZK 4,000","CZK 30,000",Personal,Prefab concrete building,Furnished,3,No,No,No,No,No,No,No,01. 05. 2022,Premium materials and solutions,District heating,Overall,,215,648,278,410,132,428,77,197,638,226,Middle floor,1 to 10 years years,,,,,,
361523,"CZK 12,000",50.1390794,14.5127743,"Stará náves, Prague - Letňany",Studio,Excellent,35 m²,"CZK 3,500","CZK 15,000",Cooperative,Brick building,Furnished,2,Yes,No,No,No,No,No,No,01. 06. 2022,Standard materials and solutions,,,,404,397,572,851,300,348,458,750,708,159,Middle floor,10 to 30 years years,,,,,,
714352,"CZK 15,000",50.12934,14.47498,"Střekovská, Prague - Kobylisy",2 bedroom,Excellent,60 m²,"CZK 6,000","CZK 30,000",Personal,Prefab concrete building,Partially furnished,13,Yes,No,No,Yes,No,Yes,No,16. 04. 2022,,,,G,231,482,179,582,167,583,276,361,"1,418",140,,,,,,,,
714349,"CZK 35,000",50.09099,14.42074,"Bílkova, Prague - Staré Město",3 bedroom,Excellent,125 m²,"CZK 5,000","CZK 60,000",Personal,Brick building,Partially furnished,4,No,No,Yes,No,No,Yes,No,25. 05. 2022,,,,G,166,512,178,306,63,299,202,445,233,420,,,,,,,,
290196,"CZK 12,000",50.0863558,14.4597572,"Jeseniova, Prague - Žižkov",Studio,,38 m²,"CZK 2,500",,Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,,,,,,148,378,49,568,362,350,283,319,451,176,,,,,,,,
714347,"CZK 8,000",50.0864,14.44595,"Orebitská, Prague - Žižkov",Small studio,Good,16 m²,"CZK 1,500","CZK 10,000",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,01. 05. 2022,,,,G,88,602,361,557,79,570,337,377,418,571,,,,,,,,
561107,"CZK 26,500",50.067138793,14.399408500327,"U Santošky, Prague - Smíchov",2 bedroom with open-plan kitchen,Excellent,82 m²,"CZK 3,440","CZK 29,940",Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,23. 05. 2022,,District heating,Overall,,51,182,26,521,128,268,140,356,618,125,Middle floor,,,,,,,
669723,"CZK 14,000",50.0921664,14.4969774,"Koněvova, Prague - Žižkov",Small studio,,33 m²,CZK 600,"CZK 20,000",Personal,Brick building,,4,No,Yes,No,No,No,Yes,No,01. 01. 1970,,,,,119,382,144,732,7,341,605,292,870,131,,,,,,,,
713728,"CZK 35,000",50.07792,14.42263,"Příčná, Prague - Nové Město",4 bedroom,Excellent,89 m²,"CZK 8,000","CZK 35,000",Personal,Brick building,Unfurnished,2,No,No,No,No,No,Yes,No,11. 04. 2022,,,,G,216,537,130,225,29,230,302,479,475,416,,,,,,,,
589443,"CZK 23,000",50.140024,14.519857,"Veselská, Prague - Letňany",2 bedroom with open-plan kitchen,New build,90 m²,"CZK 5,000","CZK 30,000",Personal,Brick building,Partially furnished,4,Yes,No,No,No,No,Yes,Yes,01. 06. 2022,Standard materials and solutions,District heating,,B,408,535,"1,038","1,122",278,659,935,"1,066","1,197",213,,1 to 10 years years,,,,,,
714334,"CZK 18,000",50.04723,14.46067,"Michelská, Prague - Michle",1 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 2,800","CZK 20,000",Personal,Brick building,Partially furnished,3,No,No,Yes,No,Yes,Yes,No,25. 04. 2022,,District heating,,G,244,553,100,615,18,614,406,412,371,270,,,,,,,,
714324,"CZK 25,000",50.06703,14.46242,"Uzbecká, Prague - Vršovice",2 bedroom with open-plan kitchen,Excellent,84 m²,"CZK 5,000","CZK 25,000",Personal,Prefab concrete building,Partially furnished,6,Yes,No,Yes,Yes,No,Yes,No,01. 05. 2022,Standard materials and solutions,District heating,Interior,G,120,617,133,442,113,673,553,108,366,490,,1 to 10 years years,,,,,,
713209,"CZK 14,500",50.02559,14.43177,"Novodvorská, Prague - Braník",3 bedroom,Good,68 m²,"CZK 5,000","CZK 19,500",Personal,Prefab concrete building,Partially furnished,2,No,No,No,Yes,No,No,No,01. 05. 2022,,,,G,137,277,207,284,217,303,270,249,843,372,,,,,,,,
714315,"CZK 10,500",50.08104,14.49664,"Počernická, Prague - Malešice",Small studio,Excellent,25 m²,"CZK 1,500","CZK 12,000",Personal,Prefab concrete building,Furnished,11,No,No,No,No,No,No,No,01. 05. 2022,,,,G,110,386,194,339,263,412,286,522,906,148,,,,,,,,
714314,"CZK 29,000",50.07562,14.36124,"Na Císařce, Prague - Smíchov",2 bedroom with open-plan kitchen,New build,90 m²,"CZK 4,000","CZK 58,000",Personal,Brick building,Partially furnished,,Yes,No,No,No,Yes,Yes,Yes,15. 04. 2022,,Central heating,,C,479,"1,125",844,"1,087",717,373,87,,,,Middle floor,,,,,,,
714313,"CZK 39,000",50.09127,14.44921,"Kollárova, Prague - Karlín",1 bedroom with open-plan kitchen,New build,54 m²,"CZK 5,000","CZK 10,000",Personal,Brick building,Partially furnished,2,No,Yes,Yes,No,Yes,No,No,17. 04. 2022,,,,C,272,210,23,387,96,411,132,"1,232",486,170,,,,,,,,
462973,"CZK 21,000",50.12788964285,14.459168762427,"Bořanovická, Prague - Kobylisy",1 bedroom with open-plan kitchen,,62 m²,"CZK 3,000","CZK 21,000",Personal,Brick building,Furnished,3,Yes,No,No,No,No,No,No,01. 06. 2022,Standard materials and solutions,,,B,196,998,36,766,86,285,604,317,674,380,,1 to 10 years years,,,,,,
714307,"CZK 18,000",50.10058,14.39145,"Evropská, Prague - Dejvice",2 bedroom with open-plan kitchen,Good,72 m²,"CZK 2,500","CZK 18,000",Personal,Brick building,Partially furnished,4,No,No,No,No,No,Yes,No,19. 04. 2022,,,,D,79,532,108,145,170,433,795,331,506,262,,,,,,,,
714299,"CZK 15,500",50.1059511,14.4731393,Prague - Libeň,1 bedroom with open-plan kitchen,Good,62 m²,"CZK 6,500","CZK 22,000",Personal,Brick building,,,No,No,No,No,No,Yes,No,Ihned,,,,,44,595,43,80,28,96,206,509,351,252,,,,,,,,
713679,"CZK 24,000",50.04415,14.45549,"Sedlčanská, Prague - Michle",2 bedroom,Excellent,60 m²,"CZK 1,600","CZK 48,000",Personal,Brick building,Furnished,3,Yes,No,No,No,No,Yes,No,19. 04. 2022,Standard materials and solutions,Central heating,Interior,F,265,711,439,470,107,327,289,536,622,222,Middle floor,over 50 years years,,,,,,
149785,"CZK 14,000",50.0947483,14.3561901,"Na dlouhém lánu, Prague - Vokovice",1 bedroom with open-plan kitchen,,46 m²,"CZK 3,000",,Personal,Brick building,Furnished,3,No,No,No,No,No,No,No,21. 04. 2022,,,,,419,521,337,494,365,347,274,616,"1,157",136,,,,,,,,
693947,"CZK 10,990",50.115312,14.4721862,"Na Dědince, Prague - Libeň",1 bedroom with open-plan kitchen,Excellent,34 m²,"CZK 3,281","CZK 14,271",Personal,Brick building,Unfurnished,2,No,No,Yes,No,No,Yes,No,,,,,D,74,"1,232",240,"1,230",134,524,406,"1,390",876,343,,,,,"CZK 14,271

                                
                                
                
i",,,
714283,"CZK 21,900",50.05814,14.37359,"Nyklíčkova, Prague - Jinonice",1 bedroom with open-plan kitchen,New build,42 m²,"CZK 4,000",CZK 2,Personal,Brick building,Furnished,1,No,Yes,Yes,No,Yes,Yes,Yes,03. 05. 2022,,,,C,156,365,313,"1,248",325,427,967,164,"1,424",210,,,,,,,,
711506,"CZK 16,000",50.00861,14.42885,"Rilská, Prague - Modřany",2 bedroom,Excellent,56 m²,"CZK 8,000","CZK 30,000",Personal,Prefab concrete building,Partially furnished,10,No,No,No,Yes,No,Yes,No,15. 04. 2022,,,,G,299,934,97,923,125,"1,013",314,360,338,165,,,,,,,,
